source_id,source_path,source_filename,source_sha256,source_bytes,lineage_role,substrate,embedded_name,embedded_date,embedded_tag,integration_ms,averaging,measure_data_count,full_instrument_rows,replay_rows,intensity_channels,instrument,acquisition_code,source_provenance_status,scientific_blank_status,historical_reference_path,historical_reference_sha256,release_classification,note
M750-SRC-001,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,28677,AAB_sample,AAB,AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,2024/09/24 10:41:58,AAB_4 ATP_10^-10M_750_5_5_M_S1,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-10M_750_5_5_M_S1_blank_subtracted_processed.csv,5e1c887a8cdfeabf3583eadb0811971b1e5bccdb9006dc57652e31fb214a766c,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-002,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,ac412b9bbd25900a733afe2dab16362579be8ffe3eb02ac551c3af4a53eaf917,28649,AAB_sample,AAB,AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,2024/09/24 10:42:56,AAB_4 ATP_10^-10M_750_5_5_M_S2,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-10M_750_5_5_M_S2_blank_subtracted_processed.csv,f82e6093ea76162f5726665f1e59171b9e87a058433d2f0b63562780c8a05b72,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-003,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,ad501d8387fc682644866403f278ed0e23799bbbc82b1160124a9cff0755f65b,28673,AAB_sample,AAB,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,2024/09/24 10:43:39,AAB_4 ATP_10^-10M_750_5_5_M_S3,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-10M_750_5_5_M_S3_blank_subtracted_processed.csv,b1854dab125b072e520b88b9ef60f661ffb8734497ae25dc6887859fc88e4dcb,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-004,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-11M_750_5_5_M_S1.csv,AAB_4 ATP_10^-11M_750_5_5_M_S1.csv,ba1d0968960773210c650c194bd31e561e0af747e37c06a841f711ba9fbcc63e,28675,AAB_sample,AAB,AAB_4 ATP_10^-11M_750_5_5_M_S1.csv,2024/09/24 10:44:21,AAB_4 ATP_10^-11M_750_5_5_M_S1,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-11M_750_5_5_M_S1_blank_subtracted_processed.csv,efce53a37fd32a4d0106e47602a9d4803cce7ef25ac2818a3272ed4c1409c483,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-005,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-11M_750_5_5_M_S2.csv,AAB_4 ATP_10^-11M_750_5_5_M_S2.csv,49e065090632ed5d049ddbe377ea93f294a10c1d36152d14ab8d0c2efbca6bf6,28675,AAB_sample,AAB,AAB_4 ATP_10^-11M_750_5_5_M_S2.csv,2024/09/24 10:45:14,AAB_4 ATP_10^-11M_750_5_5_M_S2,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-11M_750_5_5_M_S2_blank_subtracted_processed.csv,9f556efe0d4e13ba0fd8fc705c351db23c11c835bcae73cd47ab7edc4a9fbfcd,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-006,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-11M_750_5_5_M_S3.csv,AAB_4 ATP_10^-11M_750_5_5_M_S3.csv,1ef16b7ad5f760b66ca597962c08b5b6b6bb731332dc79faf176eaf3cf241482,28661,AAB_sample,AAB,AAB_4 ATP_10^-11M_750_5_5_M_S3.csv,2024/09/24 10:45:57,AAB_4 ATP_10^-11M_750_5_5_M_S3,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-11M_750_5_5_M_S3_blank_subtracted_processed.csv,a4085f123bbc8ec217dd0ab50bc1542d9fceab2e3b046b3bc8b6821e526ab350,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-007,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-12M_750_5_5_M_S1.csv,AAB_4 ATP_10^-12M_750_5_5_M_S1.csv,486fd4dbf7381ce160ad8d3dcae96e01cb56cf8691f6ac20cf2faf287010490a,28619,AAB_sample,AAB,AAB_4 ATP_10^-12M_750_5_5_M_S1.csv,2024/09/24 10:46:39,AAB_4 ATP_10^-12M_750_5_5_M_S1,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-12M_750_5_5_M_S1_blank_subtracted_processed.csv,2b71541ea02292ea0ed6a95d80ae904267e248f55d13ff7bf679b0c21d222747,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-008,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-12M_750_5_5_M_S2.csv,AAB_4 ATP_10^-12M_750_5_5_M_S2.csv,6787fd1d1762e077feb78ac9ee5075aa853f775754062948e240084e1de10b93,28639,AAB_sample,AAB,AAB_4 ATP_10^-12M_750_5_5_M_S2.csv,2024/09/24 10:47:25,AAB_4 ATP_10^-12M_750_5_5_M_S2,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-12M_750_5_5_M_S2_blank_subtracted_processed.csv,8687956e17d3468ce9c68e082032e5b7370d50ed2bebc0e1bb2e291c33a33d77,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-009,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-12M_750_5_5_M_S3.csv,AAB_4 ATP_10^-12M_750_5_5_M_S3.csv,fe1773af4bb83f80e30448af358398e65cadea0159eb443a7d707cc1b54f2e76,28703,AAB_sample,AAB,AAB_4 ATP_10^-12M_750_5_5_M_S3.csv,2024/09/24 10:48:09,AAB_4 ATP_10^-12M_750_5_5_M_S3,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-12M_750_5_5_M_S3_blank_subtracted_processed.csv,701d3b7f1fa56ffadc6f4dbeb0379b1f7fef4ce53c81d3aa2dded57fc4644d86,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
M750-SRC-010,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-13M_750_5_5_M_S1.csv,AAB_4 ATP_10^-13M_750_5_5_M_S1.csv,97d21b67c01a91a7e7cfb64b9c941dfa9f503da4d510f1bff06bea511f1a06b5,28675,AAB_sample,AAB,AAB_4 ATP_10^-13M_750_5_5_M_S1.csv,2024/09/24 10:48:49,AAB_4 ATP_10^-13M_750_5_5_M_S1,750,5,5,512,432,5,portable_raman,750_5_5_M,raw_unverified,not_applicable,data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/Processed Spectra/AAB_4 ATP_10^-13M_750_5_5_M_S1_blank_subtracted_processed.csv,3acb9f1c7707e17ce1aeeb0d08e2dc68f8bdd649a19e5d45e49837dba2ce972a,audit_evidence_only,Exact vendor export recovered from the portable Raman master collection and retained as computational-lineage evidence.
