record_group,sample_type,concentration_molar,concentration_label,instrument,band,center_cm-1,window_cm-1,method,peak_value_mean_of_replicate_means,peak_value_sd_across_replicates,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,peak_1078.5_height,1078.5,7,height,11426.890864205487,13626.50166158397,3,119.24942509312591
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,7769.4486935800414,7142.1068093277408,3,91.925528966158453
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,peak_392.32_height,392.31999999999999,10,height,33184.850025176413,9535.202203318484,3,28.733600411285252
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,peak_1078.5_height,1078.5,7,height,5505.4258558572665,8199.6152668143477,3,148.93698474007624
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,12501.021626029809,10264.040584800974,3,82.105614179796632
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,peak_392.32_height,392.31999999999999,10,height,39356.041837613906,3496.4105423425676,3,8.884050273066153
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,peak_1078.5_height,1078.5,7,height,9954.1085298347134,16867.793337374278,3,169.45558998897479
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,8658.0436148444514,8414.6545929555596,3,97.188868147169018
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,peak_392.32_height,392.31999999999999,10,height,26375.513892386767,22781.937718345027,3,86.375332102708285
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,peak_1078.5_height,1078.5,7,height,2707.4394640600299,245.72304804558831,3,9.0758464337779223
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1267.5940310431763,132.31752791439834,3,10.438478304091303
