record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,band,center_cm-1,window_cm-1,method,peak_value_mean,peak_value_sd,observed_shift_mean_cm-1,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,peak_1078.5_height,1078.5,7,height,7554.7239314222361,6011.070323853487,1076.103038,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,14280.277162177448,1593.8381043479712,1581.7814310000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,39763.825995448206,4242.4576643740829,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,2,peak_1078.5_height,1078.5,7,height,26570.407463747764,277.94700793447038,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,8897.7000675619056,648.43082153010391,1586.3584281999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,22249.58624911456,127.33297060615116,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,3,peak_1078.5_height,1078.5,7,height,155.54119744645868,72.0762492531085,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,130.36885100076981,27.989428190822998,1594.8372549999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,37541.137830966465,2139.911619094913,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,1,peak_1078.5_height,1078.5,7,height,140.04749995161654,98.131432991945658,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,656.44344053766815,1243.4499267851479,1594.8372549999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,36923.106363610976,2650.6091125327848,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,2,peak_1078.5_height,1078.5,7,height,1432.1379137141926,2528.9975239533637,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,18062.748890146911,2264.4851934428552,1587.0081440000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,37782.257719476147,2073.6326822223432,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,3,peak_1078.5_height,1078.5,7,height,14944.092153905993,1596.6003429300067,1078.4979515999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,18783.872547404852,736.32448001063062,1581.7814310000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,43362.761429754588,2454.7875741936496,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,1,peak_1078.5_height,1078.5,7,height,177.72229365462044,78.337334556414078,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,8628.3770709408891,2422.7592693229562,1590.2707854,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,36566.62679891583,2859.7152848763076,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,2,peak_1078.5_height,1078.5,7,height,29431.309708555182,2080.8134745793445,1076.9021339999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,17087.4922577373,904.99423763034554,1581.7814310000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,42282.876271925794,474.42283568264298,389.29885000000002,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,3,peak_1078.5_height,1078.5,7,height,253.29358729433847,49.683398097344963,1077.7012300000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,258.26151585516197,96.251955771407438,1581.7814310000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,277.03860631867559,53.842807777020482,391.31343559999999,5
