record_id,file,source_sha256,source_intensity_column,source_intensity_column_index,processed_file,sample_type,analyte,matrix,concentration_molar,concentration_label,replicate,accumulation,instrument,acquisition,analysis_lineage,baseline_lambda,blank_replication_design,manifest_row,provenance_status,record_group,source_axis_status,source_record_group
row00002__4ATP_100fM_rep1_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc1.csv,a59b10eb466eebe3a6ffeb5afec1a8d8220afeb12e8b945d5d805ae41ca1248f,Intensity,1,processed_spectra/4ATP_100fM_rep1_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,2,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00003__4ATP_100fM_rep1_acc2__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc2.csv,ca77004fa0109ed9eb736707c9e969baf77623a6f6302cc624737d38dec44f42,Intensity,1,processed_spectra/4ATP_100fM_rep1_acc2_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,3,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00004__4ATP_100fM_rep1_acc3__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc3.csv,124d106c8e42d727fae2e6153512f2a0ab465b8c893d84290f0c69d32a8a7212,Intensity,1,processed_spectra/4ATP_100fM_rep1_acc3_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,4,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00005__4ATP_100fM_rep1_acc4__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc4.csv,18f5bdae45b3ee190923dcc725a77371727e09c4c0c60959894806cfbce444d3,Intensity,1,processed_spectra/4ATP_100fM_rep1_acc4_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,5,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00006__4ATP_100fM_rep1_acc5__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc5.csv,04316f4b9810f9373c406a8bb5709b96cebb489640f026c02e135a9089de6798,Intensity,1,processed_spectra/4ATP_100fM_rep1_acc5_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,6,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00007__4ATP_100fM_rep2_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,0555ab2a24aba3a98c42ff5348e8f665001e0b470f30491c13e0e703371dd813,Intensity,1,processed_spectra/4ATP_100fM_rep2_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,7,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00008__4ATP_100fM_rep2_acc2__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,8736bda26c88e4b7a2f728b8e3a3738ea488bdc73442009431489adefdc37a5e,Intensity,1,processed_spectra/4ATP_100fM_rep2_acc2_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,8,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00009__4ATP_100fM_rep2_acc3__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,25ad8ae273738ecadbc952a87347720f699103e1833ac92d522d627a65ce985a,Intensity,1,processed_spectra/4ATP_100fM_rep2_acc3_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,9,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00010__4ATP_100fM_rep2_acc4__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,4f556556b7cf9a0c8fd20fb09588fdb010537c60b9f3b55b88114d61a7396dd5,Intensity,1,processed_spectra/4ATP_100fM_rep2_acc4_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,10,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00011__4ATP_100fM_rep2_acc5__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc5.csv,e06d0a3b99cb50b8860c83ac17b0c1efacfa8698cc5908ef54b4b933dbba93cc,Intensity,1,processed_spectra/4ATP_100fM_rep2_acc5_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,11,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00012__4ATP_100fM_rep3_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc1.csv,5669b5402b8174cc54a930eb5deba598dde527641cf3d904af81b0e83ff60890,Intensity,1,processed_spectra/4ATP_100fM_rep3_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,3,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,12,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00013__4ATP_100fM_rep3_acc2__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc2.csv,7aca856e0d80da7fe6d9fb6dd24acb18b7e4b0662c59f3b1e522bcbadaf6e83e,Intensity,1,processed_spectra/4ATP_100fM_rep3_acc2_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,3,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,13,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00014__4ATP_100fM_rep3_acc3__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc3.csv,394c63d0820fa01cb7f33b7fb39d45ebcb4f8022002e4a9d78ac70da2ee2fb24,Intensity,1,processed_spectra/4ATP_100fM_rep3_acc3_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,3,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,14,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00015__4ATP_100fM_rep3_acc4__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc4.csv,037c41e14c21a1dc4afb030a21a83c12e3fd2497be31353562c6e4d24624d73a,Intensity,1,processed_spectra/4ATP_100fM_rep3_acc4_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,3,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,15,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00016__4ATP_100fM_rep3_acc5__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc5.csv,abc2dd7574162538091c582a6fef28e486820350347e32ce8f1868d2fc452848,Intensity,1,processed_spectra/4ATP_100fM_rep3_acc5_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,3,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,16,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00017__4ATP_100nM_rep1_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc1.csv,1173d8a9eab9e209acb8400dcc78f02eff16822ea5d33a74979356df0101b21a,Intensity,1,processed_spectra/4ATP_100nM_rep1_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,1,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,17,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00018__4ATP_100nM_rep1_acc2__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc2.csv,1748b344a9908c0c915c0dfaa173d59a71a9d268e4f9ed28f851ed4c317c42ca,Intensity,1,processed_spectra/4ATP_100nM_rep1_acc2_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,1,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,18,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00019__4ATP_100nM_rep1_acc3__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc3.csv,e3207fb48c4a1e315bb2f9d054b281431771131ab53d71b1d2e41b161908b71b,Intensity,1,processed_spectra/4ATP_100nM_rep1_acc3_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,1,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,19,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00020__4ATP_100nM_rep1_acc4__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc4.csv,6b59b1865e6db51a1864404a9190ce2c86c0791214dc2ae1a451ee2f71c7d3b0,Intensity,1,processed_spectra/4ATP_100nM_rep1_acc4_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,1,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,20,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00021__4ATP_100nM_rep1_acc5__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc5.csv,603e73bc8479e208ea7e94e7f6db86cd1390deae7e7d008ff3030a7cba9ce8f6,Intensity,1,processed_spectra/4ATP_100nM_rep1_acc5_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,1,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,21,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00022__4ATP_100nM_rep2_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc1.csv,725fc0376c9197d12dd054cc0b19d9abb958351fb5d2b54b6e8b8441b8a78e2b,Intensity,1,processed_spectra/4ATP_100nM_rep2_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,2,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,22,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
