record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,raman_shift_cm-1,intensity_mean,intensity_sd,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-93.471151070000005,304.11261851715597,121.00542111335942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-87.693743690000005,-3.4789221963897616,57.509123380111625,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-81.925307599999996,7.273195892089416,44.660990345895947,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-76.165827010000001,30.878880821521157,35.827785927511876,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-70.41528615,41.976429568576137,37.367000295827566,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-64.673669329999996,-16.417649285745551,42.015390236880258,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-58.940960859999997,-25.356432004807559,34.659936200065637,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-53.217145119999998,2.3883953699522582,24.057277874518554,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-47.502206520000001,-54.414095510685456,64.298802446469452,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-41.796129540000003,43.11348572142672,52.061915227975355,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-36.098898660000003,118.97721744028635,23.608259461774029,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-30.410498430000001,65.548277323779956,62.260802471900035,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-24.730913430000001,73.194592652405873,43.193349820763885,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-19.060128299999999,55.685991538087912,43.510250120672545,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-13.398127690000001,-5.4599325002955501,57.520715926593567,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-7.7448963270000002,-56.6373326026889,44.898869353490106,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,-2.100418946,26.144041314057603,24.180332590062747,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,3.5353196589999998,76.197356352958934,57.068558016422955,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,9.1623346580000007,-17.191000473046426,75.481669698424923,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,14.78064118,4.1631702665203223,17.863230230902307,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,20.39025432,-12.385811820012123,26.521148046016876,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,25.991189129999999,58.411383823118932,46.633358893211131,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,31.583460609999999,190.39947869406095,39.173778263882461,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,37.167083750000003,60.816314025861139,31.897674222190183,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,42.742073470000001,-29.585952545204826,36.081389228179695,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,48.308444680000001,0.98499695365881512,23.773792959204435,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,53.866212220000001,-21.542262501831896,17.088366544879321,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,59.415390930000001,-40.409457279157451,37.787469589580866,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,64.955995580000007,-18.504160562276798,42.599964570392942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,70.488040909999995,91.556284275016779,56.883338118857779,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,76.011541640000004,48.120627799033365,46.236171756041784,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,81.526512429999997,-89.644983834576422,85.989753438473343,5
