record_group,sample_type,concentration_molar,concentration_label,instrument,band,center_cm-1,window_cm-1,method,peak_value_mean_of_replicate_means,peak_value_sd_across_replicates,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,peak_1078.5_height,1078.5,7,height,11873.408071587257,13000.017574146967,3,109.48850991869517
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,11202.239616033536,3514.8161259286153,3,31.376012711761057
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,peak_392.32_height,392.31999999999999,10,height,5870.3094523895597,8781.6340918205824,3,149.59405740094235
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,peak_1078.5_height,1078.5,7,height,7146.842558061976,6781.7257292564427,3,94.891214884905153
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,19160.008150179583,4570.9706687790613,3,23.85683050315518
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.001,1 mM,portable_raman,peak_392.32_height,392.31999999999999,10,height,720.59495567240435,355.29213789463176,3,49.305387873982575
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,peak_1078.5_height,1078.5,7,height,12454.988412103565,17514.789356812718,3,140.62469411687383
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,13012.124371236818,11190.840207089483,3,86.003175867475832
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-05,10 µM,portable_raman,peak_392.32_height,392.31999999999999,10,height,5893.8916288094188,9579.5919245981368,3,162.53423930927008
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,peak_1078.5_height,1078.5,7,height,2706.5079243177147,226.86410941533094,3,8.3821705222799689
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1458.8443662318739,252.03841702776199,3,17.276580207028207
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,peak_392.32_height,392.31999999999999,10,height,3247.8138932551069,400.58161508569401,3,12.333884522065791
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,peak_1078.5_height,1078.5,7,height,2140.429125082484,291.79877475272821,3,13.632723052275015
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1125.4663661816601,155.13922423548513,3,13.784438957675995
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,peak_392.32_height,392.31999999999999,10,height,2301.8129479842332,325.4127383655503,3,14.137236418385951
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,peak_1078.5_height,1078.5,7,height,2622.7471466050692,1211.5463509248104,3,46.19379159340837
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1613.3075362931825,1062.7523405711729,3,65.874132281871496
