record_id,sample_type,analyte,matrix,concentration_molar,concentration_label,replicate,accumulation,instrument,acquisition,analysis_lineage,baseline_lambda,blank_replication_design,file,manifest_row,provenance_status,record_group,source_axis_status,source_record_group,band,center_cm-1,window_cm-1,method,peak_value,observed_shift_cm-1,n_points
row00002__4ATP_100fM_rep1_acc1__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,1,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc1.csv,2,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,2689.1106664278091,393.85374179353926,6
row00002__4ATP_100fM_rep1_acc1__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,1,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc1.csv,2,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,2431.9962785902198,1078.9790414489271,4
row00002__4ATP_100fM_rep1_acc1__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,1,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc1.csv,2,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,1328.1641695959747,1582.6387211955907,5
row00003__4ATP_100fM_rep1_acc2__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,2,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc2.csv,3,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,2579.0144973093556,393.85374179353926,6
row00003__4ATP_100fM_rep1_acc2__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,2,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc2.csv,3,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,2157.6853007766563,1078.9790414489271,4
row00003__4ATP_100fM_rep1_acc2__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,2,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc2.csv,3,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,1198.490705377862,1586.342101193728,5
row00004__4ATP_100fM_rep1_acc3__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,3,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc3.csv,4,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,2457.5001179776768,393.85374179353926,6
row00004__4ATP_100fM_rep1_acc3__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,3,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc3.csv,4,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,2388.7210417824458,1078.9790414489271,4
row00004__4ATP_100fM_rep1_acc3__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,3,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc3.csv,4,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,1114.9297922323583,1586.342101193728,5
row00005__4ATP_100fM_rep1_acc4__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,4,portable_raman,750_5_5_H,reference_2026,,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc4.csv,5,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,2426.2340233150326,393.85374179353926,6
