record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,raman_shift_cm-1,intensity_mean,intensity_sd,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,342.00642181961803,352.91190159769292,195.85102415722253,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,345.70980181775525,480.4146020623856,138.64933661419278,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,349.41318181589247,500.00759102703051,285.63276078069885,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,353.11656181402975,504.71480145785307,409.50437159248258,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,356.81994181216697,555.61331621361728,495.20493591584636,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,360.5233218103042,560.5639267462567,566.1897825582472,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,364.22670180844142,497.19847342200603,639.40979369508091,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,367.93008180657864,505.34005924445074,714.06267712076271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,371.63346180471586,598.07792580395312,781.68099368373339,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,375.33684180285309,589.95943262817468,838.86037241557756,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,379.04022180099037,589.35859700245942,888.5915846685316,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,382.74360179912759,705.78139398278529,935.50663578824469,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,386.44698179726481,781.92366520740472,982.33214928811276,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,390.15036179540203,769.21026474862754,1030.3286857104415,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,393.85374179353926,801.6542960435396,1080.0027060994823,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,397.55712179167654,865.58935616366216,1133.1355912614715,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,401.26050178981376,807.0718212718524,1193.038472679073,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,404.96388178795098,788.59274441792627,1263.5934379919447,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,408.6672617860882,871.1051841068354,1340.6321663934186,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,412.37064178422543,946.55723674168053,1403.9503736073325,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,416.07402178236265,1023.4438585803784,1420.1467830786926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,419.77740178049987,973.6848627785763,1366.2955547295485,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,423.48078177863715,843.79255703916078,1255.7032540954754,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,427.18416177677437,740.71520184085114,1131.7864368268936,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,430.8875417749116,600.84018992897836,1028.2959489724735,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,434.59092177304882,481.80523691471126,940.8191226413478,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,438.29430177118604,387.02935611719374,837.11563343249202,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,441.99768176932332,347.10292871745185,687.01979753391538,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,445.70106176746049,387.26413514630786,506.00558166521347,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,449.40444176559777,432.97297918837467,354.13708029668538,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,453.10782176373499,385.93103986203079,284.01339255134945,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,456.81120176187221,351.25926968522333,286.46328615509469,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,460.51458176000943,437.82599741875384,316.98227143361913,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,464.21796175814666,451.93465583572953,337.81693955214195,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,467.92134175628394,445.04653213208803,355.14085213040278,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,471.6247217544211,595.36408571980132,427.59203450036102,5
