Raman shift [cm-1],Al 1x10-2 M,,,,,,AuAgBC 1x10-15 M,,,,,
,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV
352.36752,133.04284,48.96533,45.81134,75.93984,40.39844597,53.19796035,84.47637,88.34376,7.48515,60.10176,37.23904682,61.95999389
353.50079,130.64502,54.52531,40.79015,75.32016,39.52040617,52.46989142,72.48783,72.12949,7.49699,50.70477,30.55286447,60.25639101
354.63385,129.02694,60.45611,36.3435,75.27552,39.26207774,52.15782999,61.5834,57.43806,7.89559,42.30568333,24.39039228,57.65275575
355.7667,128.18862,66.75775,32.4714,75.80592,39.59670552,52.23431826,51.7631,44.26947,8.68096,34.90451,18.79351934,53.84266771
356.89935,128.13004,73.43021,29.17385,76.91137,40.47361876,52.62371319,43.02692,32.62372,9.85308,28.50124,13.85332803,48.60605372
358.03179,128.85121,80.47349,26.45084,78.59185,41.82594394,53.21918741,35.37487,22.50081,11.41197,23.09588333,9.791858125,42.39655173
359.16402,130.35213,87.88761,24.30238,80.84737,43.5798965,53.90391363,28.80694,13.90073,13.35762,18.68843,7.158301734,38.30338736
360.29604,132.63279,95.67255,22.72847,83.67794,45.66284376,54.56975131,23.32313,6.8235,15.69003,15.27888667,6.742216582,44.12766931
361.42786,135.69321,103.82833,21.7291,87.08355,48.00864796,55.12941073,18.92344,1.26911,18.4092,12.86725,8.203810062,63.75729127
362.55947,139.53337,112.35493,21.30428,91.06419,50.56020195,55.52149747,15.60788,-2.76244,21.51514,11.45352667,10.33744686,90.25557945
363.69087,144.15328,121.25236,21.45401,95.61988,53.27003917,55.71021337,13.37645,-5.27115,25.00784,11.03771333,12.47147614,112.9896725
364.82207,149.55294,130.52061,22.17828,100.75061,56.09970694,55.68175412,12.22913,-6.25702,28.8873,11.61980333,14.35407645,123.531148
365.95306,155.73234,140.1597,23.47709,106.45638,59.01863147,55.43926204,12.16594,-5.72006,33.15353,13.19980333,15.88690561,120.3571387
367.08384,155.05215,152.11233,20.33674,109.16707,62.82399608,57.54848608,11.73743,6.2138,28.5314,15.49421,9.490481702,61.25179472
368.21441,159.27017,167.69677,24.12829,117.03174,65.78267567,56.20926056,9.93542,18.35444,24.59404,17.62796667,6.00636372,34.0729242
369.34478,168.58975,177.7198,16.34842,120.88599,74.01313897,61.2255721,7.7006,25.31778,22.02758,18.34865333,7.648186445,41.68254916
370.47494,181.89897,182.70819,11.18438,125.26385,80.66704096,64.3977021,15.1622,30.68819,21.62,22.49013,6.368251253,28.31576008
371.60489,197.39997,191.55675,25.61971,138.19214,79.63646721,57.62734929,5.26814,36.10042,24.52311,21.96389,12.71664468,57.89796196
372.73464,213.29285,208.31811,42.78878,154.79991,79.22986601,51.18211374,-1.04495,38.45774,32.22076,23.21118333,17.33964596,74.70384302
373.86418,228.26536,226.45836,52.83904,169.18759,82.27415368,48.62895303,8.26845,38.27401,46.34511,30.96252333,16.38192881,52.90889451
374.99351,241.70428,237.24023,57.3299,178.75814,85.8820681,48.04372438,15.64715,36.66123,68.46629,40.25822333,21.71280971,53.93384982
376.12264,253.66287,238.63292,68.9655,187.0871,83.74966089,44.76506445,31.89427,35.5857,99.85508,55.77835,31.20336798,55.94171928
377.25156,264.66076,234.6354,72.96033,190.75216,84.18854855,44.13504337,61.19152,39.64363,141.29122,80.70879,43.73214691,54.18511033
378.38027,275.39118,229.89015,63.6685,189.64994,90.99845779,47.98232881,98.50923,45.62406,193.07925,112.40418,60.99486586,54.26387689
379.50878,286.39552,226.56563,65.56258,192.84124,93.2551966,48.35853399,143.96756,45.58939,255.23182,148.2629233,85.64004018,57.76227681
380.63708,297.77588,224.22323,75.49746,199.16552,92.45842488,46.42290738,201.98398,41.77271,327.52172,190.4261367,116.9424701,61.41093455
381.76518,309.05478,221.00698,64.41351,198.15842,101.1727241,51.05648506,264.94312,40.60184,409.14994,238.2316333,151.6400412,63.65235342
382.89306,319.27,215.95044,47.24841,194.15628,112.1165325,57.74550921,337.45587,40.2863,498.11065,291.95094,189.6554909,64.961425
384.02075,327.26879,210.99737,51.53987,196.60201,113.0251569,57.48931908,419.56706,38.49543,590.72455,349.59568,230.8119664,66.02254536
385.14822,332.04349,208.8591,39.17044,193.35768,120.0663051,62.09544154,495.31502,36.71678,681.94665,404.6594833,271.1017226,66.99502515
386.27549,332.95581,207.82,28.39268,189.72283,124.9941484,65.88250261,572.306,30.30454,766.5949,456.4018133,311.5618814,68.26482111
387.40255,329.81514,201.44754,19.5081,183.59026,127.3100588,69.34466937,639.88493,17.33599,840.8211,499.34734,350.5662489,70.20488962
388.52941,322.86022,185.82989,7.71175,172.13395,129.0227978,74.95488127,690.98448,8.85326,902.84367,534.2271367,381.4309565,71.39864868
389.65606,312.66841,164.87892,18.07999,165.20911,120.2654455,72.79589212,740.093,9.38929,952.56883,567.3503733,403.9611553,71.20135533
390.7825,299.99641,146.91304,34.35538,160.42161,108.8673514,67.86327067,780.73146,11.33666,990.57449,594.2142033,420.9657129,70.84410143
391.90874,285.62622,138.45875,22.00642,148.69713,107.8655585,72.5404441,812.81879,14.33842,1017.1858,614.7810033,432.6969229,70.38228581
393.03478,270.33569,139.66653,29.47142,146.49121,98.45077067,67.2059236,838.811,21.65156,1032.0874,630.8499867,437.9352951,69.41987863
394.1606,255.01305,142.00802,19.03624,138.68577,96.36576752,69.48497132,845.98989,25.89137,1034.5483,635.47652,437.8615533,68.90286888
395.28622,240.78253,135.51239,23.59357,133.29616,88.68086916,66.52920021,832.62183,23.2942,1024.02084,626.6456233,433.730408,69.21462337
396.41164,228.97823,122.18988,45.7377,132.30194,75.14857828,56.80081356,813.19187,25.36723,1000.67739,613.07883,422.564708,68.92502029
397.53685,220.91847,115.00949,83.86812,139.93203,58.66031728,41.92057907,780.53556,37.75443,965.63405,594.6413467,400.9635405,67.42947539
398.66185,217.57263,120.68905,112.4552,150.23896,47.73060799,31.76979392,727.04904,49.1209,920.91366,565.6945333,373.7486782,66.0689924
399.78665,219.26132,131.9672,112.79753,154.67535,46.33486594,29.95620565,674.26452,49.95072,869.19644,531.1372267,349.43283,65.78955728
400.91125,225.47913,140.42781,130.49443,165.46712,42.62822788,25.76235561,623.79701,44.41616,813.36102,493.8580633,327.0903513,66.23165147
402.03563,234.87009,149.23776,111.36361,165.15715,51.6625781,31.28086074,559.55758,43.57536,755.91381,453.0155833,300.4107351,66.31355435
403.15981,245.38086,166.71079,136.03312,182.70826,46.05193637,25.20517484,495.62189,52.91813,698.4774,415.6724733,269.5435953,64.84518765
404.28379,254.61592,191.24851,156.76683,200.87709,40.5227773,20.17292131,445.65649,65.48957,641.64174,384.2626,239.1857549,62.24539024
405.40756,260.34855,210.15843,168.48445,212.99714,37.55704051,17.63265014,390.12907,71.49022,585.42804,349.0157767,211.8187084,60.69029614
406.53113,261.02334,213.86261,175.65259,216.84618,34.91625702,16.10185479,336.12412,71.83009,530.0158,312.65667,187.7881379,60.06209237
407.65449,256.05009,206.40159,170.15028,210.86732,35.21033369,16.69786181,288.65044,74.2747,475.98183,279.6356567,164.1200867,58.69068655
408.77765,245.7811,199.48269,152.34545,199.20308,38.14545678,19.14902961,240.87345,79.78541,423.84806,248.1689733,140.5576875,56.637897
409.9006,231.23411,199.28013,144.98544,191.83323,35.60243949,18.55905751,210.49423,82.20317,373.55862,222.08534,119.2274156,53.6854056
411.02334,213.73293,203.01449,154.80213,190.51652,25.63018143,13.45299685,178.50521,79.89736,324.5786,194.3270567,100.5152573,51.7247876
412.14588,194.63289,206.56956,135.46445,178.88897,31.09005745,17.37952734,136.61017,74.49989,276.61678,162.5756133,84.5318973,51.99543496
413.26822,175.17736,210.98964,105.39235,163.85312,43.84727874,26.76011219,104.91321,66.11565,230.26633,133.7650633,70.05085542,52.36857343
414.39035,156.40337,220.74865,73.75862,150.30355,60.16323968,40.02782348,77.03331,62.92229,186.92503,108.96021,55.42962559,50.87143792
415.51227,139.03825,236.79333,78.67032,151.50063,65.15215433,43.0045435,56.30715,70.92595,148.09972,91.77760667,40.27044132,43.87828663
416.63399,123.46313,252.93529,74.48559,150.29467,75.28179289,50.08946285,44.40186,75.26239,114.74619,78.13681333,28.78978896,36.84535846
417.75551,109.84134,261.33907,48.62341,139.93461,89.40988583,63.89404725,29.8716,65.97283,87.08747,60.9773,23.62386413,38.74206325
418.87682,98.35175,261.71244,47.87617,135.98012,91.26302013,67.11497249,20.72324,57.34456,64.78469,47.61749667,19.25815264,40.44343779
419.99793,89.32243,262.71784,40.00886,130.68304,95.50863031,73.08418163,16.04345,56.26149,47.14307,39.81600333,17.21698996,43.24138165
421.11883,83.12589,271.86871,18.31204,124.43555,107.5565341,86.43553555,9.52569,54.13046,33.28141,32.31252,18.22270447,56.39518204
422.23953,79.92862,285.20248,39.30669,134.8126,107.6270507,79.83456344,8.72983,53.93318,22.38839,28.35046667,18.92961492,66.77002936
423.36002,79.52371,291.60505,54.02343,141.7174,106.4966276,75.14717854,6.7936,59.80399,14.10947,26.90235333,23.45589848,87.18902092
424.48031,81.35701,288.22354,54.31698,141.29918,104.476049,73.93960033,-0.30777,58.80589,8.80291,22.43367667,25.98659333,115.8374248
425.60039,84.64854,285.93409,18.61445,129.73236,113.6936252,87.63705922,-2.17814,47.23053,7.22645,17.42628,21.42166453,122.9273518
426.72027,88.46601,295.46104,36.78563,140.23756,111.7689938,79.6997565,5.16074,40.54465,9.71311,18.47283333,15.71739665,85.08384378
427.83995,91.74296,312.25695,44.71479,149.57157,116.6270771,77.97409432,12.2789,43.24411,15.58063,23.70121333,13.88449886,58.58138427
428.95942,93.35791,320.60817,63.4736,159.14656,114.8206039,72.14771335,8.76286,46.27211,23.25281,26.09592667,15.44449078,59.18353074
430.07868,92.35682,310.34974,92.77789,165.16148,102.6637448,62.15961782,9.80952,48.88214,30.78897,29.82687667,15.96583072,53.52833588
431.19775,88.25267,284.38945,82.63539,151.75917,93.81180394,61.8162342,22.5764,54.43723,36.45046,37.82136333,13.0432014,34.48633325
432.3166,81.23629,251.25784,81.99415,138.16276,79.97089649,57.88165819,29.37156,60.42803,39.24066,43.01341667,12.95637171,30.12169857
433.43526,72.16985,217.77211,77.7463,122.56275,67.36166267,54.96095891,30.10093,65.13176,39.254,44.82889667,14.83462992,33.09166859
434.55371,62.35591,190.52308,77.84218,110.24039,57.11940053,51.81349642,28.00522,67.09915,37.48448,44.19628333,16.65072709,37.6744962
435.67195,53.16547,175.63555,67.74606,98.84903,54.62158319,55.25758138,30.28572,63.34939,35.0657,42.90027,14.59079467,34.01096234
436.79,45.66001,173.57518,62.51662,93.91727,56.74547438,60.42070258,38.81717,59.2159,32.49658,43.50988333,11.40165731,26.20475266
437.90783,40.34162,179.27308,66.92306,95.51259,60.21355562,63.04253253,36.49445,61.66806,29.51805,42.56018667,13.80822597,32.44399767
439.02547,37.11833,186.05308,55.18937,92.78693,66.36049096,71.51922254,35.60472,64.86859,25.71431,42.06254,16.62411882,39.52238458
440.1429,35.45781,187.13004,34.83643,85.80809,71.64588467,83.49548938,42.20849,63.84103,21.22139,42.42363667,17.40006024,41.01501334
441.26013,34.62427,179.57624,29.15731,81.11927,69.65535455,85.86782715,42.69659,63.82133,16.87737,41.13176333,19.1967073,46.67124808
442.37715,33.90663,168.7459,21.61917,74.75723,66.64906858,89.15401037,47.68692,63.0884,13.67309,41.48280333,20.64520143,49.76809611
443.49397,32.79997,163.16255,27.94329,74.63527,62.62963257,83.91425738,54.82367,56.29518,12.00183,41.04022667,20.54203327,50.05341085
444.61059,31.10403,164.69733,39.18825,78.32987,61.16013006,78.08021392,56.16814,51.42637,11.38753,39.66068,20.08563921,50.64370861
445.727,28.92425,167.4497,62.0851,86.15302,59.05801404,68.55013793,61.07249,54.66563,10.86869,42.20227,22.31004095,52.86455194
446.84321,26.61291,165.73282,51.17144,81.17239,60.62799183,74.69041115,61.25241,57.0205,9.66054,42.64448333,23.38707127,54.84196183
447.95921,24.68821,160.54888,48.66724,77.96811,59.20831107,75.93913854,56.61525,52.69451,7.66902,38.99292667,22.20710693,56.95162899
449.07502,23.73222,157.00434,37.1393,72.62529,59.91552904,82.49953843,55.73628,45.36558,5.62866,35.57684,21.59564723,60.70142043
450.19061,24.26004,157.65011,45.29593,75.73536,58.55565368,77.31613567,50.84611,35.58344,4.79291,30.40748667,19.15406271,62.99127224
451.30601,26.57883,162.14376,39.03914,75.92058,61.18084035,80.58531738,45.10852,25.19936,6.32321,25.54369667,15.83590843,61.99536675
452.4212,30.68902,170.4204,39.78117,80.29686,63.83497314,79.49871656,44.71689,21.5026,10.72171,25.64706667,14.18451077,55.30656179
453.53619,36.26607,181.37114,48.16714,88.60145,65.77775918,74.24004819,44.39769,21.53479,17.63706,27.85651333,11.8041227,42.37473138
454.65098,42.69237,191.75244,31.65508,88.69996,73.0082879,82.30926812,35.53091,15.18609,26.07315,25.59671667,8.312567463,32.47513176
455.76556,49.10708,197.95319,58.22046,101.76024,68.12036242,66.94202217,30.23631,7.76248,34.7444,24.24773,11.80122365,48.66939566
456.87994,54.54011,195.98632,63.2555,104.59398,64.72202006,61.87929751,33.32808,10.1904,42.49073,28.66973667,13.5917365,47.40795723
457.99412,58.19907,184.03775,58.40035,100.21239,59.27353745,59.1479132,27.85514,15.73504,48.84533,30.81183667,13.67794739,44.39185999
459.10809,59.79014,169.47522,69.7181,99.66115,49.53210424,49.70051443,16.84552,13.36726,54.42635,28.21304333,18.58991945,65.89122355
460.22186,59.62384,167.94294,77.57757,101.71478,47.40049688,46.60138564,6.24252,5.72429,60.5699,24.17890333,25.73319023,106.4282771
461.33543,58.39797,188.37146,99.8132,115.52754,54.21243686,46.92598567,6.04713,-1.0318,68.30457,24.43996667,31.15130154,127.4604911
462.4488,56.82554,219.76043,113.59648,130.06082,67.529008,51.92109968,9.60568,-3.95927,77.60005,27.74882,35.68249633,128.5910404
463.56196,55.365,240.32754,114.04516,136.57923,77.17349997,56.50456513,3.97477,-0.72762,87.6021,30.28308333,40.57610439,133.989343
464.67492,54.15543,241.83199,109.03291,135.00678,78.78918752,58.35943019,5.28466,5.14124,97.50731,35.97773667,43.50801795,120.9303919
465.78768,53.0977,237.00785,111.34986,133.81847,76.74357582,57.34901604,11.28643,8.40276,107.10055,42.26324667,45.86200908,108.5151111
466.90023,51.99994,240.24623,119.95501,137.40039,77.83496418,56.64828476,16.92916,11.46625,116.45367,48.28302667,48.25548885,99.94296584
468.01259,50.74552,250.14505,126.8811,142.59056,82.15892491,57.61876867,24.79638,15.80752,125.24607,55.28332333,49.60705153,89.73239765
469.12474,49.4156,255.62239,147.17082,150.73627,84.22131316,55.87328993,29.03659,17.60868,132.54465,59.72997333,51.69869202,86.55401826
470.23668,48.27427,251.72141,147.04434,149.01334,83.06861587,55.74575798,28.70565,18.97614,137.34804,61.67661,53.65500803,86.99409392
471.34843,47.60565,244.07183,147.31325,146.33024,80.20999396,54.81436644,26.02323,24.81208,139.38465,63.40665333,53.72683193,84.73374497
