type,concentration_M,concentration_label,replicate,Raman_shift_cm-1,intensity_mean,intensity_sd,n_accumulations
blank,0.0,Blank,1,342.28007175846005,118.7115089636751,127.43549753279738,5
blank,0.0,Blank,1,346.20575845060836,64.35502651074931,65.43474913114743,5
blank,0.0,Blank,1,350.13144514275666,149.45422110501167,131.53446565382316,5
blank,0.0,Blank,1,354.05713183490496,154.38953299540285,114.58476514262492,5
blank,0.0,Blank,1,357.9828185270532,115.35884788243996,73.30615962645668,5
blank,0.0,Blank,1,361.9085052192015,175.61983016130665,120.75318309659384,5
blank,0.0,Blank,1,365.8341919113498,256.31527851647866,175.95646074277337,5
blank,0.0,Blank,1,369.7598786034981,232.02742314987572,141.028294158334,5
blank,0.0,Blank,1,373.68556529564637,239.3398795639361,146.5795402284405,5
blank,0.0,Blank,1,377.6112519877947,275.9418775561381,166.86104529351334,5
blank,0.0,Blank,1,381.536938679943,210.53633411208958,114.12010850351088,5
blank,0.0,Blank,1,385.4626253720913,140.64013770448707,63.75475434414855,5
blank,0.0,Blank,1,389.3883120642395,175.50084815088397,100.02098596671127,5
blank,0.0,Blank,1,393.31399875638783,166.97496216167985,100.23819405132505,5
blank,0.0,Blank,1,397.23968544853614,94.84092635077253,55.30053751461953,5
blank,0.0,Blank,1,401.16537214068444,194.21348692314942,119.0643467518018,5
blank,0.0,Blank,1,405.0910588328327,217.5401408192785,143.87787900320393,5
blank,0.0,Blank,1,409.016745524981,169.39216604004156,113.58403759748087,5
blank,0.0,Blank,1,412.9424322171293,135.5183266873493,118.19388054834938,5
blank,0.0,Blank,1,416.86811890927754,44.259360727203045,44.99870701077002,5
blank,0.0,Blank,1,420.7938056014259,97.26971728913188,57.172733449501195,5
blank,0.0,Blank,1,424.71949229357415,167.51749395500133,69.2653627973715,5
blank,0.0,Blank,1,428.6451789857224,251.44683798342794,101.69058786777552,5
blank,0.0,Blank,1,432.57086567787076,385.74765146823086,200.6614894428873,5
blank,0.0,Blank,1,436.496552370019,471.54621649183593,251.383049076195,5
blank,0.0,Blank,1,440.42223906216725,482.52321083076504,256.2530668782834,5
blank,0.0,Blank,1,444.3479257543156,352.23659703212047,150.45950035897977,5
blank,0.0,Blank,1,448.27361244646386,219.03735191145634,61.33002351606379,5
blank,0.0,Blank,1,452.1992991386122,236.23997468805018,91.70553978710672,5
blank,0.0,Blank,1,456.12498583076047,272.85873209043626,146.9829970989721,5
blank,0.0,Blank,1,460.0506725229087,150.17901457459055,50.80224593902277,5
blank,0.0,Blank,1,463.9763592150571,138.57868883232132,74.20177604466728,5
blank,0.0,Blank,1,467.9020459072053,139.73462289075854,104.1735458414806,5
blank,0.0,Blank,1,471.82773259935357,22.24405267835752,70.20794479432105,5
blank,0.0,Blank,1,475.7534192915019,136.9807235626015,84.01903436977986,5
blank,0.0,Blank,1,479.6791059836502,235.94185197083908,124.53580956829812,5
blank,0.0,Blank,1,483.60479267579854,278.10780440272003,131.73384211662705,5
blank,0.0,Blank,1,487.5304793679468,319.17043483268503,152.77053697688652,5
blank,0.0,Blank,1,491.45616606009503,275.8009215483136,96.57612783342408,5
blank,0.0,Blank,1,495.3818527522434,254.37561114000874,69.5042126664088,5
blank,0.0,Blank,1,499.30753944439164,254.90723420505566,70.82814098932978,5
blank,0.0,Blank,1,503.2332261365399,320.76282203242073,133.1226715581367,5
blank,0.0,Blank,1,507.15891282868824,369.8296348227513,195.5407480419311,5
blank,0.0,Blank,1,511.0845995208365,265.206247963407,117.37480274885365,5
blank,0.0,Blank,1,515.0102862129849,151.1951528402123,31.81378183175952,5
blank,0.0,Blank,1,518.9359729051331,202.14547369996984,94.28759585143963,5
blank,0.0,Blank,1,522.8616595972813,207.4144849988942,116.95362493823102,5
blank,0.0,Blank,1,526.7873462894297,209.11261416602528,127.61153713007174,5
blank,0.0,Blank,1,530.713032981578,176.7659455898952,111.09722868376755,5
blank,0.0,Blank,1,534.6387196737262,60.94768311064833,65.15409166191225,5
blank,0.0,Blank,1,538.5644063658746,98.29048900240426,61.676674330488645,5
blank,0.0,Blank,1,542.4900930580228,209.35108114110318,138.87212813830186,5
blank,0.0,Blank,1,546.415779750171,155.36796706910525,62.001948435675594,5
blank,0.0,Blank,1,550.3414664423194,214.8610313971185,86.15000863328953,5
blank,0.0,Blank,1,554.2671531344677,438.2914388073742,299.9834386898513,5
blank,0.0,Blank,1,558.192839826616,260.03386876596267,105.21412765815965,5
blank,0.0,Blank,1,562.1185265187643,114.18071443569458,52.181653136204865,5
blank,0.0,Blank,1,566.0442132109125,297.86752863410146,115.11819947137778,5
blank,0.0,Blank,1,569.9698999030609,429.35607854535266,229.26036622566636,5
blank,0.0,Blank,1,573.8955865952091,317.26985285408637,138.5847309912317,5
blank,0.0,Blank,1,577.8212732873574,178.62900552699733,53.57089322994084,5
blank,0.0,Blank,1,581.7469599795057,282.4730732822352,122.66583683105517,5
blank,0.0,Blank,1,585.672646671654,306.45287294742855,140.93290774965516,5
blank,0.0,Blank,1,589.5983333638023,241.6385196381021,100.39601987218177,5
blank,0.0,Blank,1,593.5240200559506,177.8302678105229,53.024898756542804,5
blank,0.0,Blank,1,597.4497067480988,227.15000142068106,94.17881317123759,5
blank,0.0,Blank,1,601.3753934402472,322.76370815565105,191.55544537804525,5
blank,0.0,Blank,1,605.3010801323954,205.61161928129627,77.36100163801277,5
blank,0.0,Blank,1,609.2267668245437,143.4899632674674,49.908761616468645,5
blank,0.0,Blank,1,613.152453516692,139.4692259421235,57.90009178519209,5
blank,0.0,Blank,1,617.0781402088403,206.29392240720125,97.657347787243,5
blank,0.0,Blank,1,621.0038269009887,266.8125485025145,146.3594578015255,5
blank,0.0,Blank,1,624.9295135931369,216.56250840174866,77.37805998652168,5
blank,0.0,Blank,1,628.8552002852852,359.2724294427825,172.78485944725577,5
blank,0.0,Blank,1,632.7808869774335,453.9123019972329,236.9691167226372,5
blank,0.0,Blank,1,636.7065736695818,335.0426545284161,130.88774324115937,5
blank,0.0,Blank,1,640.63226036173,218.83723420964384,52.98209795097981,5
blank,0.0,Blank,1,644.5579470538784,209.54868066536332,80.26476281567126,5
blank,0.0,Blank,1,648.4836337460266,178.52021147393953,72.81561423021957,5
blank,0.0,Blank,1,652.409320438175,147.8909621948435,74.51228704140146,5
blank,0.0,Blank,1,656.3350071303232,178.67881234445312,124.80250781385632,5
blank,0.0,Blank,1,660.2606938224715,67.55737819800345,64.244777304613,5
blank,0.0,Blank,1,664.1863805146198,23.987713530799926,73.2887575376955,5
blank,0.0,Blank,1,668.1120672067681,96.82292264054149,65.43744717016729,5
blank,0.0,Blank,1,672.0377538989163,140.06489752797347,71.6343699788821,5
blank,0.0,Blank,1,675.9634405910647,217.02361172612737,116.45041362223516,5
blank,0.0,Blank,1,679.8891272832129,213.20084694706543,88.47205382459259,5
blank,0.0,Blank,1,683.8148139753612,166.09922172846285,26.29190770328816,5
blank,0.0,Blank,1,687.7405006675095,208.95877087309296,64.91946960106061,5
