Raman shift (cm-1),RM_AS,RM_HS_V1,RM_HS_V2,RM_HS_V3
2260.823624,166.343775,160.4575348,73.89721336,90.34589
2260.02195,156.3337223,151.1096152,69.92646265,85.57783
2259.220144,146.9575717,142.3525375,66.18998959,81.03417
2258.418206,138.215323,134.1863017,62.68779417,76.71491
2257.616136,130.1069763,126.6109078,59.41987639,72.62005
2256.813934,122.6325316,119.6263559,56.38623626,68.74959
2256.011599,115.791989,113.2326459,53.58687378,65.10353
2255.209132,109.5853483,107.4297778,51.02178894,61.68187
2254.406533,104.0126096,102.2177516,48.69098174,58.4846
2253.603801,99.07377294,97.59656738,46.59445219,55.51174
2252.800937,94.76883827,93.56622506,44.73220029,52.76327
2251.997941,91.0978056,90.12672467,43.10422603,50.2392
2251.194812,88.06067493,87.27806621,41.71052942,47.93954
2250.391551,71.95077753,75.47968671,36.24981804,41.44298
2249.588157,61.16651037,67.36681262,32.23325203,32.74887
2248.784631,55.93492019,60.66450768,28.48348842,27.32787
2247.980972,56.36510993,56.91996576,26.18522043,23.62595
2247.177181,61.52963153,56.65214772,25.03101922,19.63821
2246.373257,65.0443602,57.83989733,23.75898359,22.97245
2245.5692,68.68825519,61.44945199,24.41063994,29.72518
2244.765011,75.83474426,69.95501116,28.75076868,37.94941
2243.960689,88.21877635,83.38222835,35.68593317,45.18715
2243.156234,99.08579843,95.26616611,43.70325861,46.96476
2242.351647,108.8490668,102.9796035,50.33684416,48.50779
2241.546927,122.0906272,107.2739787,53.58717356,49.30231
2240.742074,127.4207277,107.0248667,55.44123592,48.48417
2239.937089,131.642727,107.9924905,58.51570708,51.23704
2239.13197,135.8453982,110.5725344,61.42433927,56.00922
2238.326719,136.174037,109.3606259,61.16268703,57.36103
2237.521335,130.9658802,101.3785343,57.17625451,52.51646
2236.715818,117.484676,89.07957179,52.17209689,42.96087
2235.910167,111.3206994,80.03142441,49.72210448,36.32563
2235.104384,108.503088,74.82158256,50.05390186,35.19956
2234.298468,110.5019041,74.77338235,50.6021213,36.94895
2233.492419,118.7956398,80.13859455,50.52465733,43.9041
2232.686237,118.4653087,84.80637219,50.22017644,50.34884
2231.879922,114.789514,84.958919,48.49133572,52.53333
2231.073473,105.7546543,77.94023016,43.37572923,49.15538
2230.266892,94.34537272,66.51803959,35.45095759,40.46458
2229.460177,86.10208257,56.93244521,29.09200252,39.91715
2228.653329,78.44365821,51.81497217,27.2729483,42.25381
2227.846348,77.09708055,50.96583427,28.36657449,44.21861
2227.039234,73.67428987,51.91880838,31.06315739,51.30408
2226.231986,72.26269457,56.45840393,36.2655415,56.43371
2225.424606,84.84459944,67.67787196,43.7862074,64.28451
2224.617091,97.21520147,78.3696538,51.02796574,72.79383
2223.809444,102.7589667,83.8544538,55.04289731,75.37124
2223.001663,106.1736773,86.25408399,56.17012603,76.95091
2222.193748,107.4619058,87.53007503,57.16718603,76.26654
2221.3857,110.1062779,90.48100889,59.51646709,74.59844
2220.577519,110.3824135,92.46231876,63.84531542,76.35401
2219.769204,110.5552989,92.94761322,69.16688492,77.45569
2218.960756,111.2691709,90.14287517,71.44940921,74.82556
2218.152174,104.9581961,82.06664533,68.84575503,69.32978
2217.343459,101.4090991,75.33972114,65.15416316,64.91751
2216.534609,99.97953374,71.32197639,63.70266616,64.99372
2215.725627,95.33070029,67.91266356,62.14058988,65.46286
2214.91651,90.94144007,64.90562166,57.76507756,62.79072
2214.10726,85.23762618,60.86528353,52.77513638,58.28373
2213.297876,81.05650908,54.60808192,48.82969809,52.44025
2212.488359,76.94010765,44.33951297,43.19466545,43.53266
2211.678707,65.63635136,29.30191419,34.64319933,32.74003
2210.868922,55.10046676,17.18732281,27.62807963,25.29018
2210.059003,52.62072824,14.51956129,26.49746344,25.68555
2209.24895,54.0563187,18.90496007,29.23088914,29.5935
2208.438764,56.58707906,27.51160712,32.92348854,33.13745
2207.628443,56.14684424,35.86773573,38.03973869,35.82223
2206.817988,62.08750522,44.32800035,42.47331261,38.28923
2206.0074,69.95799068,51.73547194,42.39361351,42.52111
2205.196677,66.20853166,52.80091378,38.37465224,41.46458
2204.385821,63.60104554,54.62766556,35.12784323,39.28496
2203.57483,67.2976526,62.26648398,37.53062646,44.11709
2202.763705,77.41896969,73.29628723,44.90187535,50.03741
2201.952446,84.74947419,81.71793348,51.50169608,53.8641
2201.141053,85.3481677,84.43447952,54.0950603,58.26036
2200.329526,88.55338538,84.75788557,52.90094695,62.08132
