Raman_shift_cm-1,Benchtop AS,Portable AS,Benchtop V1,Portable V1,Benchtop V2,Portable V2,Benchtop V3,Portable V3
352,0.02523,0.17477,0.0034,0.10967,0.04803,0.05672,0.0187,0.04088
353,0.0213,0.17697,0.00412,0.11131,0.04269,0.06398,0.01871,0.04568
354,0.01776,0.17916,0.00487,0.11296,0.03778,0.07124,0.01873,0.05048
355,0.01464,0.18136,0.00565,0.1146,0.03335,0.07851,0.01879,0.05528
356,0.01189,0.18356,0.00648,0.11625,0.02934,0.08577,0.01887,0.06007
357,0.00951,0.18543,0.00734,0.11754,0.02575,0.09307,0.01898,0.065
358,0.00751,0.18433,0.00823,0.11556,0.02259,0.10078,0.01911,0.07108
359,0.00589,0.18323,0.00916,0.11358,0.01985,0.10849,0.01926,0.07715
360,0.00468,0.18213,0.01012,0.1116,0.01745,0.1162,0.01943,0.08323
361,0.00398,0.18103,0.0111,0.10962,0.01544,0.1239,0.01966,0.08931
362,0.00377,0.17999,0.01223,0.10765,0.0145,0.13162,0.02018,0.09539
363,0.0043,0.1832,0.01352,0.10657,0.01467,0.14016,0.02094,0.1018
364,0.00388,0.1864,0.01475,0.1055,0.01442,0.14869,0.02107,0.1082
365,0.0022,0.18961,0.01549,0.10442,0.01282,0.15722,0.01997,0.11461
366,6.38E-04,0.19282,0.01573,0.10334,0.01009,0.16576,0.01811,0.12101
367,0,0.19602,0.01595,0.10227,0.00713,0.17429,0.01653,0.12742
368,0,0.21049,0.01657,0.10073,0.00502,0.18576,0.01571,0.13855
369,3.96E-04,0.22568,0.01775,0.09916,0.00457,0.19743,0.01535,0.14999
370,0.00257,0.24087,0.01948,0.09759,0.00617,0.20909,0.01528,0.16143
371,0.00914,0.25607,0.02205,0.09602,0.00983,0.22075,0.01635,0.17287
372,0.01992,0.27126,0.02577,0.09445,0.01606,0.23241,0.01933,0.18431
373,0.03405,0.30104,0.03069,0.09245,0.02536,0.23218,0.0238,0.18688
374,0.05107,0.33297,0.03655,0.09039,0.03639,0.2302,0.02902,0.18814
375,0.06921,0.3649,0.04272,0.08833,0.04702,0.22822,0.03435,0.18941
376,0.08718,0.39683,0.04857,0.08627,0.0556,0.22624,0.03916,0.19067
377,0.10447,0.42875,0.05364,0.08421,0.0616,0.22426,0.043,0.19194
378,0.12106,0.4651,0.05791,0.08229,0.0656,0.2156,0.046,0.18599
379,0.13724,0.50246,0.06183,0.0804,0.06876,0.20541,0.04877,0.17837
380,0.15297,0.53983,0.06551,0.07851,0.07216,0.19521,0.05092,0.17076
381,0.1674,0.5772,0.06864,0.07662,0.07563,0.18501,0.05267,0.16314
382,0.18069,0.61456,0.0713,0.07473,0.07829,0.17481,0.05481,0.15552
383,0.19158,0.64276,0.07332,0.0729,0.07986,0.16657,0.0567,0.15092
384,0.19899,0.66806,0.07464,0.07109,0.08038,0.15896,0.05757,0.14727
385,0.20252,0.69337,0.07499,0.06928,0.07968,0.15134,0.05689,0.14361
386,0.20154,0.71867,0.07387,0.06747,0.07739,0.14372,0.05449,0.13996
387,0.19478,0.74397,0.07072,0.06566,0.07314,0.1361,0.05035,0.13631
388,0.18189,0.75758,0.06526,0.06544,0.06701,0.12765,0.04412,0.12518
389,0.16367,0.76654,0.05746,0.06585,0.05932,0.11886,0.03562,0.11108
