Raman shift (cm-1),RP_AS,RP_HS_V2,RP_HS_V3,RP_HS_V4
341.6070517,-49.93544009,-28.10030667,-18.47430933,1.81792
346.7134786,39.79804265,46.30704,23.63709354,13.6228
351.8120798,125.5572788,98.91635333,6.861457959,29.69288
356.9028684,155.4721994,118.26998,35.18156471,1.44659
361.9858576,124.6371888,75.49715667,50.66916837,61.70876
367.0610602,137.646859,68.74838333,56.86404118,11.59438
372.1284892,194.6101202,68.52092667,101.1786947,93.13658
377.1881577,279.4801795,73.29147,104.5815062,84.66979
382.2400784,529.4065453,95.18456333,107.9984704,82.25044
387.2842644,800.1842846,46.29546,68.1467102,82.86187
392.3207284,892.5467219,18.58559,-37.25529433,-37.64617
397.3494833,697.3269406,35.40423667,-4.794992958,8.47189
402.370542,443.4990417,88.44699333,68.76721558,27.19766
407.3839172,343.3406668,120.6729967,28.16015613,-13.45274
412.3896217,228.6276551,98.88363,10.96920429,17.85058
417.3876683,129.8554086,83.56481,19.19245638,37.14725
422.3780697,65.92886262,72.66118333,41.75948304,22.88251
427.3608386,58.13775367,84.14797333,101.0271551,71.64878
432.3359876,107.8111097,78.93359667,131.5866851,119.93815
437.3035295,74.16810524,80.05579667,150.3794062,165.7558
442.2634769,11.59510819,71.04773333,115.1749856,133.83425
447.2158423,26.09804157,29.95613333,61.84452683,55.24152
452.1606383,52.88734643,21.04525333,35.461167,71.25741
457.0978776,8.852183574,29.76285667,-24.0426243,-42.36231
462.0275727,-12.51194276,35.91269,1.765160739,-10.57661
466.9497361,36.1133584,126.4004167,93.23124409,108.329
471.8643802,46.8960033,114.59514,129.2603954,145.09935
476.7715176,75.02630951,124.61619,143.7044232,156.91739
481.6711608,170.3922044,204.7014333,131.0988777,103.88105
486.5633221,236.8567141,278.2033,95.08056656,89.7646
491.448014,232.3925035,232.3688133,65.13069816,50.45084
496.3252488,157.2414545,172.5487933,75.59928931,27.50191
501.195039,99.79761944,115.65152,120.9970865,86.32243
506.0573969,104.6928593,104.0980633,120.0679827,62.89537
510.9123349,59.90518557,104.0310333,45.83305767,40.47689
515.7598651,41.34419067,50.40422,-22.50634341,-61.18971
520.6,51.48769796,53.80741667,-9.621914959,5.17095
