Name,AAB_Blank_750_5_5_H.csv,,,,,,,,,,,,,,
Date,25/07/2024 14:57,,,,,,,,,,,,,,
Tag,AAB_Blank_750_5_5_H,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,
Peak raman shift[cm-1],367.0610602,,,,,,,,,,,,,,
Integration[ms],750,,,,,,,,,,,,,,
Averaging,5,,,,,,,,,,,,,,
Measure data Count,5,,,,,,,,,,,,,,
Source wave length,784.7220408,,,,,,,,,,,,,,
Calibrate value 0,778.657113,,,,,,,,,,,,,,
Calibrate value 1,0.351105861,,,,,,,,,,,,,,
Calibrate value 2,-0.000114612,,,,,,,,,,,,,,
Calibrate value 3,-1.40E-08,,,,,,,,,,,,,,
Calibrate value 4,-6.35E-12,,,,,,,,,,,,,,
Calibrate value 5,6.469782684E-14,,,,,,,,,,,,,,
Sensor pixel num,512,,,,,,,,,,,,,,
Count monitor raman shift,0,,,,,,,,,,,,,,
Count monitor value,0,,,,,,,,,,,,,,
Dark name,,,,,,,,,,,,,,,
Ramanshift[cm-1],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-93.47115107,9039.8,9167,9123,9122.4,9094.4,9602,9610.8,9594.2,9608.6,9622.6,9889.6,9962.6,9979,10015.4,9995.2
-87.69374369,8266.4,8259.4,8301.4,8310.6,8277.4,8755.8,8726,8733.2,8736.6,8686,9020.4,9088.6,9016.8,9005.2,9059.8
-81.9253076,8112.6,8185.4,8193.6,8276.2,8233,8644.8,8720.2,8693.2,8640.4,8679.8,8954.2,8965.4,8941.8,8932.4,8956.6
-76.16582701,8270.6,8234.2,8280.6,8311.4,8286.2,8679.2,8703.8,8717,8726.8,8707.4,8947.2,8945,9007.4,8976,8980.2
-70.41528615,8205.8,8205.6,8219.6,8234.4,8270.8,8662.8,8649,8653,8649.8,8654.6,9018.8,8861.2,8902.2,8997.8,9036.4
-64.67366933,8122.2,8154,8080.2,8094.6,8184.8,8557.6,8497.4,8524,8538.6,8557.6,8818.6,8713.4,8792.2,8861.6,8916.2
-58.94096086,8121.2,8126.8,8151.4,8144.8,8189.6,8537,8538.4,8524.6,8512.2,8495.4,8840.2,8802.4,8819.6,8795.2,8736.4
-53.21714512,8245.8,8246.8,8302.6,8306.8,8241.4,8719.4,8734.6,8703.8,8737.4,8693.4,8976.8,8956.8,9030.8,9014,9065.8
-47.50220652,8371.4,8425.6,8399.2,8396,8423,8797.6,8750.8,8793.2,8803,8867,9148.8,9075.6,9107.6,9123.2,9167.4
-41.79612954,8191,8211.8,8257,8239.2,8308.6,8683.4,8700.4,8669.8,8695.2,8663.2,8983.2,8962.8,9029,9056.6,9026.6
-36.09889866,8611,8607.4,8653.6,8630.8,8727,9003.6,9066.4,9068.6,9067.4,9118.4,9323.4,9436.2,9391.2,9412.8,9442.6
-30.41049843,8753.4,8756.4,8718.4,8774,8692.6,9095.2,9117.2,9182.2,9135.2,9168.2,9425,9487.8,9498.8,9469.6,9497
-24.73091343,8437.6,8395,8490.8,8478,8444.4,8915.4,8921.2,8907.8,8906.8,8830.4,9178.4,9164.4,9194.8,9223.8,9213.2
-19.0601283,8513.6,8528,8558.8,8425.6,8556.8,8907.6,8941,8913,8924,8966.8,9242.2,9232,9236.2,9225.2,9297
-13.39812769,8245,8399.8,8318.8,8423.6,8313.4,8736,8718.8,8770.6,8753,8807.4,9035.8,9003.2,9096.8,9129.6,9084.2
