Name,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv
Date,2024/09/24 10:43:39
Tag,AAB_4 ATP_10^-10M_750_5_5_M_S3
Comment,
Peak raman shift[cm-1],392.72009845721
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.0717810017486,14493.2,14360.8,14308.8,14375.6,14434
-87.2943736183952,13052.8,12983.6,12989.8,13065.2,13046.2
-81.525937530123,12864,12887,12939,12814,12758.8
-75.7664569369681,13048,12962.8,13026.6,12958.8,12871
-70.0159160827698,13010,13028,12973.2,13013.4,13051
-64.2742992549156,12642,12733.4,12750,12727.4,12724.8
-58.541590784067,12619,12660.4,12679.6,12713.6,12721.8
-52.8177750439099,12964.4,12907.2,12902.8,12952.8,12890.2
-47.1028364508675,13038.4,13112.2,12981,13094.6,13180.4
-41.3967594638525,13081.8,13052.6,13038.6,13038.2,13146.6
-35.6995285840112,13604.2,13623.6,13597.6,13542.8,13550.2
-30.0111283544538,13620.2,13635.2,13660.6,13613.4,13624.8
-24.3315433599946,13213.8,13172,13242,13363.6,13204.8
-18.6607582269062,13265.2,13336.6,13386.2,13312.6,13247
-12.9987576226504,13032.4,13015.8,13045.4,13070,13150.8
-7.34552625563083,12910,12866,12833.6,12785.8,12856.4
-1.70104887494199,12615.2,12628.8,12610.4,12685.8,12767
3.93468972989649,13295.8,13228.8,13354.2,13319.2,13282.4
9.56170472916892,12660.4,12693.4,12678,12642.2,12696.6
15.1800112532474,13023.2,12977.8,13061.2,13079.6,13019
20.7896243928062,12646.8,12638.6,12674.8,12640.2,12723.6
26.3905591990933,12672.8,12679,12745.4,12751.4,12822.4
31.9828306841591,13243.8,13226,13236.2,13249.6,13250.8
37.5664538211258,12966.2,13010.2,13020.2,13028.6,12989.2
43.1414435444076,12596,12573.4,12594.6,12644.6,12616.6
48.7078147499742,12648.4,12716.8,12761,12744.2,12681.2
54.2655822955694,12598.6,12577.8,12549.8,12547.4,12590
59.814761000991,12172.8,12231.6,12250.4,12266.8,12206
65.3553656482818,12120.4,12279.8,12166.4,12266.8,12151
70.8874109820135,12565.6,12682.4,12489,12587.6,12709
76.4109117094977,12644.2,12787,12610,12759.6,12766.2
81.9258825010347,12070.8,12095.6,12102.6,11976.4,12043.4
87.4323379901416,12615,12672.4,12630.2,12733.6,12622.8
92.9302927737936,12988,12954.2,12938.2,12886.4,12988.6
98.419761412657,12369,12219.2,12240.4,12202.6,12237.8
103.900758431322,12554.4,12598.2,12537,12535.2,12514.8
109.373298318533,12380.2,12318.2,12451,12410.6,12324.8
114.837395527415,12463.8,12507,12357,12454.8,12428
120.293064475716,12623.6,12635,12555.2,12626.4,12574.6
