Name,BC_4 ATP_10^-3M_750_5_5_M_S3.csv
Date,2024/09/24 10:24:12
Tag,BC_4 ATP_10^-3M_750_5_5_M_S3
Comment,
Peak raman shift[cm-1],442.662846924002
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.0717810017486,14242.6,14294.4,14286.2,14319.8,14241
-87.2943736183952,12952,12879.6,12957.6,12908.8,12960.4
-81.525937530123,12810.2,12798.4,12681.2,12754.8,12775.2
-75.7664569369681,12907.4,12927,12938,12839.6,12792.6
-70.0159160827698,12904.4,12973,12941.8,12914.2,12889.6
-64.2742992549156,12640.4,12659.4,12608.8,12644.6,12675.2
-58.541590784067,12685.8,12661.4,12613.8,12685.8,12658.2
-52.8177750439099,12848.2,12794,12811.6,12777.8,12804.6
-47.1028364508675,12945.8,12899.2,13075,12989.8,12882.6
-41.3967594638525,13013.6,12900.4,12995.8,13012.4,13001.6
-35.6995285840112,13495.4,13434.8,13439,13488.2,13538.6
-30.0111283544538,13470.8,13407.6,13568.2,13510.4,13655.4
-24.3315433599946,13071.4,13220,13078,13188.4,13172.4
-18.6607582269062,13162.6,13139.8,13188.2,13224,13218
-12.9987576226504,12940.2,13002,12905.8,13013.2,12981.6
-7.34552625563083,12759.6,12657,12681,12709.8,12702.2
-1.70104887494199,12581.6,12585.2,12603.4,12504,12561.8
3.93468972989649,13229,13254,13221.8,13220.8,13251.8
9.56170472916892,12603.2,12601.2,12578,12622.2,12515.8
15.1800112532474,12957.6,12867.8,13000.2,12885.4,12906.8
20.7896243928062,12522.8,12559.2,12605,12558,12620.8
26.3905591990933,12585.2,12694.6,12648,12614.4,12628
31.9828306841591,13133.6,13243.4,13138.2,13162.6,13123.8
37.5664538211258,12914,12953.6,12999,12866,12947.6
43.1414435444076,12562.2,12551.2,12597,12525.4,12573
48.7078147499742,12599,12603.2,12611.2,12607.6,12543.6
54.2655822955694,12548.2,12417.4,12477.6,12442.6,12433.8
59.814761000991,12174.6,12156.8,12139.2,12079,12135.2
65.3553656482818,12135.2,12182.8,12108.6,12155.8,12195.8
70.8874109820135,12538.8,12535.6,12543.2,12546.8,12651.2
76.4109117094977,12606.2,12655.4,12620.4,12679,12540.8
81.9258825010347,12081.2,11922.8,12081.8,11988,11978.8
87.4323379901416,12476.2,12516,12606.2,12517.8,12508
92.9302927737936,12826.8,12803,12957.6,12856.8,12934
98.419761412657,12229,12095.4,12103.4,12141.2,12116.4
103.900758431322,12473,12443.4,12426.2,12507.8,12492.2
109.373298318533,12303,12341.4,12393,12292,12253.6
114.837395527415,12321.8,12303.2,12329.4,12279.2,12338.8
120.293064475716,12530.6,12572,12495.2,12489,12482.2
125.740319546025,13501.4,13453.6,13482.2,13369,13407.4
131.179175085999,12204.2,12127.6,12240,12239.2,12218.6
136.609645408595,11988,11953.8,11974.6,12008.4,11974.2
142.031744792304,12009.6,11959.2,12118.8,12027.8,12057
147.445487481351,12583.8,12668.2,12628.8,12700.8,12682.6
152.850887685943,12190.6,12254.2,12223,12226,12257.8
158.247959582481,12204,12278.2,12210.6,12209.4,12251.6
163.636717313779,12105.8,12113.6,12109.2,12074.2,12124.8
169.017174989298,12482.8,12381.2,12315.8,12446.8,12306.4
174.389346685342,12721.8,12730.6,12675,12702,12741
179.753246445305,12260.4,12153.2,12168,12169,12244.6
185.10888827987,12232.4,12295.6,12238.6,12330,12269
190.456286167238,12517,12501.6,12533.2,12445.6,12556.8
195.795454053326,12796.8,12674.2,12675.6,12677.8,12706.8
201.126405852005,12162.4,12061,12000.6,12034,12113.2
206.449155445292,12187.8,12152.8,12283.4,12212.6,12223.4
211.763716683583,11900.2,11802,11919.2,11870,11825.4
217.070103385846,12230.8,12263.8,12237.4,12309,12210.2
222.368329339855,11783.6,11970.2,11861.8,11871.4,11876.8
227.658408302384,12065,12120.4,12010.2,12047.2,11981.6
232.940353999415,12026.8,11994.4,11997.2,12035,11988.2
238.214180126355,11971.6,11997.8,11896.2,11930.4,11842
243.479900348242,11997.8,12019.2,11927.6,11957.6,11976.8
248.737528299953,12067.8,12039.8,12171.4,12116.6,12026.4
253.987077586402,11869.8,11852.4,11856.8,11876.6,11826.2
259.228561782755,12015,12018,12033.4,12000.8,11947.4
