#Wave,#Intensity2
2261.421893,6848
2260.62022,6925
2259.818414,6913
2259.016476,6949
2258.214406,6954
2257.412203,6919
2256.609868,6922
2255.807401,6936
2255.004802,6935
2254.202071,6923
2253.399207,6733
2252.59621,6876
2251.793081,6863
2250.98982,6844
2250.186426,6774
2249.3829,6870
2248.579241,6891
2247.77545,6921
2246.971526,6971
2246.167469,6939
2245.36328,6976
2244.558958,6881
2243.754504,6806
2242.949917,6863
2242.145197,9048
2241.340344,8522
2240.535358,7001
2239.73024,6890
2238.924988,6954
2238.119604,6897
2237.314087,6866
2236.508437,6871
2235.702654,7020
2234.896738,6942
2234.090689,6929
2233.284506,6929
2232.478191,6778
2231.671743,6811
2230.865161,6928
2230.058447,6867
2229.251599,6927
2228.444618,6950
2227.637504,6998
2226.830256,6828
2226.022875,6865
2225.215361,6897
2224.407713,6895
2223.599932,6856
2222.792018,6936
2221.98397,6992
2221.175789,6955
2220.367474,6847
2219.559025,6944
2218.750443,6962
2217.941728,6997
2217.132879,6984
2216.323896,6980
2215.51478,7003
2214.70553,6955
2213.896146,6934
2213.086628,6952
2212.276977,7020
2211.467192,6993
2210.657273,7061
2209.84722,6995
2209.037033,6902
2208.226712,6892
2207.416258,6901
2206.605669,7091
2205.794947,7048
2204.98409,6928
2204.173099,6985
2203.361975,7027
2202.550716,6996
2201.739323,7060
2200.927795,7024
2200.116134,6932
2199.304338,7073
2198.492409,7103
2197.680344,6959
2196.868146,7040
2196.055813,6997
2195.243346,7027
2194.430744,6998
2193.618009,7045
2192.805138,6991
2191.992133,7085
2191.178994,7013
2190.36572,7047
2189.552311,7076
2188.738768,7016
2187.925091,7042
2187.111278,6966
2186.297331,6984
2185.483249,7061
2184.669033,7013
2183.854682,6977
2183.040196,7030
2182.225575,7104
2181.410819,6976
2180.595929,7030
2179.780903,6924
2178.965743,6916
2178.150448,7034
2177.335017,6977
2176.519452,7053
2175.703752,6958
2174.887916,7042
2174.071946,6965
2173.25584,6977
2172.439599,6962
2171.623223,6973
2170.806712,6983
2169.990066,6995
2169.173284,7075
2168.356367,6951
2167.539315,6992
2166.722127,6918
2165.904804,6995
2165.087345,6953
2164.269752,7084
2163.452022,7021
2162.634157,7067
2161.816157,7019
2160.998021,7004
2160.17975,6934
2159.361342,7042
2158.5428,7155
2157.724121,7126
2156.905307,6903
2156.086357,6999
2155.267272,6938
2154.44805,7075
2153.628693,7005
2152.8092,7038
2151.989571,7133
2151.169807,7053
2150.349906,7093
2149.529869,6955
2148.709697,7077
2147.889388,7046
2147.068944,7051
2146.248363,7059
2145.427646,7148
2144.606793,7052
2143.785804,7098
2142.964679,6986
2142.143418,7040
2141.32202,7053
2140.500486,7051
2139.678816,7027
2138.857009,7040
2138.035066,6970
2137.212987,7045
2136.390772,7072
