#Wave,#Intensity
2263.03847140215,8216
2262.23679773216,8267
2261.43499191311,8447
2260.63305391764,8312
2259.83098371835,8348
2259.02878128783,8283
2258.22644659868,8306
2257.42397962349,8297
2256.62138033482,8361
2255.81864870524,8401
2255.01578470732,8223
2254.21278831361,8286
2253.40965949664,8331
2252.60639822895,8279
2251.80300448308,8242
2250.99947823153,8248
2250.19581944682,8332
2249.39202810146,8444
2248.58810416793,8432
2247.78404761873,8282
2246.97985842633,8297
2246.17553656321,8282
2245.37108200182,8388
2244.56649471462,8428
2243.76177467406,8574
2242.95692185257,8418
2242.15193622259,8467
2241.34681775654,8380
2240.54156642683,8284
2239.73618220586,8324
2238.93066506604,8473
2238.12501497976,8483
2237.31923191939,8471
2236.51331585732,8519
2235.7072667659,8341
2234.9010846175,8522
2234.09476938445,8520
2233.28832103911,8454
2232.48173955381,8495
2231.67502490087,8550
2230.86817705261,8615
2230.06119598133,8540
2229.25408165934,8481
2228.44683405894,8448
2227.63945315239,8616
2226.83193891199,8607
2226.02429130999,8674
2225.21651031867,8547
2224.40859591025,8722
2223.60054805701,8741
2222.79236673116,8702
2221.98405190494,8642
2221.17560355057,8726
2220.36702164025,8603
2219.55830614619,8638
2218.74945704058,8741
2217.94047429561,8700
2217.13135788346,8766
2216.3221077763,8696
2215.51272394629,8785
2214.70320636558,8770
2213.89355500632,8785
2213.08376984064,8866
2212.27385084068,8720
2211.46379797856,8736
2210.65361122638,8693
2209.84329055626,8885
2209.03283594029,8810
2208.22224735056,8902
2207.41152475914,8753
2206.60066813812,8797
2205.78967745954,8693
2204.97855269548,8932
2204.16729381797,8788
2203.35590079906,8933
2202.54437361076,8937
2201.73271222512,8840
2200.92091661414,8867
2200.10898674983,8835
2199.29692260418,8826
2198.48472414918,8867
2197.67239135682,8883
2196.85992419907,8857
2196.0473226479,8985
2195.23458667525,8943
2194.42171625308,8922
2193.60871135333,8856
2192.79557194793,8813
2191.9822980088,8820
2191.16888950785,8788
2190.35534641701,8780
2189.54166870816,8963
2188.72785635319,8785
2187.91390932398,8713
2187.09982759242,8758
2186.28561113036,8789
2185.47125990967,8833
2184.65677390218,8708
2183.84215307975,8686
2183.0273974142,8721
2182.21250687736,8783
2181.39748144104,8731
2180.58232107706,8715
2179.7670257572,8765
2178.95159545327,8727
2178.13603013704,8682
2177.32032978029,8799
2176.50449435478,8654
2175.68852383227,8613
2174.87241818451,8731
2174.05617738325,8726
2173.2398014002,8732
2172.42329020711,8667
2171.60664377568,8715
2170.78986207762,8664
2169.97294508463,8689
2169.1558927684,8686.75130434932
2168.33870510061,8684.50223618339
2167.52138205295,8682.25279542423
2166.70392359706,8680.00298199388
2165.88632970462,8677.75279581431
2165.06860034727,8675.50223680752
2164.25073549664,8673.25130489544
2163.43273512438,8671
2162.61459920211,8678
2161.79632770144,8807
2160.97792059397,8683
2160.15937785132,8667
2159.34069944507,8710
2158.52188534679,8700
2157.70293552807,8640
2156.88384996047,8670
2156.06462861554,8844
2155.24527146484,8855
2154.42577847991,8771
2153.60614963227,8789
2152.78638489345,8747
2151.96648423496,8757
2151.14644762832,8786
2150.32627504501,8743
2149.50596645653,8787
2148.68552183436,8848
2147.86494114998,8687
2147.04422437484,8693
2146.2233714804,8654
2145.40238243812,8600
2144.58125721942,8683
2143.75999579574,8685
2142.9385981385,8836
2142.11706421911,8700
2141.29539400899,8788
2140.47358747953,8647
2139.6516446021,8879
2138.82956534811,8806
2138.00734968891,8757
2137.18499759586,8847
2136.36250904034,8695
2135.53988399367,8731
2134.7171224272,8825
2133.89422431225,8688
2133.07118962016,8774
2132.24801832222,8762
2131.42471038974,8778
2130.60126579402,8669
2129.77768450634,8655
2128.95396649799,8680
2128.13011174023,8764
2127.30612020431,8840
2126.48199186151,8831
2125.65772668305,8816
2124.83332464018,8677
2124.00878570412,8839
2123.18410984609,8737
2122.3592970373,8786
2121.53434724895,8723
2120.70926045224,8770
2119.88403661834,8858
2119.05867571844,8864
2118.2331777237,8775
2117.40754260529,8765
2116.58177033434,8932
2115.75586088201,8755
2114.92981421942,8927
2114.1036303177,8994
2113.27730914797,8859
2112.45085068134,8861
2111.62425488889,8813
2110.79752174174,8770
2109.97065121094,8804
2109.14364326759,8779
2108.31649788274,8870
2107.48921502744,8797
2106.66179467276,8880
2105.83423678972,8842
2105.00654134936,8713
2104.17870832269,8866
2103.35073768073,8913
2102.52262939449,8929
2101.69438343496,8866
2100.86599977313,8857
2100.03747837998,8643
2099.20881922648,8928
2098.38002228358,8924
2097.55108752225,8910
2096.72201491342,8910
2095.89280442804,8994
2095.06345603702,8952
2094.23396971129,8941
2093.40434542176,8822
2092.57458313933,9051
2091.74468283489,8886
2090.91464447933,8993
2090.08446804351,8853
2089.25415349832,8886
2088.42370081459,8708
2087.59310996319,8827
2086.76238091496,8879
2085.93151364072,8967
2085.1005081113,9011
2084.26936429752,8823
2083.43808217018,8890
2082.60666170007,8833
2081.775102858,8840
2080.94340561473,8947
2080.11156994103,8966
2079.27959580768,8854
2078.44748318543,9003
2077.61523204501,8903
2076.78284235717,8944
2075.95031409264,8822
2075.11764722212,8825
2074.28484171635,8983
2073.451897546,8960
2072.61881468179,8991
2071.78559309439,8901
2070.95223275448,8947
2070.11873363272,8893
2069.28509569978,8978
2068.4513189263,8951
2067.61740328293,8903
2066.78334874029,8918
2065.94915526901,8934
2065.1148228397,9049
2064.28035142298,8876
2063.44574098943,8923
2062.61099150964,8943
2061.7761029542,8941
2060.94107529368,8977
2060.10590849863,8911
2059.27060253962,8878
2058.43515738718,8884
2057.59957301184,9057
2056.76384938415,8909
2055.92798647462,8915
2055.09198425375,8942
2054.25584269205,9059
2053.41956176,8985
2052.5831414281,8956
2051.74658166681,8757
2050.9098824466,8920
2050.07304373793,8990
2049.23606551125,8954
2048.39894773699,9014
2047.56169038558,8982
