#Wavelength,#Intensity
3091.563555,24414
3090.400468,24233
3089.237163,24265
3088.073641,24231
3086.909903,24058
3085.745947,24188
3084.581774,24304
3083.417385,24093
3082.252778,24306
3081.087953,24230
3079.922912,24379
3078.757653,24188
3077.592177,24493
3076.426483,24259
3075.260571,24074
3074.094443,24384
3072.928096,24328.76546
3071.761532,24273.52062
3070.59475,24218.26547
3069.427751,24163
3068.260533,24300
3067.093098,24098
3065.925444,24157
3064.757573,24207
3063.589484,24194
3062.421176,24347
3061.252651,24311
3060.083907,24345
3058.914945,24220
3057.745765,24254
3056.576366,24116
3055.406749,24173
3054.236914,24139
3053.066859,24469
3051.896587,24332
3050.726095,24384
3049.555385,24339
3048.384457,24342
3047.213309,24429
3046.041943,24312
3044.870358,24641
3043.698554,24500
3042.52653,24251
3041.354288,24405
3040.181827,24334
3039.009146,24467
3037.836246,24672
3036.663127,24532
3035.489789,24668
3034.316231,24402
3033.142454,24384
3031.968458,24401
3030.794241,24391
3029.619806,24631
3028.44515,24447
3027.270275,24326
3026.09518,24728
3024.919865,24532
3023.744331,24542
3022.568576,24515
3021.392602,24376
3020.216407,24674
3019.039993,24492
3017.863358,24672
3016.686503,24572
3015.509428,24499
3014.332133,24686
3013.154617,24466
3011.976881,24528
3010.798924,24379
3009.620747,24530
3008.442349,24610
3007.263731,24672
3006.084892,24441
3004.905832,24302
3003.726552,24476
3002.54705,24401
3001.367328,24608
3000.187385,24599
2999.007221,24587
2997.826835,24543
2996.646229,24441
2995.465401,24276
2994.284353,24614
2993.103083,24671
2991.921591,24562
2990.739879,24370
2989.557945,24708
2988.375789,24288
2987.193412,24303
2986.010813,24558
2984.827992,24636
2983.64495,24512
2982.461686,24515
2981.278201,24638
2980.094493,24400
2978.910564,24597
2977.726412,24452
2976.542038,24626
2975.357443,24386
2974.172625,24515
2972.987585,24443
2971.802323,24475
2970.616838,24436
2969.431131,24625
2968.245202,24507
2967.05905,24605
2965.872676,24565
2964.686079,24598
2963.49926,24470
2962.312217,24421
2961.124952,24500
2959.937465,24649
2958.749754,24371
2957.56182,24502
2956.373664,24466
2955.185284,24491
2953.996682,24400
2952.807856,24623
2951.618807,24547
2950.429535,24472
2949.240039,24504
2948.050321,24473
2946.860378,24635
2945.670213,24586
2944.479823,24478
2943.289211,24726
2942.098374,24522
2940.907314,24482
2939.71603,24713
2938.524523,24663
2937.332791,24742
2936.140836,24771
2934.948656,24739
2933.756253,24874
2932.563626,24662
2931.370774,24585
2930.177698,24824
2928.984398,24759
2927.790874,24568
2926.597126,24568
2925.403153,24648
2924.208955,24647
2923.014533,24644
2921.819887,24558
2920.625015,24863
2919.42992,24711
2918.234599,24481
2917.039054,24827
2915.843283,24824
2914.647288,24790
2913.451068,24909
2912.254623,24726
2911.057953,25041
2909.861058,24842
2908.663937,24752
2907.466592,24954
2906.269021,24892
2905.071224,24772
2903.873203,24693
2902.674955,24702
2901.476483,24747
2900.277784,24688
2899.07886,24892
2897.879711,24591
2896.680336,24840
2895.480734,24781
2894.280907,24708
2893.080855,24884
2891.880576,24698
