#Wave,#Intensity
2261.0646590772,17018
2260.2629854072,16977
2259.46117958816,17011
2258.65924159269,16908
2257.85717139339,16824
2257.05496896288,16993
2256.25263427373,16855
2255.45016729853,16761
2254.64756800986,16922
2253.84483638029,16941
2253.04197238237,17049
2252.23897598865,16985
2251.43584717168,16894
2250.632585904,16840
2249.82919215812,16952
2249.02566590657,17249
2248.22200712187,17209
2247.4182157765,17148
2246.61429184298,17218
2245.81023529377,17089
2245.00604610138,17138
2244.20172423825,17244
2243.39726967686,17322
2242.59268238966,17508
2241.7879623491,17376
2240.98310952761,17318
2240.17812389764,17198
2239.37300543158,17306
2238.56775410187,17378
2237.76236988091,17404
2236.95685274109,17507
2236.1512026548,17481
2235.34541959444,17432
2234.53950353237,17292
2233.73345444095,17335
2232.92727229254,17064
2232.1209570595,17339
2231.31450871416,17387
2230.50792722886,17253
2229.70121257591,17417
2228.89436472765,17441
2228.08738365638,17295
2227.28026933439,17256
2226.47302173398,17277
2225.66564082744,17291
2224.85812658703,17414
2224.05047898503,17455
2223.24269799371,17455
2222.4347835853,17308
2221.62673573206,17226
2220.81855440621,17393
2220.01023957999,17421
2219.20179122561,17511
2218.39320931529,17619
2217.58449382123,17650
2216.77564471563,17450
2215.96666197066,17767
2215.15754555851,17502
2214.34829545135,17454
2213.53891162133,17868
2212.72939404062,17800
2211.91974268136,17787
2211.10995751569,17742
2210.30003851573,17471
2209.4899856536,17759
2208.67979890143,17714
2207.86947823131,17796
2207.05902361533,17893
2206.2484350256,17584
2205.43771243419,17811
2204.62685581316,17685
2203.81586513459,17523
2203.00474037052,17542
2202.19348149302,17526
2201.3820884741,17851
2200.57056128581,17941
2199.75889990017,17771
2198.94710428919,17712
2198.13517442487,17753
2197.32311027922,17509
2196.51091182423,17858
2195.69857903187,18077
2194.88611187412,17831
2194.07351032294,17908
2193.26077435029,17941
2192.44790392813,17856
2191.63489902837,17802
2190.82175962297,17848
2190.00848568384,17967
2189.1950771829,18331
2188.38153409205,17956
2187.5678563832,17857
2186.75404402823,17747
2185.94009699903,17800
2185.12601526747,17975
2184.31179880541,18021
2183.49744758471,17994
2182.68296157723,18023
2181.86834075479,17846
2181.05358508925,17866
2180.23869455241,17657
2179.42366911609,18076
2178.6085087521,17814
2177.79321343225,18039
2176.97778312832,18179
2176.16221781209,18092
2175.34651745533,17948
2174.53068202982,17774
2173.71471150731,17817
2172.89860585956,18239
2172.08236505829,17980
2171.26598907525,18094
2170.44947788215,17977
2169.63283145072,17780
2168.81604975266,18028
2167.99913275967,17926
2167.18208044344,18142
2166.36489277566,17988
2165.54756972799,18235
2164.73011127211,18081
2163.91251737966,17963
2163.09478802231,17833
2162.27692317169,18092
2161.45892279943,18294
2160.64078687715,18146
2159.82251537648,18069
2159.00410826902,18302
2158.18556552637,18128
2157.36688712011,18035
2156.54807302184,18029
2155.72912320311,18116
2154.91003763551,18282
2154.09081629059,18411
2153.27145913989,18359
2152.45196615495,18208
2151.63233730731,18043
2150.81257256849,18064
2149.99267191001,18182
2149.17263530336,18384
2148.35246272006,18451
2147.53215413158,18304
2146.71170950941,18021
2145.89112882503,18269
2145.07041204988,18062
2144.24955915545,18323
2143.42857011316,18405
2142.60744489446,18563
2141.78618347078,18288
2140.96478581354,18516
2140.14325189416,18316
2139.32158168404,18181
2138.49977515457,18278
2137.67783227715,18368
2136.85575302315,18460
2136.03353736395,18417
2135.21118527091,18485
2134.38869671538,18351
2133.56607166871,18373
2132.74331010225,18500
2131.9204119873,18586
2131.0973772952,18520
2130.27420599726,18803
2129.45089806478,18448
2128.62745346906,18618
2127.80387218139,18358
2126.98015417303,18483
2126.15629941527,18717
2125.33230787936,18791
2124.50817953655,18680
2123.6839143581,18645
2122.85951231523,18425
2122.03497337916,18602
2121.21029752113,18524
