#Wave,#Intensity2
352.0102828,34539
353.1435523,34446
354.2766141,34609
355.4094683,34894
356.5421151,34649
357.6745543,34728
358.8067861,34549
359.9388106,34685
361.0706277,34923
362.2022375,34815
363.3336402,34616
364.4648356,34749
365.595824,34735
366.7266053,35229
367.8571795,34938
368.9875468,35168
370.1177072,34899
371.2476608,35151
372.3774075,35565
373.5069475,35139
374.6362807,35192
375.7654073,35125
376.8943273,35318
378.0230407,35550
379.1515477,35813
380.2798481,35541
381.4079422,35179
382.5358299,35549
383.6635113,35591
384.7909865,35965
385.9182555,35670
387.0453183,35461
388.172175,35515
389.2988257,36066
390.4252704,35974
391.5515091,35963
392.6775419,35693
393.8033689,35752
394.9289901,35964
396.0544056,35778
397.1796153,36096
398.3046194,35707
399.429418,35777
400.5540109,35856
401.6783984,36145
402.8025805,35950
403.9265571,35757
405.0503285,35515
406.1738945,35699
407.2972553,35808
408.4204109,35726
409.5433614,35855
410.6661067,35640
411.7886471,35699
412.9109824,35743
414.0331129,35871
415.1550384,35375
416.2767591,35322
417.398275,35397
418.5195862,35599
419.6406927,35549
420.7615946,35902
421.8822919,35641
423.0027846,35849
424.1230729,35717
425.2431567,36197
426.3630362,35794
427.4827113,35740
428.6021821,35733
429.7214487,35950
430.8405111,36311
431.9593694,36083
433.0780236,36317
434.1964738,35939
435.31472,36101
436.4327622,36346
437.5506006,36326
438.6682351,36625
439.7856659,36272
440.9028929,36319
442.0199163,36635
443.136736,36659
444.2533521,36734
445.3697647,36620
446.4859738,36808
447.6019795,37098
448.7177818,36817
449.8333808,36731
450.9487765,36761
452.0639689,36719
453.1789582,36767
454.2937443,36987
455.4083273,36814
456.5227074,36687
457.6368844,36676
458.7508585,36762
459.8646297,36992
460.9781981,37060
462.0915636,36960
463.2047265,36391
464.3176866,36917
465.4304442,36775
466.5429991,36643
467.6553515,36657
468.7675014,36318
469.8794489,36659
470.9911939,36777
472.1027367,36931
473.2140771,36708
474.3252153,36479
475.4361513,36474
476.5468852,36509
477.657417,36714
478.7677467,36707
479.8778745,36340
480.9878003,36336
482.0975242,36761
483.2070462,36806
484.3163665,36709
485.425485,36487
486.5344018,36360
487.6431169,36476
488.7516305,36577
489.8599425,37016
490.968053,36908
492.0759621,36831
493.1836697,36445
494.291176,36829
495.398481,36569
496.5055848,36640
497.6124873,36709
498.7191887,36648
499.8256889,36994
500.9319881,36914
502.0380863,37167
503.1439836,37038
504.2496799,37070
505.3551753,37068
506.46047,37291
507.5655639,37319
508.670457,37464
509.7751495,37376
510.8796414,37557
511.9839327,37725
513.0880235,37848
514.1919138,37865
515.2956037,37555
516.3990932,37447
517.5023824,37762
518.6054713,37720
519.70836,37356
520.8110485,37416
521.9135369,37065
523.0158252,36983
524.1179134,37197
525.2198017,37009
526.32149,36804
527.4229785,36858
528.5242671,36904
529.6253559,36673
530.726245,36922
531.8269344,36834
532.9274242,36497
534.0277143,36654
535.1278049,36723
536.227696,36657
537.3273877,36601
538.42688,36554
539.5261729,36518
540.6252665,36310
541.7241608,36554
542.8228559,36606
543.9213519,36447
545.0196488,36418
546.1177466,36676
547.2156454,36190
548.3133452,36562
549.4108461,36470
550.5081482,35964
551.6052514,36080
552.7021558,36617
553.7988616,36541
554.8953686,36417
555.991677,36389
557.0877869,36226
558.1836982,36522
559.279411,36651
560.3749254,36694
561.4702414,36463
562.5653591,36437
563.6602785,36787
564.7549996,36463
565.8495226,36837
566.9438474,36588
568.0379741,36357
569.1319027,36492
570.2256334,36791
571.3191661,37084
572.4125009,36750
573.5056378,36594
574.5985769,36979
575.6913183,36616
576.7838619,36729
577.8762079,37101
578.9683563,36877
580.0603071,36355
581.1520604,36528
582.2436162,36779
583.3349745,36771
584.4261355,36990
585.5170992,36840
586.6078656,36670
587.6984347,36666
588.7888067,36998
589.8789815,36945
590.9689592,36676
592.0587399,36856
593.1483236,36665
594.2377104,36987
595.3269002,36924
596.4158932,36929
597.5046894,36645
598.5932888,36886
599.6816915,37117
600.7698975,37146
601.857907,37074
602.9457198,36930
604.0333362,36871
605.1207561,36933
606.2079795,36936
607.2950066,37152
608.3818373,36849
609.4684718,36645
610.55491,36537
611.641152,36659
612.7271979,36866
613.8130477,36606
614.8987015,36167
615.9841592,36686
617.069421,36615
618.1544869,36709
619.239357,36305
620.3240312,36249
621.4085097,36461
622.4927924,36575
623.5768795,36660
624.660771,36932
625.7444669,36704
626.8279673,36544
627.9112722,36690
628.9943817,36678
630.0772957,37123
631.1600145,36857
632.2425379,36499
633.3248661,36815
634.4069992,36878
635.488937,37060
636.5706798,37082
637.6522275,37154
638.7335802,37168
639.814738,36878
640.8957008,37261
641.9764688,37460
643.0570419,37031
644.1374203,37555
645.217604,37556
646.2975929,37833
647.3773873,38252
648.456987,38466
649.5363922,38277
650.615603,38613
651.6946193,38480
652.7734412,38534
653.8520687,38673
654.9305019,38834
656.0087409,38172
657.0867857,38233
658.1646363,38417
659.2422928,38592
660.3197552,38093
661.3970236,37502
662.474098,37811
663.5509785,37644
664.6276651,37717
665.7041579,37406
666.7804569,37190
667.8565621,36868
668.9324737,37119
670.0081916,37080
671.0837159,36961
672.1590466,36790
673.2341838,36806
674.3091276,36956
675.3838779,36549
676.4584349,36910
677.5327986,36848
678.6069689,36730
679.6809461,36174
680.7547301,36671
681.8283209,36644
682.9017186,36564
683.9749233,36335
685.047935,36399
686.1207537,36178
687.1933795,36203
688.2658125,36513
689.3380527,36274
690.4101001,36229
691.4819547,35899
692.5536167,36016
693.6250861,36326
694.6963629,36073
695.7674471,36093
696.8383389,36089
697.9090382,36306
698.9795451,36080
700.0498597,35921
701.1199819,36330
702.1899119,36016
703.2596497,36005
704.3291953,35946
705.3985488,36051
706.4677103,36237
707.5366797,36364
708.6054571,36053
709.6740426,35830
710.7424361,36459
711.8106379,36033
712.8786478,36276
713.946466,35995
715.0140925,36198
716.0815273,36164
717.1487706,36512
718.2158222,36344
719.2826823,36515
720.349351,36380
721.4158282,36387
722.482114,36585
723.5482085,36666
724.6141117,36645
725.6798236,36842
726.7453444,36584
727.810674,36657
728.8758125,36465
729.9407599,37090
731.0055163,36677
732.0700817,36470
733.1344562,36826
734.1986398,36878
735.2626326,36834
736.3264346,36945
737.3900458,36961
738.4534664,36509
739.5166963,36901
740.5797355,37236
741.6425843,37145
742.7052425,37149
743.7677102,37032
744.8299875,36812
745.8920744,37245
746.953971,37055
748.0156773,37162
749.0771934,36586
750.1385192,36796
751.1996549,37172
752.2606005,36823
753.3213561,36799
754.3819216,36476
755.4422971,36617
756.5024827,36437
757.5624785,36190
758.6222844,36946
759.6819005,36650
760.7413269,36493
761.8005636,36418
762.8596106,36496
763.918468,36490
764.9771358,36657
766.0356142,36481
767.093903,36224
768.1520024,36313
769.2099125,36686
770.2676332,36294
771.3251646,36508
772.3825068,36481
773.4396597,36084
774.4966235,36173
775.5533982,36276
776.6099839,36444
777.6663805,35907
778.7225881,35927
779.7786068,36310
780.8344366,36317
781.8900776,36110
782.9455298,36355
784.0007932,36075
785.0558679,36114
786.110754,36158
787.1654514,36354
788.2199603,36218
789.2742806,36162
790.3284124,36376
791.3823559,36151
792.4361109,36155
793.4896776,36367
794.543056,36402
795.5962461,36200
796.649248,35831
797.7020617,36451
798.7546873,36365
799.8071249,36593
800.8593744,36327
801.9114359,36297
802.9633095,36255
804.0149951,36622
805.0664929,36336
806.1178029,37005
807.1689252,36514
808.2198597,36505
809.2706065,36842
810.3211657,36848
811.3715374,37223
812.4217214,37104
813.471718,37154
814.5215272,37020
815.5711489,36714
816.6205832,37313
817.6698303,37088
818.71889,37058
819.7677625,37397
820.8164479,37080
821.8649461,37261
822.9132572,37526
823.9613812,37420
825.0093183,37139
826.0570684,37192
827.1046315,37122
828.1520078,37448
829.1991972,37550
830.2461999,37444
831.2930158,37206
832.339645,37085
833.3860876,37215
834.4323436,37400
835.478413,37270
836.5242958,37612
837.5699922,37380
838.6155022,37329
839.6608258,37164
840.705963,37158
841.7509139,37494
842.7956786,37355
843.840257,37133
844.8846493,37456
845.9288555,37214
846.9728756,37714
848.0167097,37874
849.0603577,37267
850.1038198,37237
851.147096,37138
852.1901864,37283
853.2330909,36782
854.2758097,36696
855.3183427,36298
856.3606901,36574
857.4028518,36574
858.4448279,36505
859.4866185,36560
860.5282236,36396
861.5696432,36156
862.6108774,36153
863.6519262,36734
864.6927896,36541
865.7334678,36188
866.7739608,36124
867.8142685,36329
868.8543911,36525
869.8943286,36428
870.934081,36346
871.9736484,36075
873.0130308,36467
874.0522282,36552
875.0912408,36526
876.1300685,36446
877.1687114,36571
878.2071696,36481
879.245443,36678
880.2835317,36428
881.3214359,36580
882.3591554,36785
