Wavelength,AAB_4-ATP^-15M_S1_C1_M1_I2
352.367517,84.47637424
353.5007864,72.48782576
354.6338483,61.58340075
355.7667025,51.76309919
356.8993492,43.0269211
358.0317885,35.37486647
359.1640203,28.80693529
360.2960447,23.32312758
361.4278619,18.92344333
362.5594717,15.60788255
363.6908743,13.37644522
364.8220698,12.22913136
365.9530582,12.16594095
367.0838394,11.73743331
368.2144137,9.935421702
369.344781,7.700599725
370.4749414,15.16219866
371.6048949,5.268138069
372.7346417,-1.044947429
373.8641816,8.268453139
374.9935149,15.64715156
376.1226415,31.89427284
377.2515615,61.19152354
378.3802749,98.50923411
379.5087818,143.9675557
380.6370823,201.9839764
381.7651764,264.9431228
382.8930641,337.4558679
384.0207455,419.5670608
385.1482207,495.3150229
386.2754897,572.3060044
387.4025525,639.8849267
388.5294092,690.9844766
389.6560599,740.0930007
390.7825045,780.7314636
391.9087433,812.8187921
393.0347761,838.8109977
394.1606031,845.9898921
395.2862243,832.6218279
396.4116397,813.1918701
397.5368495,780.5355647
398.6618536,727.0490364
399.7866521,674.2645152
400.9112451,623.797011
402.0356326,559.5575758
403.1598146,495.6218914
404.2837913,445.6564926
405.4075626,390.1290739
406.5311287,336.1241176
407.6544895,288.6504417
408.7776451,240.8734469
409.9005955,210.4942291
411.0233409,178.5052123
412.1458813,136.6101669
413.2682166,104.9132124
414.390347,77.03331393
415.5122726,56.30714584
416.6339933,44.40185656
417.7555092,29.87159825
418.8768204,20.72324114
419.9979269,16.04345373
421.1188288,9.525693063
422.239526,8.729825106
423.3600188,6.793598921
424.480307,-0.307765442
425.6003909,-2.178141294
426.7202703,5.160735698
427.8399454,12.27889773
428.9594163,8.762856393
430.0786829,9.809519302
431.1977453,22.57640206
432.3166036,29.37156192
433.4352578,30.1009299
434.553708,28.00522005
435.6719541,30.28572199
436.7899964,38.81717151
437.9078348,36.49444997
439.0254693,35.60472177
440.1429001,42.20848847
441.2601271,42.6965863
442.3771504,47.68692337
443.4939702,54.82366961
444.6105863,56.1681401
445.7269989,61.07249486
446.843208,61.25240747
447.9592137,56.6152494
449.075016,55.73627589
450.1906149,50.84611439
451.3060106,45.10851626
452.4212031,44.71689351
453.5361923,44.39769374
454.6509785,35.53091293
455.7655615,30.23630562
456.8799415,33.32807546
457.9941186,27.85513753
459.1080926,16.84552046
460.2218639,6.242523115
461.3354322,6.047126331
462.4487978,9.605684347
463.5619607,3.974765828
464.6749208,5.284657858
465.7876783,11.28643025
466.9002333,16.9291622
468.0125857,24.79638212
469.1247356,29.03659233
470.236683,28.70565158
471.3484281,26.02322576
472.4599709,24.76172873
473.5713113,21.99890404
474.6824495,20.53850945
475.7933855,23.72143545
476.9041194,23.82967028
478.0146512,25.24003534
479.1249809,31.9900139
480.2351086,31.26549493
481.3450344,25.68870662
482.4547583,26.0561033
483.5642804,21.51798335
484.6736006,16.08545009
485.7827192,21.92948597
486.891636,25.6085989
488.0003511,25.87706161
489.1088647,28.78453232
490.2171767,28.14295762
491.3252872,29.1363435
492.4331963,26.42735023
493.5409039,15.49489517
494.6484102,9.47699697
495.7557152,6.551520706
496.8628189,5.158696029
497.9697215,4.068023226
499.0764228,2.915368568
500.1829231,4.859618162
501.2892223,6.598048672
502.3953205,14.16177835
503.5012177,21.89590009
504.6069141,24.46041375
505.7124095,27.71570635
506.8177042,27.29723965
507.922798,27.12161855
509.0276912,29.25490601
510.1323837,24.90608915
511.2368756,24.37536883
512.3411669,32.73763588
513.4452577,30.33089222
514.549148,30.86333502
515.6528379,38.81833611
516.7563274,33.76067489
517.8596166,31.99833314
518.9627055,28.33783303
520.0655942,22.14549061
521.1682827,26.41067467
522.270771,25.06680102
523.3730593,21.08492253
524.4751476,17.73747549
525.5770359,18.78220651
526.6787242,20.80543069
527.7802127,13.118596
528.8815013,12.74418715
529.9825901,16.82562599
531.0834792,16.39764791
532.1841686,20.31696292
533.2846583,21.17869342
534.3849485,16.1841162
535.4850391,12.8677423
536.5849302,11.75110769
537.6846219,22.62696572
538.7841141,33.92677916
539.883407,28.69043162
540.9825006,28.22163278
542.081395,31.2778846
543.1800901,28.36085003
544.2785861,25.06974162
545.376883,17.60417911
546.4749808,13.00717311
547.5728796,9.851133292
548.6705794,5.001613089
549.7680803,3.895463617
550.8653823,-0.871205782
551.9624856,-5.287959454
553.05939,-6.55427132
554.1560957,-12.55917057
555.2526028,-6.79769004
556.3489112,1.532997451
557.4450211,-2.29399053
558.5409324,0.16193026
559.6366452,-3.341061215
560.7321596,-2.210481295
561.8274756,9.733605046
562.9225933,10.58946909
564.0175127,16.17585804
565.1122338,17.63886969
566.2067567,11.39313147
567.3010815,13.12615169
568.3952083,21.22219161
569.4891369,27.50415189
570.5828676,26.82433234
571.6764003,33.12143414
572.769735,39.36691412
573.862872,41.36118732
574.9558111,39.8093507
576.0485525,35.3741075
577.1410961,38.63464575
578.2334421,39.52092191
579.3255905,37.14048092
580.4175413,27.77797462
581.5092945,20.29767608
582.6008503,21.67244231
583.6922087,23.58547741
584.7833697,33.74599204
585.8743334,39.61994318
586.9650998,49.65768253
588.0556689,58.67313154
589.1460409,56.25620585
590.2362157,65.72343845
591.3261934,64.86843741
592.4159741,55.86851744
593.5055578,58.88359167
594.5949445,64.69226691
595.6841344,66.92785772
596.7731274,64.25586836
597.8619235,64.29310275
598.950523,52.96538985
600.0389257,40.57675892
601.1271317,37.58548678
602.2151412,32.81676693
603.302954,31.94790625
604.3905704,18.44367286
605.4779902,6.686973314
606.5652137,10.77658969
607.6522407,16.39440238
608.7390715,25.18310616
609.8257059,27.81682857
610.9121442,31.50223274
611.9983862,34.70329484
613.0844321,35.0440655
614.1702819,38.58292841
615.2559356,37.65903572
616.3413934,35.88535702
617.4266552,25.66870544
618.5117211,21.94669932
619.5965911,29.97085168
620.6812654,28.94457835
621.7657439,23.59526362
622.8500266,13.30391773
623.9341137,3.913106676
625.0180052,-0.180338557
626.1017011,0.310464897
627.1852015,4.514892537
628.2685064,0.231907831
629.3516158,-6.725959736
630.4345299,-6.904478957
631.5172487,2.351341932
632.5997721,11.00388164
633.6821003,6.882824427
634.7642333,3.251743451
635.8461712,7.062478777
636.927914,12.93149079
638.0094617,16.86618131
639.0908144,18.33466035
640.1719721,15.16343961
641.252935,11.767405
642.3337029,15.56146724
643.4142761,19.19474678
644.4946545,27.05534797
645.5748381,28.93096586
646.6548271,21.49839015
647.7346214,23.1411599
648.8142212,24.04327716
649.8936264,26.90896297
650.9728372,30.72915178
652.0518534,26.32207153
653.1306753,30.93872182
654.2093029,36.37508242
655.2877361,31.39590487
656.3659751,31.12379045
657.4440199,33.20370016
658.5218705,32.78705857
659.599527,31.42672193
660.6769894,34.52622317
661.7542578,40.14100808
662.8313322,37.37348809
663.9082127,35.94874265
664.9848993,30.53600845
666.0613921,24.47046145
667.1376911,30.08164815
668.2137963,29.30201652
669.2897078,26.30945446
670.3654257,29.51498135
671.44095,30.76562336
672.5162808,33.4640064
673.591418,34.53326568
674.6663618,31.77698451
675.7411121,33.43919173
676.8156691,32.76640811
677.8900327,30.93524162
678.9642031,36.06663785
680.0381803,32.60806058
681.1119642,19.32056259
682.1855551,15.81867172
683.2589528,20.15155315
684.3321575,17.0887018
685.4051692,12.82342425
686.4779879,14.58475767
687.5506137,13.06256435
688.6230467,9.477599937
689.6952868,5.683944475
690.7673342,-1.676749915
691.8391889,-5.043466068
692.9108509,-4.795104971
693.9823203,-2.155774385
695.053597,9.93123852
696.1246813,24.04412669
697.195573,33.51272679
698.2662724,38.24768846
699.3367793,41.42733819
700.4070938,49.24057542
701.4772161,52.53471043
702.5471461,52.21128959
703.6168839,54.32145208
704.6864295,49.95697359
705.755783,45.90112539
706.8249444,45.48488919
707.8939138,42.65032824
708.9626912,38.86939033
710.0312767,32.21746997
711.0996703,25.77260966
712.1678721,22.08214054
713.235882,16.75070066
714.3037002,4.581084466
715.3713267,-4.099751422
716.4387615,-1.394859821
717.5060047,-2.782045281
718.5730564,-2.019301496
719.6399165,10.94366471
720.7065851,15.98814487
721.7730624,12.8274753
722.8393482,18.60096715
723.9054427,22.39167375
724.9713459,21.13010923
726.0370578,27.54222598
727.1025786,29.17214937
728.1679082,28.10637575
729.2330466,33.31681093
730.2979941,32.19259452
731.3627504,34.33669844
732.4273159,40.69719241
733.4916904,38.57207287
734.555874,36.7479945
735.6198668,34.40381626
736.6836687,28.91811066
737.74728,27.18703031
738.8107005,25.12608147
739.8739304,23.64366879
740.9369697,28.45421691
741.9998184,30.47413118
743.0624766,25.27791721
744.1249444,21.10422203
745.1872217,19.62782777
746.2493086,12.15477458
747.3112052,10.65567155
748.3729115,21.79159856
749.4344275,19.07695974
750.4957534,13.76725958
751.5568891,17.33648706
752.6178347,10.19848976
753.6785902,7.424752843
754.7391558,11.55235868
755.7995313,6.157463516
756.8597169,2.848799067
757.9197127,3.337844269
758.9795186,2.550939787
760.0391347,4.509865904
761.0985611,7.794030738
762.1577977,9.437993616
763.2168447,8.017601536
764.2757022,6.908098384
765.33437,5.762070291
766.3928483,4.405127123
767.4511372,4.054010126
768.5092366,5.81793788
769.5671467,6.676915413
770.6248674,2.602347161
771.6823988,4.226948869
772.7397409,13.6780451
773.7968939,18.1457051
774.8538577,10.02358779
775.9106324,8.342095419
776.967218,21.14369996
778.0236146,27.24791149
779.0798223,32.03635582
780.135841,40.66519069
781.1916708,45.44218819
782.2473118,51.77793546
783.3027639,58.64126841
784.3580274,61.42845126
785.4131021,58.93390026
786.4679881,53.30834084
787.5226856,46.32265691
788.5771944,38.2668776
789.6315148,33.94114708
790.6856466,35.03220471
791.73959,44.97802111
792.7933451,61.79694047
793.8469117,81.6683624
794.9002901,101.7402874
795.9534802,121.1970309
797.0064822,155.1417135
798.0592959,191.5715195
799.1119215,219.2099205
800.164359,253.8159304
801.2166085,285.2285922
802.2686701,304.9893352
803.3205436,315.1416271
804.3722293,313.5844343
805.4237271,308.723388
806.4750371,303.6280427
807.5261594,293.431808
808.5770939,273.5117669
809.6278407,245.1436798
810.6783999,209.8302778
811.7287715,174.0016458
812.7789556,146.6885368
813.8289522,117.5800332
814.8787613,91.84421509
815.928383,74.2243049
816.9778174,59.80087122
818.0270644,54.73479117
819.0761242,50.5522105
820.1249967,47.50115783
821.1736821,45.15285197
822.2221803,44.48594294
823.2704914,46.68930037
824.3186154,48.67982842
825.3665525,51.10932819
826.4143025,34.65195861
827.4618657,17.050292
828.509242,12.87186688
829.5564314,2.828803281
830.6034341,0.424993356
831.65025,7.623762511
832.6968792,5.435798856
833.7433218,-3.592040495
834.7895777,-10.13554495
835.8356471,-13.09312612
836.88153,-4.431876538
837.9272264,1.847841192
838.9727364,-2.389571967
840.0180599,4.105657628
841.0631972,8.189901747
842.1081481,15.06427129
843.1529128,27.04549794
844.1974912,25.88012153
845.2418835,27.11524816
846.2860897,31.66012373
847.3301098,40.25194357
848.3739438,44.33072844
849.4175919,41.69901471
850.461054,40.86723791
851.5043302,31.32539463
852.5474206,29.33343268
853.5903251,36.50097461
854.6330439,43.40594699
855.6755769,45.89781826
856.7179243,39.11323393
857.760086,34.7582856
858.8020621,37.10738265
859.8438527,46.8859671
860.8854578,55.91523615
861.9268774,56.45329004
862.9681115,45.84490397
864.0091603,40.80069282
865.0500238,48.59178193
866.090702,49.33542115
867.131195,51.75228853
868.1715027,49.32059586
869.2116253,42.8068694
870.2515628,48.35819061
871.2913152,49.32591699
872.3308825,41.4751458
873.3702649,31.20306039
874.4094624,24.16826321
875.448475,18.76709099
876.4873027,12.86151425
877.5259456,10.95728123
878.5644037,14.01567072
879.6026772,11.62004757
880.6407659,-1.602212402
881.67867,1.03116868
882.7163896,13.28237994
883.7539245,25.42894959
884.791275,38.0751765
885.8284411,34.51281585
886.8654227,32.57110999
887.9022199,34.12566216
888.9388328,39.41080196
889.9752615,46.41127548
891.0115059,38.84998431
892.0475661,33.16932219
893.0834421,33.31927107
894.119134,38.88047018
895.1546419,45.23344927
896.1899658,43.4174135
897.2251056,42.72229031
898.2600616,41.98883006
899.2948336,37.00619344
900.3294218,33.75460124
901.3638262,29.25460049
902.3980468,25.93240709
903.4320837,28.66026675
904.4659369,21.71495569
905.4996065,18.19920775
906.5330926,25.44809874
907.566395,25.87351256
908.599514,27.74112131
909.6324495,22.41667049
910.6652016,8.444130001
911.6977703,7.422769126
912.7301557,12.12038638
913.7623578,8.012327448
914.7943766,-1.476021555
915.8262123,-1.114342032
916.8578648,11.18333264
917.8893342,22.47356111
918.9206205,29.90291517
919.9517238,34.97519155
920.9826441,39.12781122
922.0133814,38.75675021
923.0439359,38.01362042
924.0743075,39.99627095
925.1044963,37.00519126
926.1345023,36.83832546
927.1643256,35.75326234
928.1939662,32.09944144
929.2234242,34.53863708
930.2526996,31.9446109
931.2817924,28.79955894
932.3107028,32.1867081
933.3394306,29.18376151
934.367976,25.93908365
935.3963391,26.00890549
936.4245198,28.41869564
937.4525182,35.19528099
938.4803343,27.02911874
939.5079683,20.47489128
940.5354201,33.16909805
941.5626897,39.41607952
942.5897773,38.61799371
943.6166828,38.13719078
944.6434063,36.05461121
945.6699479,35.43713571
946.6963076,35.19690123
947.7224854,40.56406858
948.7484814,38.88495779
949.7742955,28.12027077
950.799928,22.43297289
951.8253787,14.80475277
952.8506478,22.72089453
953.8757353,30.88135048
954.9006412,21.47254247
955.9253656,26.63509147
956.9499085,34.04183029
957.97427,39.95166584
958.9984501,49.52447525
960.0224488,43.60319544
961.0462662,41.94518927
962.0699023,52.30972552
963.0933572,49.92395263
964.1166309,54.00974272
965.1397234,78.74687794
966.1626349,88.25367542
967.1853653,85.81528181
968.2079147,86.42662457
969.2302831,83.6352885
970.2524706,90.51601042
971.2744771,97.16234638
972.2963029,92.86360846
973.3179478,82.60452647
974.339412,73.71916993
975.3606955,77.57098475
976.3817982,80.66372212
977.4027204,83.61335257
978.4234619,81.79516161
979.4440229,72.55028536
980.4644034,70.77501766
981.4846035,64.60977321
982.5046231,63.1860731
983.5244623,61.20349861
984.5441212,45.14942668
985.5635997,40.36161494
986.5828981,38.22493432
987.6020162,27.94826868
988.6209541,28.76964944
989.639712,28.76051175
990.6582897,11.23254418
991.6766874,-6.598577364
992.6949051,-12.05279632
993.7129428,-8.129525368
994.7308006,-0.014247975
995.7484786,3.484403239
996.7659767,4.39636596
997.783295,16.19288177
998.8004336,41.65681919
999.8173924,61.16620094
1000.834172,71.10586478
1001.850771,89.42384983
1002.867191,96.01949179
1003.883432,93.09274252
1004.899493,104.7851578
1005.915374,111.3711172
1006.931076,113.8043701
1007.946599,110.793848
1008.961942,95.59452204
1009.977106,86.40193655
1010.992091,81.60636792
1012.006897,74.27133829
1013.021523,61.05647626
1014.035971,46.00079205
1015.050239,32.00031756
1016.064328,16.92286951
1017.078239,17.69705284
1018.09197,24.89864617
1019.105522,19.61879644
1020.118896,16.59815398
1021.13209,19.93856187
1022.145106,31.40872506
1023.157944,45.27259041
1024.170602,52.62528451
1025.183082,65.03023239
1026.195383,67.60612481
1027.207506,59.98703733
1028.21945,67.58621901
1029.231215,77.14874342
1030.242802,79.80746744
1031.254211,82.05854096
1032.265441,77.76743538
1033.276493,70.80587604
1034.287367,67.00453166
1035.298063,70.87035055
1036.30858,75.77687009
1037.318919,69.02045269
1038.32908,65.17881823
1039.339063,67.52900523
1040.348868,67.7178881
1041.358495,71.6190077
1042.367944,73.12424522
1043.377215,70.85058728
1044.386308,71.30127656
1045.395223,69.57240631
1046.403961,70.20808589
1047.412521,78.93545176
1048.420903,83.6861396
1049.429107,75.23835296
1050.437134,62.72428818
1051.444983,57.16551453
1052.452655,55.56564195
1053.460149,50.7880323
1054.467466,43.91212229
1055.474605,34.08709536
1056.481567,23.80501178
1057.488352,30.41109829
1058.494959,46.48930219
1059.501389,67.19674845
1060.507642,95.98601893
1061.513718,123.1877052
1062.519616,175.4882055
1063.525338,254.5410316
1064.530882,339.9551048
1065.53625,444.2974053
1066.54144,574.3108929
1067.546454,721.8364979
1068.55129,882.6751642
1069.55595,1062.863752
1070.560433,1255.575944
1071.56474,1445.924326
1072.568869,1619.12804
1073.572822,1779.696521
1074.576598,1927.188873
1075.580198,2039.152025
1076.583621,2117.595202
1077.586868,2160.502702
1078.589938,2161.079312
1079.592832,2118.268329
1080.595549,2037.637432
1081.59809,1930.698184
1082.600455,1784.241653
1083.602643,1607.830622
1084.604655,1419.27778
1085.606491,1218.017135
1086.608151,1022.515687
1087.609635,833.3704351
1088.610942,650.85621
1089.612074,487.1811289
1090.61303,345.6437815
1091.61381,229.4652531
1092.614413,134.536626
1093.614841,66.48442423
1094.615094,20.35079346
1095.61517,-14.19255973
1096.615071,-29.22461489
1097.614796,-31.24023393
1098.614345,-34.44743095
1099.613719,-29.22109968
1100.612917,-16.1444152
1101.61194,-6.566450816
1102.610787,-2.436329136
1103.609459,-5.758143844
1104.607955,0.491793487
1105.606276,8.59731812
1106.604421,10.34969334
1107.602392,17.7353883
1108.600187,22.57652247
1109.597807,27.97530769
1110.595251,29.20599561
1111.592521,26.20488778
1112.589615,27.45450369
1113.586535,23.505451
1114.583279,16.21234482
1115.579849,7.889659221
1116.576243,1.201731002
1117.572463,5.292048303
1118.568508,8.962266025
1119.564378,0.920166291
1120.560073,-6.793330483
1121.555594,-10.44882705
1122.55094,-10.72913281
1123.546111,-5.663223636
1124.541107,-8.252518549
1125.53593,-4.723964604
1126.530577,15.64979259
1127.52505,37.23315625
1128.519349,69.59488321
1129.513473,109.5041528
1130.507423,150.033756
1131.501199,194.2296554
1132.4948,231.5687758
1133.488227,263.0007523
1134.48148,293.3855751
1135.474559,328.3657209
1136.467463,362.1939908
1137.460194,379.1915097
1138.45275,384.0355383
1139.445133,386.7354436
1140.437342,390.0842059
1141.429376,387.1445471
1142.421237,362.440117
1143.412924,324.3020815
1144.404437,286.71404
1145.395777,250.5926322
