Name,AAB_4 ATP_10^-10M_750_5_5_L_S2.csv
Date,2024/09/24 11:15:30
Tag,AAB_4 ATP_10^-10M_750_5_5_L_S2
Comment,
Peak raman shift[cm-1],392.72009845721
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.0717810017486,14506.2,14482,14558,14554.2,14512.6
-87.2943736183952,13171,13232.6,13117.8,13200.6,13200.6
-81.525937530123,12971.2,12932,13034.6,12974.2,12993.2
-75.7664569369681,13035.8,13034.2,13094.2,13134.6,13054.2
-70.0159160827698,13208.6,13105.4,13156.4,13192,13124.2
-64.2742992549156,12908.6,12885.8,12852.2,12875.4,12847.8
-58.541590784067,12868.4,12854.4,12937.2,12891.4,12898.2
-52.8177750439099,13050.2,13048.4,13107.2,12986.8,13065.2
-47.1028364508675,13225.4,13238.2,13134,13169,13308.8
-41.3967594638525,13248.2,13185,13241.2,13190.4,13300.8
-35.6995285840112,13716.8,13739.8,13737.2,13660.2,13758.4
-30.0111283544538,13808.6,13775.4,13665.2,13678.2,13691.8
-24.3315433599946,13361.2,13387.6,13321.2,13366.6,13415.2
-18.6607582269062,13524.8,13476,13391,13487.2,13433.6
-12.9987576226504,13235.8,13174,13308.8,13237.4,13179.6
-7.34552625563083,12904.8,12991.2,13036.2,12951.6,12956
-1.70104887494199,12813.6,12823.6,12750,12796.8,12704.8
3.93468972989649,13383,13493.4,13455,13496,13471.6
9.56170472916892,12783.4,12774.4,12796,12844.2,12786.6
15.1800112532474,13142,13162.2,13105.4,13164.2,13178.6
20.7896243928062,12785.2,12798,12715.6,12783,12789.6
26.3905591990933,12856.6,12949.8,12839,12914.2,12930.6
31.9828306841591,13359.6,13397.8,13336.2,13295,13474
37.5664538211258,13143,13144.8,13153.6,13221,13158.2
43.1414435444076,12801.8,12834.8,12742.6,12720.2,12776.8
48.7078147499742,12856.4,12832.2,12816.6,12848.4,12844.8
54.2655822955694,12598.4,12673.8,12736.4,12716,12747.6
59.814761000991,12307.6,12400,12289.4,12362,12351.8
65.3553656482818,12291.4,12346.6,12240.2,12380.2,12392
70.8874109820135,12748,12691.8,12752.2,12777.2,12789
76.4109117094977,12916,12984.8,12872.2,12876.2,12895.2
81.9258825010347,12175.6,12153.8,12217,12118,12211
87.4323379901416,12748.8,12832.4,12823.2,12725.2,12816.4
92.9302927737936,13163.2,13057.6,13076.2,13111,13081.6
98.419761412657,12378.4,12397.4,12365.4,12328.4,12421.2
103.900758431322,12703.8,12740.6,12698.8,12733.2,12633.6
109.373298318533,12537.6,12544,12491.8,12526.2,12559
114.837395527415,12503.8,12532.4,12531.6,12505.4,12551
120.293064475716,12766.8,12797.2,12776.4,12739.6,12700
125.740319546025,13587.4,13633.4,13656.2,13656.2,13705.4
131.179175085999,12418.4,12463.2,12438,12415.8,12562.2
136.609645408595,12128.2,12146.6,12242,12245.4,12184.6
142.031744792304,12242.4,12293.2,12211.4,12250.6,12271
147.445487481351,12890.6,12856.6,12971.6,12928.4,12923
152.850887685943,12429.6,12429,12384.8,12465.6,12491.6
158.247959582481,12447.2,12405.8,12480.4,12378.8,12436.8
163.636717313779,12319.4,12333.2,12288,12259.6,12291
169.017174989298,12644.2,12565.2,12633,12491.8,12633.4
174.389346685342,12952,12899.4,12866.6,12925.8,12917.4
179.753246445305,12422.8,12457.2,12491.4,12439.4,12461
185.10888827987,12537.6,12453.4,12506,12457,12539.2
190.456286167238,12692,12710.2,12754.8,12664.8,12773.8
195.795454053326,12847,12811,12879.2,12819.6,12893
201.126405852005,12289.6,12353.6,12291.6,12317.6,12287.4
206.449155445292,12355.8,12428.4,12420.8,12286.4,12403
211.763716683583,12060.8,12039.2,12097,12102.6,12102.8
217.070103385846,12371.6,12454,12447.8,12489.4,12532.4
222.368329339855,12119.6,12003.2,12177,12080.6,12027.8
227.658408302384,12152,12219,12302.8,12229.8,12283.6
232.940353999415,12257.6,12271.4,12216.8,12311.8,12267
238.214180126355,12140,12151.8,12117,12196,12165.8
243.479900348242,12256.6,12257,12268.6,12271.8,12262
248.737528299953,12192.8,12217.6,12270.2,12300.4,12236.8
253.987077586402,11985,12106.8,12046.2,12138.2,12117
259.228561782755,12236.6,12311,12305.4,12219.2,12185.2
264.46199443463,12235.4,12283.2,12323.4,12404.4,12320.2
269.687389058301,12590.6,12533.2,12437.8,12479.2,12484.2
274.904759140896,12624.4,12648.4,12555.2,12649,12610.4
280.114118140607,12332.4,12282.6,12267,12307.8,12221.6
285.315479486881,12092,12104.2,12040.4,11992.8,12067.4
290.508856580633,12256.2,12227.8,12205.8,12143.6,12259.8
295.694262794426,12714.4,12732.6,12771,12732.2,12802.6
300.871711472693,13957.6,13982.2,13969.4,13932.6,13875.4
306.041215931913,14650,14553.8,14533.8,14516.4,14533.2
311.202789460824,15376,15289.6,15233,15246.4,15283.8
316.3564453206,16485.8,16352.6,16365.6,16242,16256.2
321.502196745068,16818.8,16619,16538.2,16413.4,16559.8
326.640056940885,16763.6,16609,16620,16566.2,16503.2
331.770039087738,16951.2,16823.8,16753.6,16673.2,16737.4
336.892156338543,16941.8,16902.2,16723.8,16708,16689.2
342.006421819617,17242,17089,16976.8,16935.8,16863.8
347.112848630893,17086.2,16931.2,16791.2,16774.4,16752
