Ramanshift[cm-1],Intensity
-93.52472366,10015.4
-87.74731628,9005.2
-81.97888019,8932.4
-76.2193996,8976
-70.46885874,8997.8
-64.72724191,8861.6
-58.99453344,8795.2
-53.2707177,9014
-47.55577911,9123.2
-41.84970212,9056.6
-36.15247124,9412.8
-30.46407101,9469.6
-24.78448602,9223.8
-19.11370089,9225.2
-13.45170028,9129.6
-7.798468914,8850.2
-2.153991534,8725
3.481747071,9245
9.10876207,8754.6
14.72706859,9002.2
20.33668173,8791.6
25.93761654,8839.2
31.52988803,9132.2
37.11351116,8983.6
42.68850089,8792.8
48.25487209,8806.4
53.81263964,8823.4
59.36181834,8556.8
64.90242299,8548
70.43446832,8764.8
75.95796905,8882.6
81.47293984,8487.4
86.97939533,8830.6
92.47735012,9090.2
97.96681875,8544
103.4478158,8705.2
108.9203557,8629.2
114.3844529,8691.8
119.8401218,8898.4
125.2873769,9452.6
130.7262324,8574.4
136.1567027,8452.2
141.5788021,8495.2
146.9925448,8890.8
152.397945,8648.2
157.7950169,8571.8
163.1837747,8483.6
168.5642323,8758.6
173.936404,8985.2
179.3003038,8552.6
184.6559456,8706
190.0033435,8789
195.3425114,9008.2
200.6734632,8499.8
205.9962128,8558.2
211.310774,8419
216.6171607,8689.8
221.9153867,8423.4
227.2054656,8559.4
232.4874113,8587
237.7612375,8482.2
243.0269577,8499
248.2845856,8648.8
253.5341349,8371.4
258.7756191,8513
264.0090518,8560.6
269.2344464,8678.2
274.4518165,8742.6
279.6611755,8478.4
284.8625368,8410.4
290.0559139,8474.4
295.2413201,8972.4
300.4187688,10193.6
305.5882733,11033.6
310.7498468,11832.4
315.9035027,12846.8
321.0492541,12831.8
326.1871143,13061.6
331.3170964,13137
336.4392137,13256.6
341.5534792,13271.8
346.659906,13227.2
351.7585072,13395.6
356.8492959,13241.8
361.932285,13372.6
367.0074876,13445.6
372.0749167,13313.6
377.1345851,13363.4
382.1865058,13244.4
387.2306918,13169.2
392.2671558,13180.2
397.2959107,13048.4
402.3169694,13219
407.3303446,13102
412.3360492,12998.4
417.3340958,12762.8
422.3244971,12896.4
427.307266,13026.4
432.2824151,13219.8
437.2499569,13289.4
442.2099043,13388.8
447.1622697,12981.2
452.1070657,12994.6
457.044305,13021.2
461.9740001,12666.8
466.8961635,13018
471.8108076,12520.2
476.717945,12841
481.6175882,12774.4
486.5097495,13095.6
491.3944414,12938.4
496.2716763,12861.6
501.1414665,12778.6
506.0038244,13169.6
510.8587623,12837.8
515.7062925,12534.2
520.5464274,12762.2
525.3791792,12735.4
530.2045601,12786.8
535.0225824,12358.6
539.8332583,12664.8
544.6366,12676.6
549.4326196,12555
554.2213293,13166.6
559.0027413,12522
563.7768676,12327.6
568.5437204,13036.2
573.3033118,12800.4
578.0556537,12587.8
582.8007583,12931.8
587.5386375,12704
592.2693034,12425.4
596.9927679,12571.4
601.7090431,12777.8
606.4181409,12434.6
611.1200732,12411.4
615.814852,12524.8
620.5024891,12653.4
625.1829965,12444
629.8563859,12977.2
634.5226693,12969.8
639.1818586,12349.4
643.8339654,12567.8
648.4790017,12218.8
653.1169792,12289
657.7479097,12480.2
662.3718049,11964.4
666.9886767,12362.8
671.5985366,12215
676.2013965,12372
680.7972681,12439
685.386163,12303
689.9680928,12279.4
694.5430693,12150.6
699.1111041,12625.6
703.6722088,12371.8
708.226395,12407.2
712.7736744,12406.2
717.3140584,12310.6
721.8475588,12249.2
726.3741869,11790.8
730.8939545,12270.4
735.406873,12170
739.9129539,12604
744.4122087,12203.4
748.9046489,12197.4
753.3902861,11788.4
757.8691316,11756.8
762.341197,12132.8
766.8064936,11653.6
771.265033,12728
775.7168264,11961.4
780.1618854,12263
784.6002213,11772.8
789.0318455,11709.4
793.4567694,11795.2
797.8750043,12192.2
802.2865616,11641.2
806.6914527,11814.8
811.0896888,11779.4
815.4812812,11683.4
819.8662414,11503.2
824.2445805,11648.4
828.6163098,11762
832.9814407,11543.2
837.3399844,11428.2
841.6919522,11690.8
846.0373552,11531
850.3762048,11542.2
854.7085122,11694
859.0342885,11768
863.353545,11209.2
867.6662929,11639
871.9725434,11746.6
876.2723076,12175.6
880.5655967,11721.6
884.852422,11612
889.1327944,12097.4
893.4067253,11308.6
897.6742257,11197.8
901.9353067,11468
906.1899795,11702
910.4382551,11353.6
914.6801448,11334.2
918.9156596,11183.4
923.1448105,11516
927.3676087,11367.8
931.5840652,11852.2
935.7941911,11438.2
939.9979975,11592.4
944.1954954,11514.8
948.3866958,10936
952.5716099,11552.2
956.7502486,11278.2
960.9226229,11717.2
965.088744,11286.4
969.2486227,11420.2
973.4022701,11275.8
977.5496973,11323.2
981.6909151,11405.2
985.8259346,11269
989.9547668,11349.4
994.0774227,11150
998.1939132,11395.8
1002.304249,10848.2
1006.408442,11285.6
1010.506502,11048.8
1014.598441,11308.2
1018.684269,11612
1022.763997,11179.4
1026.837637,11083
1030.905199,11118.4
1034.966694,11281
1039.022133,11187.2
1043.071527,10869.2
1047.114887,11117.8
1051.152224,11027.4
1055.183549,10901.2
1059.208872,10914.4
1063.228205,10624
1067.241558,10632.8
1071.248943,11215.2
1075.250369,10766.8
1079.245849,11355.2
1083.235393,11105.8
1087.219012,11014.2
1091.196717,11190.2
1095.168518,11317.4
1099.134427,10922.2
1103.094454,11078.2
1107.04861,10985.8
1110.996907,11156.8
1114.939354,11050.8
1118.875963,10937.2
1122.806745,11174
1126.731711,10744.2
1130.650871,10523.6
1134.564236,11218.6
1138.471817,10987.2
1142.373625,10938.2
1146.269671,11091.2
1150.159966,10862
1154.04452,11128
1157.923344,10649.4
1161.79645,10594
1165.663848,10987.8
1169.525549,10774.4
1173.381563,10918.4
1177.231902,10342.6
1181.076576,10401.4
1184.915596,10700.4
1188.748974,10689
1192.576719,10524.2
1196.398844,10390
1200.215357,10490.2
1204.026272,10326.4
1207.831597,10012
1211.631345,10560.2
1215.425525,10145.2
1219.21415,11320.6
1222.997229,10252.8
1226.774773,10270
1230.546794,10489.4
1234.313302,10378.4
1238.074307,10253.6
1241.829822,10282.4
1245.579857,10467.8
1249.324421,10495.2
1253.063528,9953.6
1256.797186,10216.6
1260.525408,10267
1264.248204,10314.4
1267.965584,10210
1271.67756,10013
1275.384142,9885.4
1279.085342,10340.2
1282.781171,10472.8
1286.471638,10190.8
1290.156755,10047.4
1293.836533,10196.2
1297.510983,10555.4
1301.180115,10009.2
1304.843941,10236.6
1308.502471,10299.6
1312.155716,10264.6
1315.803688,9943.8
1319.446396,9992.2
1323.083853,10507.8
1326.716068,10170.2
1330.343053,10573.2
1333.964818,10165.2
1337.581375,10318.8
1341.192735,10034
1344.798907,9987.8
1348.399904,9874
1351.995736,9923
1355.586415,9950.4
1359.17195,10343
1362.752353,9963.4
1366.327635,10009.2
1369.897807,10032.4
1373.462879,10097.2
1377.022864,10220.2
1380.577771,10109.4
1384.127611,9948.4
1387.672397,10042.4
1391.212137,9827.4
1394.746845,9696.4
1398.27653,9836.4
1401.801203,9999.8
1405.320876,10000.6
1408.835559,9656
1412.345264,9458
1415.850001,9674.6
1419.349782,10103.4
1422.844618,9763.8
1426.334519,9706
1429.819496,10014
1433.299561,9679.6
1436.774725,9744.4
1440.244998,9932.2
1443.710393,9685.6
1447.170919,9595.8
1450.626588,9636.8
1454.07741,9910.2
1457.523398,9884.4
1460.964562,9920.8
1464.400914,10043.6
1467.832463,9657
1471.259222,9740
1474.681201,9495.8
1478.098412,9954.6
1481.510866,9802.6
1484.918574,9758.6
1488.321546,9452.8
1491.719795,9667.8
1495.113332,10149.8
1498.502166,9718
1501.886311,9680
1505.265776,9328.6
1508.640573,9687.8
1512.010714,9681
1515.376209,9632.2
1518.737069,9523
1522.093306,9679
1525.444932,9326.2
1528.791957,9350.6
1532.134392,9868.6
1535.472249,9556.6
1538.805539,9644.4
1542.134274,10025
1545.458464,9286.8
1548.778121,10240.2
1552.093256,9910
1555.403881,9320.4
1558.710006,9109
1562.011644,9259.8
1565.308805,9518
1568.6015,9632.4
1571.889742,9476.6
1575.173542,9446.4
1578.45291,9391.4
1581.727858,9717.6
1584.998398,9308.8
1588.264541,9425.6
1591.526299,9357.6
1594.783682,9275.6
1598.036703,9361.4
1601.285372,9361.6
1604.529701,9781.6
1607.769702,9640
1611.005386,9291
