Raman shift [cm-1],Intensity E [1x10-3 M],,,,,,Intensity I [1x10-4 M],,,,,,Intensity D [1x10-5 M],,,,,,Intensity H [1x10-6 M],,,,,,Intensity C [1x10-7 M],,,,,,Intensity G [1x10-8 M],,,,,,Intensity B [1x10-9 M],,,,,,Intensity F [1x10-10 M],,,,,,Intensity A [1x10-11 M],,,,,
,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV,S1,S2,S3,Mean,SD,CV
342.0064218,-31.58683666,-86.38411299,-232.5895064,-116.8534853,84.84026284,-72.60396435,-52.91255865,-28.31298377,-34.58971825,-38.60508689,10.43638379,-27.03370109,-97.79526887,-66.71568134,10.19928847,-51.43722058,45.39294825,-88.24922447,-127.9034953,22.48109589,-122.1226876,-75.84836232,69.56946743,-91.72177922,-39.52845316,-45.52491698,-76.6455731,-53.89964775,16.26903469,-30.18393509,10.81867894,-80.65366543,-95.55613623,-55.13037424,47.02821224,-85.30363323,78.88999251,56.27739698,10.37900338,48.51546429,28.50291923,58.75017307,8.311086445,-45.45443351,155.1569558,39.33786959,84.78690284,215.5350651,-13.44370301,-53.56314479,-31.73099449,-32.9126141,16.39999128,-49.82889305
347.1128486,747.5164304,222.8091967,12.44037096,327.588666,309.104358,94.35746411,-5.8572247,-20.7339175,1030.287444,334.565434,491.9872394,147.0526209,493.2553817,116.2137982,214.388153,274.619111,159.709977,58.15690556,48.54841624,25.33813924,201.5918806,91.82614536,78.19235561,85.15260583,96.42022533,2.598994581,158.1632198,85.72747992,63.95731988,74.605389,53.15971275,111.6907567,135.7177302,100.1893999,34.67148173,34.60593812,47.6136091,51.96931471,13.75040065,37.77777482,17.08272178,45.21897295,-1.368662529,7.377649584,107.0478011,37.68559606,49.17628909,130.4909414,-10.06463176,94.42514906,66.21094695,50.19048808,44.13630328,87.93758531
352.2114498,1250.613437,571.8031268,189.3467498,670.5877714,438.8549875,65.44333289,59.84952878,197.9836835,1827.954806,695.2626728,802.9171243,115.483997,801.6895548,475.4631446,442.5537795,573.235493,162.0991474,28.27793278,174.8946122,67.66115836,451.3217412,231.2925039,161.6259104,69.87944167,196.3561511,116.6716081,280.3687099,197.7988231,66.83684743,33.79031604,54.57379213,245.5842763,301.2565178,200.4715287,105.6392029,52.69536455,78.01752572,89.59085003,64.92534487,77.51124021,10.07601211,12.99942057,75.06866074,111.815904,117.1447035,101.3430894,18.70576074,18.45785524,45.88378731,212.9493171,133.199195,130.6774331,68.22752265,52.21063883
357.3022385,1420.739799,716.1993358,52.43727461,729.7921365,558.6898501,76.55465469,15.43427378,98.00221611,2031.393227,714.943239,931.4808263,130.2873816,739.1105467,389.5247555,495.6244831,541.4199284,146.3454212,27.0299288,91.58280405,-55.98705012,381.5917768,139.0625102,181.7682578,130.7097488,155.4290487,0.257222895,211.7926807,122.4929841,89.44421257,73.01986577,-77.82796915,164.8419534,195.2977024,94.10389555,122.2083269,129.8653219,-37.86549484,-48.39583782,-8.762023469,-31.67445204,16.76219095,-52.92022393,-18.85265035,46.52418127,-46.39559625,-6.241355111,38.96840463,-624.358075,0.326201688,135.8945555,54.44273169,63.55449629,55.7193134,87.67170956
362.3852277,1359.010599,919.6087923,-6.313266681,757.435375,569.0650096,75.13050333,40.37832216,165.2926429,1870.411635,692.0275332,834.8024576,120.6313936,698.7923897,245.0449189,606.4431497,516.7601528,195.7957639,37.88909863,78.36373564,7.812791892,401.4912658,162.5559311,171.3902555,105.4346368,169.7369762,0.869871747,151.0925378,107.2331286,75.59435858,70.49534,-64.29780728,84.62021992,117.592304,45.97157223,79.12560321,172.1185493,-70.99919391,-37.42860886,-15.26854713,-41.23211663,22.91035066,-55.56433318,-17.18999455,38.06751412,-35.44652198,-4.856334136,31.25345592,-643.560658,-16.63746244,154.0967497,16.46825533,51.30918087,73.9277141,144.0828188
367.4604303,1214.428761,1388.279799,210.2507939,937.6531179,519.2248399,55.37493876,296.2799857,470.0479258,1723.76869,830.0322004,635.9363221,76.61586162,748.0432962,397.2010268,782.7712441,642.6718557,174.1521432,27.09814374,234.9227891,150.6751193,483.4368243,289.6782442,141.2591188,48.76414492,222.7626903,138.1739219,157.8455768,172.9273963,36.1424118,20.90033886,94.1164857,97.99222185,97.41408966,96.50759907,1.707166575,1.768945235,20.72148348,57.64493665,36.81180389,38.39274134,15.11533153,39.3702846,67.77463784,69.69932997,78.94090881,72.13829221,4.873930957,6.756371419,62.46908729,316.0048826,61.80026171,146.7580772,119.6758753,81.54636362
372.5278593,1170.724053,2171.423025,484.9685561,1275.705212,692.4824675,54.28232645,465.3256491,672.9036135,1705.416816,947.8820261,542.3199369,57.21386438,780.3651747,330.1925457,1052.878724,721.1454815,297.9922338,41.32206905,126.4178169,138.6552659,390.8431845,218.6387558,121.8693638,55.74005549,185.1493251,97.10647382,122.7002242,134.985341,36.97818264,27.394221,36.82428841,91.18547232,16.30878704,48.10618259,31.59209133,65.67158238,14.14684268,4.113006973,6.970537029,8.410128893,4.220883264,50.18809245,67.95213363,85.68101872,36.90504927,63.51273387,20.15862101,31.73949503,77.4642277,330.7052608,55.27179879,154.4804291,124.9387035,80.87671963
377.5875278,1399.175499,4591.936717,1396.540656,2462.550957,1505.703495,61.14405431,1191.649506,1738.022684,2034.226091,1654.632761,348.9978366,21.09216286,1236.876349,1000.045499,2204.247571,1480.389806,520.8965095,35.18644261,556.4475773,500.4482459,621.0610497,559.3189576,49.28181362,8.811039381,347.7842212,540.4005727,125.3911493,337.8586478,169.5721933,50.19027764,280.0897003,235.5544575,133.6947519,216.4463032,61.27376494,28.3089912,186.1991161,320.7791406,205.4726855,237.4836474,59.42206104,25.02153799,235.0342703,548.2771134,209.7797855,331.0303897,153.962228,46.50999809,462.8765103,921.5524224,147.6869185,510.7052837,317.7343211,62.21480983
382.6394485,1875.717992,9367.436387,3098.900023,4780.684801,3281.540406,68.64163908,2463.164455,3935.004163,2827.957007,3075.375208,625.8273758,20.34962674,2371.239113,2036.027851,4937.74612,3115.004361,1296.117867,41.60886203,1359.129785,1281.46961,1326.64442,1322.414605,31.84539918,2.408125187,792.9564319,1428.040002,194.838297,805.2782436,503.5278752,62.52843401,591.2160489,615.770075,357.1661976,521.3841072,116.5514662,22.35424223,521.8853319,537.5432895,488.7072471,516.0452895,20.36040814,3.945469236,410.6277942,1508.076268,409.754008,776.1526901,517.5482482,66.68124131,1001.897364,1896.342343,336.851902,1078.36387,638.9512001,59.25191098
387.6836344,2548.029257,14659.13179,5105.513198,7437.558083,5212.071001,70.07771829,4045.734371,6673.68309,3904.697298,4874.70492,1273.372087,26.12203421,3822.339256,3458.671429,8652.331787,5311.114158,2367.257909,44.57177606,2382.971283,2306.917323,2278.380842,2322.756483,44.14332204,1.900471374,1390.819688,2663.025701,314.3010766,1456.048822,959.9715172,65.92989896,884.3297312,1020.379801,643.3992918,849.3696079,155.8743804,18.35177277,892.841943,841.3346039,834.2878248,856.1547906,26.10076168,3.048603123,621.490301,2834.968681,607.4322924,1354.630425,1046.772953,77.27369277,1616.148363,3003.068519,522.076533,1713.764472,1015.20999,59.23859475
392.7200985,3195.974111,16386.51047,6289.100046,8623.861542,5632.400069,65.31181004,4791.487894,7939.03968,4923.067977,5884.53185,1453.749209,24.70458562,4733.619174,4714.965459,10841.09846,6763.227697,2883.500124,42.63497036,3020.847636,2975.318629,2939.930784,2978.699016,33.12053226,1.111912687,1785.636175,3547.237424,460.4414553,1931.105018,1264.370259,65.47392539,1069.150072,1161.864662,890.7020604,1040.572265,112.5309068,10.81432886,1074.353599,1112.151874,1111.886721,1099.464064,17.75611052,1.614978706,826.1770364,3784.970364,767.9547679,1793.034056,1408.712213,78.56583696,1986.56741,3624.560301,672.1809631,2094.436225,1207.714839,57.66300377
397.7488534,3692.029621,13912.68205,6065.621103,7890.110926,4367.455886,55.35354227,4064.151977,6676.114364,5656.633065,5465.633135,1074.848085,19.6655732,4626.518025,4662.446735,9951.106299,6413.35702,2501.609507,39.00624119,2713.624534,2754.038646,2860.176622,2775.946601,61.80262937,2.226362328,1690.838172,3306.511826,534.4749502,1843.941649,1136.845817,61.65302557,879.0317196,1076.129901,931.2222226,962.1279477,83.37983827,8.666190237,968.4137883,926.4921246,1038.952887,977.9529334,46.40475722,4.745091061,806.5116736,3681.103802,639.3104138,1708.975296,1396.17506,81.69662036,1788.995611,3212.051869,661.3443836,1887.463954,1043.647188,55.29362221
402.7699121,4174.921604,10423.93265,5653.018908,6750.624386,2666.594344,39.50144745,3052.545502,4692.93667,6016.3987,4587.293624,1212.29171,26.4271662,4013.619479,4143.75446,7325.930248,5161.101396,1531.686815,29.67751837,2189.488126,2099.102226,2381.512049,2223.367467,117.7559178,5.296286805,1365.406789,2553.097239,511.7391223,1476.747717,837.0915288,56.68480264,729.4917536,917.0297343,942.2693001,862.9302627,94.91622869,10.99929308,830.6350919,768.257925,873.6574293,824.183482,43.27032338,5.250083789,765.7777763,2919.312552,531.1991496,1405.429826,1074.751898,76.47140245,1388.649563,2502.230987,554.9342927,1481.938281,797.7126434,53.82900582
407.7832873,4154.40417,7593.115257,5024.766404,5590.761944,1459.782335,26.11061514,2066.308406,2927.791176,5586.793602,3526.964394,1498.379216,42.48353679,3166.061759,3246.824908,4557.498959,3656.795209,637.7466092,17.4400417,1482.980538,1216.747519,1668.673471,1456.133843,185.4720559,12.7372945,907.9528366,1544.110575,331.9884614,928.017291,495.0501263,53.34492483,404.9011185,573.8405107,742.8302518,573.8572937,137.9589915,24.04064443,459.4349638,405.4705139,528.0500764,464.3185181,50.16189864,10.80333794,516.7589854,1876.721271,306.8820696,900.1207755,695.8560561,77.30696537,781.6200139,1642.121945,392.1642177,938.6353922,522.2317185,55.6373351
412.7889918,3572.031875,5167.238613,3837.577712,4192.282733,697.8695551,16.64652886,1272.060203,1576.948787,4397.661295,2415.556762,1407.075703,58.25057497,2206.494134,2103.449547,2486.362144,2265.435275,161.7839253,7.141405765,820.6222475,523.9756621,962.5814356,769.0597817,182.7343647,23.76074903,492.4223986,673.4502362,91.1872888,419.0199745,243.3084077,58.06606426,73.78903556,236.0358501,435.8100094,248.544965,148.0588956,59.57026551,109.5865915,132.6947951,200.8567199,147.7127022,38.74456721,26.22967872,196.5161334,918.9951563,32.2968589,382.6027162,385.1663103,100.6700407,318.4175672,833.4157305,194.8317559,448.8883512,276.5433568,61.60626714
