Ramanshift[cm-1],Intensity
-93.47115107,13867.6
-87.69374369,12492.2
-81.9253076,12305.6
-76.16582701,12441
-70.41528615,12340.4
-64.67366933,12181.8
-58.94096086,12120.4
-53.21714512,12406.2
-47.50220652,12462.2
-41.79612954,12477.2
-36.09889866,12963.4
-30.41049843,12982.8
-24.73091343,12650.2
-19.0601283,12669.8
-13.39812769,12511.4
-7.744896327,12254.6
-2.100418946,12027.8
3.535319659,12755.6
9.162334658,12067
14.78064118,12370.6
20.39025432,12067.8
25.99118913,12067
31.58346061,12529.8
37.16708375,12320.8
42.74207347,11989.8
48.30844468,12057.4
53.86621222,11922.6
59.41539093,11611.6
64.95599558,11596
70.48804091,11985.6
76.01154164,12144.4
81.52651243,11451.8
87.03296792,11958.4
92.5309227,12216.2
98.02039134,11616.2
103.5013884,11899.2
108.9739282,11755.8
114.4380255,11644.2
119.8936944,11953.8
125.3409495,12882.8
130.779805,11610.2
136.2102753,11456.6
141.6323747,11577.4
147.0461174,12088.6
152.4515176,11641
157.8485895,11723.8
163.2373472,11561.6
168.6178049,11825.2
173.9899766,12172.4
179.3538764,11640.4
184.7095182,11721.4
190.0569161,11874.2
195.396084,12162
200.7270358,11567.2
206.0497854,11501.8
211.3643466,11359.4
216.6707333,11683.8
221.9689593,11299.2
227.2590382,11588.6
232.5409839,11353.2
237.8148101,11328.2
243.0805303,11543.4
248.3381582,11521.2
253.5877075,11267.6
258.8291917,11484.4
264.0626244,11653.2
269.288019,11633
274.5053891,11864.4
279.7147481,11422.8
284.9161094,11291.2
290.1094865,11435.6
295.2948927,11785.4
300.4723414,12716.8
305.6418459,12966
310.8034194,13274.8
315.9570752,14276
321.1028267,14395.2
326.2406869,14433.8
331.370669,14558
336.4927863,14451.4
341.6070517,14596.8
346.7134786,14352.8
351.8120798,14717.6
356.9028684,14358
361.9858576,14453
367.0610602,14833
372.1284892,14548.4
377.1881577,15028
382.2400784,15075
387.2842644,15345.4
392.3207284,15737
397.3494833,15195
402.370542,15406.8
407.3839172,14644.6
412.3896217,14435.2
417.3876683,13932.4
422.3780697,14117.2
427.3608386,14119.2
432.3359876,14550.8
437.3035295,14637.6
442.2634769,14731.6
447.2158423,14039.2
452.1606383,14062
457.0978776,14348
462.0275727,13592
466.9497361,14265.2
471.8643802,13707.8
476.7715176,14230
481.6711608,14030.4
486.5633221,14217.8
491.448014,14038.6
496.3252488,13946.8
501.195039,14035.4
506.0573969,14347.8
510.9123349,14069.2
515.7598651,13479
520.6,14021.6
525.4327518,13966.2
530.2581327,14091.6
535.076155,13591.6
539.8868309,13922.8
544.6901726,14191.4
549.4861922,13861.4
554.2749019,14649
559.0563139,13735.6
563.8304402,13631.4
568.597293,14538
573.3568844,14260
578.1092263,13835.8
582.8543308,14314.6
587.5922101,14162.2
592.322876,13842.8
597.0463405,13836
601.7626157,14227
606.4717135,13801.4
611.1736458,13784.8
615.8684246,13875.8
620.5560617,14108
625.2365691,13889.4
629.9099585,14287.6
634.5762419,14604
639.2354312,13838.4
643.887538,14121.8
648.5325743,13690.8
653.1705518,13678.4
657.8014823,13967.6
662.4253775,13368.4
667.0422493,13685.6
671.6521092,13651.4
676.2549691,13966.2
680.8508407,13853.8
685.4397355,13752.6
690.0216654,13810
694.5966419,13550.8
699.1646767,14088.4
703.7257814,13730
708.2799676,13970
712.827247,13974.2
717.367631,13909.8
721.9011314,13795
726.4277595,13235.6
730.9475271,13880.4
735.4604456,13804.8
739.9665264,14278
744.4657813,13748.2
748.9582215,13738.8
753.4438587,13358.4
757.9227042,13171.6
762.3947696,13711.6
766.8600662,13372.8
771.3186056,14693.6
775.770399,13611
780.215458,13995.4
784.6537939,13381.8
789.0854181,13261
793.510342,13244.2
797.9285769,13829.8
802.3401342,13334.4
806.7450253,13509.8
811.1432614,13485.4
815.5348538,13460.8
819.9198139,13169.8
824.2981531,13398.6
828.6698824,13516
833.0350133,13435.6
837.393557,13125.2
841.7455248,13458.4
846.0909278,13371.4
850.4297774,13176.6
854.7620848,13315.8
859.0878611,13512.4
863.4071176,12899.4
867.7198655,13399.4
872.026116,13703.8
876.3258802,14072.6
880.6191693,13596.6
884.9059946,13573.2
889.186367,14015.4
893.4602979,12985.6
897.7277982,12892.6
901.9888793,13283.4
906.2435521,13756
910.4918277,13112.8
914.7337174,13021.4
918.9692321,12905.8
923.1983831,13570.4
927.4211813,13317.6
931.6376378,13940.4
935.8477637,13333
940.0515701,13505
944.249068,13544.2
948.4402684,12800.4
952.6251825,13627.4
956.8038212,13237
960.9761955,13802.2
965.1423166,13428.2
969.3021953,13376.6
973.4558427,13283.4
977.6032699,13166.2
981.7444877,13361.8
985.8795072,13213.2
990.0083394,13349.2
994.1309953,13106.6
998.2474857,13475.8
1002.357822,12579.8
1006.462014,13057.4
1010.560075,12885
1014.652013,13306
1018.737841,13617.8
1022.81757,13143.8
1026.891209,13010.4
1030.958771,12967.4
1035.020266,13320.8
1039.075705,13065.2
1043.1251,12819.2
1047.16846,13139.4
1051.205797,12973
1055.237121,12698.6
1059.262444,12606.8
1063.281777,12440
1067.295131,12486.2
1071.302515,13695
1075.303942,13217.4
1079.299422,14214.8
1083.288966,13694
1087.272585,13286
1091.250289,13181.8
1095.222091,13206
1099.187999,12895.6
1103.148026,13022.6
1107.102183,12891
1111.050479,13104.6
1114.992927,12953.6
1118.929536,12853
1122.860318,13188.8
1126.785283,12644
1130.704443,12466
1134.617808,13132.2
1138.52539,13190
1142.427198,12952.4
1146.323244,13122
1150.213538,12792
1154.098093,13185.8
1157.976917,12622.8
1161.850023,12552
1165.717421,13125.8
1169.579121,12923.4
1173.435135,13256.4
1177.285474,12365.4
1181.130148,12497.6
1184.969169,12860.8
1188.802547,12839.4
1192.630292,12470.2
1196.452416,12287.4
1200.26893,12410
1204.079844,12167.2
1207.88517,11809.8
1211.684917,12480
1215.479098,12097.4
1219.267722,13558
1223.050801,12226
1226.828346,12207.8
1230.600366,12474.4
1234.366874,12606.6
1238.12788,12246.8
1241.883395,12276.4
1245.633429,12569
1249.377994,12689.4
1253.1171,11795.4
1256.850759,12296.4
1260.578981,12149.2
1264.301776,12361.2
1268.019157,12200.6
1271.731133,11898.4
1275.437715,11866.2
1279.138915,12478.6
1282.834743,12546.4
1286.52521,12184.6
1290.210328,11976.6
1293.890106,12078.2
1297.564555,12667
1301.233688,11986.4
1304.897514,12404
1308.556044,12498.2
1312.209289,12384
1315.857261,11954.2
1319.499969,12011.8
1323.137425,12804.8
1326.769641,12311.8
1330.396626,12807.2
1334.018391,12234.6
1337.634948,12431.4
1341.246307,12131.8
1344.85248,12025
1348.453477,11920.2
1352.049309,11809.8
1355.639987,11929
1359.225522,12643.2
1362.805925,12169.8
1366.381207,12242.6
1369.951379,12281.4
1373.516452,12217.8
1377.076436,12479.8
1380.631343,12269.4
1384.181184,12139.2
1387.725969,12144.8
1391.26571,11817.4
1394.800417,11761.6
1398.330102,12027.8
1401.854776,12236.6
1405.374448,12144.8
1408.889132,11708.6
1412.398837,11388
1415.903574,11699
1419.403355,12406
1422.89819,11867.6
1426.388091,11828.2
1429.873069,12303.2
1433.353134,11733.6
1436.828298,11776.4
1440.298571,11934.8
1443.763965,11803.2
1447.224491,11581.6
1450.68016,11676.6
1454.130983,12162.6
1457.576971,12127
1461.018135,12288.2
1464.454486,12393.8
1467.886036,11897.6
1471.312794,12060.2
1474.734774,11597
1478.151985,12453
1481.564439,12005
1484.972146,12031.6
1488.375119,11687
1491.773368,12003.2
1495.166904,12757.6
1498.555739,11907.6
1501.939883,12035.8
1505.319349,11606.2
1508.694146,11925.4
1512.064286,12053.6
1515.429781,11913.6
1518.790642,11812.2
1522.146879,11991
1525.498505,11613.4
1528.845529,11558.2
1532.187965,12159
1535.525822,11897
1538.859112,11858.8
1542.187846,12491.8
1545.512036,11608.2
1548.831693,12936
1552.146829,12263
1555.457453,11651.6
1558.763579,11325
1562.065216,11664.2
1565.362377,11967.4
1568.655073,12255.4
1571.943315,12019.8
1575.227114,12093
1578.506482,11902.4
1581.781431,12492.2
1585.051971,12191.8
1588.318114,12181.6
1591.579872,12158.4
1594.837255,11954.8
1598.090275,11887.2
1601.338945,11724.2
1604.583274,12258
1607.823275,11905.4
1611.058959,11439.2
1614.290338,12653
1617.517422,11295
1620.740224,11764.2
1623.958755,11426.4
1627.173027,11587.4
1630.38305,11123.6
1633.588838,11650.8
1636.7904,11398.8
1639.987749,11650.6
1643.180896,11870
1646.369853,11152.8
1649.554632,12019
1652.735244,11454.8
1655.9117,11061
1659.084013,11536
1662.252193,12110
1665.416254,11207
1668.576205,11470
1671.732059,11714.2
1674.883828,11854.8
1678.031523,11305.4
1681.175157,11581.8
1684.314739,11442.8
1687.450284,11505.8
1690.581801,11316.2
1693.709304,11282.4
1696.832803,11219.6
1699.952311,11424
1703.067839,11472.2
1706.179399,11404.8
1709.287003,11810.2
1712.390663,11378.6
1715.49039,11416.2
1718.586197,11925
1721.678095,11672.6
1724.766096,11724
1727.850213,11080
1730.930456,11397.8
1734.006838,11264
1737.079372,11605.6
1740.148067,11187
1743.212938,12284.6
1746.273996,11459.2
1749.331252,11399.2
1752.384718,11458.8
1755.434408,11518.4
1758.480332,11498.8
1761.522503,11509.6
1764.560933,11328.4
1767.595634,11052.4
1770.626618,11734.6
1773.653896,11705
1776.677482,11421.6
1779.697388,11339
1782.713625,11902
1785.726205,11871.2
1788.735141,11759.6
1791.740445,11317.8
1794.742129,11228.8
1797.740206,11799.4
1800.734687,11850.6
1803.725585,11577.4
1806.712912,11694.2
1809.69668,11302.6
1812.676902,11353.6
1815.65359,11078.6
1818.626756,11150
1821.596413,11343.2
1824.562573,11076.4
1827.525247,11372.6
1830.48445,11160.2
1833.440192,11287.4
1836.392487,11244.4
1839.341347,11475
1842.286784,11437.4
1845.22881,10906.8
1848.167439,11544.8
1851.102682,11297.2
1854.034553,11263
1856.963063,11111.8
1859.888226,11978.6
1862.810053,11486.4
1865.728557,11295.2
1868.643751,11090.8
1871.555648,11090.2
1874.46426,10837
1877.369599,11472.6
1880.271679,11249.2
1883.170512,11202.8
1886.06611,11616.8
1888.958487,11294.4
1891.847655,11228.8
1894.733626,11408.6
1897.616414,11469
1900.496032,11051.6
1903.372491,11373.4
1906.245805,11656.2
1909.115987,11606
1911.983049,11696.8
1914.847004,11591.8
1917.707866,11686.6
1920.565646,11653.2
1923.420359,11202.4
1926.272016,11514.8
1929.120631,11171
1931.966216,11371
1934.808786,11345.6
1937.648351,11533.2
1940.484927,11515.4
1943.318525,11625.4
1946.149158,11771.2
1948.97684,12869.6
1951.801584,11875.4
1954.623403,11674.6
1957.44231,11757.2
1960.258318,11287.4
1963.071439,11209
1965.881688,11472
1968.689078,11586.4
1971.493621,11358
