Ramanshift[cm-1],Intensity
-93.47115107,13398.4
-87.69374369,12149
-81.9253076,11842.8
-76.16582701,12054.8
-70.41528615,12127.2
-64.67366933,11757.6
-58.94096086,11798.4
-53.21714512,12079.2
-47.50220652,12102
-41.79612954,12124.4
-36.09889866,12585.2
-30.41049843,12730.4
-24.73091343,12241.6
-19.0601283,12321.4
-13.39812769,12086
-7.744896327,11831.4
-2.100418946,11684.6
3.535319659,12423.4
9.162334658,11771.8
14.78064118,12032.4
20.39025432,11737.8
25.99118913,11706.4
31.58346061,12142.8
37.16708375,12047.2
42.74207347,11665.8
48.30844468,11756.4
53.86621222,11549
59.41539093,11341.2
64.95599558,11223
70.48804091,11663.8
76.01154164,11734.6
81.52651243,11186.6
87.03296792,11583.8
92.5309227,12055.6
98.02039134,11312
103.5013884,11436.4
108.9739282,11432
114.4380255,11470.4
119.8936944,11556
125.3409495,12417.4
130.779805,11294.6
136.2102753,11146.6
141.6323747,11126.4
147.0461174,11724.6
152.4515176,11415.4
157.8485895,11318.4
163.2373472,11186.4
168.6178049,11445.2
173.9899766,11689.6
179.3538764,11371.6
184.7095182,11472.6
190.0569161,11596.8
195.396084,11793.6
200.7270358,11167
206.0497854,11200.4
211.3643466,10968.4
216.6707333,11384.4
221.9689593,11108.6
227.2590382,11115.6
232.5409839,11230.8
237.8148101,11100.8
243.0805303,11168.6
248.3381582,11157
253.5877075,10999.4
258.8291917,11171.6
264.0626244,11261.4
269.288019,11361.4
274.5053891,11522.4
279.7147481,11250.4
284.9161094,11049.4
290.1094865,11251.4
295.2948927,11997.6
300.4723414,13742
305.6418459,15036.2
310.8034194,16467
315.9570752,17749
321.1028267,18049.4
326.2406869,18081.6
331.370669,18282.2
336.4927863,18500.2
341.6070517,18741.4
346.7134786,18711.4
351.8120798,19084.6
356.9028684,18825.2
361.9858576,18903
367.0610602,19261
372.1284892,19131.6
377.1881577,19922.4
382.2400784,20896.6
387.2842644,22195.6
392.3207284,23083.8
397.3494833,22118.4
402.370542,21640
407.3839172,20043.8
412.3896217,19151.4
417.3876683,18323.6
422.3780697,18034
427.3608386,17946.6
432.3359876,18151
437.3035295,18361.6
442.2634769,18448.6
447.2158423,17713
452.1606383,17610.6
457.0978776,17794.2
462.0275727,17191.6
466.9497361,17717.2
471.8643802,17105.2
476.7715176,17605.4
481.6711608,17604.6
486.5633221,17857
491.448014,17518.4
496.3252488,17508.8
501.195039,17510
506.0573969,17741.2
510.9123349,17595
515.7598651,16972.2
520.6,17388.8
525.4327518,17318.8
530.2581327,17284
535.076155,16661.2
539.8868309,17214.2
544.6901726,17264
549.4861922,16922.6
554.2749019,17814.2
559.0563139,16979.2
563.8304402,16737
568.597293,17720
573.3568844,17404.6
578.1092263,16860.4
582.8543308,17303.4
587.5922101,17248.6
592.322876,16827.4
597.0463405,16941.6
601.7626157,17352
606.4717135,16851.8
611.1736458,16951
615.8684246,17095.4
620.5560617,17210.8
625.2365691,16976.4
629.9099585,17310.6
634.5762419,17496.2
639.2354312,16952.6
643.887538,17105.8
648.5325743,16767
653.1705518,16821
657.8014823,16924
662.4253775,16278.2
667.0422493,16756.2
671.6521092,16631.8
676.2549691,16836.6
680.8508407,16790.6
685.4397355,16614.4
690.0216654,16734
694.5966419,16510.4
699.1646767,17096.4
703.7257814,16812.2
708.2799676,16946.4
712.827247,17020
717.367631,16780.8
721.9011314,16734.2
726.4277595,16097.6
730.9475271,16611
735.4604456,16644.2
739.9665264,17076.6
744.4657813,16492.6
748.9582215,16430.8
753.4438587,15949.2
757.9227042,15983.8
762.3947696,16320
766.8600662,15991.2
771.3186056,17431.4
775.770399,16380.6
780.215458,16606.2
784.6537939,15973.2
789.0854181,15960.2
793.510342,16006
797.9285769,16523.6
802.3401342,16059.6
806.7450253,16203.4
811.1432614,16018.6
815.5348538,15883.6
819.9198139,15590.4
824.2981531,15718
828.6698824,15668.8
833.0350133,15499.2
837.393557,15353.4
841.7455248,15660.8
846.0909278,15480.6
850.4297774,15401
854.7620848,15389
859.0878611,15777.8
863.4071176,15102.8
867.7198655,15651.4
872.026116,15858.4
876.3258802,16297.8
880.6191693,15840.6
884.9059946,16009.2
889.186367,16369.4
893.4602979,15225.2
897.7277982,15192.6
901.9888793,15607.6
906.2435521,16061.6
910.4918277,15504.8
914.7337174,15547.8
918.9692321,15453
923.1983831,16013
927.4211813,15854.6
931.6376378,16422
935.8477637,15866.4
940.0515701,16025.8
944.249068,16053.4
948.4402684,15381.8
952.6251825,16253.8
956.8038212,15805
960.9761955,16441
965.1423166,15952.6
969.3021953,16028.8
973.4558427,16092.2
977.6032699,15801.2
981.7444877,15920
985.8795072,15864.2
990.0083394,16001.2
994.1309953,15581.8
998.2474857,16040.2
1002.357822,15263.8
1006.462014,15710.8
1010.560075,15423.6
1014.652013,15754
1018.737841,15867.4
1022.81757,15356.2
1026.891209,15284.8
1030.958771,15165.8
1035.020266,15462.8
1039.075705,15256.2
1043.1251,15118
1047.16846,15287.2
1051.205797,15162.6
1055.237121,14951
1059.262444,14983.8
1063.281777,14977.4
1067.295131,15514.6
1071.302515,17327.8
1075.303942,17484.2
1079.299422,18409.2
1083.288966,17282.8
1087.272585,16346.2
1091.250289,15814.8
1095.222091,15495
1099.187999,15135
1103.148026,15165.4
1107.102183,14938
1111.050479,15191.2
1114.992927,15079.2
1118.929536,14876.6
1122.860318,15374.8
1126.785283,14730
1130.704443,14738.8
1134.617808,15551.4
1138.52539,15549.2
1142.427198,15519.2
1146.323244,15444.2
1150.213538,15022.6
1154.098093,15454.6
1157.976917,14894.2
1161.850023,14815
1165.717421,15420.8
1169.579121,15221.8
1173.435135,15747
1177.285474,15072
1181.130148,15250.8
1184.969169,15340.6
1188.802547,15167.4
1192.630292,14734.6
1196.452416,14450.4
1200.26893,14432
1204.079844,14088.4
1207.88517,13861
1211.684917,14565.2
1215.479098,14105.8
1219.267722,15608.8
1223.050801,14199.4
1226.828346,14201.6
1230.600366,14338.4
1234.366874,14586.6
1238.12788,14309.8
1241.883395,14381.6
1245.633429,14776
1249.377994,14698.8
1253.1171,13900.2
1256.850759,14339.2
1260.578981,14216.4
1264.301776,14325.6
1268.019157,14239.8
1271.731133,14113.2
1275.437715,13873.2
1279.138915,14483.8
1282.834743,14661.6
1286.52521,14359.4
1290.210328,14092.4
1293.890106,14238.4
1297.564555,14644.6
1301.233688,14045.2
1304.897514,14336
1308.556044,14465
1312.209289,14401.2
1315.857261,13967.2
1319.499969,14026.4
1323.137425,14681.6
1326.769641,14278.2
1330.396626,14829.4
1334.018391,14244.6
1337.634948,14371.6
1341.246307,14177
1344.85248,14022
1348.453477,13889.2
1352.049309,13955
1355.639987,13917.4
1359.225522,14575.6
1362.805925,14034
1366.381207,14114.6
1369.951379,14106.4
1373.516452,14256.4
1377.076436,14382.8
1380.631343,14222.2
1384.181184,14133
1387.725969,14243.8
1391.26571,13924.8
1394.800417,13764.6
1398.330102,13871.4
1401.854776,14122.4
1405.374448,13979.8
1408.889132,13562.4
1412.398837,13311.4
1415.903574,13727.2
1419.403355,14329.4
1422.89819,13860
1426.388091,13843.2
1429.873069,14298.6
1433.353134,13678.6
1436.828298,13811
1440.298571,13849
1443.763965,13522.8
1447.224491,13363
1450.68016,13460.4
1454.130983,13879.8
1457.576971,13662.8
1461.018135,13880.8
1464.454486,13936.4
1467.886036,13615.2
1471.312794,13564.6
1474.734774,13181.6
1478.151985,13838
1481.564439,13687.6
1484.972146,13636.2
1488.375119,13227.8
1491.773368,13611.8
1495.166904,14231.4
1498.555739,13556.2
1501.939883,13636.8
1505.319349,13148.2
1508.694146,13490.4
1512.064286,13575.8
1515.429781,13529.8
1518.790642,13212.8
1522.146879,13390
1525.498505,12967.6
1528.845529,12963.6
1532.187965,13713.6
1535.525822,13243.2
1538.859112,13295
1542.187846,13953.2
1545.512036,12939.4
1548.831693,14302.4
1552.146829,13821.6
1555.457453,13182.8
1558.763579,12951.8
1562.065216,13449.6
1565.362377,13651
1568.655073,14061.4
1571.943315,13928.4
1575.227114,13912.2
1578.506482,14023.6
1581.781431,14700.8
1585.051971,14302.6
1588.318114,14523.6
1591.579872,14349.6
1594.837255,13884.2
1598.090275,13533.8
1601.338945,13259.6
1604.583274,13498.4
1607.823275,13118
1611.058959,12738.8
1614.290338,13794.2
1617.517422,12494.8
1620.740224,12847.8
1623.958755,12472.4
1627.173027,12558.4
1630.38305,12286.2
1633.588838,12710
1636.7904,12448
1639.987749,12559.6
1643.180896,12662
1646.369853,12077.8
1649.554632,12873
1652.735244,12276.4
1655.9117,11850.4
1659.084013,12349.8
1662.252193,12847.8
1665.416254,12006.4
1668.576205,12288
1671.732059,12514.8
1674.883828,12457.4
1678.031523,12075.6
1681.175157,12125.6
1684.314739,12049
1687.450284,12007.6
1690.581801,11921.4
1693.709304,11732.4
1696.832803,11776
1699.952311,12028.6
1703.067839,12063
1706.179399,11907.4
1709.287003,12376.6
1712.390663,11949.2
1715.49039,11934.4
1718.586197,12375.2
1721.678095,12158
1724.766096,12132.6
1727.850213,11611.4
1730.930456,11892.2
1734.006838,11656.8
1737.079372,12041.8
1740.148067,11590.6
1743.212938,12698
1746.273996,11868.6
1749.331252,11812.4
1752.384718,11906.4
1755.434408,11992.8
1758.480332,11935
1761.522503,11840
1764.560933,11724.2
1767.595634,11393
1770.626618,12116
1773.653896,12187.6
1776.677482,11726.8
1779.697388,11660.8
1782.713625,12278
1785.726205,12239.4
1788.735141,12144.8
1791.740445,11798.8
1794.742129,11583.8
1797.740206,12074.8
1800.734687,12168.4
1803.725585,11956.4
1806.712912,11973.4
1809.69668,11669.2
1812.676902,11719.6
1815.65359,11419.4
1818.626756,11532.6
1821.596413,11713.2
1824.562573,11368.2
1827.525247,11632.4
1830.48445,11500.2
1833.440192,11644.4
1836.392487,11565.2
1839.341347,11716.4
1842.286784,11716.8
1845.22881,11349.6
1848.167439,11856
1851.102682,11617.2
1854.034553,11579
1856.963063,11443.6
1859.888226,12319
1862.810053,11799.2
1865.728557,11597
1868.643751,11359
1871.555648,11393.6
1874.46426,11152.2
1877.369599,11771.4
1880.271679,11568.6
1883.170512,11497.6
1886.06611,11818.2
1888.958487,11600
1891.847655,11457.6
1894.733626,11691.2
1897.616414,11712.4
1900.496032,11293.8
1903.372491,11632.6
1906.245805,11838
1909.115987,11865
1911.983049,11891.2
1914.847004,11836.8
1917.707866,11869
1920.565646,11871.2
1923.420359,11382.8
1926.272016,11720.8
1929.120631,11455.4
1931.966216,11602
1934.808786,11521.4
1937.648351,11745
1940.484927,11680
1943.318525,11845.6
1946.149158,12047
1948.97684,13044.6
1951.801584,12019.8
1954.623403,11782.6
1957.44231,11923.4
1960.258318,11412.2
1963.071439,11470
1965.881688,11670.6
1968.689078,11727.2
1971.493621,11554.2
