Ramanshift[cm-1],Intensity
-93.47115107,12915.4
-87.69374369,11780
-81.9253076,11663.2
-76.16582701,11620.4
-70.41528615,11780.4
-64.67366933,11461.2
-58.94096086,11513.6
-53.21714512,11601.4
-47.50220652,11803.4
-41.79612954,11794.8
-36.09889866,12210.4
-30.41049843,12267
-24.73091343,11905.4
-19.0601283,11999
-13.39812769,11743
-7.744896327,11571.8
-2.100418946,11292.6
3.535319659,11984.8
9.162334658,11433
14.78064118,11687.8
20.39025432,11382.6
25.99118913,11374.2
31.58346061,11925.4
37.16708375,11655
42.74207347,11374.2
48.30844468,11316.8
53.86621222,11297.6
59.41539093,10996
64.95599558,10910.6
70.48804091,11258.2
76.01154164,11267.2
81.52651243,10809
87.03296792,11342.2
92.5309227,11616.2
98.02039134,10903
103.5013884,11249.2
108.9739282,11027
114.4380255,11155.8
119.8936944,11292.4
125.3409495,12048.4
130.779805,11044
136.2102753,10826.4
141.6323747,10879.2
147.0461174,11514.2
152.4515176,10936.6
157.8485895,10990.8
163.2373472,10899.2
168.6178049,11118.2
173.9899766,11469.8
179.3538764,10935.4
184.7095182,11079.2
190.0569161,11214.4
195.396084,11452
200.7270358,10868.4
206.0497854,10961
211.3643466,10625.2
216.6707333,11056
221.9689593,10651.6
227.2590382,10900.4
232.5409839,10846
237.8148101,10772.4
243.0805303,10901.8
248.3381582,10794.6
253.5877075,10733.2
258.8291917,10788.8
264.0626244,10945.4
269.288019,11083.8
274.5053891,11176.6
279.7147481,10857.6
284.9161094,10712
290.1094865,10833
295.2948927,11274.2
300.4723414,12514.8
305.6418459,13230.2
310.8034194,13850
315.9570752,14838.2
321.1028267,15061.4
326.2406869,15177.2
331.370669,15510.4
336.4927863,15543
341.6070517,15733.2
346.7134786,15730.6
351.8120798,15955
356.9028684,15872.4
361.9858576,16048.2
367.0610602,16408.8
372.1284892,16614.4
377.1881577,17993.6
382.2400784,20394.4
387.2842644,23198
392.3207284,24256.2
397.3494833,22124.6
402.370542,20019.6
407.3839172,17851.4
412.3896217,16355.4
417.3876683,15496.6
422.3780697,15309.8
427.3608386,15123.8
432.3359876,15295.4
437.3035295,15448.4
442.2634769,15493.4
447.2158423,14740.8
452.1606383,14749.2
457.0978776,14890.6
462.0275727,14362.6
466.9497361,14786.6
471.8643802,14281
476.7715176,14751.8
481.6711608,14723.8
486.5633221,14937.8
491.448014,14731
496.3252488,14707.4
501.195039,14813.4
506.0573969,15174.8
510.9123349,14888.8
515.7598651,14386.6
520.6,14834.8
525.4327518,14745.6
530.2581327,14667.2
535.076155,14183.4
539.8868309,14548.6
544.6901726,14732.8
549.4861922,14369.2
554.2749019,15320.6
559.0563139,14322
563.8304402,14175.6
568.597293,15125.2
573.3568844,14819
578.1092263,14312
582.8543308,14728.8
587.5922101,14732.6
592.322876,14373.2
597.0463405,14519.4
601.7626157,14729.8
606.4717135,14271.4
611.1736458,14214.6
615.8684246,14410
620.5560617,14704.2
625.2365691,14462.2
629.9099585,15059.6
634.5762419,15421.2
639.2354312,14949.8
643.887538,14960.4
648.5325743,14596.8
653.1705518,14491.6
657.8014823,14627.6
662.4253775,13977
667.0422493,14373.2
671.6521092,14344
676.2549691,14544
680.8508407,14450.8
685.4397355,14365.2
690.0216654,14428.6
694.5966419,14355
699.1646767,15028.8
703.7257814,14710.4
708.2799676,14667.4
712.827247,14515
717.367631,14460.4
721.9011314,14377.2
726.4277595,13805.4
730.9475271,14431.4
735.4604456,14273
739.9665264,14750.4
744.4657813,14315.2
748.9582215,14334.4
753.4438587,13887.2
757.9227042,13699.6
762.3947696,14335
766.8600662,13784.8
771.3186056,15099
775.770399,14071
780.215458,14481.4
784.6537939,13884.2
789.0854181,13858.2
793.510342,14064.4
797.9285769,14642
802.3401342,14148
806.7450253,14402.4
811.1432614,14182.2
815.5348538,14070
819.9198139,13810.2
824.2981531,13935.6
828.6698824,13941.6
833.0350133,13732.2
837.393557,13412
841.7455248,13750.4
846.0909278,13605
850.4297774,13464.6
854.7620848,13522.8
