Ramanshift[cm-1],Intensity
-93.47115107,12270.4
-87.69374369,11134.2
-81.9253076,10968.2
-76.16582701,11068.4
-70.41528615,11024.6
-64.67366933,10834
-58.94096086,10753.8
-53.21714512,11050
-47.50220652,11153.4
-41.79612954,11051.6
-36.09889866,11574.4
-30.41049843,11620.2
-24.73091343,11242.6
-19.0601283,11315.2
-13.39812769,11186.2
-7.744896327,10895.4
-2.100418946,10730.8
3.535319659,11298
9.162334658,10802.6
14.78064118,11096.8
20.39025432,10693
25.99118913,10804.6
31.58346061,11233
37.16708375,11043.8
42.74207347,10822.6
48.30844468,10744.6
53.86621222,10673.6
59.41539093,10279.4
64.95599558,10379.8
70.48804091,10705.8
76.01154164,10770.4
81.52651243,10232.2
87.03296792,10671.2
92.5309227,10946.2
98.02039134,10380.2
103.5013884,10693.4
108.9739282,10491
114.4380255,10493.4
119.8936944,10647.6
125.3409495,11477.2
130.779805,10499.2
136.2102753,10241.8
141.6323747,10349.8
147.0461174,10749.2
152.4515176,10464.6
157.8485895,10417.2
163.2373472,10323.6
168.6178049,10597.2
173.9899766,10786.4
179.3538764,10432
184.7095182,10511.8
190.0569161,10655.6
195.396084,10878.8
200.7270358,10291.8
206.0497854,10377.6
211.3643466,10116.8
216.6707333,10480
221.9689593,10100.2
227.2590382,10324.6
232.5409839,10269.2
237.8148101,10234.2
243.0805303,10310.2
248.3381582,10366
253.5877075,10073.6
258.8291917,10256.8
264.0626244,10366
269.288019,10445.2
274.5053891,10620.8
279.7147481,10380.2
284.9161094,10204.8
290.1094865,10373
295.2948927,11041.8
300.4723414,12660.2
305.6418459,14036.4
310.8034194,15381.4
315.9570752,16868.2
321.1028267,17085.2
326.2406869,17494.2
331.370669,17996.8
336.4927863,18303.2
341.6070517,18463.8
346.7134786,18327.6
351.8120798,18670.2
356.9028684,18455.2
361.9858576,18743.8
367.0610602,19406
372.1284892,20094.6
377.1881577,23188.6
382.2400784,28218
387.2842644,34425.6
392.3207284,36494.6
397.3494833,32625
402.370542,27773
407.3839172,23196.8
412.3896217,20315.6
417.3876683,18751.2
422.3780697,17877.2
427.3608386,17319.6
432.3359876,17177
437.3035295,17071.2
442.2634769,17113.4
447.2158423,16288.2
452.1606383,16220.8
457.0978776,16425.4
462.0275727,15737.6
466.9497361,16283
471.8643802,15860.8
476.7715176,16365
481.6711608,16374
486.5633221,16962.8
491.448014,16614.2
496.3252488,16726.8
