Ramanshift[cm-1],Intensity
-93.47115107,13663.4
-87.69374369,12425.6
-81.9253076,12223
-76.16582701,12295
-70.41528615,12339.6
-64.67366933,12127
-58.94096086,12044
-53.21714512,12285.8
-47.50220652,12361.6
-41.79612954,12454.4
-36.09889866,12878.8
-30.41049843,12975
-24.73091343,12504.2
-19.0601283,12611.2
-13.39812769,12347.4
-7.744896327,12093.4
-2.100418946,11924.8
3.535319659,12606.6
9.162334658,11927.4
14.78064118,12354.4
20.39025432,12051.4
25.99118913,12078.4
31.58346061,12461.4
37.16708375,12309.8
42.74207347,12020.4
48.30844468,12018.2
53.86621222,11809.8
59.41539093,11522.2
64.95599558,11598.8
70.48804091,11926.2
76.01154164,12138.2
81.52651243,11385.8
87.03296792,11924
92.5309227,12210.8
98.02039134,11587.2
103.5013884,11789.6
108.9739282,11676
114.4380255,11726.2
119.8936944,11832.6
125.3409495,12831.2
130.779805,11593
136.2102753,11370.6
141.6323747,11368
147.0461174,12058.8
152.4515176,11631.4
157.8485895,11598
163.2373472,11459.4
168.6178049,11771.2
173.9899766,12012.6
179.3538764,11447.4
184.7095182,11718.2
190.0569161,11875.6
195.396084,12079
200.7270358,11446.8
206.0497854,11601
211.3643466,11252.2
216.6707333,11668.6
221.9689593,11211.8
227.2590382,11422.4
232.5409839,11431.4
237.8148101,11350.8
243.0805303,11459.6
248.3381582,11417.2
253.5877075,11262.6
258.8291917,11384
264.0626244,11510.8
269.288019,11650.2
274.5053891,11784.6
279.7147481,11398.2
284.9161094,11257.2
290.1094865,11400
295.2948927,11948.2
300.4723414,13343.4
305.6418459,14166
310.8034194,15024.6
315.9570752,16100.2
321.1028267,16372.6
326.2406869,16512
331.370669,16746.2
336.4927863,16652.4
341.6070517,16781.4
346.7134786,16813.6
351.8120798,17055.2
356.9028684,16829.4
361.9858576,16861.8
367.0610602,17186.6
372.1284892,17105.6
377.1881577,17712.6
382.2400784,18369
387.2842644,19538.8
392.3207284,20089
397.3494833,19098.8
402.370542,18679
407.3839172,17734.6
412.3896217,17061.6
417.3876683,16394.4
422.3780697,16327.6
427.3608386,16242.4
432.3359876,16470.2
437.3035295,16681.6
442.2634769,16684.2
447.2158423,16068.6
452.1606383,16024
457.0978776,16376.4
462.0275727,15591.6
466.9497361,16077.8
471.8643802,15538.8
476.7715176,16107.6
481.6711608,16104.8
486.5633221,16403.8
491.448014,16121.6
496.3252488,15974.8
501.195039,15945.8
506.0573969,16230.6
510.9123349,16038.8
515.7598651,15501.2
520.6,15994.6
525.4327518,15909.2
530.2581327,15860.2
535.076155,15431.2
539.8868309,15786.6
544.6901726,15955.2
549.4861922,15598
554.2749019,16473.6
559.0563139,15459.6
563.8304402,15229
568.597293,16320
573.3568844,16006
578.1092263,15508.6
582.8543308,16001
587.5922101,15875
592.322876,15486.6
597.0463405,15715.4
601.7626157,15894.2
606.4717135,15479.2
611.1736458,15442.2
615.8684246,15545.2
620.5560617,15901.4
625.2365691,15532.4
629.9099585,16034.4
634.5762419,16275.8
639.2354312,15610
643.887538,15836.4
648.5325743,15400.4
653.1705518,15552.2
657.8014823,15711
662.4253775,15025.4
667.0422493,15215.4
671.6521092,15331
676.2549691,15451.6
680.8508407,15613.2
685.4397355,15417
690.0216654,15521
694.5966419,15246.2
699.1646767,15808
703.7257814,15544.6
708.2799676,15588.8
712.827247,15752.2
717.367631,15562
721.9011314,15450.4
726.4277595,14833.6
730.9475271,15497.8
735.4604456,15298.6
739.9665264,15920
744.4657813,15337.4
748.9582215,15330.8
753.4438587,14913.2
757.9227042,14703.4
762.3947696,15325.4
766.8600662,14819
771.3186056,16233.2
775.770399,15146.4
780.215458,15556
784.6537939,14792
789.0854181,14749.4
793.510342,14905.4
797.9285769,15493.8
802.3401342,14940.2
806.7450253,15148
811.1432614,14994.2
815.5348538,14851.4
819.9198139,14494.4
824.2981531,14806.8
828.6698824,14889.6
833.0350133,14668.2
837.393557,14374
841.7455248,14774
846.0909278,14484
850.4297774,14487.4
854.7620848,14467.6
859.0878611,14772.6
863.4071176,14226.2
867.7198655,14522.6
872.026116,14989.4
876.3258802,15301.2
880.6191693,14825
884.9059946,14989.2
889.186367,15328.6
893.4602979,14365.2
897.7277982,14221.6
901.9888793,14679.8
906.2435521,15157.6
910.4918277,14470.2
914.7337174,14461.2
918.9692321,14369.6
923.1983831,15007.6
927.4211813,14711.8
931.6376378,15298
935.8477637,14839.8
940.0515701,14999.4
944.249068,15097.8
948.4402684,14180.6
952.6251825,15100.2
956.8038212,14679
960.9761955,15335.2
965.1423166,14761.6
969.3021953,14792
973.4558427,14812
977.6032699,14538.4
981.7444877,14680.2
985.8795072,14663.8
990.0083394,14798.2
994.1309953,14410.2
998.2474857,14884.6
1002.357822,14023.8
1006.462014,14680.4
1010.560075,14309.4
1014.652013,14647.4
1018.737841,15073.4
1022.81757,14446.8
1026.891209,14332
1030.958771,14199
1035.020266,14578.6
1039.075705,14228.2
1043.1251,14014.2
1047.16846,14331.4
1051.205797,14197.4
1055.237121,13992
1059.262444,14265.8
1063.281777,14270.6
1067.295131,14795
1071.302515,16416
1075.303942,16382
1079.299422,17210.2
1083.288966,16060.2
1087.272585,15137.4
1091.250289,14712.8
1095.222091,14584.4
1099.187999,14091.4
1103.148026,14217.4
1107.102183,14019.8
1111.050479,14230
1114.992927,14071.6
1118.929536,14006.2
1122.860318,14439.4
1126.785283,14103.6
1130.704443,14302.8
1134.617808,15168.8
1138.52539,15167.8
1142.427198,15032.4
1146.323244,14783.4
1150.213538,14171.8
1154.098093,14624.2
1157.976917,13830
1161.850023,13817.2
1165.717421,14376.8
1169.579121,14055.8
1173.435135,14661.8
1177.285474,13771.4
1181.130148,14081.8
1184.969169,14296.6
1188.802547,14211
1192.630292,13747.8
1196.452416,13541.8
1200.26893,13629.8
1204.079844,13267
1207.88517,12878.8
1211.684917,13481
1215.479098,13161.8
1219.267722,14656.4
1223.050801,13232.8
1226.828346,13196.4
1230.600366,13527.4
1234.366874,13608.4
1238.12788,13289
1241.883395,13467.2
1245.633429,13655.8
1249.377994,13754.6
1253.1171,12809
1256.850759,13300.6
1260.578981,13192.8
1264.301776,13367.8
1268.019157,13132.8
1271.731133,12997.8
1275.437715,12844.4
1279.138915,13396
1282.834743,13633.6
1286.52521,13245.2
1290.210328,13057.4
1293.890106,13180.4
1297.564555,13745.4
1301.233688,13033
1304.897514,13337.4
1308.556044,13497.4
1312.209289,13451.4
1315.857261,12932
1319.499969,13134.8
1323.137425,13811
1326.769641,13228.4
1330.396626,13790.6
1334.018391,13161.6
1337.634948,13499
1341.246307,13049.8
1344.85248,13023.2
1348.453477,12882
1352.049309,13021.2
1355.639987,13132.8
1359.225522,13548.2
