Ramanshift[cm-1],Intensity
-93.52472366,9122.4
-87.74731628,8310.6
-81.97888019,8276.2
-76.2193996,8311.4
-70.46885874,8234.4
-64.72724191,8094.6
-58.99453344,8144.8
-53.2707177,8306.8
-47.55577911,8396
-41.84970212,8239.2
-36.15247124,8630.8
-30.46407101,8774
-24.78448602,8478
-19.11370089,8425.6
-13.45170028,8423.6
-7.798468914,8203.8
-2.153991534,8024.8
3.481747071,8456.2
9.10876207,8105.6
14.72706859,8367
20.33668173,8131
25.93761654,8159.8
31.52988803,8406.6
37.11351116,8324
42.68850089,8085.8
48.25487209,8144
53.81263964,8132.6
59.36181834,7860.2
64.90242299,7847.6
70.43446832,7998.2
75.95796905,8173.4
81.47293984,7820.2
86.97939533,8076.2
92.47735012,8246.8
97.96681875,7857.6
103.4478158,8069.8
108.9203557,7920.6
114.3844529,7839.8
119.8401218,8052.6
125.2873769,8632.6
130.7262324,7928.8
136.1567027,7781.4
141.5788021,7810.2
146.9925448,8147.8
152.397945,7921.4
157.7950169,7974.2
163.1837747,7861.2
168.5642323,8087.8
173.936404,8168.4
179.3003038,7873.2
184.6559456,7927.8
190.0033435,8063
195.3425114,8188
200.6734632,7874.2
205.9962128,7881.6
211.310774,7668
216.6171607,7983
221.9153867,7719
227.2054656,7982.2
232.4874113,7812.2
237.7612375,7779.4
243.0269577,7854.2
248.2845856,7899.8
253.5341349,7749.8
258.7756191,7788.4
264.0090518,7885.6
269.2344464,7996.4
274.4518165,8069.4
279.6611755,7863
284.8625368,7763.2
290.0559139,7865.4
295.2413201,8415.4
300.4187688,9622.8
305.5882733,10552
310.7498468,11447.6
315.9035027,12233.6
321.0492541,12316.2
326.1871143,12411.6
331.3170964,12545.4
336.4392137,12697.2
341.5534792,12851.8
346.659906,12642.6
351.7585072,12924.8
356.8492959,12672.6
361.932285,12771.4
367.0074876,12933.4
372.0749167,12641.2
377.1345851,12838
382.1865058,12717.6
387.2306918,12552.2
392.2671558,12665.6
397.2959107,12352.2
402.3169694,12702.2
407.3303446,12552.6
412.3360492,12485.2
417.3340958,12245.8
422.3244971,12383
427.307266,12481
432.2824151,12653.8
437.2499569,12847.6
442.2099043,12835.8
447.1622697,12363
452.1070657,12412.4
457.044305,12488.8
461.9740001,12096
466.8961635,12345.8
471.8108076,12012.4
476.717945,12256.6
481.6175882,12318.4
486.5097495,12479
491.3944414,12322.4
496.2716763,12236.4
501.1414665,12210.4
506.0038244,12509.4
510.8587623,12369.2
515.7062925,12034.6
520.5464274,12213.4
525.3791792,12029.2
530.2045601,12217.8
535.0225824,11806.6
539.8332583,12097.4
544.6366,12188.8
549.4326196,11909.6
554.2213293,12552.6
559.0027413,11987.8
563.7768676,11828.2
568.5437204,12455.2
573.3033118,12160.8
578.0556537,11895.8
582.8007583,12220.6
587.5386375,12125
592.2693034,11894
596.9927679,12017.8
601.7090431,12259.8
606.4181409,11899
611.1200732,11899.2
615.814852,11827.8
620.5024891,12065.2
625.1829965,11924.8
629.8563859,12288.6
634.5226693,12311.4
639.1818586,11823.2
643.8339654,11967.6
648.4790017,11902.2
653.1169792,11697
657.7479097,11937.6
662.3718049,11416.2
666.9886767,11711.8
671.5985366,11643.6
676.2013965,11902.4
680.7972681,11765.2
685.386163,11652.2
689.9680928,11777.6
694.5430693,11694.6
699.1111041,11976.4
703.6722088,11667.8
708.226395,11768.4
712.7736744,11844.6
717.3140584,11734
721.8475588,11691.8
726.3741869,11307.8
730.8939545,11657.6
735.406873,11569.8
739.9129539,11927.4
744.4122087,11577.2
748.9046489,11596.4
753.3902861,11242.2
757.8691316,11224.2
762.341197,11535.4
766.8064936,11202.8
771.265033,12071.4
775.7168264,11419.4
780.1618854,11630.8
784.6002213,11273.8
789.0318455,11077.8
793.4567694,11205.2
797.8750043,11592.4
802.2865616,11043
806.6914527,11209.8
811.0896888,11086.2
815.4812812,11164.8
819.8662414,10948.8
824.2445805,11081.4
828.6163098,11114.8
832.9814407,11119.4
837.3399844,10932.2
841.6919522,11094
846.0373552,10940.2
850.3762048,10953.2
854.7085122,10940.2
859.0342885,11293.8
863.353545,10741.8
867.6662929,11034.4
871.9725434,11136.4
876.2723076,11406.6
880.5655967,11203.8
884.852422,11051.8
889.1327944,11419.6
893.4067253,10702.8
897.6742257,10612.4
901.9353067,10839
906.1899795,11021.8
910.4382551,10710
914.6801448,10788
918.9156596,10679.4
923.1448105,10961.8
927.3676087,10712.4
931.5840652,11179
935.7941911,10795.4
939.9979975,10961.8
944.1954954,11051.8
948.3866958,10401.8
952.5716099,11022.4
956.7502486,10712.4
960.9226229,11055.6
965.088744,10748.2
969.2486227,10751.8
973.4022701,10835.8
977.5496973,10684.4
981.6909151,10752.8
985.8259346,10688.8
989.9547668,10816.4
994.0774227,10490.6
998.1939132,10824.8
1002.304249,10240.4
1006.408442,10698.6
1010.506502,10492.4
1014.598441,10741.2
1018.684269,10922.6
1022.763997,10608.8
1026.837637,10619.8
1030.905199,10387.6
1034.966694,10634.8
1039.022133,10579.8
1043.071527,10328.8
1047.114887,10401.4
1051.152224,10449.2
1055.183549,10274
1059.208872,10253.4
1063.228205,10103
1067.241558,9984
1071.248943,10619.4
1075.250369,10153.8
1079.245849,10715.6
1083.235393,10505.6
1087.219012,10517.4
1091.196717,10561.8
1095.168518,10690.8
1099.134427,10446.2
1103.094454,10331
1107.04861,10356.4
1110.996907,10496.4
1114.939354,10388
1118.875963,10352.2
1122.806745,10611.2
1126.731711,10170.4
1130.650871,10013
1134.564236,10535.2
1138.471817,10392.2
1142.373625,10343.4
1146.269671,10439.6
1150.159966,10205.6
1154.04452,10454.8
1157.923344,9977.2
1161.79645,10032.4
1165.663848,10311.6
1169.525549,10100
1173.381563,10309.8
1177.231902,9856.4
1181.076576,9897.4
1184.915596,10078.4
1188.748974,10153.4
1192.576719,9857.8
1196.398844,9746.2
1200.215357,9885.2
1204.026272,9767.6
1207.831597,9497.4
1211.631345,9902.6
1215.425525,9647.6
1219.21415,10646.4
1222.997229,9731.2
1226.774773,9711.8
1230.546794,9802.2
1234.313302,9887.2
1238.074307,9689
1241.829822,9707.6
1245.579857,9870.4
1249.324421,9843.2
1253.063528,9334.6
1256.797186,9643.2
1260.525408,9618
1264.248204,9628.2
1267.965584,9625.8
1271.67756,9452.4
1275.384142,9385.2
1279.085342,9713.6
1282.781171,9842.8
1286.471638,9619
1290.156755,9453.8
1293.836533,9576.2
1297.510983,9942.2
1301.180115,9372.2
1304.843941,9643
1308.502471,9743.2
1312.155716,9729.6
1315.803688,9379.4
1319.446396,9443.8
1323.083853,9892.4
1326.716068,9496.8
1330.343053,9899.4
1333.964818,9558.6
1337.581375,9607.6
1341.192735,9453.8
1344.798907,9411.4
1348.399904,9311.4
1351.995736,9299.2
1355.586415,9353.2
1359.17195,9705.2
1362.752353,9400.4
1366.327635,9397.8
1369.897807,9519.8
1373.462879,9631.2
1377.022864,9575.6
1380.577771,9460.8
1384.127611,9323.6
1387.672397,9440.6
1391.212137,9150.4
1394.746845,9087
1398.27653,9191.2
1401.801203,9315.6
1405.320876,9331.4
1408.835559,9053.8
1412.345264,8871.8
1415.850001,9128.4
1419.349782,9513
1422.844618,9089.8
1426.334519,9129.8
1429.819496,9517.6
1433.299561,9000.2
1436.774725,9183.4
1440.244998,9358
1443.710393,9036.4
1447.170919,9007.6
1450.626588,9044
1454.07741,9298.2
1457.523398,9264.8
1460.964562,9424.4
1464.400914,9348.6
1467.832463,9138
1471.259222,9144.6
1474.681201,8929.6
1478.098412,9289.4
1481.510866,9136.8
1484.918574,9163
1488.321546,8924.4
1491.719795,9079.6
1495.113332,9521.8
1498.502166,9100.8
1501.886311,9077.6
1505.265776,8732
1508.640573,9071.4
1512.010714,8990.2
1515.376209,8996.6
1518.737069,8923
1522.093306,9008.8
1525.444932,8717.8
1528.791957,8775.6
1532.134392,9262.2
1535.472249,8900
1538.805539,8987.6
1542.134274,9384.4
1545.458464,8727
1548.778121,9538.4
1552.093256,9263.2
1555.403881,8712.8
1558.710006,8486.2
1562.011644,8750.8
1565.308805,8830
1568.6015,9003.4
1571.889742,8900.8
1575.173542,8892.4
1578.45291,8817
1581.727858,9045.6
1584.998398,8827.2
1588.264541,8842.4
1591.526299,8734.2
1594.783682,8692
1598.036703,8712.8
1601.285372,8765.8
1604.529701,9094.6
1607.769702,8929
1611.005386,8792
1614.236765,9238.8
1617.463849,8653.2
1620.686651,8783.2
1623.905183,8479.8
1627.119454,8610
1630.329478,8343.8
1633.535265,8627.2
1636.736827,8440.2
1639.934176,8542.8
1643.127324,8767.8
1646.316281,8323.2
1649.50106,8909.2
1652.681671,8443.2
1655.858128,8202
1659.03044,8540.6
1662.198621,8886.4
1665.362681,8381.8
1668.522632,8533.4
1671.678487,8693
1674.830256,8714.2
1677.977951,8459.4
1681.121584,8443.8
1684.261167,8567
1687.396711,8527.2
1690.528229,8403.4
1693.655731,8362
1696.779231,8373
1699.898738,8516.4
1703.014266,8513.6
1706.125826,8376.6
1709.23343,8757
1712.33709,8554.4
1715.436818,8512
1718.532624,8765.2
1721.624522,8734.4
1724.712524,8727
1727.79664,8322.2
1730.876884,8528
1733.953266,8393
1737.025799,8619.2
1740.094495,8278.6
1743.159366,8990.8
1746.220423,8468.4
1749.277679,8373.2
1752.331146,8529.8
1755.380835,8398.2
1758.42676,8493.4
1761.468931,8439
1764.50736,8308.8
1767.542061,8148.4
1770.573045,8641.4
1773.600324,8539.4
1776.62391,8316.8
1779.643815,8293
1782.660052,8653.2
1785.672632,8570.8
1788.681568,8598.4
1791.686873,8302.6
1794.688557,8238.2
1797.686633,8537.8
1800.681115,8549.8
1803.672013,8386.6
1806.65934,8288.8
1809.643108,8207.8
1812.62333,8293.6
1815.600018,8125.8
1818.573184,8241
1821.542841,8313.6
1824.509,8048.6
1827.471675,8323
1830.430877,8152
1833.38662,8356.6
1836.338914,8209.2
1839.287774,8322.2
1842.233211,8384.2
1845.175238,7978.6
1848.113866,8412.4
1851.04911,8201.6
1853.98098,8237.4
1856.909491,8088.8
1859.834653,8696
1862.75648,8363.8
1865.674985,8223.8
1868.590179,8129.2
1871.502076,8008.6
1874.410687,7973.4
1877.316027,8156.4
1880.218107,8175.8
1883.116939,8093
1886.012538,8390.4
1888.904914,8164.8
1891.794082,8152
1894.680054,8266
1897.562842,8326.6
1900.442459,8023.8
1903.318918,8179.8
1906.192232,8397
1909.062414,8402
1911.929476,8332
1914.793432,8284.6
1917.654293,8374.2
1920.512074,8347.2
1923.366786,8087.2
1926.218443,8272.6
1929.067058,8104.2
1931.912644,8157.8
1934.755213,8073.4
1937.594779,8305
1940.431354,8214.8
1943.264952,8355.8
1946.095586,8394
1948.923268,9077
1951.748012,8380.2
1954.569831,8249.4
1957.388737,8361
1960.204745,8008.8
1963.017867,8085.2
1965.828116,8239.8
1968.635505,8251.2
1971.440049,8138
