type,concentration_M,concentration_label,peak_392.32_height_mean,peak_392.32_height_std,peak_392.32_height_count,peak_1078.5_height_mean,peak_1078.5_height_std,peak_1078.5_height_count,peak_1589.62_height_mean,peak_1589.62_height_std,peak_1589.62_height_count,peak_392.32_height_cv_percent,peak_1078.5_height_cv_percent,peak_1589.62_height_cv_percent
blank,0.0,Blank,204.062021416651,10.959025244259092,3,396.4456495819176,41.8732998319665,3,251.82112314673824,17.587654482080847,3,5.3704384422827545,10.562179172889174,6.984185545003855
sample,1e-15,1fM,2960.261480948753,2384.7101334555027,3,1878.9125319938278,1315.971664277009,3,1170.0932962749168,666.0790149988696,3,80.55741524195396,70.03900617345671,56.92529109596509
sample,1e-14,10fM,3899.4280303654996,950.9697050574288,3,2732.1731186508546,857.4132987953673,3,1525.4667663496602,393.94452855749563,3,24.387415222234345,31.382099946095565,25.82452382756122
sample,1e-13,100fM,1656.3061974751429,754.9184913100243,3,1091.7887601362602,476.74897309077005,3,767.0429294480991,248.59377521181213,3,45.57843787947027,43.66677790594488,32.409369237088164
sample,1e-12,1pM,3212.3461570277855,250.6273030613834,3,2179.366077784673,407.43793262704065,3,1322.517008224063,146.67451480425785,3,7.802001739852209,18.695249815083915,11.090557920402036
sample,1e-11,10pM,6509.768361826619,5456.263747593574,3,4445.416062065969,3688.9923824881284,3,2215.6804088318136,1518.3195031043772,3,83.81655758427885,82.98418710382086,68.52610588838891
sample,1e-10,100pM,1172.3229371448076,185.46356261119817,3,793.9840206651483,136.65898069802273,3,582.8639868069675,78.86591202903413,3,15.820176909861942,17.211804915612625,13.53075740038008
sample,1e-09,1nM,1464.6597898091386,237.6111105970413,3,930.7612011463365,170.50393156601328,3,704.5668204489263,111.33762396749894,3,16.222955818839313,18.31876225137217,15.802280314102552
sample,1e-08,10nM,4815.744644056863,2175.888961113949,3,3850.0409125221036,2258.9734700566346,3,2150.4198055431307,1100.7816992433566,3,45.18281432964319,58.6740120789214,51.18915369017133
sample,1e-07,100nM,4975.089483971009,2693.2383291391407,3,3601.5791253022476,2118.0415393816156,3,1854.8995134961788,892.1559900859673,3,54.13447009981127,58.80869101283087,48.097267997251286
sample,1e-06,1µM,10421.32895461763,4046.577821166396,3,10996.02912401763,5124.571297999427,3,4340.258077496596,1744.7709430056887,3,38.8297676696347,46.6038352590963,40.19970499109236
sample,1e-05,10µM,16400.618527741943,6401.935329434233,3,13623.691932453441,6030.091511946258,3,5858.980156235215,2322.474408003734,3,39.03471883456861,44.26180173365327,39.63956774170197
sample,0.0001,100µM,11618.860939172286,5972.352088790796,3,14097.49845443131,5879.0857293076415,3,5374.921931974741,1915.3412729032818,3,51.40221679265799,41.703042197955696,35.634773809627916
sample,0.001,1mM,22247.73544560333,7866.814804714144,3,29269.25587163542,11337.793890432029,3,11604.638241681809,5410.2887151348805,3,35.360069899917875,38.73618769180731,46.621778313623594
