Raman shift (cm-1),Intensity (a.u.),,,,
,Intensity 1,Intensity 2,Intensity 3,Intensity 4,Intensity 5
-93.471151,12640.6,12628.2,12759.6,12713.2,12723.6
-87.693744,11547,11499.6,11492.4,11550.6,11527.8
-81.925308,11328.4,11393,11334,11410.6,11425.4
-76.165827,11408.4,11389.8,11494.4,11434.4,11560.2
-70.415286,11459.2,11470.6,11440.8,11584.4,11571.2
-64.673669,11127.4,11215,11190.2,11210,11266.4
-58.940961,11101.6,11205.6,11240.6,11245,11314.2
-53.217145,11273.6,11450.2,11358.4,11426.4,11473.8
-47.502207,11441,11509.6,11520,11487.6,11541.2
-41.79613,11427.2,11432,11469.4,11550.2,11461
-36.098899,11820.6,11835,11925.8,11902.2,12022.8
-30.410498,11876.2,11941,11975.6,12009,12025.8
-24.730913,11489.4,11554,11602.4,11609.6,11758.6
-19.060128,11565.6,11633.8,11654,11666.8,11743.2
-13.398128,11376.4,11436,11429.4,11440.2,11606.6
-7.7448963,11211.8,11241,11245.4,11253,11217.6
-2.1004189,10952.4,11039,11112.2,11138.8,11137.4
3.53531966,11635.8,11614,11607.4,11678.6,11716
9.16233466,11057.8,10984.6,11126.2,11202.4,11148.2
14.7806412,11309.8,11417.4,11328.6,11460,11420.4
20.3902543,10866.6,11047,11094,11070.8,11110.8
25.9911891,11012,11027.6,11070.8,11192.2,11075.4
31.5834606,11579,11482.8,11543.8,11583.6,11526.8
37.1670837,11263,11353.8,11325.8,11335.6,11345.2
42.7420735,10952.2,10917,11067.4,11104,11181.4
48.3084447,11021.8,11127.6,10998,11136.8,11097.6
53.8662122,10924.4,10925.8,10966.2,11029,10958.8
59.4153909,10599.2,10604.6,10621.6,10661.2,10708.4
64.9559956,10639,10537.2,10551.8,10740,10604.8
70.4880409,10955,10931.4,10939.6,11034.6,11042
76.0115416,11076.6,11129.6,11090,11093.6,11190.2
81.5265124,10450.6,10480.4,10525.2,10536.8,10523
87.0329679,10956.2,10941,10960.4,10984.6,11105.4
92.5309227,11111,11254.8,11338.4,11279,11330.8
98.0203913,10586.8,10659.4,10599,10656.2,10621
103.501388,10810.6,10868.8,10897.4,10952.8,10977.4
108.973928,10613.8,10653,10759.4,10708.2,10854.8
114.438025,10750.2,10702.6,10734.8,10879,10801.4
119.893694,10949.2,10871,10865,10982.2,11104.6
125.340949,11635.4,11710.4,11751.8,11806.8,11672.2
130.779805,10654.4,10681.6,10636,10744.8,10685.6
136.210275,10460.8,10463.8,10520,10479.8,10471.8
