Raman shift cm-1,1 mM,,,100 mM,,,10 μm,,,1 μm,,,100 nM,,,10 nM,,,1 nM,,,100 pM,,,10 pM,,,1 pM,,,100 fM,,,10 fM,,,1 fM,,,Blank,,
,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation,Intensity,Standard Deviation,Coefficient of variation
342.28007,391.917,260.37039,66.43508,249.96895,321.86883,128.76353,908.35988,886.97241,97.64548,155.6384,25.58838,16.44092,163.35933,87.01764,53.26763,103.05003,25.64613,24.88706,137.95052,36.51125,26.46692,86.79661,52.11818,60.04633,167.16989,78.64683,47.04605,147.61311,27.7215,18.77984,159.67984,61.50711,38.51902,119.85518,64.07627,53.46141,110.9095,45.85043,41.3404,88.88757,26.70577,30.04443
346.20576,893.58305,161.09685,18.02819,408.80292,206.25817,50.45418,1253.93649,944.93358,75.35737,373.82183,156.07651,41.75158,587.69785,352.21042,59.93053,327.26165,180.28326,55.08842,230.20299,74.01293,32.15116,277.48727,122.89672,44.28914,362.23731,207.81433,57.36967,320.86882,95.29251,29.69828,238.84839,66.7353,27.94044,483.63493,300.32101,62.09663,188.95438,34.18265,18.09043,57.39078,10.5381,18.36201
350.13145,1217.8053,491.72206,40.37772,466.94494,103.57418,22.18124,1466.2873,1060.52131,72.32698,517.87698,231.21387,44.64649,876.60138,567.77146,64.76963,490.0644,318.38804,64.96861,278.80959,126.21999,45.27104,419.48012,128.43474,30.6176,548.16749,309.40383,56.4433,464.20318,132.48197,28.53965,333.77831,195.24392,58.49509,718.94059,434.02934,60.37068,223.98484,43.62177,19.47532,111.89984,32.55709,29.09485
354.05713,1444.65227,706.52469,48.90621,529.88181,31.07118,5.86379,1607.72606,1165.79844,72.51226,580.32402,305.26343,52.60224,1003.43108,690.45496,68.80941,528.85732,390.21766,73.78505,287.73965,150.81722,52.41447,427.2648,151.62626,35.48766,607.826,374.56741,61.62412,482.12982,190.83846,39.58238,331.4207,233.07329,70.32551,806.98763,501.28301,62.11781,229.41384,38.45672,16.76303,126.64023,24.03696,18.98051
357.98282,1611.91895,842.97277,52.29623,615.30773,34.29359,5.5734,1677.21463,1231.57923,73.43003,589.77184,374.32017,63.46864,1001.60876,721.18019,72.00218,468.00891,374.50001,80.01985,276.52995,162.52704,58.77376,348.85415,202.83208,58.14237,547.84132,403.78147,73.70409,421.25263,242.1613,57.486,265.53082,190.82925,71.86708,784.25987,528.90906,67.44054,212.91141,21.57595,10.13377,110.23072,4.60181,4.1747
361.90851,1742.53599,1003.03876,57.56201,687.53104,140.95162,20.50113,1668.80119,1287.47228,77.14953,639.3788,367.77308,57.52037,994.68133,650.30228,65.37795,482.16948,316.49738,65.64028,319.14986,180.84547,56.66475,371.32861,193.01947,51.98077,580.68482,394.19127,67.88386,463.05073,216.57387,46.77109,305.96021,151.91945,49.65334,758.64617,474.9681,62.60733,233.12726,10.87586,4.6652,156.07474,16.93384,10.84983
365.83419,1964.18145,1267.68639,64.54019,809.63041,314.95559,38.90116,1685.73268,1393.89002,82.68749,734.95801,328.94044,44.75636,1026.79889,593.51104,57.80207,560.34036,290.79008,51.89526,398.31204,180.22655,45.24758,449.09173,181.42649,40.39854,675.54365,374.11051,55.37918,577.85202,192.0828,33.24083,391.67137,101.35616,25.87786,764.60538,392.14673,51.28747,293.44375,25.09902,8.55326,229.94498,25.45885,11.07171
369.75988,2460.67693,1705.2642,69.30061,1146.56925,614.10406,53.56014,1920.29007,1690.34856,88.02569,878.41544,368.19736,41.91608,1021.90901,562.18876,55.01358,548.64115,246.49433,44.92815,469.92789,191.05029,40.65524,453.26731,247.20011,54.53738,651.72777,373.39954,57.29379,625.72834,250.78115,40.07828,391.79911,49.36696,12.60007,810.16786,324.33253,40.03276,384.26936,1.95294,0.50822,232.23821,2.12551,0.91523
373.68557,3283.98959,2439.66681,74.28972,1812.46992,1211.07505,66.81904,2530.79342,2448.49835,96.74825,1185.66518,487.94363,41.15358,1105.05148,665.14549,60.19136,599.08796,245.68828,41.01038,618.51535,257.9815,41.7098,521.61507,357.94113,68.6217,701.69661,413.44877,58.9213,752.77589,291.04036,38.66229,440.78377,32.6696,7.41171,961.05609,315.17377,32.79452,510.32672,16.50475,3.23415,243.24029,5.154,2.11889
