Ramanshift[cm-1],Intensity,,,,,,,,
-93.47115107,10753.2,,,,,,,, 
-87.69374369,9901.8,,,,,,,,
-81.9253076,9774.2,,,,,,,,
-76.16582701,9819,,,,,,,,
-70.41528615,9851.2,,,,,,,,
-64.67366933,9674.6,,,,,,,,
-58.94096086,9658.8,,,,,,,,
-53.21714512,9859,,,,,,,,
-47.50220652,9963.6,,,,,,,,
-41.79612954,9866.6,,,,,,,,
-36.09889866,10115,,,,,,,,
-30.41049843,10301.2,,,,,,,,
-24.73091343,10091.2,,,,,,,,
-19.0601283,10091.8,,,,,,,,
-13.39812769,9912.2,,,,,,,,
-7.744896327,9751,,,,,,,,
-2.100418946,9583.2,,,,,,,,
3.535319659,10069.6,,,,,,,,
9.162334658,9540,,,,,,,,
14.78064118,9875.2,,,,,,,,
20.39025432,9696,,,,,,,,
25.99118913,9623,,,,,,,,
31.58346061,9989.2,,,,,,,,
37.16708375,9809.6,,,,,,,,
42.74207347,9568,,,,,,,,
48.30844468,9636.4,,,,,,,,
53.86621222,9524.4,,,,,,,,
59.41539093,9320.8,,,,,,,,
64.95599558,9335.8,,,,,,,,
70.48804091,9569.2,,,,,,,,
76.01154164,9668,,,,,,,,
81.52651243,9255.6,,,,,,,,
87.03296792,9582.4,,,,,,,,
92.5309227,9701.2,,,,,,,,
98.02039134,9225.8,,,,,,,,
103.5013884,9450.8,,,,,,,,
108.9739282,9405.6,,,,,,,,
114.4380255,9404.8,,,,,,,,
119.8936944,9552.4,,,,,,,,
125.3409495,10192.2,,,,,,,,
130.779805,9402.8,,,,,,,,
136.2102753,9225.6,,,,,,,,
141.6323747,9248,,,,,,,,
147.0461174,9636.6,,,,,,,,
152.4515176,9451.2,,,,,,,,
157.8485895,9341,,,,,,,,
163.2373472,9213.4,,,,,,,,
168.6178049,9572,,,,,,,,
173.9899766,9698.6,,,,,,,,
179.3538764,9335.8,,,,,,,,
184.7095182,9472,,,,,,,,
190.0569161,9603.2,,,,,,,,
195.396084,9750.6,,,,,,,,
200.7270358,9194.6,,,,,,,,
206.0497854,9261,,,,,,,,
211.3643466,9077.6,,,,,,,,
216.6707333,9436.2,,,,,,,,
221.9689593,9138,,,,,,,,
227.2590382,9304.2,,,,,,,,
232.5409839,9309.8,,,,,,,,
237.8148101,9200.8,,,,,,,,
243.0805303,9286.2,,,,,,,,
248.3381582,9224.2,,,,,,,,
253.5877075,9139.4,,,,,,,,
258.8291917,9227.2,,,,,,,,
264.0626244,9350.6,,,,,,,,
269.288019,9462.8,,,,,,,,
274.5053891,9497,,,,,,,,
279.7147481,9272.4,,,,,,,,
284.9161094,9167,,,,,,,,
290.1094865,9194.8,,,,,,,,
295.2948927,9378.6,,,,,,,,
300.4723414,10119.8,,,,,,,,
305.6418459,10353.8,,,,,,,,
310.8034194,10592.6,,,,,,,,
315.9570752,11158.4,,,,,,,,
321.1028267,11302.2,,,,,,,,
326.2406869,11283.2,,,,,,,,
331.370669,11508.8,,,,,,,,
336.4927863,11465.8,,,,,,,,
341.6070517,11442.6,,,,,,,,
346.7134786,11254.6,,,,,,,,
351.8120798,11514.2,,,,,,,,
356.9028684,11195,,,,,,,,
361.9858576,11423.6,,,,,,,,
367.0610602,11546.6,,,,,,,,
372.1284892,11423.4,,,,,,,,
377.1881577,11624,,,,,,,,
382.2400784,11630.2,,,,,,,,
387.2842644,11789.6,,,,,,,,
392.3207284,11995,,,,,,,,
397.3494833,11645.2,,,,,,,,
402.370542,11834.2,,,,,,,,
407.3839172,11480.4,,,,,,,,
412.3896217,11227.8,,,,,,,,
417.3876683,10975.8,,,,,,,,
422.3780697,11084.2,,,,,,,,
427.3608386,11068.8,,,,,,,,
432.3359876,11264.8,,,,,,,,
437.3035295,11466.8,,,,,,,,
442.2634769,11605.4,,,,,,,,
447.2158423,11053,,,,,,,,
452.1606383,11080,,,,,,,,
457.0978776,11335.8,,,,,,,,
462.0275727,10817.4,,,,,,,,
466.9497361,11232.4,,,,,,,,
471.8643802,10769.6,,,,,,,,
476.7715176,11119.6,,,,,,,,
481.6711608,11110.2,,,,,,,,
486.5633221,11346.4,,,,,,,,
491.448014,11035.2,,,,,,,,
496.3252488,11068.4,,,,,,,,
501.195039,10982.2,,,,,,,,
506.0573969,11248,,,,,,,,
510.9123349,11006.4,,,,,,,,
515.7598651,10675.2,,,,,,,,
520.6,11063.2,,,,,,,,
525.4327518,10907.2,,,,,,,,
530.2581327,11131.4,,,,,,,,
535.076155,10678.8,,,,,,,,
539.8868309,11060.6,,,,,,,,
544.6901726,11188.6,,,,,,,,
549.4861922,10927.8,,,,,,,,
554.2749019,11487.4,,,,,,,,
559.0563139,10947.4,,,,,,,,
563.8304402,10741.8,,,,,,,,
568.597293,11487,,,,,,,,
573.3568844,11245.8,,,,,,,,
578.1092263,10954.4,,,,,,,,
582.8543308,11205,,,,,,,,
587.5922101,11069.2,,,,,,,,
592.322876,10847.6,,,,,,,,
597.0463405,10986,,,,,,,,
601.7626157,11285,,,,,,,,
606.4717135,10911.8,,,,,,,,
611.1736458,10919,,,,,,,,
615.8684246,10984.8,,,,,,,,
620.5560617,11170.2,,,,,,,,
625.2365691,10851.4,,,,,,,,
629.9099585,11200.2,,,,,,,,
634.5762419,11403.8,,,,,,,,
639.2354312,10910.6,,,,,,,,
643.887538,11030.4,,,,,,,,
648.5325743,10791.2,,,,,,,,
653.1705518,10834.8,,,,,,,,
657.8014823,10936.2,,,,,,,,
662.4253775,10583,,,,,,,,
667.0422493,10873.4,,,,,,,,
671.6521092,10787.6,,,,,,,,
676.2549691,10885,,,,,,,,
680.8508407,10967,,,,,,,,
685.4397355,10833.2,,,,,,,,
690.0216654,10923.8,,,,,,,,
694.5966419,10817.4,,,,,,,,
699.1646767,11080.6,,,,,,,,
703.7257814,10900.2,,,,,,,,
708.2799676,10999,,,,,,,,
712.827247,11031.8,,,,,,,,
717.367631,10865.6,,,,,,,,
721.9011314,10870.4,,,,,,,,
726.4277595,10341,,,,,,,,
730.9475271,10949,,,,,,,,
735.4604456,10881,,,,,,,,
739.9665264,11195.4,,,,,,,,
744.4657813,10886.6,,,,,,,,
748.9582215,10748.6,,,,,,,,
753.4438587,10545.8,,,,,,,,
757.9227042,10504.6,,,,,,,,
762.3947696,10875,,,,,,,,
766.8600662,10506.2,,,,,,,,
771.3186056,11504.4,,,,,,,,
775.770399,10801.6,,,,,,,,
780.215458,11018.4,,,,,,,,
784.6537939,10511.8,,,,,,,,
789.0854181,10434.4,,,,,,,,
793.510342,10476,,,,,,,,
797.9285769,10915.4,,,,,,,,
802.3401342,10566.6,,,,,,,,
806.7450253,10790.8,,,,,,,,
811.1432614,10634.6,,,,,,,,
815.5348538,10563.6,,,,,,,,
819.9198139,10365.2,,,,,,,,
824.2981531,10679.6,,,,,,,,
828.6698824,10732,,,,,,,,
833.0350133,10561,,,,,,,,
837.393557,10365.6,,,,,,,,
841.7455248,10665.6,,,,,,,,
846.0909278,10521.4,,,,,,,,
850.4297774,10407,,,,,,,,
854.7620848,10565.4,,,,,,,,
859.0878611,10772.6,,,,,,,,
863.4071176,10332,,,,,,,,
867.7198655,10647.8,,,,,,,,
872.026116,10847.6,,,,,,,,
876.3258802,11088.4,,,,,,,,
880.6191693,10795.2,,,,,,,,
884.9059946,10754.8,,,,,,,,
889.186367,11090.6,,,,,,,,
893.4602979,10398.6,,,,,,,,
897.7277982,10239.2,,,,,,,,
901.9888793,10664.4,,,,,,,,
906.2435521,10795.2,,,,,,,,
910.4918277,10338,,,,,,,,
914.7337174,10367.8,,,,,,,,
918.9692321,10303.6,,,,,,,,
923.1983831,10767,,,,,,,,
927.4211813,10504.8,,,,,,,,
931.6376378,11032,,,,,,,,
935.8477637,10611.8,,,,,,,,
940.0515701,10779.8,,,,,,,,
944.249068,10730.4,,,,,,,,
948.4402684,10144.6,,,,,,,,
952.6251825,10839.8,,,,,,,,
956.8038212,10496.8,,,,,,,,
960.9761955,10984.4,,,,,,,,
965.1423166,10598.4,,,,,,,,
969.3021953,10584,,,,,,,,
973.4558427,10609,,,,,,,,
977.6032699,10481.6,,,,,,,,
981.7444877,10565.8,,,,,,,,
985.8795072,10484.8,,,,,,,,
990.0083394,10530.2,,,,,,,,
994.1309953,10330.8,,,,,,,,
998.2474857,10682.8,,,,,,,,
1002.357822,10010.8,,,,,,,,
1006.462014,10436.4,,,,,,,,
1010.560075,10275.4,,,,,,,,
1014.652013,10586.2,,,,,,,,
1018.737841,10777.2,,,,,,,,
1022.81757,10415.8,,,,,,,,
1026.891209,10359.6,,,,,,,,
1030.958771,10254,,,,,,,,
1035.020266,10587.4,,,,,,,,
1039.075705,10406.6,,,,,,,,
1043.1251,10204.2,,,,,,,,
1047.16846,10313.2,,,,,,,,
1051.205797,10360.4,,,,,,,,
1055.237121,10083.6,,,,,,,,
1059.262444,10156.2,,,,,,,,
1063.281777,9926.6,,,,,,,,
1067.295131,9960.6,,,,,,,,
1071.302515,10759,,,,,,,,
1075.303942,10367.2,,,,,,,,
1079.299422,11029,,,,,,,,
1083.288966,10598.2,,,,,,,,
1087.272585,10591,,,,,,,,
1091.250289,10415.8,,,,,,,,
1095.222091,10470.4,,,,,,,,
1099.187999,10267.2,,,,,,,,
1103.148026,10310.6,,,,,,,,
1107.102183,10244.2,,,,,,,,
1111.050479,10350.6,,,,,,,,
1114.992927,10408.6,,,,,,,,
1118.929536,10253.4,,,,,,,,
1122.860318,10491,,,,,,,,
1126.785283,10081,,,,,,,,
1130.704443,9987.6,,,,,,,,
1134.617808,10509.6,,,,,,,,
1138.52539,10477.2,,,,,,,,
1142.427198,10333.2,,,,,,,,
1146.323244,10489.6,,,,,,,,
1150.213538,10305.4,,,,,,,,
1154.098093,10566.2,,,,,,,,
1157.976917,10087.6,,,,,,,,
1161.850023,10084.2,,,,,,,,
1165.717421,10563.8,,,,,,,,
1169.579121,10192.8,,,,,,,,
1173.435135,10445,,,,,,,,
1177.285474,9803,,,,,,,,
1181.130148,10005.8,,,,,,,,
1184.969169,10264.4,,,,,,,,
1188.802547,10242.6,,,,,,,,
1192.630292,9888,,,,,,,,
1196.452416,9847.2,,,,,,,,
1200.26893,9901.6,,,,,,,,
1204.079844,9754.8,,,,,,,,
1207.88517,9405.8,,,,,,,,
1211.684917,10028.2,,,,,,,,
1215.479098,9661.2,,,,,,,,
1219.267722,10782.8,,,,,,,,
1223.050801,9765.4,,,,,,,,
1226.828346,9714.6,,,,,,,,
1230.600366,10003.6,,,,,,,,
1234.366874,10060,,,,,,,,
1238.12788,9803.8,,,,,,,,
1241.883395,9920.8,,,,,,,,
1245.633429,10009.2,,,,,,,,
1249.377994,10024,,,,,,,,
1253.1171,9523.8,,,,,,,,
1256.850759,9844.8,,,,,,,,
1260.578981,9806.4,,,,,,,,
1264.301776,9862.8,,,,,,,,
1268.019157,9810,,,,,,,,
1271.731133,9576.8,,,,,,,,
1275.437715,9475.8,,,,,,,,
1279.138915,9885,,,,,,,,
1282.834743,10019.6,,,,,,,,
1286.52521,9747,,,,,,,,
1290.210328,9579.8,,,,,,,,
1293.890106,9748.6,,,,,,,,
1297.564555,10130,,,,,,,,
1301.233688,9590.4,,,,,,,,
1304.897514,9896.8,,,,,,,,
1308.556044,9894.2,,,,,,,,
1312.209289,9963.6,,,,,,,,
1315.857261,9630.8,,,,,,,,
1319.499969,9664,,,,,,,,
1323.137425,10201.8,,,,,,,,
1326.769641,9847,,,,,,,,
1330.396626,10162.6,,,,,,,,
1334.018391,9787,,,,,,,,
1337.634948,9976.8,,,,,,,,
1341.246307,9700.2,,,,,,,,
1344.85248,9582.2,,,,,,,,
1348.453477,9580.2,,,,,,,,
1352.049309,9539.2,,,,,,,,
1355.639987,9598,,,,,,,,
1359.225522,9991.4,,,,,,,,
1362.805925,9681.2,,,,,,,,
1366.381207,9789.6,,,,,,,,
1369.951379,9772.6,,,,,,,,
1373.516452,9777.2,,,,,,,,
1377.076436,9957.4,,,,,,,,
1380.631343,9837,,,,,,,,
1384.181184,9608.2,,,,,,,,
1387.725969,9766.8,,,,,,,,
1391.26571,9530.2,,,,,,,,
1394.800417,9475.8,,,,,,,,
1398.330102,9653.6,,,,,,,,
1401.854776,9816,,,,,,,,
1405.374448,9761.4,,,,,,,,
1408.889132,9320.4,,,,,,,,
1412.398837,9196.4,,,,,,,,
1415.903574,9451,,,,,,,,
1419.403355,9847,,,,,,,,
1422.89819,9492.6,,,,,,,,
1426.388091,9499.6,,,,,,,,
1429.873069,9840.6,,,,,,,,
1433.353134,9437.4,,,,,,,,
1436.828298,9576.6,,,,,,,,
1440.298571,9735.2,,,,,,,,
1443.763965,9401.2,,,,,,,,
1447.224491,9390.6,,,,,,,,
1450.68016,9425,,,,,,,,
1454.130983,9742,,,,,,,,
1457.576971,9713.4,,,,,,,,
1461.018135,9826.2,,,,,,,,
1464.454486,9895.6,,,,,,,,
1467.886036,9540.8,,,,,,,,
1471.312794,9577.4,,,,,,,,
1474.734774,9385,,,,,,,,
1478.151985,9858.4,,,,,,,,
1481.564439,9685.2,,,,,,,,
1484.972146,9718,,,,,,,,
1488.375119,9386.2,,,,,,,,
1491.773368,9743.4,,,,,,,,
1495.166904,10179.4,,,,,,,,
1498.555739,9592.2,,,,,,,,
1501.939883,9668.6,,,,,,,,
1505.319349,9330.6,,,,,,,,
1508.694146,9671,,,,,,,,
1512.064286,9676.2,,,,,,,,
1515.429781,9595.6,,,,,,,,
1518.790642,9431,,,,,,,,
1522.146879,9627,,,,,,,,
1525.498505,9233.2,,,,,,,,
1528.845529,9223.4,,,,,,,,
1532.187965,9897.6,,,,,,,,
1535.525822,9580,,,,,,,,
1538.859112,9547,,,,,,,,
1542.187846,9939.8,,,,,,,,
1545.512036,9354.6,,,,,,,,
1548.831693,10300.6,,,,,,,,
1552.146829,9888,,,,,,,,
1555.457453,9280.4,,,,,,,,
1558.763579,9111,,,,,,,,
1562.065216,9520,,,,,,,,
1565.362377,9564.4,,,,,,,,
1568.655073,9810.2,,,,,,,,
1571.943315,9648.4,,,,,,,,
1575.227114,9652.8,,,,,,,,
1578.506482,9533.2,,,,,,,,
1581.781431,9919.4,,,,,,,,
1585.051971,9673.8,,,,,,,,
1588.318114,9839.4,,,,,,,,
1591.579872,9685.4,,,,,,,,
1594.837255,9597,,,,,,,,
1598.090275,9549.4,,,,,,,,
1601.338945,9531.6,,,,,,,,
1604.583274,9852.4,,,,,,,,
1607.823275,9561.6,,,,,,,,
1611.058959,9286.6,,,,,,,,
1614.290338,10144.4,,,,,,,,
1617.517422,9245,,,,,,,,
1620.740224,9475,,,,,,,,
1623.958755,9219.8,,,,,,,,
1627.173027,9327,,,,,,,,
1630.38305,9090.6,,,,,,,,
1633.588838,9426.2,,,,,,,,
1636.7904,9232.6,,,,,,,,
1639.987749,9398.8,,,,,,,,
1643.180896,9563,,,,,,,,
1646.369853,9088.8,,,,,,,,
1649.554632,9674.6,,,,,,,,
1652.735244,9328.4,,,,,,,,
1655.9117,9024.6,,,,,,,,
1659.084013,9344,,,,,,,,
1662.252193,9698.2,,,,,,,,
1665.416254,9143.4,,,,,,,,
1668.576205,9308.8,,,,,,,,
1671.732059,9509.8,,,,,,,,
1674.883828,9583.2,,,,,,,,
1678.031523,9156,,,,,,,,
1681.175157,9260.8,,,,,,,,
1684.314739,9266.6,,,,,,,,
1687.450284,9234.8,,,,,,,,
1690.581801,9160.4,,,,,,,,
1693.709304,9053.4,,,,,,,,
1696.832803,9113.8,,,,,,,,
1699.952311,9245.6,,,,,,,,
1703.067839,9358.8,,,,,,,,
1706.179399,9223,,,,,,,,
1709.287003,9563.8,,,,,,,,
1712.390663,9216.8,,,,,,,,
1715.49039,9303.8,,,,,,,,
1718.586197,9484,,,,,,,,
1721.678095,9362,,,,,,,,
1724.766096,9439.2,,,,,,,,
1727.850213,8984.8,,,,,,,,
1730.930456,9239.6,,,,,,,,
1734.006838,9120.6,,,,,,,,
1737.079372,9415.2,,,,,,,,
1740.148067,8994.4,,,,,,,,
1743.212938,9864.6,,,,,,,,
1746.273996,9380.2,,,,,,,,
1749.331252,9229,,,,,,,,
1752.384718,9305,,,,,,,,
1755.434408,9303.2,,,,,,,,
1758.480332,9341.2,,,,,,,,
1761.522503,9386.8,,,,,,,,
1764.560933,9207,,,,,,,,
1767.595634,8972,,,,,,,,
1770.626618,9463.4,,,,,,,,
1773.653896,9432.4,,,,,,,,
1776.677482,9227.6,,,,,,,,
1779.697388,9258.8,,,,,,,,
1782.713625,9451.8,,,,,,,,
1785.726205,9514.8,,,,,,,,
1788.735141,9526.2,,,,,,,,
1791.740445,9214.6,,,,,,,,
1794.742129,9091.6,,,,,,,,
1797.740206,9483.8,,,,,,,,
1800.734687,9451.4,,,,,,,,
1803.725585,9403.4,,,,,,,,
1806.712912,9327.8,,,,,,,,
1809.69668,9178.4,,,,,,,,
1812.676902,9169.6,,,,,,,,
1815.65359,8969.8,,,,,,,,
1818.626756,9091.8,,,,,,,,
1821.596413,9156.8,,,,,,,,
1824.562573,8988.2,,,,,,,,
1827.525247,9244.6,,,,,,,,
1830.48445,9056.4,,,,,,,,
1833.440192,9179.6,,,,,,,,
1836.392487,9085,,,,,,,,
1839.341347,9257.6,,,,,,,,
1842.286784,9246.8,,,,,,,,
1845.22881,8888.2,,,,,,,,
1848.167439,9411.4,,,,,,,,
1851.102682,9156.2,,,,,,,,
1854.034553,9140.2,,,,,,,,
1856.963063,8958.4,,,,,,,,
1859.888226,9692.8,,,,,,,,
1862.810053,9298,,,,,,,,
1865.728557,9218.4,,,,,,,,
1868.643751,8973.2,,,,,,,,
1871.555648,8999.6,,,,,,,,
1874.46426,8843.6,,,,,,,,
1877.369599,9183.8,,,,,,,,
1880.271679,9123,,,,,,,,
1883.170512,9033,,,,,,,,
1886.06611,9331.8,,,,,,,,
1888.958487,9122,,,,,,,,
1891.847655,9065.4,,,,,,,,
1894.733626,9222.4,,,,,,,,
1897.616414,9261.8,,,,,,,,
1900.496032,8918.2,,,,,,,,
1903.372491,9163.4,,,,,,,,
1906.245805,9355.4,,,,,,,,
1909.115987,9443.2,,,,,,,,
1911.983049,9375,,,,,,,,
1914.847004,9312,,,,,,,,
1917.707866,9477.6,,,,,,,,
1920.565646,9442.2,,,,,,,,
1923.420359,9032.8,,,,,,,,
1926.272016,9306.4,,,,,,,,
1929.120631,9166.6,,,,,,,,
1931.966216,9172.6,,,,,,,,
1934.808786,9171.2,,,,,,,,
1937.648351,9325.8,,,,,,,,
1940.484927,9306.4,,,,,,,,
1943.318525,9321.4,,,,,,,,
1946.149158,9493.4,,,,,,,,
1948.97684,10203,,,,,,,,
1951.801584,9485.8,,,,,,,,
1954.623403,9413.4,,,,,,,,
1957.44231,9379.6,,,,,,,,
1960.258318,9083.8,,,,,,,,
1963.071439,9163.2,,,,,,,,
1965.881688,9233.2,,,,,,,,
1968.689078,9318.2,,,,,,,,
1971.493621,9192.4,,,,,,,,
