Ramanshift[cm-1],Intensity
-93.47115107,10364.6
-87.69374369,9503.2
-81.9253076,9354.6
-76.16582701,9468.2
-70.41528615,9430.4
-64.67366933,9364.6
-58.94096086,9298
-53.21714512,9529.8
-47.50220652,9531
-41.79612954,9479.6
-36.09889866,9786
-30.41049843,9916
-24.73091343,9729.4
-19.0601283,9720.6
-13.39812769,9560.2
-7.744896327,9324.2
-2.100418946,9229
3.535319659,9697.8
9.162334658,9290
14.78064118,9452.8
20.39025432,9282.2
25.99118913,9251.4
31.58346061,9658.6
37.16708375,9429.4
42.74207347,9209.2
48.30844468,9364.4
53.86621222,9190.6
59.41539093,8930.6
64.95599558,9022.6
70.48804091,9207.4
76.01154164,9258.4
81.52651243,8905.8
87.03296792,9257
92.5309227,9414.8
98.02039134,8930
103.5013884,9161
108.9739282,9050.8
114.4380255,9081.6
119.8936944,9197
125.3409495,9828.2
130.779805,8976.2
136.2102753,8897.2
141.6323747,8891.6
147.0461174,9271.8
152.4515176,9044
157.8485895,9024
163.2373472,8892.8
168.6178049,9262.2
173.9899766,9450.2
179.3538764,9002.4
184.7095182,9144.2
190.0569161,9316.6
195.396084,9305
200.7270358,8969.6
206.0497854,8993.4
211.3643466,8760.2
216.6707333,9108.6
221.9689593,8899.8
227.2590382,9027.4
232.5409839,8992.6
237.8148101,8888.6
243.0805303,8934.6
248.3381582,8961.4
253.5877075,8819.4
258.8291917,8849.6
264.0626244,8943.2
269.288019,9007
274.5053891,9214
279.7147481,9010.8
284.9161094,8823.4
290.1094865,8848
295.2948927,9128.6
300.4723414,9912.4
305.6418459,10322.4
310.8034194,10729.2
315.9570752,11441.2
321.1028267,11637.2
326.2406869,11755
331.370669,11953.8
336.4927863,11919.2
341.6070517,11969.2
346.7134786,11735.4
351.8120798,12119.6
356.9028684,11895.6
361.9858576,12034
367.0610602,12317
372.1284892,12513.8
377.1881577,13566.2
382.2400784,14986.4
387.2842644,16770.8
392.3207284,17298.6
397.3494833,15894.8
402.370542,14656.8
407.3839172,13543.8
412.3896217,12720.2
417.3876683,11992.6
422.3780697,11902
427.3608386,11885.8
432.3359876,12065.6
437.3035295,12222
442.2634769,12165.6
447.2158423,11555.4
452.1606383,11523.2
457.0978776,11526.4
462.0275727,11052.4
466.9497361,11401.4
471.8643802,10983.4
476.7715176,11312.6
481.6711608,11418.6
486.5633221,11576.8
491.448014,11259.8
496.3252488,11252.4
501.195039,11266.8
506.0573969,11495.6
510.9123349,11364
515.7598651,10909.6
520.6,11255
525.4327518,11204.4
530.2581327,11324
535.076155,10852.6
539.8868309,11140.4
544.6901726,11132.8
549.4861922,10897.4
554.2749019,11474.8
559.0563139,10883.4
563.8304402,10623.2
568.597293,11331
573.3568844,11113.6
578.1092263,10734
582.8543308,10968.6
587.5922101,10979.2
592.322876,10771.8
597.0463405,10860.6
601.7626157,11124.4
606.4717135,10775.8
611.1736458,10771.8
615.8684246,10843
620.5560617,10967
625.2365691,10898.8
629.9099585,11364
634.5762419,11746.2
639.2354312,11402.6
643.887538,11413.4
648.5325743,10983.8
653.1705518,10797.2
657.8014823,11015.4
662.4253775,10502
667.0422493,10652.4
671.6521092,10795.4
676.2549691,10932.2
680.8508407,10898.8
685.4397355,10858.6
690.0216654,10829.8
694.5966419,10826.8
699.1646767,11177.2
703.7257814,11083
708.2799676,11105.4
712.827247,11159.6
717.367631,11030.8
721.9011314,10849.6
726.4277595,10400.8
730.9475271,10859
735.4604456,10771
739.9665264,11160.4
744.4657813,10817.4
748.9582215,10785
753.4438587,10460.6
757.9227042,10353.8
762.3947696,10703.4
766.8600662,10335
771.3186056,11383.8
775.770399,10632.8
780.215458,10894
784.6537939,10383.4
789.0854181,10388.6
793.510342,10580.2
797.9285769,11030.6
802.3401342,10687.4
806.7450253,10801.8
811.1432614,10849
815.5348538,10751
819.9198139,10526
824.2981531,10604.8
828.6698824,10676.4
833.0350133,10533.2
837.393557,10315.6
841.7455248,10480.4
846.0909278,10419.8
850.4297774,10235.6
854.7620848,10278.2
859.0878611,10522.6
863.4071176,10043.4
867.7198655,10542.2
872.026116,10504.4
876.3258802,10890.2
880.6191693,10524.4
884.9059946,10562.2
889.186367,10829
893.4602979,10103.4
897.7277982,10065.4
901.9888793,10389.8
906.2435521,10663.6
910.4918277,10228.2
914.7337174,10216
918.9692321,10288.4
923.1983831,10599
927.4211813,10409.2
931.6376378,11007.8
935.8477637,10607.8
940.0515701,10723.4
944.249068,10783
948.4402684,10232.4
952.6251825,10849.8
