Ramanshift[cm-1],Intensity
-93.47115107,10796
-87.69374369,9917.6
-81.9253076,9786
-76.16582701,9836.4
-70.41528615,9867.2
-64.67366933,9730.4
-58.94096086,9681.6
-53.21714512,9852.2
-47.50220652,9932.8
-41.79612954,9888
-36.09889866,10230.4
-30.41049843,10378.8
-24.73091343,10038
-19.0601283,10119.2
-13.39812769,9977.8
-7.744896327,9748.8
-2.100418946,9631.4
3.535319659,10140.2
9.162334658,9604.6
14.78064118,9874
20.39025432,9732.8
25.99118913,9639.2
31.58346061,10053
37.16708375,9905.8
42.74207347,9614.4
48.30844468,9671.6
53.86621222,9535
59.41539093,9396.4
64.95599558,9331.4
70.48804091,9571.8
76.01154164,9678.6
81.52651243,9197.2
87.03296792,9569.4
92.5309227,9855.6
98.02039134,9346.8
103.5013884,9593
108.9739282,9476.8
114.4380255,9455
119.8936944,9573.6
125.3409495,10186.4
130.779805,9467.2
136.2102753,9213.4
141.6323747,9245
147.0461174,9658.6
152.4515176,9434.2
157.8485895,9400.2
163.2373472,9334.6
168.6178049,9590.6
173.9899766,9736
179.3538764,9439.2
184.7095182,9483.2
190.0569161,9627.6
195.396084,9658.4
200.7270358,9472.4
206.0497854,9323.6
211.3643466,9179.8
216.6707333,9482.2
221.9689593,9225.4
227.2590382,9333.8
232.5409839,9265.2
237.8148101,9245.2
243.0805303,9331.6
248.3381582,9325.6
253.5877075,9190.6
258.8291917,9280.2
264.0626244,9340.2
269.288019,9430.6
274.5053891,9606
279.7147481,9321.8
284.9161094,9161
290.1094865,9252.4
295.2948927,9479.6
300.4723414,10158.6
305.6418459,10427.8
310.8034194,10764.2
315.9570752,11362.2
321.1028267,11558
326.2406869,11489.2
331.370669,11696.4
336.4927863,11681.2
341.6070517,11722
346.7134786,11542.4
351.8120798,11795.8
356.9028684,11512.6
361.9858576,11581
367.0610602,11868.8
372.1284892,11625.2
377.1881577,11870.4
382.2400784,11759.8
387.2842644,11893
392.3207284,12131.8
397.3494833,11820.4
402.370542,12077.4
407.3839172,11629.6
412.3896217,11497.6
417.3876683,11166
422.3780697,11288.4
427.3608386,11394.4
432.3359876,11587.2
437.3035295,11844
442.2634769,11833.6
447.2158423,11268
452.1606383,11447.8
457.0978776,11569.4
462.0275727,11085.2
466.9497361,11445.2
471.8643802,11029.8
476.7715176,11346.2
481.6711608,11407.4
486.5633221,11499.6
491.448014,11319.6
496.3252488,11274.8
501.195039,11336.6
506.0573969,11595.2
510.9123349,11374.8
515.7598651,10997
520.6,11327.2
525.4327518,11269.8
530.2581327,11428.8
535.076155,10966.6
539.8868309,11334.6
544.6901726,11362.8
549.4861922,11112.8
554.2749019,11835.8
559.0563139,11178.4
563.8304402,10970.2
568.597293,11714.8
573.3568844,11479
578.1092263,11219.2
582.8543308,11451.6
587.5922101,11376.8
592.322876,11172.6
597.0463405,11340.8
601.7626157,11516.4
606.4717135,11219
611.1736458,11116.6
615.8684246,11209.8
620.5560617,11395.6
625.2365691,11147.8
629.9099585,11521.4
634.5762419,11680.8
639.2354312,11262
643.887538,11355.6
648.5325743,11051.8
653.1705518,11073.2
657.8014823,11269.4
662.4253775,10802.4
667.0422493,11015.2
671.6521092,11074.6
676.2549691,11150.4
680.8508407,11198.4
685.4397355,11106
690.0216654,11123.6
694.5966419,10940.4
699.1646767,11296.4
703.7257814,11174.2
708.2799676,11202.2
712.827247,11353.4
717.367631,11163
721.9011314,11123.8
726.4277595,10707.8
730.9475271,11234.6
735.4604456,11090
739.9665264,11397.8
744.4657813,11137.2
748.9582215,11004
753.4438587,10767.6
757.9227042,10760.8
762.3947696,11036
766.8600662,10744.2
771.3186056,11811
775.770399,11036.6
780.215458,11290.6
784.6537939,10785
789.0854181,10618.4
793.510342,10840.4
797.9285769,11231.6
802.3401342,10793.6
806.7450253,10959.2
811.1432614,10936.6
815.5348538,10869.6
819.9198139,10599.6
824.2981531,10777.8
828.6698824,10911.2
833.0350133,10805.2
837.393557,10639.2
841.7455248,10880.4
846.0909278,10654
850.4297774,10602.4
854.7620848,10662.4
859.0878611,10916
863.4071176,10458.2
867.7198655,10890.4
872.026116,11028.6
876.3258802,11310.4
880.6191693,10991.2
884.9059946,10919.6
889.186367,11259.2
893.4602979,10477.8
897.7277982,10455.4
901.9888793,10802.2
906.2435521,11040.6
910.4918277,10609.2
914.7337174,10482.2
918.9692321,10535.4
923.1983831,11017.8
927.4211813,10663
931.6376378,11214
935.8477637,10857.6
940.0515701,10979
944.249068,10939.6
948.4402684,10341.2
952.6251825,10944.6
956.8038212,10755
960.9761955,11083.4
965.1423166,10735.4
969.3021953,10742.8
973.4558427,10738.4
977.6032699,10678.8
981.7444877,10778.4
985.8795072,10749.4
990.0083394,10728.2
994.1309953,10473.4
998.2474857,10753.6
1002.357822,10230.8
1006.462014,10637
1010.560075,10443.4
1014.652013,10785.4
1018.737841,11061
1022.81757,10571.4
1026.891209,10610.4
1030.958771,10535.4
1035.020266,10773.4
1039.075705,10578
1043.1251,10407
1047.16846,10646.8
1051.205797,10587
1055.237121,10367.6
1059.262444,10298.4
1063.281777,10115.6
1067.295131,10105.6
1071.302515,10925.6
1075.303942,10529.2
1079.299422,11078
1083.288966,10799.8
1087.272585,10730.6
1091.250289,10641.2
1095.222091,10681.4
1099.187999,10493.2
1103.148026,10563.8
1107.102183,10494.8
1111.050479,10636.6
1114.992927,10525
1118.929536,10466.6
1122.860318,10681.6
1126.785283,10208.2
1130.704443,10177.2
1134.617808,10775.8
1138.52539,10550.4
1142.427198,10661.6
1146.323244,10642.6
1150.213538,10397
1154.098093,10699.8
1157.976917,10311.8
1161.850023,10195.6
1165.717421,10670
1169.579121,10365.2
1173.435135,10589.6
1177.285474,10063
1181.130148,10210
1184.969169,10512
1188.802547,10419.8
1192.630292,10223.4
1196.452416,9963.4
1200.26893,10147.4
1204.079844,9880.8
1207.88517,9644.6
1211.684917,10248.2
1215.479098,9795.2
1219.267722,10916.2
1223.050801,9862
1226.828346,9960.2
1230.600366,10044.8
1234.366874,10355.6
1238.12788,10002.4
1241.883395,10074.4
1245.633429,10176.4
1249.377994,10256.4
1253.1171,9637.8
1256.850759,10022.8
1260.578981,9965.6
1264.301776,10053.6
1268.019157,9914.8
1271.731133,9834
1275.437715,9626.2
1279.138915,10116.2
1282.834743,10178.4
1286.52521,9937.2
1290.210328,9853
1293.890106,9948
1297.564555,10243.2
1301.233688,9687.6
1304.897514,10037.4
1308.556044,10145.4
1312.209289,10139.6
1315.857261,9770.6
1319.499969,9837.4
1323.137425,10363.4
1326.769641,10075.2
1330.396626,10472
1334.018391,9984.6
1337.634948,10129.6
1341.246307,9883.8
1344.85248,9784
1348.453477,9755
1352.049309,9766.6
1355.639987,9809.8
1359.225522,10177.8
1362.805925,9935.2
1366.381207,9934.6
1369.951379,10016.2
1373.516452,10020.6
1377.076436,10120.8
1380.631343,9928.2
1384.181184,9821.4
1387.725969,9920.4
1391.26571,9754.4
1394.800417,9644.8
1398.330102,9845.4
1401.854776,9972.4
1405.374448,9951
1408.889132,9541
1412.398837,9342
1415.903574,9626.8
1419.403355,9975.8
1422.89819,9741.8
1426.388091,9626.4
1429.873069,10089
1433.353134,9657.4
1436.828298,9740
1440.298571,9756
1443.763965,9634
1447.224491,9631.2
1450.68016,9618
1454.130983,9945.8
1457.576971,9891.6
1461.018135,9963.2
1464.454486,10011.8
1467.886036,9675.2
1471.312794,9816.6
1474.734774,9582
1478.151985,9998.4
1481.564439,9855.4
1484.972146,9855.8
1488.375119,9507.8
1491.773368,9868.6
1495.166904,10172.8
1498.555739,9779.4
1501.939883,9799.8
1505.319349,9531
1508.694146,9770.2
1512.064286,9784.2
1515.429781,9795.8
1518.790642,9732
1522.146879,9719.8
1525.498505,9507.8
1528.845529,9447.2
1532.187965,10011.6
1535.525822,9719.6
1538.859112,9715
1542.187846,10186
1545.512036,9473.8
1548.831693,10464.6
1552.146829,9997.2
1555.457453,9426
1558.763579,9232.6
1562.065216,9622.8
1565.362377,9701
1568.655073,9926.8
1571.943315,9771.2
1575.227114,9824
1578.506482,9783.8
1581.781431,10086.6
1585.051971,9742.4
1588.318114,9832
1591.579872,9751
1594.837255,9712.6
1598.090275,9690
1601.338945,9731.2
1604.583274,9928.8
1607.823275,9656.6
1611.058959,9356.8
1614.290338,10249.2
1617.517422,9230
1620.740224,9599.6
1623.958755,9345.8
1627.173027,9448.8
1630.38305,9204.4
1633.588838,9553
1636.7904,9386
1639.987749,9608.6
1643.180896,9601.2
1646.369853,9206
1649.554632,9821.2
1652.735244,9389.8
1655.9117,9110.4
1659.084013,9366.8
1662.252193,9890.8
1665.416254,9260.2
1668.576205,9407.8
1671.732059,9646.6
1674.883828,9624.6
1678.031523,9291.4
1681.175157,9365.4
1684.314739,9457
1687.450284,9388.4
1690.581801,9336.2
1693.709304,9160.8
1696.832803,9214.6
1699.952311,9391.8
1703.067839,9437.8
1706.179399,9409
1709.287003,9671.8
1712.390663,9382.8
1715.49039,9412
1718.586197,9622
1721.678095,9545.6
1724.766096,9559.6
1727.850213,9076.2
1730.930456,9393.8
1734.006838,9273
1737.079372,9529.8
1740.148067,9181.2
1743.212938,9938.8
1746.273996,9451.8
1749.331252,9323.8
1752.384718,9531.2
1755.434408,9454.6
1758.480332,9472.4
1761.522503,9479.4
1764.560933,9270.8
1767.595634,9114.4
1770.626618,9574.8
1773.653896,9579.4
1776.677482,9356.6
1779.697388,9299.4
1782.713625,9703.2
1785.726205,9624
1788.735141,9626.8
1791.740445,9306.8
1794.742129,9241
1797.740206,9579.6
1800.734687,9588.2
1803.725585,9442.2
1806.712912,9433
1809.69668,9271
1812.676902,9394
1815.65359,9156.8
1818.626756,9206.4
1821.596413,9351.8
1824.562573,9097.4
1827.525247,9342
1830.48445,9118.4
1833.440192,9232.2
1836.392487,9238
1839.341347,9384.6
1842.286784,9438.6
1845.22881,9018
1848.167439,9391.4
1851.102682,9350.6
1854.034553,9202.8
1856.963063,9104.4
1859.888226,9746.8
1862.810053,9476.8
1865.728557,9188.4
1868.643751,9090
1871.555648,9066.2
1874.46426,9042.8
1877.369599,9388
1880.271679,9289.2
1883.170512,9127.2
1886.06611,9492.6
1888.958487,9223.8
1891.847655,9124.8
1894.733626,9333.4
1897.616414,9356.8
1900.496032,9072.4
1903.372491,9202.2
1906.245805,9406.8
1909.115987,9545.6
1911.983049,9509
1914.847004,9402.4
1917.707866,9539
1920.565646,9556.6
1923.420359,9281.2
1926.272016,9340.8
1929.120631,9251
1931.966216,9200.2
1934.808786,9237
1937.648351,9472
1940.484927,9387
1943.318525,9543.4
1946.149158,9596.6
1948.97684,10261
1951.801584,9531
1954.623403,9471.8
1957.44231,9568.6
1960.258318,9213.2
1963.071439,9224.8
1965.881688,9314.6
1968.689078,9473.2
1971.493621,9310
