Ramanshift[cm-1],Intensity
-93.47115107,10520.2
-87.69374369,9626.6
-81.9253076,9447
-76.16582701,9470.8
-70.41528615,9521.8
-64.67366933,9375.4
-58.94096086,9383.6
-53.21714512,9547.8
-47.50220652,9659.8
-41.79612954,9687
-36.09889866,9910.6
-30.41049843,10103.8
-24.73091343,9827.4
-19.0601283,9820.4
-13.39812769,9653.2
-7.744896327,9507
-2.100418946,9328.6
3.535319659,9825
9.162334658,9293.8
14.78064118,9646.2
20.39025432,9400.6
25.99118913,9403.6
31.58346061,9801.2
37.16708375,9623.2
42.74207347,9315.8
48.30844468,9419.4
53.86621222,9256.8
59.41539093,9085.2
64.95599558,9058
70.48804091,9313.2
76.01154164,9464
81.52651243,9038.8
87.03296792,9358.8
92.5309227,9530.6
98.02039134,9106.6
103.5013884,9287.8
108.9739282,9214.4
114.4380255,9117.6
119.8936944,9285.2
125.3409495,9882.2
130.779805,9090.6
136.2102753,8941.2
141.6323747,9010.4
147.0461174,9461
152.4515176,9220
157.8485895,9123.6
163.2373472,9031.6
168.6178049,9341
173.9899766,9466.4
179.3538764,9152.2
184.7095182,9171.2
190.0569161,9379.4
195.396084,9444.2
200.7270358,9079.6
206.0497854,9045.6
211.3643466,8870.8
216.6707333,9139.8
221.9689593,8985.2
227.2590382,9031.6
232.5409839,9179.8
237.8148101,8957.4
243.0805303,9063.6
248.3381582,9039.2
253.5877075,8945.2
258.8291917,8988.6
264.0626244,9020.6
269.288019,9139.4
274.5053891,9343.6
279.7147481,9061.8
284.9161094,9056.8
290.1094865,9497.8
295.2948927,10667.2
300.4723414,13811
305.6418459,17216.4
310.8034194,20350.8
315.9570752,22447.2
321.1028267,22768.6
326.2406869,23118.2
331.370669,23499.4
336.4927863,23772.8
341.6070517,24107
346.7134786,24588
351.8120798,24815.4
356.9028684,24772.4
361.9858576,24796.8
367.0610602,24817.8
372.1284892,24641.8
377.1881577,24966
382.2400784,25469.4
387.2842644,26340.8
392.3207284,27062.4
397.3494833,26585.8
402.370542,26129.2
407.3839172,25482.6
412.3896217,24686.2
417.3876683,24120.8
