Ramanshift[cm-1],Intensity
-93.47115107,10223.6
-87.69374369,9341.8
-81.9253076,9270.6
-76.16582701,9301.2
-70.41528615,9365.4
-64.67366933,9155.6
-58.94096086,9173.2
-53.21714512,9323.8
-47.50220652,9486.8
-41.79612954,9399
-36.09889866,9611.6
-30.41049843,9772.6
-24.73091343,9548.4
-19.0601283,9531
-13.39812769,9433
-7.744896327,9225.6
-2.100418946,9108.8
3.535319659,9562.8
9.162334658,9102.2
14.78064118,9407.6
20.39025432,9118
25.99118913,9152.6
31.58346061,9470
37.16708375,9338
42.74207347,9116.2
48.30844468,9181.6
53.86621222,9124.4
59.41539093,8788.6
64.95599558,8801.4
70.48804091,9069.8
76.01154164,9144.8
81.52651243,8797.8
87.03296792,9103.6
92.5309227,9316.4
98.02039134,8860.4
103.5013884,9027.6
108.9739282,8983.4
114.4380255,9006
119.8936944,9047.4
125.3409495,9666
130.779805,8856.2
136.2102753,8772.4
141.6323747,8699.8
147.0461174,9218
152.4515176,8903.8
157.8485895,8960.2
163.2373472,8847.4
168.6178049,9072.8
173.9899766,9314.4
179.3538764,8894
184.7095182,8974.2
190.0569161,9140.8
195.396084,9215.8
200.7270358,8950.6
206.0497854,8817.6
211.3643466,8693.4
216.6707333,8976.4
221.9689593,8753.8
227.2590382,8841
232.5409839,8816.2
237.8148101,8727.4
243.0805303,8902.8
248.3381582,8817.2
253.5877075,8680.2
258.8291917,8792.2
264.0626244,8905.2
269.288019,8978.8
274.5053891,9164.6
279.7147481,8899
284.9161094,9012.6
290.1094865,9725
295.2948927,12009.6
300.4723414,17428.4
305.6418459,24614.8
310.8034194,30945.4
315.9570752,34793.2
321.1028267,36143.8
326.2406869,36872.4
331.370669,37609.4
336.4927863,38226.6
341.6070517,38520.6
346.7134786,39007.2
351.8120798,39297.4
356.9028684,39628.4
361.9858576,39698.8
367.0610602,40504.8
372.1284892,41665.6
377.1881577,45594.4
382.2400784,52643.4
387.2842644,59253.2
392.3207284,60093.4
397.3494833,55334.6
402.370542,50800.8
407.3839172,47435
412.3896217,44004.6
417.3876683,41451.8
422.3780697,39763.4
427.3608386,38478.6
432.3359876,38182.6
437.3035295,37653
442.2634769,37122.2
447.2158423,35735.2
452.1606383,35520
457.0978776,35881
462.0275727,36437.6
466.9497361,36839.6
471.8643802,35876.4
476.7715176,36739.8
481.6711608,37921.4
486.5633221,38526
491.448014,37564.6
496.3252488,36522.2
501.195039,35256.8
506.0573969,34611
510.9123349,34043.8
515.7598651,33290.4
520.6,33095.8
525.4327518,32927
530.2581327,32772.6
535.076155,32299.8
539.8868309,32905
544.6901726,32633.4
549.4861922,31266.8
554.2749019,30968.4
559.0563139,30102
563.8304402,29673.2
568.597293,30378.6
573.3568844,30197
578.1092263,30020.4
582.8543308,30302.4
587.5922101,30286.2
592.322876,29797.2
597.0463405,29849.8
601.7626157,30267.4
606.4717135,29763.6
611.1736458,29919
615.8684246,29666.2
620.5560617,29985
625.2365691,30685.2
629.9099585,32093.2
634.5762419,32984.4
639.2354312,32674.2
643.887538,31522.2
648.5325743,29989
653.1705518,29163.8
657.8014823,28638
662.4253775,28095.6
667.0422493,28210.8
671.6521092,28093
676.2549691,28364.2
680.8508407,28068.6
685.4397355,27984
690.0216654,28347.6
694.5966419,28990.6
699.1646767,30178.2
703.7257814,30417.4
708.2799676,31214.2
712.827247,32106
717.367631,31339
721.9011314,29783.2
726.4277595,28214
730.9475271,28049.6
735.4604456,27752.8
739.9665264,28218.4
744.4657813,28045.8
748.9582215,27700
753.4438587,26912.2
757.9227042,26465.6
762.3947696,26641.4
766.8600662,26132
771.3186056,27288.2
775.770399,26380.2
780.215458,26513
784.6537939,26343.4
789.0854181,26630.2
793.510342,27248
797.9285769,28133.8
802.3401342,28528.4
806.7450253,28883.4
811.1432614,29104.8
815.5348538,28527.6
819.9198139,27960.6
824.2981531,27539.4
828.6698824,26877.6
833.0350133,26027.8
837.393557,25470.2
841.7455248,25458.8
846.0909278,24857
850.4297774,24917.6
854.7620848,24872.4
859.0878611,24794.2
863.4071176,24182.4
867.7198655,24797.4
872.026116,24948
876.3258802,25167.2
880.6191693,24958.4
884.9059946,25033.8
889.186367,25383.2
893.4602979,24627.4
897.7277982,24830
901.9888793,25581.2
906.2435521,26243.8
910.4918277,26496.4
914.7337174,27382
918.9692321,27872.2
923.1983831,28298.8
927.4211813,27803
931.6376378,28283
935.8477637,28236.8
940.0515701,28906.6
944.249068,29530.8
948.4402684,28632
952.6251825,29171.8
956.8038212,29075.4
960.9761955,29529.8
965.1423166,29111.4
969.3021953,28984.8
973.4558427,29062
977.6032699,29147.6
981.7444877,28842.8
985.8795072,28934.4
990.0083394,29335.8
994.1309953,30067.4
998.2474857,32645.8
1002.357822,35150.8
1006.462014,37230.8
1010.560075,34468
1014.652013,30850.2
1018.737841,29088
1022.81757,28010.8
1026.891209,27659.8
1030.958771,27905.8
1035.020266,29071.6
1039.075705,29509.4
1043.1251,30525.2
1047.16846,32303
1051.205797,34384.4
1055.237121,38476.2
1059.262444,46303.6
1063.281777,57957.6
1067.295131,64158
1071.302515,64165.2
1075.303942,64195.2
1079.299422,64298.2
1083.288966,63181.4
1087.272585,50165
1091.250289,40078.2
1095.222091,35768.6
1099.187999,33133
1103.148026,32851.4
1107.102183,33272
1111.050479,34299.6
1114.992927,36636.4
1118.929536,40222
1122.860318,46687.4
1126.785283,56298.2
1130.704443,64156.2
1134.617808,64154.6
1138.52539,64158
1142.427198,64176.4
1146.323244,64235
1150.213538,64404.8
1154.098093,56852
1157.976917,48389.6
1161.850023,44560.4
1165.717421,43697.2
1169.579121,42816.4
1173.435135,43052.6
1177.285474,42682.2
1181.130148,44203.6
1184.969169,45628.6
1188.802547,44594.6
1192.630292,41291.2
1196.452416,36939
1200.26893,34080.4
1204.079844,32430.4
1207.88517,31316.4
1211.684917,31386.2
1215.479098,30837.8
1219.267722,32101.4
1223.050801,30299.4
1226.828346,30368.8
1230.600366,29914.6
1234.366874,29865.4
1238.12788,29499.4
1241.883395,29428.2
1245.633429,29477.6
1249.377994,29608
1253.1171,29012
1256.850759,28973.8
1260.578981,28509.8
1264.301776,28229.8
1268.019157,27942.8
1271.731133,27620.8
1275.437715,27546
1279.138915,27862
1282.834743,28198
1286.52521,28404.4
1290.210328,29170.6
1293.890106,30366
1297.564555,32162.4
1301.233688,32246.4
1304.897514,32304.6
1308.556044,31734.4
1312.209289,31061.8
1315.857261,30205.4
1319.499969,30010.4
1323.137425,30553.4
1326.769641,29887
1330.396626,30315.6
1334.018391,30211.2
1337.634948,30612.8
1341.246307,31102.2
1344.85248,31833.8
1348.453477,32499.2
1352.049309,33034.2
1355.639987,33957.8
1359.225522,34746
1362.805925,35105
1366.381207,35692.2
1369.951379,37021.8
1373.516452,38527
1377.076436,40934.4
1380.631343,45266.6
1384.181184,51655.8
1387.725969,58184.2
1391.26571,58645.6
1394.800417,52302.6
1398.330102,43553.6
1401.854776,37605.4
1405.374448,34528.4
1408.889132,33980
1412.398837,34853.6
1415.903574,37822.8
1419.403355,43269
1422.89819,50111
1426.388091,58947.2
1429.873069,64159.8
1433.353134,64165.8
1436.828298,64196.2
1440.298571,64299.2
1443.763965,63422.8
1447.224491,55756.6
1450.68016,47527.6
1454.130983,41236
1457.576971,37276.2
1461.018135,35565.8
1464.454486,35386.8
1467.886036,36048.8
1471.312794,36480.2
1474.734774,34621
1478.151985,32267.6
1481.564439,30065.2
1484.972146,29297.4
1488.375119,28561
1491.773368,28345.6
1495.166904,27689
1498.555739,26945.2
1501.939883,26584.2
1505.319349,26094.8
1508.694146,26555.6
1512.064286,26387.6
1515.429781,26115.4
1518.790642,25730.4
1522.146879,25990.2
1525.498505,25929.6
1528.845529,26277.2
1532.187965,27615.4
1535.525822,28033.2
1538.859112,28782.2
1542.187846,29908.6
1545.512036,30033.4
1548.831693,31937.6
1552.146829,33420
1555.457453,34365
1558.763579,35941.8
1562.065216,38474.4
1565.362377,40823.6
1568.655073,43001.4
1571.943315,44733.8
1575.227114,45121.8
1578.506482,44270
1581.781431,42812
1585.051971,40618.2
1588.318114,38800
1591.579872,36073.8
1594.837255,32640.4
1598.090275,29314
1601.338945,26435.2
1604.583274,24647.6
1607.823275,23100.8
1611.058959,22032.8
1614.290338,22118.4
1617.517422,20867.8
1620.740224,20475
1623.958755,19828.2
1627.173027,19272.2
1630.38305,18550.6
1633.588838,18500.2
1636.7904,18050
1639.987749,17734
1643.180896,17417.4
1646.369853,16642.2
1649.554632,16922
1652.735244,16118.2
1655.9117,15608.8
1659.084013,15647.6
1662.252193,15976.2
1665.416254,15174.8
1668.576205,15279.8
1671.732059,15264
1674.883828,15340.4
1678.031523,14761.4
1681.175157,14715.8
1684.314739,14718.4
1687.450284,14619.6
1690.581801,14394.6
1693.709304,14363.6
1696.832803,14291.8
1699.952311,14325.4
1703.067839,14400.2
1706.179399,14318.8
1709.287003,14358.4
1712.390663,14115.4
1715.49039,14139.4
1718.586197,14403.8
1721.678095,14112.4
1724.766096,14156.2
1727.850213,13565
1730.930456,13719.2
1734.006838,13611
1737.079372,13801.2
1740.148067,13450.8
1743.212938,14154.8
1746.273996,13489.2
1749.331252,13482.8
1752.384718,13482.6
1755.434408,13371.2
1758.480332,13257.2
1761.522503,13308.4
1764.560933,13021.4
1767.595634,12853.8
1770.626618,13275.6
1773.653896,13213.4
1776.677482,12941.4
1779.697388,12930.4
1782.713625,13352
1785.726205,13231.4
1788.735141,13127
1791.740445,12886.8
1794.742129,12760.4
1797.740206,13111.4
1800.734687,13139.4
1803.725585,13022.4
1806.712912,12889.6
1809.69668,12723.2
1812.676902,12819.4
1815.65359,12472.2
1818.626756,12554.8
1821.596413,12699.4
1824.562573,12483.4
1827.525247,12701.6
1830.48445,12534.8
1833.440192,12684.4
1836.392487,12555.8
1839.341347,12721.2
1842.286784,12564.2
1845.22881,12302.2
1848.167439,12776.6
1851.102682,12548
1854.034553,12484
1856.963063,12396.4
1859.888226,12985.4
1862.810053,12596.4
1865.728557,12339.2
1868.643751,12235.2
1871.555648,12217.8
1874.46426,12011.6
1877.369599,12452.6
1880.271679,12244.8
1883.170512,12201
1886.06611,12425.4
1888.958487,12166
1891.847655,12154.2
1894.733626,12336.6
1897.616414,12297
1900.496032,11923.6
1903.372491,12224
1906.245805,12333.2
1909.115987,12348.6
1911.983049,12266
1914.847004,12254.8
1917.707866,12443.4
1920.565646,12209.2
1923.420359,11989.8
1926.272016,12078.2
1929.120631,11950
1931.966216,11904.2
1934.808786,11994.4
1937.648351,12116.6
1940.484927,12003.4
1943.318525,12097
1946.149158,12179.2
1948.97684,12869.4
1951.801584,12147.4
1954.623403,12045.6
1957.44231,12060.4
1960.258318,11795.2
1963.071439,11749
1965.881688,11905
1968.689078,12041
1971.493621,11706.6
