Ramanshift[cm-1],Intensity
-93.47115107,10651.8
-87.69374369,9828.4
-81.9253076,9699.6
-76.16582701,9824
-70.41528615,9774
-64.67366933,9571.2
-58.94096086,9561.2
-53.21714512,9792.2
-47.50220652,9893.4
-41.79612954,9805.8
-36.09889866,10114.6
-30.41049843,10350.8
-24.73091343,10041.4
-19.0601283,10055.4
-13.39812769,9894.6
-7.744896327,9644.4
-2.100418946,9568.6
3.535319659,10077.6
9.162334658,9490.4
14.78064118,9856.4
20.39025432,9609.8
25.99118913,9644.8
31.58346061,10015
37.16708375,9771.2
42.74207347,9521.4
48.30844468,9595
53.86621222,9507
59.41539093,9298.2
64.95599558,9318.8
70.48804091,9545.6
76.01154164,9642.8
81.52651243,9116.2
87.03296792,9546.8
92.5309227,9667
98.02039134,9248
103.5013884,9531.2
108.9739282,9358.2
114.4380255,9302.6
119.8936944,9406.4
125.3409495,10093
130.779805,9349.4
136.2102753,9177.4
141.6323747,9190.8
147.0461174,9649.8
152.4515176,9371
157.8485895,9393.2
163.2373472,9298.4
168.6178049,9532
173.9899766,9683
179.3538764,9372
184.7095182,9446.6
190.0569161,9601
195.396084,9705
200.7270358,9301.4
206.0497854,9309.2
211.3643466,9103.2
216.6707333,9377.2
221.9689593,9130.8
227.2590382,9307
232.5409839,9197.8
237.8148101,9207.4
243.0805303,9246.6
248.3381582,9213.2
253.5877075,9052.6
258.8291917,9253.8
264.0626244,9201.8
269.288019,9324.6
274.5053891,9482.4
279.7147481,9245.6
284.9161094,9049.6
290.1094865,9257
295.2948927,9482.2
300.4723414,10302.2
305.6418459,10680.2
310.8034194,11093.4
315.9570752,11811.8
321.1028267,12030.8
326.2406869,11932
331.370669,12045.6
336.4927863,12113
341.6070517,12221.4
346.7134786,12088
351.8120798,12353.2
356.9028684,12189.4
361.9858576,12258.2
367.0610602,12357.4
372.1284892,12236.6
377.1881577,12555.4
382.2400784,12872.6
387.2842644,13513.8
392.3207284,14138
397.3494833,13737.4
402.370542,13435
407.3839172,12723.8
412.3896217,12249.6
417.3876683,11691.4
422.3780697,11741.6
427.3608386,11755
432.3359876,11955
437.3035295,12109.2
442.2634769,12117.6
447.2158423,11577.4
452.1606383,11739.8
457.0978776,11817.6
462.0275727,11330.6
466.9497361,11718.6
471.8643802,11178.4
476.7715176,11619.6
481.6711608,11630
486.5633221,11872.2
491.448014,11704.2
496.3252488,11622
501.195039,11619.4
506.0573969,11829
510.9123349,11677.8
515.7598651,11307.2
520.6,11616.6
525.4327518,11601.6
530.2581327,11634.8
535.076155,11316.2
539.8868309,11619.2
544.6901726,11628.2
549.4861922,11471.6
554.2749019,12174.4
559.0563139,11531
563.8304402,11215
568.597293,11945.6
573.3568844,11830.8
578.1092263,11427.6
582.8543308,11716
587.5922101,11638.4
592.322876,11411.2
597.0463405,11538.4
601.7626157,11854.2
606.4717135,11496.8
611.1736458,11460.8
615.8684246,11455.2
620.5560617,11626.6
625.2365691,11420.4
629.9099585,11740.6
634.5762419,11925.4
639.2354312,11418.4
643.887538,11623.2
648.5325743,11448.8
653.1705518,11355.6
657.8014823,11595.2
662.4253775,11078.2
667.0422493,11314.6
671.6521092,11322.4
676.2549691,11533.4
680.8508407,11471.2
685.4397355,11301.8
690.0216654,11498
694.5966419,11338.6
699.1646767,11653.6
703.7257814,11510
708.2799676,11498.8
712.827247,11565.4
717.367631,11492.4
721.9011314,11350.4
726.4277595,10974.8
730.9475271,11526
735.4604456,11404.4
739.9665264,11595.2
744.4657813,11332.4
748.9582215,11233.4
753.4438587,10962.8
757.9227042,10894.4
762.3947696,11279
766.8600662,11013.6
771.3186056,12002
775.770399,11324
780.215458,11530.4
784.6537939,11088.2
789.0854181,10874
793.510342,11034.2
797.9285769,11498
802.3401342,11170.2
806.7450253,11274
811.1432614,11224.8
815.5348538,11069.2
819.9198139,10850.4
824.2981531,11045.2
828.6698824,11165.2
833.0350133,11061.4
837.393557,10815.4
841.7455248,10989
846.0909278,10906.2
850.4297774,10891.4
854.7620848,10843.6
859.0878611,11197.2
863.4071176,10601.2
867.7198655,11121.6
872.026116,11337.4
876.3258802,11611.4
880.6191693,11259.2
884.9059946,11310.6
889.186367,11550.8
893.4602979,10791.4
897.7277982,10772.8
901.9888793,11094.4
906.2435521,11389.6
910.4918277,10871.2
914.7337174,10888.2
918.9692321,10845.6
923.1983831,11293.6
927.4211813,11051.4
931.6376378,11621.6
935.8477637,11137.6
940.0515701,11328.4
944.249068,11413.4
948.4402684,10743.4
952.6251825,11343.4
956.8038212,11116.4
960.9761955,11467.8
965.1423166,11072.8
969.3021953,11194.6
973.4558427,11125.6
977.6032699,11121.4
981.7444877,11152.8
985.8795072,11083.8
990.0083394,11168.6
994.1309953,10877.6
998.2474857,11248.4
1002.357822,10669.4
1006.462014,11108
1010.560075,10881.6
1014.652013,11086
1018.737841,11291.8
1022.81757,10878.6
1026.891209,10901.6
1030.958771,10825.8
1035.020266,11137
1039.075705,10817.2
1043.1251,10665
1047.16846,10865.6
1051.205797,10831
1055.237121,10611.6
1059.262444,10615
1063.281777,10492
1067.295131,10679.6
1071.302515,11638.6
1075.303942,11687.2
1079.299422,12373
1083.288966,11913.8
1087.272585,11463.8
1091.250289,11062
1095.222091,11014.8
1099.187999,10785.2
1103.148026,10976.4
1107.102183,10737.8
1111.050479,10859.8
1114.992927,10723.6
1118.929536,10718.4
1122.860318,10941.4
1126.785283,10554.4
1130.704443,10406
1134.617808,10920.2
1138.52539,10815
1142.427198,10799.8
1146.323244,10819.8
1150.213538,10605.2
1154.098093,10915.8
1157.976917,10426.8
1161.850023,10459
1165.717421,10917.2
1169.579121,10711.8
1173.435135,10944.4
1177.285474,10389.6
1181.130148,10634.4
1184.969169,10851.4
1188.802547,10755.6
1192.630292,10350.8
1196.452416,10204.8
1200.26893,10318.2
1204.079844,10167.8
1207.88517,9881.8
1211.684917,10430.8
1215.479098,10136.8
1219.267722,11296.4
1223.050801,10189.2
1226.828346,10234.4
1230.600366,10374.2
1234.366874,10459.8
1238.12788,10261.4
1241.883395,10334
1245.633429,10514.6
1249.377994,10490.2
1253.1171,9935.4
1256.850759,10233.4
1260.578981,10210.6
1264.301776,10254.8
1268.019157,10222.8
1271.731133,10000.2
1275.437715,9877.6
1279.138915,10263.6
1282.834743,10342.6
1286.52521,10124.6
1290.210328,10048.8
1293.890106,10117.6
1297.564555,10442
1301.233688,10033.6
1304.897514,10254.8
1308.556044,10321.2
1312.209289,10343.6
1315.857261,10033.2
1319.499969,10166.2
1323.137425,10612.8
1326.769641,10362
1330.396626,10582.4
1334.018391,10258
1337.634948,10373
1341.246307,10213.4
1344.85248,10043.2
1348.453477,9884.6
1352.049309,9946.4
1355.639987,9949.8
1359.225522,10379.8
1362.805925,10097
1366.381207,10178.6
1369.951379,10192.8
1373.516452,10252.6
1377.076436,10313.2
1380.631343,10138.8
1384.181184,10007
1387.725969,10210.8
1391.26571,9940.8
1394.800417,9861
1398.330102,10029.4
1401.854776,10134.6
1405.374448,10046.8
1408.889132,9674.4
1412.398837,9492.8
1415.903574,9748.2
1419.403355,10275.4
1422.89819,9896.4
1426.388091,9861.4
1429.873069,10265.8
1433.353134,9808.4
1436.828298,9888.4
1440.298571,10026.8
1443.763965,9855.6
1447.224491,9737
1450.68016,9816.6
1454.130983,10072
1457.576971,10067.8
1461.018135,10147.6
1464.454486,10207.8
1467.886036,9906.6
1471.312794,9921
1474.734774,9626.8
1478.151985,10187.2
1481.564439,9946.6
1484.972146,9978.8
1488.375119,9637
1491.773368,9945.6
1495.166904,10385
1498.555739,9847.6
1501.939883,10006.4
1505.319349,9591
1508.694146,9851.6
1512.064286,9899.8
1515.429781,9864.4
1518.790642,9719.6
1522.146879,9870.4
1525.498505,9531.8
1528.845529,9578.4
1532.187965,10086.8
1535.525822,9802.4
1538.859112,9820
1542.187846,10228.8
1545.512036,9620.6
1548.831693,10536.4
1552.146829,10092.2
1555.457453,9535.2
1558.763579,9402
1562.065216,9788.6
1565.362377,9974.6
1568.655073,10173.4
1571.943315,10014.2
1575.227114,10088.8
1578.506482,10108.6
1581.781431,10484.2
1585.051971,10322.6
1588.318114,10437
1591.579872,10355.2
1594.837255,10175.2
1598.090275,9987.2
1601.338945,9887.8
1604.583274,10145.6
1607.823275,9819.8
1611.058959,9576.4
1614.290338,10346.6
1617.517422,9406
1620.740224,9728.2
1623.958755,9440.2
1627.173027,9437.8
1630.38305,9231.2
1633.588838,9607.4
1636.7904,9493.6
1639.987749,9604.8
1643.180896,9662
1646.369853,9228.6
1649.554632,9870.8
1652.735244,9403
1655.9117,9099.2
1659.084013,9420.6
1662.252193,9754.6
1665.416254,9279
1668.576205,9453
1671.732059,9556.2
1674.883828,9737.2
1678.031523,9328.2
1681.175157,9427
1684.314739,9428.8
1687.450284,9413.2
1690.581801,9307
1693.709304,9141.6
1696.832803,9197.2
1699.952311,9405.6
1703.067839,9448.2
1706.179399,9272.2
1709.287003,9605.6
1712.390663,9357.2
1715.49039,9359
1718.586197,9616.8
1721.678095,9581.2
1724.766096,9540.6
1727.850213,8993.6
1730.930456,9331
1734.006838,9191.2
1737.079372,9546.6
1740.148067,9191.4
1743.212938,9913
1746.273996,9341
1749.331252,9300.6
1752.384718,9508.6
1755.434408,9408.6
1758.480332,9426.4
1761.522503,9510
1764.560933,9277.4
1767.595634,9038
1770.626618,9574.4
1773.653896,9547.8
1776.677482,9268.8
1779.697388,9347.2
1782.713625,9580.8
1785.726205,9584.6
1788.735141,9606.4
1791.740445,9272
1794.742129,9135.4
1797.740206,9507
1800.734687,9603.2
1803.725585,9458
1806.712912,9396.8
1809.69668,9220.2
1812.676902,9217
1815.65359,9047.2
1818.626756,9252.2
1821.596413,9321.6
1824.562573,9052.6
1827.525247,9207.8
1830.48445,9185.4
1833.440192,9222.8
1836.392487,9171.6
1839.341347,9334.2
1842.286784,9373.6
1845.22881,8942.4
1848.167439,9366.4
1851.102682,9235.2
1854.034553,9317.2
1856.963063,9090.4
1859.888226,9727.6
1862.810053,9340.2
1865.728557,9299.4
1868.643751,9046.8
1871.555648,9061.4
1874.46426,8964.6
1877.369599,9244.2
1880.271679,9172.2
1883.170512,9091.4
1886.06611,9404.2
1888.958487,9162.6
1891.847655,9177.4
1894.733626,9317
1897.616414,9320.6
1900.496032,9032.2
1903.372491,9210
1906.245805,9410.2
1909.115987,9461.6
1911.983049,9407.8
1914.847004,9270.6
1917.707866,9521.4
1920.565646,9367.2
1923.420359,9173.6
1926.272016,9362
1929.120631,9120.2
1931.966216,9222.8
1934.808786,9187
1937.648351,9400.4
1940.484927,9319.4
1943.318525,9431.8
1946.149158,9620.2
1948.97684,10311.8
1951.801584,9523.2
1954.623403,9382
1957.44231,9462.4
1960.258318,9173
1963.071439,9107.8
1965.881688,9330.6
1968.689078,9413.8
1971.493621,9252.8
