Raman shift cm-1,4ATP_1uM_rep1_acc1_processed_intensity
-93.47115107,0.760585078408271
-87.69374369,89.94084369833061
-81.9253076,5.108991821181201
-76.16582701,-26.269211703915023
-70.41528615,32.08981570200296
-64.67366933,24.253489915274642
-58.94096086,-9.909915329471445
-53.21714512,-35.25556019265247
-47.50220652,-0.32742246920944673
-41.79612954,-17.29706508724726
-36.09889866,-10.824394629222258
-30.41049843,39.886791637814994
-24.73091343,58.468374830780114
-19.0601283,23.91354993534788
-13.39812769,-5.716502037681398
-7.744896327,64.12014604710043
-2.100418946,-34.767120688016206
3.535319659,-8.053699086467155
9.162334658,34.69958605779922
14.78064118,-63.214378576932965
20.39025432,17.376041276887726
25.99118913,10.279183247581726
31.58346061,44.86170842890174
37.16708375,28.06838972557109
42.74207347,-18.895635159059786
48.30844468,13.751605689334408
53.86621222,-49.40605358179737
59.41539093,8.40046051015334
64.95599558,-22.925614661052034
70.48804091,-51.23596080809736
76.01154164,35.537451892394145
81.52651243,24.086399613753535
87.03296792,16.887962494001766
92.5309227,13.845504981750066
98.02039134,31.230439388352018
103.5013884,-19.948049854154966
108.9739282,-42.684525019613986
114.4380255,-3.05407507034377
119.8936944,3.932423075796355
125.3409495,31.36304265273485
130.779805,-7.19633692321983
136.2102753,-4.226592861621997
141.6323747,-16.913448873818847
147.0461174,-21.053156611849747
152.4515176,28.699126827180745
157.8485895,-4.068163780527413
163.2373472,-11.538322956255282
168.6178049,6.696244701301001
173.9899766,1.537141105992923
179.3538764,58.662813938713825
184.7095182,148.5441378119643
190.0569161,79.20634239820123
195.396084,8.848904064874532
200.7270358,18.55338851625184
206.0497854,-18.863226875950005
211.3643466,5.625755118382522
216.6707333,27.16097692292564
221.9689593,-35.12194951996395
227.2590382,-0.45134967485619804
232.5409839,86.602079195922
237.8148101,19.405863242104054
243.0805303,1.0639154243002835
248.3381582,22.300663569068416
253.5877075,-22.031908959333997
258.8291917,34.04752746714303
264.0626244,17.011850645984623
269.288019,-25.381799601637894
274.5053891,-28.07984347190081
279.7147481,-21.576012881432483
284.9161094,250.08542454563093
290.1094865,1067.8300950380672
295.2948927,3825.9425984695235
300.4723414,10181.148189742797
305.6418459,19504.826290274075
310.8034194,27541.303339828835
315.9570752,31093.827650618012
321.1028267,32084.068524462415
326.2406869,32475.246400931093
331.370669,33185.938145355205
336.4927863,34227.227751754624
341.6070517,34991.290478929615
346.7134786,35951.337878384475
351.8120798,36592.862523097436
356.9028684,36748.96908395771
361.9858576,36071.2059129515
367.0610602,35553.8517909815
372.1284892,36477.6946154742
377.1881577,38738.36345469438
382.2400784,43897.386564033346
387.2842644,48041.21313118768
392.3207284,48427.88246001167
397.3494833,47162.50665742813
402.370542,43423.5292498828
407.3839172,39116.235700561454
412.3896217,35732.842340625866
417.3876683,33135.692350020654
422.3780697,31252.320043070806
427.3608386,29570.88097712796
432.3359876,28454.811390916017
437.3035295,27618.917881192076
442.2634769,27128.088170108702
447.2158423,26531.458304732765
452.1606383,26128.294213057405
457.0978776,25968.832213480586
462.0275727,25807.95834140412
466.9497361,26035.330005567484
471.8643802,27040.957127190737
476.7715176,29356.832419008522
481.6711608,31864.464623373933
486.5633221,32955.205225625796
491.448014,31478.860438710275
496.3252488,28685.638689382977
501.195039,26475.39237035393
506.0573969,24812.97735530455
510.9123349,23792.395115059782
515.7598651,23231.46485392167
520.6,22628.51917430369
525.4327518,22136.617217664247
530.2581327,22064.711989729723
535.076155,22676.75447663475
539.8868309,23116.975917331045
544.6901726,21828.893285956896
549.4861922,19974.52303496014
554.2749019,19061.43239069322
559.0563139,18657.283102999012
563.8304402,18176.7239846004
