Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
342.28007175846005,1mM,0.001,95.81703738588558,95.81703738588558,0.0
346.20575845060836,1mM,0.001,455.0654104335637,455.0654104335637,0.0
350.13144514275666,1mM,0.001,741.5132476926758,741.5132476926758,0.0
354.05713183490496,1mM,0.001,1033.2743754011847,1033.2743754011847,0.0
357.9828185270532,1mM,0.001,1306.591797932377,1306.591797932377,0.0
361.9085052192015,1mM,0.001,1568.0631557271251,1568.0631557271251,0.0
365.8341919113498,1mM,0.001,2021.1845416345855,2021.1845416345855,0.0
369.7598786034981,1mM,0.001,3016.6323499275904,3016.6323499275904,0.0
373.68556529564637,1mM,0.001,4882.057031951905,4882.057031951905,0.0
377.6112519877947,1mM,0.001,7947.084462255526,7947.084462255526,0.0
381.536938679943,1mM,0.001,12016.946497427847,12016.946497427847,0.0
385.4626253720913,1mM,0.001,15894.087470372095,15894.087470372095,0.0
389.3883120642395,1mM,0.001,18114.79203433016,18114.79203433016,0.0
393.31399875638783,1mM,0.001,18037.470052480072,18037.470052480072,0.0
397.23968544853614,1mM,0.001,16077.5886587027,16077.5886587027,0.0
401.16537214068444,1mM,0.001,13222.060328766778,13222.060328766778,0.0
405.0910588328327,1mM,0.001,10521.991940478254,10521.991940478254,0.0
409.016745524981,1mM,0.001,8313.035127680212,8313.035127680212,0.0
412.9424322171293,1mM,0.001,6535.28136180961,6535.28136180961,0.0
416.86811890927754,1mM,0.001,5177.07017706076,5177.07017706076,0.0
420.7938056014259,1mM,0.001,4120.206995674409,4120.206995674409,0.0
424.71949229357415,1mM,0.001,3398.461698125692,3398.461698125692,0.0
428.6451789857224,1mM,0.001,2968.134926955123,2968.134926955123,0.0
432.57086567787076,1mM,0.001,2708.355819458154,2708.355819458154,0.0
436.496552370019,1mM,0.001,2503.2751297296463,2503.2751297296463,0.0
440.42223906216725,1mM,0.001,2237.6949873946924,2237.6949873946924,0.0
444.3479257543156,1mM,0.001,1949.6696418771778,1949.6696418771778,0.0
448.27361244646386,1mM,0.001,1690.4261427866631,1690.4261427866631,0.0
452.1992991386122,1mM,0.001,1556.8346281210668,1556.8346281210668,0.0
456.12498583076047,1mM,0.001,1714.7790810945173,1714.7790810945173,0.0
460.0506725229087,1mM,0.001,2123.5386739373903,2123.5386739373903,0.0
463.9763592150571,1mM,0.001,2352.0904835102906,2352.0904835102906,0.0
467.9020459072053,1mM,0.001,2321.214256701893,2321.214256701893,0.0
471.82773259935357,1mM,0.001,2325.713514166616,2325.713514166616,0.0
475.7534192915019,1mM,0.001,2491.955771235903,2491.955771235903,0.0
479.6791059836502,1mM,0.001,2919.760335373724,2919.760335373724,0.0
483.60479267579854,1mM,0.001,3309.9877043627907,3309.9877043627907,0.0
487.5304793679468,1mM,0.001,3405.631107654946,3405.631107654946,0.0
491.45616606009503,1mM,0.001,3252.143892325408,3252.143892325408,0.0
495.3818527522434,1mM,0.001,2900.6010342364784,2900.6010342364784,0.0
499.30753944439164,1mM,0.001,2486.5982761523014,2486.5982761523014,0.0
503.2332261365399,1mM,0.001,2075.4630694825137,2075.4630694825137,0.0
507.15891282868824,1mM,0.001,1722.7021757985433,1722.7021757985433,0.0
511.0845995208365,1mM,0.001,1505.4729795069388,1505.4729795069388,0.0
515.0102862129849,1mM,0.001,1361.535124417591,1361.535124417591,0.0
518.9359729051331,1mM,0.001,1203.0225193392414,1203.0225193392414,0.0
522.8616595972813,1mM,0.001,1120.917103892495,1120.917103892495,0.0
526.7873462894297,1mM,0.001,1063.5941257610002,1063.5941257610002,0.0
530.713032981578,1mM,0.001,1046.8804087737942,1046.8804087737942,0.0
534.6387196737262,1mM,0.001,1142.6359144107362,1142.6359144107362,0.0
538.5644063658746,1mM,0.001,1196.088571881137,1196.088571881137,0.0
542.4900930580228,1mM,0.001,1094.1943953519076,1094.1943953519076,0.0
546.415779750171,1mM,0.001,872.8091403278688,872.8091403278688,0.0
550.3414664423194,1mM,0.001,491.1216852953665,491.1216852953665,0.0
554.2671531344677,1mM,0.001,76.51072302892399,76.51072302892399,0.0
558.192839826616,1mM,0.001,-24.6987273238307,-24.6987273238307,0.0
562.1185265187643,1mM,0.001,-6.313601393764321,-6.313601393764321,0.0
566.0442132109125,1mM,0.001,-19.236282377222672,-19.236282377222672,0.0
569.9698999030609,1mM,0.001,35.512199088066374,35.512199088066374,0.0
573.8955865952091,1mM,0.001,162.01853129221615,162.01853129221615,0.0
577.8212732873574,1mM,0.001,259.5560130148539,259.5560130148539,0.0
581.7469599795057,1mM,0.001,229.6893608655285,229.6893608655285,0.0
585.672646671654,1mM,0.001,230.31422650501102,230.31422650501102,0.0
589.5983333638023,1mM,0.001,251.6360597527968,251.6360597527968,0.0
593.5240200559506,1mM,0.001,286.57070986841126,286.57070986841126,0.0
597.4497067480988,1mM,0.001,334.5468264490216,334.5468264490216,0.0
601.3753934402472,1mM,0.001,400.82139221893635,400.82139221893635,0.0
605.3010801323954,1mM,0.001,522.9880796137337,522.9880796137337,0.0
609.2267668245437,1mM,0.001,529.4351657854934,529.4351657854934,0.0
613.152453516692,1mM,0.001,489.25431239539944,489.25431239539944,0.0
617.0781402088403,1mM,0.001,518.4447495117004,518.4447495117004,0.0
621.0038269009887,1mM,0.001,769.2960006982473,769.2960006982473,0.0
624.9295135931369,1mM,0.001,1333.45312051694,1333.45312051694,0.0
628.8552002852852,1mM,0.001,1958.2618635372928,1958.2618635372928,0.0
632.7808869774335,1mM,0.001,2536.998166878178,2536.998166878178,0.0
636.7065736695818,1mM,0.001,2890.7353767813697,2890.7353767813697,0.0
