Raman_shift_cm-1,1mM,100µM,10µM,1µM,100nM,10nM,1nM,100pM,10pM,1pM,100fM,10fM,1fM,Blank
342.28007175846005,95.81703738588558,3073.2369380642767,4324.334483867755,6271.961095924911,8086.6723927453095,10059.97880598068,12034.277519704672,14061.053672152082,16056.689153023714,17986.322212058727,20033.85127225939,21979.776459975823,23995.35830497536,25855.756308456803
346.20575845060836,455.0654104335637,3380.2452729003044,4682.488910507553,6814.600794746671,8177.242538273764,10165.108096337846,12043.691661696213,14097.082996713172,16037.887372464738,18005.40927838665,20032.803429800555,22038.00553867301,23990.894823528706,25824.259523975714
350.13144514275666,741.5132476926758,3635.12975476079,4945.846363720168,7229.888049478992,8255.834607399058,10261.785830877587,12067.42853307985,14135.854546368533,16095.071955211113,18047.858945099353,20061.090389063607,22084.65951295203,24003.094363787943,25878.768576377788
354.05713183490496,1033.2743754011847,3895.3743480810917,5167.957557967917,7499.109967665714,8294.975786428897,10308.356963077054,12080.557061687949,14151.545485500446,16114.341138502425,18058.517590560084,20056.04282973769,22111.779582998555,23990.6670846418,25893.50896949574
357.9828185270532,1306.591797932377,4083.391826425962,5318.0469385001725,7595.334333502728,8291.97208982062,10301.930968388835,12072.646785289568,14145.517564251026,16073.238363178387,18029.396193693963,20032.860422408885,22098.94259891531,23966.3667269761,25877.099455620963
361.9085052192015,1568.0631557271251,4141.350622656006,5381.289088421703,7567.498293842145,8299.758558810021,10304.806796400837,12081.07267104728,14163.815057461557,16092.728873091111,18063.983873531284,20057.05185240996,22103.699923257856,23988.788090270526,25922.943482732277
365.8341919113498,2021.1845416345855,4218.171123103775,5496.6031514887,7546.942350601373,8321.63571994087,10326.555217578569,12109.537441363926,14188.21586955283,16149.461506543277,18116.93311831996,20076.626777233712,22125.027142501654,24019.083015829918,25996.8137177419
369.7598786034981,3016.6323499275904,4613.874749666669,5936.154549880904,7717.850083909106,8408.395054378445,10362.065186916787,12161.037853902575,14220.151736266083,16190.641888561277,18144.431946999925,20086.127310737404,22120.45499717937,24043.456063646325,25999.106949284724
373.68556529564637,4882.057031951905,5572.6567321087405,6952.578559267603,8218.202467505285,8639.580145951213,10453.92642795512,12245.714828231536,14317.437584631782,16295.036979828894,18221.472697473888,20129.34252502537,22140.577980754664,24097.206423888023,26010.1090334419
377.6112519877947,7947.084462255526,7359.19141714867,8885.946697949226,9296.044699880618,9123.018315741954,10663.78484846001,12421.904243062752,14546.13970223596,16543.852183565465,18443.226423591823,20235.980055546494,22253.954013283084,24204.259931111566,26034.7598605857
381.536938679943,12016.946497427847,9908.880148113813,11821.881752024536,11028.419069183947,9897.551522876,11006.351429773349,12744.628251852508,14904.487286506916,16914.004603301142,18816.345892551934,20404.015132043292,22440.92767989565,24369.910956479103,25981.090443028952
385.4626253720913,15894.087470372095,12457.246994516223,15068.897886692808,12905.372343952968,10817.321149126336,11422.730112766627,13145.113232542793,15324.21217175043,17359.293233170287,19294.02971160982,20613.75554573157,22691.160010620555,24586.89676562167,25922.23477880927
389.3883120642395,18114.79203433016,14100.47441719394,17483.41042807007,14225.24738844253,11577.693805575353,11773.425105997572,13475.774658195214,15677.543653908973,17769.0174849756,19726.766033446274,20821.10075975844,22946.56038560012,24799.358629013124,25928.96955026554
393.31399875638783,18037.470052480072,14440.325310234693,18225.252031054533,14621.277413792202,11843.16895203369,11929.16754732118,13599.470902765523,15805.157500466452,17900.66367903351,19861.33145967977,20918.30157582388,23036.59193649892,24880.160643052106,25916.94239765663
397.23968544853614,16077.5886587027,13519.86080021931,17138.25539824364,14086.707277657502,11540.211712879267,11857.657490190619,13493.183968834532,15673.925533911277,17734.86084929616,19701.04806929492,20880.17493361914,22959.13731971594,24816.18206916327,25883.276028607066
401.16537214068444,13222.060328766778,11666.081616433717,14744.460699939118,12865.029904402632,10860.85026051628,11588.177069774008,13221.930205848694,15362.732373532457,17428.960549439453,19387.609682914986,20735.479220150995,22807.67878232022,24670.670285487282,25951.89387631776
405.0910588328327,10521.991940478254,9599.314872519442,12057.224565899156,11477.10318783166,10107.506750767992,11248.720133996114,12869.558505420026,15001.06416340915,17033.359619906616,19016.743677114482,20534.227077912274,22609.532863302007,24469.052577294457,25979.457388770385
409.016745524981,8313.035127680212,7748.810394845563,9682.483782623716,10174.526602664298,9414.224545143055,10915.344378751832,12523.58323153924,14646.924714512934,16642.062079682193,18629.537100664067,20337.14025768017,22372.78037291793,24262.49051922349,25933.84183527981
412.9424322171293,6535.28136180961,6220.986925428273,7817.755635863983,9052.979345256996,8863.987104541211,10628.799095193079,12267.052130845366,14369.715807549033,16361.399645044055,18314.979523038943,20196.871837870833,22177.027114803754,24122.423771511287,25866.91251048624
416.86811890927754,5177.07017706076,5054.731334175078,6530.008433031384,8230.251799937205,8521.26394350761,10429.815214704653,12113.227656263085,14212.996817179272,16177.205376004436,18129.161294168673,20117.060484355505,22079.51270641907,24041.864216218313,25791.896635859666
420.7938056014259,4120.206995674409,4123.500078897221,5641.762908216332,7603.9772498109905,8307.771189476633,10291.837695085198,12031.277985636725,14118.965922164745,16076.837736622861,18020.554576698225,20058.195037187743,22033.26271094358,23986.787716277988,25837.13236608587
424.71949229357415,3398.461698125692,3457.6624983202264,5088.184609483843,7144.109871066041,8188.965319297412,10204.227197698794,12005.950045673808,14067.900623272992,16034.340098965104,17975.642472563868,20018.825654719374,22000.10325509403,23958.138388157815,25927.18790030918
428.6451789857224,2968.134926955123,3030.098074201298,4764.886528321668,6813.057430512012,8123.228774857011,10149.86218983631,12002.513704795947,14040.609126510002,16006.207633699032,17950.7820182997,19974.138004147837,21970.549934568746,23952.80650423102,26037.310272273397
432.57086567787076,2708.355819458154,2766.610947252851,4571.634900026385,6573.691534131915,8100.94794258682,10112.497344372061,12017.423329086845,14044.451418530827,16003.884507607696,17962.377258950874,19952.467758483388,21974.00388469084,23979.062075404287,26169.181797180998
436.496552370019,2503.2751297296463,2601.148135646102,4460.023332128564,6394.0604340142245,8104.383220394697,10089.175826370943,12053.829521302057,14068.116106742642,16030.199162009565,18011.37555638022,19981.858485447494,21996.621727290007,24013.165386428303,26258.120771754177
