Ramanshift[cm-1],Intensity
-93.52472366,9594.2
-87.74731628,8733.2
-81.97888019,8693.2
-76.2193996,8717
-70.46885874,8653
-64.72724191,8524
-58.99453344,8524.6
-53.2707177,8703.8
-47.55577911,8793.2
-41.84970212,8669.8
-36.15247124,9068.6
-30.46407101,9182.2
-24.78448602,8907.8
-19.11370089,8913
-13.45170028,8770.6
-7.798468914,8634.8
-2.153991534,8476.4
3.481747071,8950.8
9.10876207,8448.8
14.72706859,8723.6
20.33668173,8525.8
25.93761654,8559.6
31.52988803,8886.4
37.11351116,8736
42.68850089,8486.4
48.25487209,8577.2
53.81263964,8473.6
59.36181834,8236.6
64.90242299,8172.6
70.43446832,8421
75.95796905,8594.2
81.47293984,8162.6
86.97939533,8488
92.47735012,8722
97.96681875,8255
103.4478158,8482.4
108.9203557,8297.6
114.3844529,8300
119.8401218,8484.8
125.2873769,9090.8
130.7262324,8270.6
136.1567027,8132.6
141.5788021,8274.4
146.9925448,8658.4
152.397945,8356.4
157.7950169,8339.4
163.1837747,8270
168.5642323,8451
173.936404,8646.8
179.3003038,8249
184.6559456,8398.4
190.0033435,8545
195.3425114,8669.8
200.6734632,8290
205.9962128,8305.2
211.310774,8066.8
216.6171607,8358.8
221.9153867,8026.8
227.2054656,8273.8
232.4874113,8214.2
237.7612375,8225.2
243.0269577,8277
248.2845856,8213.4
253.5341349,8104.6
258.7756191,8172.4
264.0090518,8220.2
269.2344464,8341.4
274.4518165,8456.4
279.6611755,8258
284.8625368,8171.8
290.0559139,8269.2
295.2413201,8849.6
300.4187688,10261.6
305.5882733,11202.2
310.7498468,12148.2
315.9035027,13093
321.0492541,13292.8
326.1871143,13307.4
331.3170964,13485.4
336.4392137,13568.6
341.5534792,13678.6
346.659906,13577.2
351.7585072,13721.8
356.8492959,13554.8
361.932285,13674.8
367.0074876,13837.8
372.0749167,13551
377.1345851,13800.8
382.1865058,13630
387.2306918,13420.8
392.2671558,13661
397.2959107,13336.2
402.3169694,13586.4
407.3303446,13436.4
412.3360492,13307.4
417.3340958,13137
422.3244971,13301.6
427.307266,13374.4
432.2824151,13599.2
437.2499569,13726.2
442.2099043,13706
447.1622697,13253.2
452.1070657,13371.6
457.044305,13538.6
461.9740001,12950
466.8961635,13241.8
471.8108076,12847
476.717945,13234
481.6175882,13201.2
486.5097495,13288
491.3944414,13108.6
496.2716763,13288.8
501.1414665,13111.8
506.0038244,13430.4
510.8587623,13217.2
515.7062925,12797.6
520.5464274,13099.4
525.3791792,13003.6
530.2045601,13199.6
535.0225824,12679.8
539.8332583,12950.4
544.6366,13035
549.4326196,12717.6
554.2213293,13403
559.0027413,12794.2
563.7768676,12549.2
568.5437204,13350.6
573.3033118,13046.2
578.0556537,12868
582.8007583,13103.2
587.5386375,13015.6
592.2693034,12794.4
596.9927679,12888.2
601.7090431,12973.8
606.4181409,12800.8
611.1200732,12735
615.814852,12751.2
620.5024891,12950.6
625.1829965,12687.4
629.8563859,13088.4
634.5226693,13145.2
639.1818586,12595.6
643.8339654,12823
648.4790017,12628.2
653.1169792,12516.8
657.7479097,12667
662.3718049,12251.6
666.9886767,12425.8
671.5985366,12374.4
676.2013965,12578.6
680.7972681,12650.2
685.386163,12447
689.9680928,12636.4
694.5430693,12453.8
699.1111041,12703.8
703.6722088,12518.4
708.226395,12614.2
712.7736744,12549.2
717.3140584,12508.8
721.8475588,12426.2
726.3741869,11959
730.8939545,12573.6
735.406873,12390.4
739.9129539,12716.2
744.4122087,12417.6
748.9046489,12288.2
753.3902861,12062
757.8691316,11815.2
762.341197,12284.4
766.8064936,11973.2
771.265033,12886.8
775.7168264,12232
780.1618854,12419.6
784.6002213,12041.6
789.0318455,11891.2
793.4567694,11829.2
797.8750043,12233.4
802.2865616,11727.8
806.6914527,12022.4
811.0896888,11901
815.4812812,11803.4
819.8662414,11588.8
824.2445805,11732
828.6163098,11925.4
832.9814407,11712.8
837.3399844,11520.6
841.6919522,11869.4
846.0373552,11632.4
850.3762048,11608.8
854.7085122,11713.2
859.0342885,11952.8
863.353545,11376.6
867.6662929,11752.2
871.9725434,11853.6
876.2723076,12234
880.5655967,11854.8
884.852422,11759.2
889.1327944,12160.6
893.4067253,11300.4
897.6742257,11335.8
901.9353067,11598.6
906.1899795,11789.6
910.4382551,11409.4
914.6801448,11372.2
918.9156596,11269
923.1448105,11716.2
927.3676087,11432.2
931.5840652,11933.8
935.7941911,11499.6
939.9979975,11656.6
944.1954954,11632.2
948.3866958,11063
952.5716099,11580
956.7502486,11429.2
960.9226229,11871.6
965.088744,11468.8
969.2486227,11450.6
973.4022701,11500.8
977.5496973,11372.8
981.6909151,11458.6
985.8259346,11339
989.9547668,11501.2
994.0774227,11236.8
998.1939132,11455.2
1002.304249,10858.4
1006.408442,11304
1010.506502,11164.8
1014.598441,11410.8
1018.684269,11664.2
1022.763997,11354.6
1026.837637,11211.8
1030.905199,11128.6
1034.966694,11335.2
1039.022133,11210
1043.071527,11039.6
1047.114887,11095
1051.152224,11169.8
1055.183549,10995.2
1059.208872,10968
1063.228205,10709.8
1067.241558,10671.6
1071.248943,11268.6
1075.250369,10888
1079.245849,11405
1083.235393,11170.4
1087.219012,11073
1091.196717,11187.8
1095.168518,11250.2
1099.134427,11032.4
1103.094454,11089.6
1107.04861,11060.6
1110.996907,11118.4
1114.939354,11130.4
1118.875963,11081
1122.806745,11272.6
1126.731711,10801.8
1130.650871,10662.2
1134.564236,11146.4
1138.471817,11012
1142.373625,11002.8
1146.269671,11092.6
1150.159966,10947.2
1154.04452,10952.4
1157.923344,10638.2
1161.79645,10686.6
1165.663848,10896.6
1169.525549,10837.2
1173.381563,10975.4
1177.231902,10374.2
1181.076576,10462.4
1184.915596,10807.2
1188.748974,10759.2
1192.576719,10501
1196.398844,10365.4
1200.215357,10484.6
1204.026272,10311
1207.831597,10050.4
1211.631345,10487.6
1215.425525,10204.4
1219.21415,11392.8
1222.997229,10321.2
1226.774773,10267.6
1230.546794,10413.4
1234.313302,10531.8
1238.074307,10283.6
1241.829822,10251.4
1245.579857,10499.4
1249.324421,10460.8
1253.063528,9975.4
1256.797186,10245
1260.525408,10228
1264.248204,10174
1267.965584,10235.2
1271.67756,10028
1275.384142,9930.2
1279.085342,10296.8
1282.781171,10411.2
1286.471638,10050
1290.156755,10058
1293.836533,10145.2
1297.510983,10446.4
1301.180115,9952.6
1304.843941,10239.4
1308.502471,10314.6
1312.155716,10322.2
1315.803688,9946.4
1319.446396,9954
1323.083853,10485.4
1326.716068,10192.8
1330.343053,10561.6
1333.964818,10165.8
1337.581375,10181.2
1341.192735,10023.6
1344.798907,9991.2
1348.399904,9888.8
1351.995736,9828.6
1355.586415,9878.6
1359.17195,10194.2
