Ramanshift[cm-1],Intensity,,,,,,,,
-93.47115107,13968.6,,,,,,,, 
-87.69374369,12737,,,,,,,,
-81.9253076,12577,,,,,,,,
-76.16582701,12681.4,,,,,,,,
-70.41528615,12714.6,,,,,,,,
-64.67366933,12452.8,,,,,,,,
-58.94096086,12483.2,,,,,,,,
-53.21714512,12590,,,,,,,,
-47.50220652,12821.4,,,,,,,,
-41.79612954,12802,,,,,,,,
-36.09889866,13275.2,,,,,,,,
-30.41049843,13300.4,,,,,,,,
-24.73091343,12935,,,,,,,,
-19.0601283,12936.2,,,,,,,,
-13.39812769,12723.6,,,,,,,,
-7.744896327,12504.6,,,,,,,,
-2.100418946,12334.8,,,,,,,,
3.535319659,12932.2,,,,,,,,
9.162334658,12388,,,,,,,,
14.78064118,12716.4,,,,,,,,
20.39025432,12351.4,,,,,,,,
25.99118913,12495.6,,,,,,,,
31.58346061,12869.8,,,,,,,,
37.16708375,12774.2,,,,,,,,
42.74207347,12288.2,,,,,,,,
48.30844468,12467.2,,,,,,,,
53.86621222,12230.6,,,,,,,,
59.41539093,11927.2,,,,,,,,
64.95599558,11858,,,,,,,,
70.48804091,12318.8,,,,,,,,
76.01154164,12482.4,,,,,,,,
81.52651243,11815,,,,,,,,
87.03296792,12291.8,,,,,,,,
92.5309227,12740.4,,,,,,,,
98.02039134,11968.4,,,,,,,,
103.5013884,12192.2,,,,,,,,
108.9739282,12168.4,,,,,,,,
114.4380255,12112.6,,,,,,,,
119.8936944,12360.2,,,,,,,,
125.3409495,13156.2,,,,,,,,
130.779805,12078.4,,,,,,,,
136.2102753,11769.2,,,,,,,,
141.6323747,11816,,,,,,,,
147.0461174,12432.4,,,,,,,,
152.4515176,12069.6,,,,,,,,
157.8485895,12006.2,,,,,,,,
163.2373472,11856.8,,,,,,,,
168.6178049,12131,,,,,,,,
173.9899766,12393.4,,,,,,,,
179.3538764,11968.2,,,,,,,,
184.7095182,12190.4,,,,,,,,
190.0569161,12327.6,,,,,,,,
195.396084,12449.6,,,,,,,,
200.7270358,11954.6,,,,,,,,
206.0497854,11968.6,,,,,,,,
211.3643466,11642.2,,,,,,,,
216.6707333,12085,,,,,,,,
221.9689593,11659.4,,,,,,,,
227.2590382,11907.8,,,,,,,,
232.5409839,11843.8,,,,,,,,
237.8148101,11734.6,,,,,,,,
243.0805303,11838.8,,,,,,,,
248.3381582,11872.8,,,,,,,,
253.5877075,11675.2,,,,,,,,
258.8291917,11790.8,,,,,,,,
264.0626244,11915.4,,,,,,,,
269.288019,12080.4,,,,,,,,
274.5053891,12234.2,,,,,,,,
279.7147481,11866.4,,,,,,,,
284.9161094,11614.8,,,,,,,,
290.1094865,11973.8,,,,,,,,
295.2948927,12534.6,,,,,,,,
300.4723414,14170.4,,,,,,,,
305.6418459,15412,,,,,,,,
310.8034194,16776.6,,,,,,,,
315.9570752,18161.4,,,,,,,,
321.1028267,18393.6,,,,,,,,
326.2406869,18450.2,,,,,,,,
331.370669,18750.8,,,,,,,,
336.4927863,18787.2,,,,,,,,
341.6070517,18986.6,,,,,,,,
346.7134786,18863,,,,,,,,
351.8120798,19139.4,,,,,,,,
356.9028684,18911.8,,,,,,,,
361.9858576,18822,,,,,,,,
367.0610602,19358,,,,,,,,
372.1284892,18974.2,,,,,,,,
377.1881577,19449.8,,,,,,,,
382.2400784,19533.4,,,,,,,,
387.2842644,20079,,,,,,,,
392.3207284,20769.8,,,,,,,,
397.3494833,20156.8,,,,,,,,
402.370542,20016,,,,,,,,
407.3839172,19377.6,,,,,,,,
412.3896217,18773.8,,,,,,,,
417.3876683,18402,,,,,,,,
422.3780697,18475.4,,,,,,,,
427.3608386,18463.2,,,,,,,,
432.3359876,18861.6,,,,,,,,
437.3035295,18787,,,,,,,,
442.2634769,19072.4,,,,,,,,
447.2158423,18040.8,,,,,,,,
452.1606383,18167.4,,,,,,,,
457.0978776,18347.8,,,,,,,,
462.0275727,17628.6,,,,,,,,
466.9497361,18272.2,,,,,,,,
471.8643802,17649.4,,,,,,,,
476.7715176,18118.2,,,,,,,,
481.6711608,17973.2,,,,,,,,
486.5633221,18407.2,,,,,,,,
491.448014,18189,,,,,,,,
496.3252488,18157.8,,,,,,,,
501.195039,18127,,,,,,,,
506.0573969,18466.8,,,,,,,,
510.9123349,18078,,,,,,,,
