Ramanshift[cm-1],Intensity
-93.47115107,14256.8
-87.69374369,12931
-81.9253076,12738.2
-76.16582701,12910.8
-70.41528615,13039
-64.67366933,12646
-58.94096086,12701.2
-53.21714512,12926.4
-47.50220652,13118.8
-41.79612954,13035.4
-36.09889866,13530.2
-30.41049843,13548.2
-24.73091343,13155.8
-19.0601283,13324
-13.39812769,13039.2
-7.744896327,12803.6
-2.100418946,12538
3.535319659,13208.2
9.162334658,12586.6
14.78064118,12990.6
20.39025432,12597
25.99118913,12646.4
31.58346061,13123.2
37.16708375,13013.6
42.74207347,12558.6
48.30844468,12610
53.86621222,12546.2
59.41539093,12147.6
64.95599558,12200.2
70.48804091,12579
76.01154164,12657.6
81.52651243,11997.2
87.03296792,12625.6
92.5309227,12842
98.02039134,12225.4
103.5013884,12536.4
108.9739282,12357.4
114.4380255,12423.4
119.8936944,12517.4
125.3409495,13427
130.779805,12185.2
136.2102753,12034.8
141.6323747,12091.8
147.0461174,12660.4
152.4515176,12311
157.8485895,12209
163.2373472,12088.8
168.6178049,12437.4
173.9899766,12728.2
179.3538764,12290
184.7095182,12370
190.0569161,12456.2
195.396084,12720.8
200.7270358,12102.4
206.0497854,12213.6
211.3643466,11935.4
216.6707333,12307.8
221.9689593,11877
227.2590382,12083
232.5409839,12097.6
237.8148101,11941.4
243.0805303,12150.2
248.3381582,12141.4
253.5877075,11961
258.8291917,12068.8
264.0626244,12246
269.288019,12434.6
274.5053891,12596.8
279.7147481,12380.4
284.9161094,12656.2
290.1094865,14552.8
295.2948927,19930.4
300.4723414,32503.8
305.6418459,48795.6
310.8034194,62613.2
315.9570752,64163.8
321.1028267,64163.4
326.2406869,64163.4
331.370669,64163.4
336.4927863,64163
341.6070517,64163.4
346.7134786,64162.8
351.8120798,64163
356.9028684,64163.8
361.9858576,64163.8
367.0610602,64164.2
372.1284892,64164.8
377.1881577,64164.6
382.2400784,64164.2
387.2842644,64164.6
392.3207284,64164.6
397.3494833,64164.6
402.370542,64164.4
407.3839172,64164.6
412.3896217,64164
417.3876683,64164.2
422.3780697,64163.8
427.3608386,64164.6
432.3359876,64164
437.3035295,64163.6
442.2634769,64164.6
447.2158423,64164.2
452.1606383,64164.2
457.0978776,64164
462.0275727,64163.8
466.9497361,64163.8
471.8643802,64163.4
476.7715176,64163.8
481.6711608,64164
486.5633221,64163.8
491.448014,64163.4
496.3252488,64163.8
501.195039,64163
506.0573969,64163.4
510.9123349,64163.2
515.7598651,64163.2
520.6,64163.4
525.4327518,64163.4
530.2581327,64163
535.076155,64163.8
539.8868309,64163.8
544.6901726,64163.6
549.4861922,64164
554.2749019,64164.4
559.0563139,64164.4
563.8304402,64164
568.597293,64165
573.3568844,64164
578.1092263,64164.4
582.8543308,64164.4
587.5922101,64164.6
592.322876,64164.6
597.0463405,64164.4
601.7626157,64165
606.4717135,64165
611.1736458,64165.4
615.8684246,64165.2
620.5560617,64165
625.2365691,64165.6
629.9099585,64165.6
634.5762419,64166.4
639.2354312,64166.4
643.887538,64167
648.5325743,64166.2
653.1705518,64167
657.8014823,64167.2
662.4253775,64167.2
667.0422493,64167.6
671.6521092,64167.8
676.2549691,64168.6
680.8508407,64168.4
685.4397355,64169
690.0216654,64168.2
694.5966419,64167.4
699.1646767,64167.6
703.7257814,64168.2
708.2799676,64167.8
712.827247,64169
717.367631,64169
721.9011314,64171.4
726.4277595,64171.6
730.9475271,64172.8
735.4604456,64175.2
739.9665264,64187.2
744.4657813,64217
748.9582215,64230.4
753.4438587,64154.8
757.9227042,64015.6
762.3947696,63994.2
766.8600662,63282.8
771.3186056,64244.2
775.770399,63310.2
780.215458,62959.4
784.6537939,62080.2
789.0854181,62247.4
793.510342,61608.8
797.9285769,61742
802.3401342,61164.8
806.7450253,61174.2
811.1432614,60762.8
815.5348538,60177.2
819.9198139,59526.4
824.2981531,59500.2
828.6698824,59073.4
833.0350133,58298.4
837.393557,57965.8
841.7455248,58508.2
846.0909278,57790
850.4297774,58282
854.7620848,58242
859.0878611,58466.4
863.4071176,57878.6
867.7198655,58303.8
872.026116,58539.4
876.3258802,58545.2
880.6191693,57865.4
884.9059946,57575.8
889.186367,57768.2
893.4602979,56358.4
897.7277982,56248.2
901.9888793,56780
906.2435521,57365
910.4918277,56848.8
914.7337174,56871
918.9692321,56864
923.1983831,57350.2
927.4211813,56575.6
931.6376378,57386.2
935.8477637,56856
940.0515701,57217.2
944.249068,57273.8
948.4402684,56050.6
952.6251825,56792.2
956.8038212,56585.4
960.9761955,57185.2
965.1423166,56611
969.3021953,56459.8
973.4558427,56711.8
977.6032699,56515.8
981.7444877,56129.6
985.8795072,56274
990.0083394,56100.6
994.1309953,55578.4
998.2474857,56432.8
1002.357822,54969.4
1006.462014,55651.4
1010.560075,55302.8
1014.652013,55271.8
1018.737841,55623.4
1022.81757,55100
1026.891209,54667.8
1030.958771,54116.8
1035.020266,54581.8
1039.075705,54250.8
1043.1251,53585.4
1047.16846,53930
1051.205797,53762.4
1055.237121,53651.4
1059.262444,53789.6
1063.281777,53873
1067.295131,54484.4
1071.302515,56047.8
1075.303942,55189.4
1079.299422,56090.4
1083.288966,55141.8
1087.272585,54068.2
1091.250289,53725.8
1095.222091,53725.8
1099.187999,52644.6
1103.148026,52961.8
1107.102183,53060.8
1111.050479,52805.4
1114.992927,53132.4
1118.929536,52926.2
1122.860318,53638.6
1126.785283,53285.4
1130.704443,53601.8
1134.617808,54763.8
1138.52539,54615.2
1142.427198,54298.4
1146.323244,53783.2
1150.213538,53206
1154.098093,53339.4
1157.976917,52372.2
1161.850023,51988.2
1165.717421,52369
