Ramanshift[cm-1],Intensity
-93.47115107,13929.2
-87.69374369,12552.2
-81.9253076,12352.4
-76.16582701,12517.2
-70.41528615,12540.2
-64.67366933,12168.8
-58.94096086,12293
-53.21714512,12495
-47.50220652,12643.4
-41.79612954,12660.2
-36.09889866,13070.2
-30.41049843,13205
-24.73091343,12698.4
-19.0601283,12807.8
-13.39812769,12586
-7.744896327,12320.8
-2.100418946,12208.4
3.535319659,12868.4
9.162334658,12227
14.78064118,12609.6
20.39025432,12181
25.99118913,12285.2
31.58346061,12645.2
37.16708375,12567.6
42.74207347,12180
48.30844468,12229.8
53.86621222,12077.4
59.41539093,11758.8
64.95599558,11795
70.48804091,12079
76.01154164,12235.8
81.52651243,11625.8
87.03296792,12244
92.5309227,12509.4
98.02039134,11837.2
103.5013884,12110.6
108.9739282,11874
114.4380255,11981.2
119.8936944,12163.8
125.3409495,12958.4
130.779805,11912.4
136.2102753,11706.6
141.6323747,11718.6
147.0461174,12345.2
152.4515176,11896
157.8485895,11909.4
163.2373472,11755.4
168.6178049,12034.4
173.9899766,12320.8
179.3538764,11848.2
184.7095182,11971.4
190.0569161,12101.2
195.396084,12319.6
200.7270358,11639.4
206.0497854,11775.4
211.3643466,11588.6
216.6707333,11861.6
221.9689593,11525.4
227.2590382,11748.4
232.5409839,11742
237.8148101,11606
243.0805303,11732
248.3381582,11652.6
253.5877075,11504.8
258.8291917,11701
264.0626244,11836.6
269.288019,11927
274.5053891,12124.6
279.7147481,11823.2
284.9161094,11596.4
290.1094865,12140
295.2948927,13228.8
300.4723414,15982.2
305.6418459,18852.8
310.8034194,21560.4
315.9570752,23539.6
321.1028267,23947.6
326.2406869,24226.8
331.370669,24537.8
336.4927863,24785.8
341.6070517,25033.6
346.7134786,25204
351.8120798,25724.2
356.9028684,25448.4
361.9858576,25428.6
367.0610602,25664.4
372.1284892,25502
377.1881577,26233.8
382.2400784,27023
387.2842644,28445.2
392.3207284,29434.2
397.3494833,28709.6
402.370542,27772
407.3839172,26554.6
412.3896217,25526
417.3876683,24734.2
422.3780697,24534
427.3608386,24309.4
432.3359876,24705.6
437.3035295,24495.8
442.2634769,24526.4
447.2158423,23482.2
452.1606383,23611.2
457.0978776,23740
462.0275727,23104.2
