Ramanshift[cm-1],Intensity
-93.47115107,12140.4
-87.69374369,11004.4
-81.9253076,10869
-76.16582701,10963.2
-70.41528615,11053.8
-64.67366933,10741.8
-58.94096086,10766
-53.21714512,10909.8
-47.50220652,11063.2
-41.79612954,11037
-36.09889866,11378.8
-30.41049843,11496.4
-24.73091343,11175.2
-19.0601283,11253.6
-13.39812769,11043.6
-7.744896327,10813.4
-2.100418946,10734
3.535319659,11274.2
9.162334658,10613.8
14.78064118,10988.4
20.39025432,10698.4
25.99118913,10714.8
31.58346061,11211.4
37.16708375,10927.2
42.74207347,10702.6
48.30844468,10736
53.86621222,10652.2
59.41539093,10401
64.95599558,10293.2
70.48804091,10638.2
76.01154164,10815.8
81.52651243,10237
87.03296792,10719.2
92.5309227,10955.6
98.02039134,10391.6
103.5013884,10651.8
108.9739282,10454.2
114.4380255,10528.2
119.8936944,10724.6
125.3409495,11337.6
130.779805,10452.6
136.2102753,10198.4
141.6323747,10265.8
147.0461174,10827.8
152.4515176,10467.6
157.8485895,10425.8
163.2373472,10343.8
168.6178049,10610.4
173.9899766,10859.8
179.3538764,10459.8
184.7095182,10477.8
190.0569161,10721.2
195.396084,10811.6
200.7270358,10399.4
206.0497854,10390.8
211.3643466,10150.4
216.6707333,10520.8
221.9689593,10182.2
227.2590382,10447.2
232.5409839,10329.6
237.8148101,10167.8
243.0805303,10369.6
248.3381582,10365.8
253.5877075,10231.2
258.8291917,10252.8
264.0626244,10491
269.288019,10596.6
274.5053891,10765.6
279.7147481,10689.2
284.9161094,10971.6
290.1094865,12885.8
295.2948927,18799.4
300.4723414,32142.8
305.6418459,49886.4
310.8034194,63533.2
315.9570752,64162.2
321.1028267,64162.2
326.2406869,64162.2
331.370669,64161.6
336.4927863,64161.2
341.6070517,64161.8
346.7134786,64161.4
351.8120798,64162.6
356.9028684,64162.2
361.9858576,64162.2
367.0610602,64162.4
372.1284892,64162
377.1881577,64161.6
382.2400784,64160.4
387.2842644,64160.8
392.3207284,64161
397.3494833,64161.6
402.370542,64160.8
407.3839172,64161
412.3896217,64160.8
417.3876683,64160.8
422.3780697,64161
427.3608386,64161.2
432.3359876,64161.2
437.3035295,64161.2
442.2634769,64161.2
447.2158423,64161.2
452.1606383,64161.4
457.0978776,64161.2
462.0275727,64161.6
466.9497361,64162.4
471.8643802,64161.8
476.7715176,64162.4
481.6711608,64161.6
486.5633221,64162
491.448014,64162
496.3252488,64162.6
501.195039,64162.8
506.0573969,64163.4
510.9123349,64162.2
515.7598651,64163
520.6,64163.2
525.4327518,64163
530.2581327,64163.2
535.076155,64162.2
539.8868309,64162.6
544.6901726,64163.2
549.4861922,64163.6
554.2749019,64164
559.0563139,64164.6
563.8304402,64164
568.597293,64163.2
573.3568844,64164.2
578.1092263,64163.8
582.8543308,64163.6
587.5922101,64164.4
592.322876,64164.2
597.0463405,64164
601.7626157,64164.4
606.4717135,64164.8
611.1736458,64164.8
615.8684246,64164.8
620.5560617,64165
625.2365691,64162.8
629.9099585,64163.2
634.5762419,64162.8
639.2354312,64163.8
643.887538,64165.6
648.5325743,64167
653.1705518,64171.2
657.8014823,64176
662.4253775,64179.6
667.0422493,64186.8
671.6521092,64187.8
676.2549691,64191.4
680.8508407,64202.6
685.4397355,64157.8
690.0216654,64173.6
694.5966419,64169.6
699.1646767,64167.6
703.7257814,64167.8
708.2799676,64168.6
712.827247,64175.8
717.367631,64194.8
721.9011314,64242.8
726.4277595,64118.4
730.9475271,64044.8
735.4604456,63864.2
739.9665264,63899.4
744.4657813,63908.8
748.9582215,63477.6
753.4438587,62843.2
757.9227042,62263
762.3947696,62629.2
766.8600662,61414
771.3186056,62562.6
775.770399,61764.6
780.215458,61520.8
784.6537939,60662.4
789.0854181,61053.2
793.510342,61031
797.9285769,61712.4
802.3401342,61648.2
806.7450253,62247.6
811.1432614,62114.2
815.5348538,61943.2
819.9198139,60798.6
824.2981531,60510.8
828.6698824,59808.8
833.0350133,58797.8
837.393557,58059.4
841.7455248,58542.4
846.0909278,57582.8
850.4297774,57731.8
854.7620848,57944
859.0878611,57957.8
863.4071176,57312.2
867.7198655,57666.8
872.026116,57803.2
876.3258802,57721
880.6191693,57177
884.9059946,56905
889.186367,57329.4
893.4602979,56056.2
897.7277982,55858.4
901.9888793,56858.8
906.2435521,57746.8
910.4918277,57727
914.7337174,58503.6
918.9692321,58791
923.1983831,59052.6
927.4211813,58516.8
931.6376378,59300.2
935.8477637,58984.4
940.0515701,59709.2
944.249068,60090.4
948.4402684,58852.8
952.6251825,59696.2
956.8038212,59786.4
960.9761955,59942.6
965.1423166,59709.8
969.3021953,59759.6
973.4558427,59674.6
977.6032699,59784.2
981.7444877,59384.8
985.8795072,59534.2
990.0083394,59870.4
994.1309953,59922.2
998.2474857,62495.2
1002.357822,63435.4
1006.462014,64283.4
1010.560075,63671.6
1014.652013,61074.4
1018.737841,59897.6
1022.81757,58737.6
1026.891209,58122.4
1030.958771,57857.4
1035.020266,58534.6
1039.075705,58563.6
1043.1251,58926.4
1047.16846,60177
1051.205797,61671.4
1055.237121,63781.4
1059.262444,64164.4
1063.281777,64161.6
1067.295131,64159
1071.302515,64156.2
1075.303942,64154.2
1079.299422,64156.4
1083.288966,64163.8
1087.272585,64186.8
1091.250289,64254.8
1095.222091,64401.8
1099.187999,62523.2
1103.148026,61754.2
1107.102183,62301.4
1111.050479,62650.6
1114.992927,63733.6
1118.929536,64166.6
1122.860318,64163.2
