Ramanshift[cm-1],Intensity
-93.47115107,13751.8
-87.69374369,12414.8
-81.9253076,12305.8
-76.16582701,12351.8
-70.41528615,12374.8
-64.67366933,12141.8
-58.94096086,12122
-53.21714512,12331.4
-47.50220652,12530.8
-41.79612954,12484.4
-36.09889866,12971.2
-30.41049843,13009.4
-24.73091343,12539.8
-19.0601283,12616.8
-13.39812769,12404.4
-7.744896327,12307
-2.100418946,11989.2
3.535319659,12625.6
9.162334658,12038
14.78064118,12406.4
20.39025432,12106.6
25.99118913,12105.2
31.58346061,12506
37.16708375,12370.6
42.74207347,12006.2
48.30844468,12080.6
53.86621222,11899.6
59.41539093,11694
64.95599558,11664
70.48804091,12030
76.01154164,12108.4
81.52651243,11560.2
87.03296792,12074.4
92.5309227,12424.6
98.02039134,11613
103.5013884,11986.4
108.9739282,11857.8
114.4380255,11795.8
119.8936944,12034.2
125.3409495,12972.4
130.779805,11732.6
136.2102753,11533.6
141.6323747,11577.8
147.0461174,12147.6
152.4515176,11696.6
157.8485895,11732.8
163.2373472,11647
168.6178049,11813.8
173.9899766,12139.8
179.3538764,11680.2
184.7095182,11818.2
190.0569161,11972.8
195.396084,12216.2
200.7270358,11551
206.0497854,11710.2
211.3643466,11345.2
216.6707333,11694
221.9689593,11458.2
227.2590382,11623.6
232.5409839,11499.8
237.8148101,11524.6
243.0805303,11602.8
248.3381582,11541.4
253.5877075,11425.2
258.8291917,11584.8
264.0626244,11735
269.288019,11734
274.5053891,11948.6
279.7147481,11808
284.9161094,11639.6
290.1094865,12331.6
295.2948927,14342.8
300.4723414,19282
305.6418459,25431
310.8034194,31157.6
315.9570752,34663.8
321.1028267,35624.2
326.2406869,35919.2
331.370669,36404
336.4927863,37050.8
341.6070517,37711
346.7134786,38317.8
351.8120798,38679.4
356.9028684,38665
361.9858576,38659.8
367.0610602,38923.8
372.1284892,38370.2
377.1881577,38879
382.2400784,39247.8
387.2842644,40357.6
392.3207284,40986.8
397.3494833,40621.2
402.370542,40041.4
407.3839172,39201.8
412.3896217,38048.8
417.3876683,37414.4
422.3780697,37513.6
427.3608386,37229
432.3359876,37476.2
437.3035295,37107.4
442.2634769,37263.8
447.2158423,36217.6
452.1606383,36224.6
457.0978776,36299.6
462.0275727,35534.8
466.9497361,36133.2
471.8643802,35629.2
476.7715176,35964.2
481.6711608,36233
486.5633221,36560.2
491.448014,36258.6
496.3252488,35973
501.195039,35996
506.0573969,36247.4
510.9123349,35596.2
515.7598651,35072.8
520.6,35420
525.4327518,35189.4
530.2581327,35241
535.076155,34692.8
539.8868309,34848.2
544.6901726,34646.4
549.4861922,34170.6
554.2749019,35214
559.0563139,34426.6
563.8304402,34025
568.597293,35012.6
573.3568844,34504.2
578.1092263,34238.4
582.8543308,34603.8
587.5922101,34805.4
592.322876,34254
597.0463405,34579.4
601.7626157,34685.8
606.4717135,34083
611.1736458,34154.2
615.8684246,34025.6
620.5560617,34354.2
625.2365691,33988.6
629.9099585,34482.2
634.5762419,34426
639.2354312,33632
643.887538,33739.8
648.5325743,33592.4
653.1705518,33393.4
657.8014823,33507.8
662.4253775,32998.6
667.0422493,33180.2
671.6521092,33049.4
676.2549691,33177.4
680.8508407,33003.4
685.4397355,32893.2
690.0216654,33043
694.5966419,32885.2
699.1646767,33354.8
703.7257814,32963.4
708.2799676,33146
712.827247,33119.6
717.367631,32623.6
721.9011314,32905.2
