Ramanshift[cm-1],Intensity
-93.47115107,12978.8
-87.69374369,11816.6
-81.9253076,11649.8
-76.16582701,11713.4
-70.41528615,11819.8
-64.67366933,11505.8
-58.94096086,11509.4
-53.21714512,11724.6
-47.50220652,11907
-41.79612954,11735.4
-36.09889866,12230.8
-30.41049843,12321.4
-24.73091343,12057.4
-19.0601283,12026
-13.39812769,11824
-7.744896327,11568.8
-2.100418946,11379.2
3.535319659,12096
9.162334658,11474.6
14.78064118,11788.2
20.39025432,11517.2
25.99118913,11535.4
31.58346061,11921.4
37.16708375,11736.2
42.74207347,11480.6
48.30844468,11435.2
53.86621222,11331.6
59.41539093,11130.4
64.95599558,10998.2
70.48804091,11380.4
76.01154164,11467.4
81.52651243,10910.2
87.03296792,11462.4
92.5309227,11761.8
98.02039134,11148.6
103.5013884,11328.2
108.9739282,11261.4
114.4380255,11265.6
119.8936944,11356.8
125.3409495,12217.2
130.779805,11179.8
136.2102753,10958.6
141.6323747,11009.6
147.0461174,11514.6
152.4515176,11148.4
157.8485895,11112.8
163.2373472,11057.6
168.6178049,11333.4
173.9899766,11588.6
179.3538764,11101.6
184.7095182,11159.4
190.0569161,11457.6
195.396084,11654
200.7270358,11046.4
206.0497854,11172
211.3643466,10896.8
216.6707333,11284.2
221.9689593,10913.4
227.2590382,11076.8
232.5409839,11037.6
237.8148101,10914.6
243.0805303,11089
248.3381582,11136.4
253.5877075,10993
258.8291917,11119.6
264.0626244,11196.8
269.288019,11395.2
274.5053891,11594.4
279.7147481,11445.8
284.9161094,12070.6
290.1094865,14835.2
295.2948927,23650.4
300.4723414,43815.4
305.6418459,64162
310.8034194,64160.8
315.9570752,64160.8
321.1028267,64160.6
326.2406869,64161
331.370669,64160
336.4927863,64160
341.6070517,64159.6
346.7134786,64159.4
351.8120798,64159.2
356.9028684,64159.8
361.9858576,64159.6
367.0610602,64160.4
372.1284892,64159.4
377.1881577,64160.2
382.2400784,64159.8
387.2842644,64160.6
392.3207284,64159.8
397.3494833,64159
402.370542,64159.4
407.3839172,64160.2
412.3896217,64159.6
417.3876683,64160
422.3780697,64159.4
427.3608386,64160.2
432.3359876,64159.8
437.3035295,64159.6
442.2634769,64160
447.2158423,64160.4
452.1606383,64160.2
457.0978776,64160.4
462.0275727,64159.8
466.9497361,64160.2
471.8643802,64159.6
476.7715176,64159.4
481.6711608,64159.8
486.5633221,64160.4
491.448014,64159.6
496.3252488,64159.6
501.195039,64159.4
506.0573969,64159.8
510.9123349,64159.8
515.7598651,64160.8
520.6,64160.2
525.4327518,64160
530.2581327,64160
535.076155,64160
539.8868309,64160.6
544.6901726,64161.2
549.4861922,64161
554.2749019,64161.2
559.0563139,64161.8
563.8304402,64160.8
568.597293,64161.4
573.3568844,64162
578.1092263,64160.8
582.8543308,64161.2
587.5922101,64160.8
592.322876,64161
597.0463405,64160.4
601.7626157,64161
606.4717135,64161.6
611.1736458,64160.8
615.8684246,64161.2
620.5560617,64161.2
625.2365691,64161.2
629.9099585,64161.6
634.5762419,64161
639.2354312,64161.6
643.887538,64161.6
648.5325743,64161.2
653.1705518,64161.2
657.8014823,64161.4
662.4253775,64161.2
667.0422493,64161.4
671.6521092,64161.6
676.2549691,64161.6
680.8508407,64162.2
685.4397355,64160.8
690.0216654,64161.8
694.5966419,64161.2
699.1646767,64161.2
703.7257814,64161.2
708.2799676,64160.8
712.827247,64161
717.367631,64161.2
721.9011314,64160.8
726.4277595,64161.2
730.9475271,64160.8
735.4604456,64160.8
739.9665264,64160.6
744.4657813,64161.6
748.9582215,64162.2
753.4438587,64162
757.9227042,64162.2
762.3947696,64162.2
766.8600662,64162.2
771.3186056,64162.4
775.770399,64162
780.215458,64162.8
784.6537939,64162.8
789.0854181,64163
793.510342,64162.6
797.9285769,64162.6
802.3401342,64163.4
806.7450253,64163.2
811.1432614,64162.8
815.5348538,64163.2
819.9198139,64163.2
824.2981531,64163
828.6698824,64163.8
833.0350133,64163
837.393557,64163.4
841.7455248,64163
