Ramanshift[cm-1],Intensity
-93.52472366,9039.8
-87.74731628,8266.4
-81.97888019,8112.6
-76.2193996,8270.6
-70.46885874,8205.8
-64.72724191,8122.2
-58.99453344,8121.2
-53.2707177,8245.8
-47.55577911,8371.4
-41.84970212,8191
-36.15247124,8611
-30.46407101,8753.4
-24.78448602,8437.6
-19.11370089,8513.6
-13.45170028,8245
-7.798468914,8107.4
-2.153991534,8075.8
3.481747071,8466.6
9.10876207,8097
14.72706859,8403.4
20.33668173,8075.2
25.93761654,8058.4
31.52988803,8382.6
37.11351116,8198.6
42.68850089,8071.6
48.25487209,8165.2
53.81263964,8056.6
59.36181834,7810.4
64.90242299,7829.8
70.43446832,8040.4
75.95796905,8093.2
81.47293984,7753.4
86.97939533,8065
92.47735012,8213.4
97.96681875,7841.6
103.4478158,8047.8
108.9203557,7869
114.3844529,7878
119.8401218,8004.4
125.2873769,8572.4
130.7262324,7887.4
136.1567027,7785.6
141.5788021,7732.4
146.9925448,8181.4
152.397945,7893.2
157.7950169,7908.6
163.1837747,7792.2
168.5642323,8022.8
173.936404,8235.2
179.3003038,7768.8
184.6559456,7940
190.0033435,8106.6
195.3425114,8210.6
200.6734632,7762.4
205.9962128,7785.4
211.310774,7692.6
216.6171607,7938.2
221.9153867,7732.4
227.2054656,7795.4
232.4874113,7834.8
237.7612375,7762.4
243.0269577,7909.8
248.2845856,7838.8
253.5341349,7711.6
258.7756191,7757.4
264.0090518,7846.4
269.2344464,7949.2
274.4518165,8054.8
279.6611755,7830.4
284.8625368,7785.8
290.0559139,7883.6
295.2413201,8426.4
300.4187688,9681.6
305.5882733,10619
310.7498468,11547
315.9035027,12277
321.0492541,12464
326.1871143,12585.2
331.3170964,12702.2
336.4392137,12777
341.5534792,12871.6
346.659906,12723
351.7585072,12935.6
356.8492959,12704.2
361.932285,12868.6
367.0074876,12994.2
372.0749167,12868.4
377.1345851,12984.4
382.1865058,12723.4
387.2306918,12649.6
392.2671558,12783.4
397.2959107,12510
402.3169694,12729.2
407.3303446,12606
412.3360492,12641.2
417.3340958,12316.4
422.3244971,12496.4
427.307266,12497.4
432.2824151,12827.8
437.2499569,12915.2
442.2099043,12846.4
447.1622697,12407
452.1070657,12520.6
457.044305,12570
461.9740001,12199
466.8961635,12493.4
471.8108076,12037.4
476.717945,12455.8
481.6175882,12422
486.5097495,12533.8
491.3944414,12458
496.2716763,12338
501.1414665,12359.4
506.0038244,12692.8
510.8587623,12320.6
515.7062925,12116.2
520.5464274,12345.8
525.3791792,12259.4
530.2045601,12265.6
535.0225824,11981.6
539.8332583,12128
544.6366,12240.4
549.4326196,12002
554.2213293,12723.2
559.0027413,12126.6
563.7768676,11928.4
568.5437204,12615.2
573.3033118,12375.4
578.0556537,12113
582.8007583,12306.8
587.5386375,12287
592.2693034,12084.6
596.9927679,12083
601.7090431,12328.2
606.4181409,11997.6
611.1200732,11960.6
615.814852,12047.8
620.5024891,12281
625.1829965,11991.8
629.8563859,12363.8
634.5226693,12347.4
639.1818586,11921.6
643.8339654,11936.6
648.4790017,11814.4
653.1169792,11890.2
657.7479097,11919.6
662.3718049,11520.4
666.9886767,11716.8
671.5985366,11782.4
676.2013965,11922.2
680.7972681,11848.2
685.386163,11746.4
689.9680928,11912.6
694.5430693,11704.2
699.1111041,12121.2
703.6722088,11805.8
708.226395,11887
712.7736744,11958.2
717.3140584,11815
721.8475588,11800
726.3741869,11359.6
730.8939545,11798.4
735.406873,11684.4
739.9129539,11944.8
744.4122087,11604.6
748.9046489,11632
753.3902861,11366.2
757.8691316,11301.8
762.341197,11576.8
766.8064936,11359.8
771.265033,12191.2
775.7168264,11447.6
780.1618854,11735
784.6002213,11259.6
789.0318455,11279.2
793.4567694,11202.6
797.8750043,11585
802.2865616,11052
806.6914527,11245
811.0896888,11238.4
815.4812812,11167
819.8662414,10984.2
824.2445805,11061.6
828.6163098,11190
832.9814407,11042.8
837.3399844,10836.4
841.6919522,11147.2
846.0373552,10941.4
850.3762048,11040.4
854.7085122,11026
859.0342885,11273.2
863.353545,10769.2
867.6662929,11095
871.9725434,11171.4
876.2723076,11499
880.5655967,11171.8
884.852422,11140.6
889.1327944,11465.6
893.4067253,10744.8
897.6742257,10713.4
901.9353067,10993.4
906.1899795,11127.4
910.4382551,10789.6
914.6801448,10839.2
918.9156596,10666
923.1448105,11052.2
927.3676087,10823.6
931.5840652,11278.2
935.7941911,10874.2
939.9979975,10921.8
944.1954954,11082.6
948.3866958,10436.8
952.5716099,11011.4
956.7502486,10737.6
960.9226229,11128.4
965.088744,10820.6
969.2486227,10935
973.4022701,10835.4
977.5496973,10726
981.6909151,10828.8
985.8259346,10668.4
989.9547668,10869.4
994.0774227,10644.8
998.1939132,10886.4
1002.304249,10399.6
1006.408442,10708
1010.506502,10401
1014.598441,10731.6
1018.684269,11078.8
1022.763997,10633.2
1026.837637,10596
1030.905199,10472.6
1034.966694,10701.4
1039.022133,10560.6
1043.071527,10341
1047.114887,10541.4
1051.152224,10509.6
1055.183549,10360.6
1059.208872,10407
1063.228205,10165
1067.241558,10088
1071.248943,10615
