Ramanshift[cm-1],Intensity
-93.47115107,14455.6
-87.69374369,13008.4
-81.9253076,12895.4
-76.16582701,13087.2
-70.41528615,13011
-64.67366933,12721.8
-58.94096086,12719.2
-53.21714512,12956
-47.50220652,13102.2
-41.79612954,13111.2
-36.09889866,13660.8
-30.41049843,13619
-24.73091343,13232.2
-19.0601283,13352
-13.39812769,13067.6
-7.744896327,12940.8
-2.100418946,12717.4
3.535319659,13313.4
9.162334658,12633
14.78064118,13039.8
20.39025432,12687.6
25.99118913,12698
31.58346061,13189
37.16708375,13085.6
42.74207347,12669.6
48.30844468,12669.6
53.86621222,12536.8
59.41539093,12326.2
64.95599558,12236.4
70.48804091,12660.8
76.01154164,12751.4
81.52651243,12055.8
87.03296792,12660.4
92.5309227,12947.8
98.02039134,12200
103.5013884,12611
108.9739282,12454.4
114.4380255,12333
119.8936944,12640.4
125.3409495,13578
130.779805,12364
136.2102753,12094
141.6323747,12087.2
147.0461174,12865.4
152.4515176,12292.2
157.8485895,12285
163.2373472,12272.2
168.6178049,12527.4
173.9899766,12783.8
179.3538764,12385.6
184.7095182,12406.6
190.0569161,12681.2
195.396084,12811.4
200.7270358,12151.4
206.0497854,12271
211.3643466,11946.8
216.6707333,12388.4
221.9689593,12000.6
227.2590382,12158.2
232.5409839,12121.4
237.8148101,12175.4
243.0805303,12221.4
248.3381582,12206.4
253.5877075,11943.2
258.8291917,12178.2
264.0626244,12187.2
269.288019,12454
274.5053891,12550
279.7147481,12227.2
284.9161094,11960.6
290.1094865,12178.2
295.2948927,12655.6
300.4723414,13799.4
305.6418459,14403.6
310.8034194,15012.6
315.9570752,16258
321.1028267,16336.6
326.2406869,16430.2
331.370669,16612.2
336.4927863,16620.4
341.6070517,16712.2
346.7134786,16516.2
351.8120798,16797.2
356.9028684,16465.4
361.9858576,16595.4
367.0610602,17055
372.1284892,16598.6
377.1881577,17153.8
382.2400784,17141.2
387.2842644,17662.4
392.3207284,18353.4
397.3494833,17781
402.370542,17781.4
407.3839172,17071
412.3896217,16555
417.3876683,16113
422.3780697,16174
427.3608386,16280.2
432.3359876,16593
437.3035295,16748.4
442.2634769,16836.2
447.2158423,16065.2
452.1606383,15932.2
457.0978776,16223.6
462.0275727,15540.2
466.9497361,16059.8
471.8643802,15493.4
476.7715176,15994.4
481.6711608,15906
486.5633221,16110.8
491.448014,15928.4
496.3252488,15916.4
501.195039,15968.2
506.0573969,16318.8
510.9123349,16103
515.7598651,15466.6
520.6,15904.8
525.4327518,15961.4
530.2581327,16034.6
535.076155,15489.8
539.8868309,15941
544.6901726,15983.6
549.4861922,15754.6
554.2749019,16551.4
559.0563139,15621.4
563.8304402,15501.4
568.597293,16471.4
573.3568844,16129.8
578.1092263,15577.2
582.8543308,16177
587.5922101,15912.2
592.322876,15659.8
597.0463405,15712
601.7626157,15975.2
606.4717135,15467.2
611.1736458,15481.6
615.8684246,15626.6
620.5560617,15986
625.2365691,15672.4
629.9099585,16039.4
634.5762419,16340
639.2354312,15628.2
643.887538,16019.6
648.5325743,15679.2
653.1705518,15637.4
657.8014823,15876.2
662.4253775,15137.4
667.0422493,15476.2
671.6521092,15440.8
676.2549691,15567.6
680.8508407,15557.4
685.4397355,15569.4
690.0216654,15586.4
694.5966419,15460.2
699.1646767,15901.6
703.7257814,15450.8
708.2799676,15653.8
712.827247,15867.8
717.367631,15576.6
721.9011314,15509
726.4277595,14905.6
730.9475271,15596.4
735.4604456,15495.4
739.9665264,16118.6
744.4657813,15482.2
748.9582215,15501.2
753.4438587,14948.4
757.9227042,14869.8
762.3947696,15377.2
766.8600662,14953.4
771.3186056,16491.8
775.770399,15404.8
780.215458,15711
784.6537939,15096.8
789.0854181,14865.8
793.510342,14939
797.9285769,15671.6
802.3401342,15105.6
806.7450253,15256.8
811.1432614,15092.2
815.5348538,15028.4
819.9198139,14619.4
824.2981531,15018.4
828.6698824,15123.8
833.0350133,14932.8
