Ramanshift[cm-1],Intensity,,,,,,,,
-93.47115107,14491.6,,,,,,,, 
-87.69374369,13168.6,,,,,,,,
-81.9253076,12948.4,,,,,,,,
-76.16582701,13029.4,,,,,,,,
-70.41528615,13071.8,,,,,,,,
-64.67366933,12758,,,,,,,,
-58.94096086,12861.2,,,,,,,,
-53.21714512,13030,,,,,,,,
-47.50220652,13136.8,,,,,,,,
-41.79612954,13054.6,,,,,,,,
-36.09889866,13616.4,,,,,,,,
-30.41049843,13765.8,,,,,,,,
-24.73091343,13259,,,,,,,,
-19.0601283,13298.2,,,,,,,,
-13.39812769,13081.2,,,,,,,,
-7.744896327,12869.6,,,,,,,,
-2.100418946,12592.8,,,,,,,,
3.535319659,13419.2,,,,,,,,
9.162334658,12667.6,,,,,,,,
14.78064118,13129.2,,,,,,,,
20.39025432,12703.4,,,,,,,,
25.99118913,12786.8,,,,,,,,
31.58346061,13207.4,,,,,,,,
37.16708375,13090,,,,,,,,
42.74207347,12668.4,,,,,,,,
48.30844468,12779.6,,,,,,,,
53.86621222,12614.4,,,,,,,,
59.41539093,12320.4,,,,,,,,
64.95599558,12262.2,,,,,,,,
70.48804091,12573.6,,,,,,,,
76.01154164,12753,,,,,,,,
81.52651243,12123.8,,,,,,,,
87.03296792,12680.8,,,,,,,,
92.5309227,13045,,,,,,,,
98.02039134,12365.4,,,,,,,,
103.5013884,12593.4,,,,,,,,
108.9739282,12402.6,,,,,,,,
114.4380255,12494.4,,,,,,,,
119.8936944,12625.6,,,,,,,,
125.3409495,13652.2,,,,,,,,
130.779805,12457.4,,,,,,,,
136.2102753,12204.6,,,,,,,,
141.6323747,12101,,,,,,,,
147.0461174,12795.2,,,,,,,,
152.4515176,12357.4,,,,,,,,
157.8485895,12335,,,,,,,,
163.2373472,12271.6,,,,,,,,
168.6178049,12503.8,,,,,,,,
173.9899766,12902.2,,,,,,,,
179.3538764,12285.2,,,,,,,,
184.7095182,12511.2,,,,,,,,
190.0569161,12671.4,,,,,,,,
195.396084,12834.8,,,,,,,,
200.7270358,12211.6,,,,,,,,
206.0497854,12307.8,,,,,,,,
211.3643466,12001,,,,,,,,
216.6707333,12338.6,,,,,,,,
221.9689593,11959,,,,,,,,
227.2590382,12263.2,,,,,,,,
232.5409839,12243.6,,,,,,,,
237.8148101,12071,,,,,,,,
243.0805303,12161.2,,,,,,,,
248.3381582,12114.2,,,,,,,,
253.5877075,12050.6,,,,,,,,
258.8291917,12076.6,,,,,,,,
264.0626244,12227,,,,,,,,
269.288019,12424.8,,,,,,,,
274.5053891,12567.2,,,,,,,,
279.7147481,12229.4,,,,,,,,
284.9161094,12007.2,,,,,,,,
290.1094865,12182.4,,,,,,,,
295.2948927,12786.8,,,,,,,,
300.4723414,14216.8,,,,,,,,
305.6418459,15065,,,,,,,,
310.8034194,15827.8,,,,,,,,
315.9570752,17172.8,,,,,,,,
321.1028267,17472.2,,,,,,,,
326.2406869,17454.6,,,,,,,,
331.370669,17565.6,,,,,,,,
336.4927863,17721.4,,,,,,,,
341.6070517,17825,,,,,,,,
346.7134786,17585.6,,,,,,,,
351.8120798,17849.4,,,,,,,,
356.9028684,17667.8,,,,,,,,
361.9858576,17630.8,,,,,,,,
367.0610602,17977.4,,,,,,,,
372.1284892,17695.8,,,,,,,,
377.1881577,18151,,,,,,,,
382.2400784,18231.2,,,,,,,,
387.2842644,18658.2,,,,,,,,
392.3207284,19251.2,,,,,,,,
397.3494833,18705.8,,,,,,,,
402.370542,18688.4,,,,,,,,
407.3839172,18054.6,,,,,,,,
412.3896217,17551,,,,,,,,
417.3876683,17137,,,,,,,,
422.3780697,17204,,,,,,,,
427.3608386,17194.2,,,,,,,,
432.3359876,17544,,,,,,,,
437.3035295,17782.6,,,,,,,,
442.2634769,17841.6,,,,,,,,
447.2158423,17084.6,,,,,,,,
452.1606383,17158.6,,,,,,,,
457.0978776,17107.8,,,,,,,,
462.0275727,16675.6,,,,,,,,
466.9497361,17103,,,,,,,,
471.8643802,16634.6,,,,,,,,
476.7715176,17127.6,,,,,,,,
481.6711608,17100.4,,,,,,,,
486.5633221,17252,,,,,,,,
491.448014,16981.8,,,,,,,,
496.3252488,16971.8,,,,,,,,
501.195039,16973.4,,,,,,,,
506.0573969,17353.6,,,,,,,,
510.9123349,17093.6,,,,,,,,
515.7598651,16600.6,,,,,,,,
520.6,17084.2,,,,,,,,
525.4327518,16981.2,,,,,,,,
530.2581327,17078.4,,,,,,,,
535.076155,16436.4,,,,,,,,
539.8868309,16881.6,,,,,,,,
544.6901726,16996.4,,,,,,,,
549.4861922,16741.4,,,,,,,,
554.2749019,17798,,,,,,,,
559.0563139,16658,,,,,,,,
563.8304402,16430.8,,,,,,,,
568.597293,17611,,,,,,,,
573.3568844,17155.6,,,,,,,,
578.1092263,16620.4,,,,,,,,
582.8543308,17094.2,,,,,,,,
587.5922101,17012.8,,,,,,,,
592.322876,16755.6,,,,,,,,
597.0463405,16924.8,,,,,,,,
601.7626157,17140.8,,,,,,,,
606.4717135,16554.2,,,,,,,,
611.1736458,16526.2,,,,,,,,
615.8684246,16680.2,,,,,,,,
620.5560617,16899.6,,,,,,,,
625.2365691,16635.8,,,,,,,,
629.9099585,17049.8,,,,,,,,
634.5762419,17410,,,,,,,,
639.2354312,16736,,,,,,,,
643.887538,16894.6,,,,,,,,
648.5325743,16637.2,,,,,,,,
653.1705518,16739.8,,,,,,,,
657.8014823,16808,,,,,,,,
662.4253775,16015.6,,,,,,,,
667.0422493,16403.2,,,,,,,,
671.6521092,16438.8,,,,,,,,
676.2549691,16670.2,,,,,,,,
680.8508407,16590.8,,,,,,,,
685.4397355,16553.4,,,,,,,,
690.0216654,16626.4,,,,,,,,
694.5966419,16430.2,,,,,,,,
699.1646767,16928.6,,,,,,,,
703.7257814,16605.6,,,,,,,,
708.2799676,16675,,,,,,,,
712.827247,16814,,,,,,,,
717.367631,16513.4,,,,,,,,
721.9011314,16640.2,,,,,,,,
726.4277595,15853.6,,,,,,,,
730.9475271,16538.2,,,,,,,,
735.4604456,16503.2,,,,,,,,
739.9665264,16903.8,,,,,,,,
744.4657813,16526.2,,,,,,,,
748.9582215,16418.4,,,,,,,,
753.4438587,16028.8,,,,,,,,
757.9227042,15770,,,,,,,,
762.3947696,16284.8,,,,,,,,
766.8600662,15952.6,,,,,,,,
771.3186056,17389,,,,,,,,
775.770399,16304.6,,,,,,,,
780.215458,16679.6,,,,,,,,
784.6537939,15817.2,,,,,,,,
789.0854181,15791,,,,,,,,
793.510342,15956,,,,,,,,
797.9285769,16491.4,,,,,,,,
802.3401342,15778,,,,,,,,
806.7450253,16152.4,,,,,,,,
811.1432614,16055.2,,,,,,,,
815.5348538,15872.6,,,,,,,,
819.9198139,15594.6,,,,,,,,
824.2981531,15981.4,,,,,,,,
828.6698824,16072.8,,,,,,,,
833.0350133,15827.6,,,,,,,,
837.393557,15574.2,,,,,,,,
841.7455248,15916,,,,,,,,
846.0909278,15764.2,,,,,,,,
850.4297774,15557.4,,,,,,,,
854.7620848,15703.6,,,,,,,,
859.0878611,16004.6,,,,,,,,
863.4071176,15348.6,,,,,,,,
867.7198655,15744.8,,,,,,,,
872.026116,16156.6,,,,,,,,
876.3258802,16552.6,,,,,,,,
880.6191693,15985.8,,,,,,,,
884.9059946,15993.4,,,,,,,,
889.186367,16507.8,,,,,,,,
893.4602979,15378.2,,,,,,,,
897.7277982,15254.6,,,,,,,,
901.9888793,15709.2,,,,,,,,
906.2435521,16215.2,,,,,,,,
910.4918277,15528.8,,,,,,,,
914.7337174,15428,,,,,,,,
918.9692321,15350.8,,,,,,,,
923.1983831,15889,,,,,,,,
927.4211813,15653.6,,,,,,,,
931.6376378,16333.8,,,,,,,,
935.8477637,15673,,,,,,,,
940.0515701,15973.4,,,,,,,,
