Ramanshift[cm-1],Intensity
-93.47115107,14397.2
-87.69374369,12901.6
-81.9253076,12736
-76.16582701,12973.8
-70.41528615,12930.2
-64.67366933,12644.4
-58.94096086,12650.6
-53.21714512,12853.2
-47.50220652,12976.6
-41.79612954,12902
-36.09889866,13380.6
-30.41049843,13620.6
-24.73091343,13163.6
-19.0601283,13225.6
-13.39812769,12988.6
-7.744896327,12865
-2.100418946,12568
3.535319659,13260
9.162334658,12627
14.78064118,12868.4
20.39025432,12596.2
25.99118913,12710.2
31.58346061,13163.6
37.16708375,12852.6
42.74207347,12627.2
48.30844468,12731.2
53.86621222,12565.8
59.41539093,12212.4
64.95599558,12199.6
70.48804091,12562.4
76.01154164,12676.6
81.52651243,12017.2
87.03296792,12671.8
92.5309227,12811.2
98.02039134,12285.6
103.5013884,12473.4
108.9739282,12304.4
114.4380255,12317.2
119.8936944,12520.4
125.3409495,13495.2
130.779805,12353.6
136.2102753,11939.2
141.6323747,12109.6
147.0461174,12719.4
152.4515176,12253.4
157.8485895,12189.2
163.2373472,12227.8
168.6178049,12460.8
173.9899766,12629.6
179.3538764,12251.2
184.7095182,12269.6
190.0569161,12533.4
195.396084,12820.4
200.7270358,12102.8
206.0497854,12134.2
211.3643466,11861
216.6707333,12223.6
221.9689593,11882.2
227.2590382,12046.4
232.5409839,12150.6
237.8148101,11968
243.0805303,12067.6
248.3381582,12046.4
253.5877075,11942.4
258.8291917,12104.2
264.0626244,12199.4
269.288019,12330.2
274.5053891,12502.8
279.7147481,12064.4
284.9161094,11965
290.1094865,12293.2
295.2948927,13019.4
300.4723414,14982.2
305.6418459,16645.8
310.8034194,18636.8
315.9570752,20389.8
321.1028267,20933
326.2406869,21284
331.370669,21746.8
336.4927863,22225.4
341.6070517,22750.8
346.7134786,23017.2
351.8120798,23773
356.9028684,23509
361.9858576,23684.6
367.0610602,24190.2
372.1284892,24799.2
377.1881577,27821.6
382.2400784,33531.6
387.2842644,41331.4
392.3207284,45684.4
397.3494833,42569
402.370542,36593.8
407.3839172,30757
412.3896217,26400.8
417.3876683,23765.8
422.3780697,22371.8
427.3608386,21507.2
432.3359876,21617
437.3035295,21409
442.2634769,21472.8
447.2158423,20368.6
452.1606383,20394
457.0978776,20375
462.0275727,19537.4
466.9497361,20197.8
471.8643802,19549
476.7715176,20193.6
481.6711608,20449
486.5633221,21022.2
491.448014,20755.8
496.3252488,20600
501.195039,20492.8
506.0573969,20693.6
510.9123349,20524
515.7598651,19606.6
520.6,20290.8
525.4327518,19997.2
530.2581327,19969
535.076155,19453
539.8868309,19927
544.6901726,20027.8
549.4861922,19507.4
554.2749019,20354.8
559.0563139,19287.2
563.8304402,18945.4
568.597293,19944.8
573.3568844,19549.8
578.1092263,19150.4
