Ramanshift[cm-1],Intensity
-93.47115107,14356.6
-87.69374369,12985.2
-81.9253076,12890
-76.16582701,13007.6
-70.41528615,13042.2
-64.67366933,12802.4
-58.94096086,12762.2
-53.21714512,12927
-47.50220652,13026.6
-41.79612954,13098.4
-36.09889866,13534.4
-30.41049843,13600.2
-24.73091343,13212.4
-19.0601283,13309.4
-13.39812769,13095.8
-7.744896327,12784.4
-2.100418946,12731.2
3.535319659,13366.8
9.162334658,12739.8
14.78064118,12914.4
20.39025432,12658.4
25.99118913,12722.6
31.58346061,13262.4
37.16708375,12985.4
42.74207347,12665.6
48.30844468,12728.4
53.86621222,12486.2
59.41539093,12305.8
64.95599558,12133.6
70.48804091,12596
76.01154164,12697.4
81.52651243,12124.4
87.03296792,12756.4
92.5309227,12914.8
98.02039134,12306.2
103.5013884,12556.4
108.9739282,12471.2
114.4380255,12370.8
119.8936944,12653.4
125.3409495,13491.8
130.779805,12334.2
136.2102753,12054.8
141.6323747,12152.6
147.0461174,12853.2
152.4515176,12363
157.8485895,12274.4
163.2373472,12107.6
168.6178049,12577
173.9899766,12847.2
179.3538764,12287.6
184.7095182,12436.2
190.0569161,12609
195.396084,12843.2
200.7270358,12191.8
206.0497854,12216
211.3643466,12016
216.6707333,12384.6
221.9689593,11956.6
227.2590382,12190
232.5409839,12155.8
237.8148101,12083.2
243.0805303,12138.4
248.3381582,12127
253.5877075,11978.6
258.8291917,12133.2
264.0626244,12351.2
269.288019,12458.2
274.5053891,12574.2
279.7147481,12302.4
284.9161094,12328.6
290.1094865,13464.6
295.2948927,16585.2
300.4723414,24104.4
305.6418459,33960.4
310.8034194,42874.4
315.9570752,48242.4
321.1028267,50001
326.2406869,51192.2
331.370669,52164.2
336.4927863,53134.2
341.6070517,54055.2
346.7134786,54726.6
351.8120798,55284.4
356.9028684,55408.4
361.9858576,55537
367.0610602,56239.8
372.1284892,56639.6
377.1881577,58725.6
382.2400784,62373
387.2842644,64164.4
392.3207284,64177.2
397.3494833,64219.6
402.370542,64337.8
407.3839172,64091
412.3896217,61549
417.3876683,59633.4
422.3780697,58168.2
427.3608386,56505.4
432.3359876,56478.8
437.3035295,55754.6
442.2634769,55545.4
447.2158423,53875.8
452.1606383,53221.2
457.0978776,52743.6
462.0275727,52754.8
466.9497361,53311.8
471.8643802,51887.4
476.7715176,51616
481.6711608,51634.4
486.5633221,52051.8
491.448014,51788.8
496.3252488,51320.2
501.195039,51379.6
506.0573969,51293
510.9123349,50402.6
515.7598651,49336.2
520.6,49648.2
525.4327518,49025.2
530.2581327,48780.2
535.076155,47787.6
539.8868309,48236.4
544.6901726,48022.4
549.4861922,47116
554.2749019,47871.8
559.0563139,46936.2
563.8304402,46555
568.597293,47621.2
573.3568844,47138.4
578.1092263,47067.6
582.8543308,47430.8
587.5922101,47414.4
592.322876,46492.4
597.0463405,46900.4
601.7626157,47377.4
606.4717135,46764.6
611.1736458,46883
615.8684246,46683
620.5560617,46946.8
625.2365691,46948.2
629.9099585,47900.4
634.5762419,48447.2
639.2354312,48230.4
643.887538,48252.8
648.5325743,47428.2
653.1705518,46290.6
657.8014823,45655.8
662.4253775,44816
667.0422493,45139.6
671.6521092,44698.2
676.2549691,44819.4
680.8508407,44572.4
685.4397355,44375.2
690.0216654,44585.6
694.5966419,44517.4
699.1646767,45722.6
703.7257814,45645.2
708.2799676,45742
712.827247,46398.6
717.367631,45932.2
721.9011314,45358
726.4277595,43918
730.9475271,43907.2
735.4604456,43714.6
739.9665264,44307.6
744.4657813,43830.2
748.9582215,43274
753.4438587,42291.8
757.9227042,42020.6
762.3947696,42116.4
766.8600662,41330.2
771.3186056,42610.8
775.770399,41563.4
780.215458,41772
784.6537939,40831.4
789.0854181,40716.2
793.510342,40851.8
797.9285769,41627.2
802.3401342,41627.6
806.7450253,42207
811.1432614,42327
815.5348538,42122
819.9198139,41455.4
824.2981531,41255.8
828.6698824,40820.2
833.0350133,40124.4
837.393557,39460.8
841.7455248,39736.4
846.0909278,38925
850.4297774,39040.4
854.7620848,38914.4
859.0878611,39142.8
863.4071176,38442.2
867.7198655,39114.8
872.026116,39203.8
876.3258802,39495.8
880.6191693,38983.4
884.9059946,38917.2
889.186367,39074.2
893.4602979,37839.8
897.7277982,37721
901.9888793,38654.8
906.2435521,39230
