Ramanshift[cm-1],Intensity
-93.47115107,14330.6
-87.69374369,12934.8
-81.9253076,12843.2
-76.16582701,12938.8
-70.41528615,12911.4
-64.67366933,12636
-58.94096086,12752.4
-53.21714512,12956.2
-47.50220652,13029.4
-41.79612954,13044.8
-36.09889866,13538.6
-30.41049843,13596.6
-24.73091343,13283.6
-19.0601283,13250
-13.39812769,13023.8
-7.744896327,12805.8
-2.100418946,12574
3.535319659,13307.2
9.162334658,12557.2
14.78064118,12978.6
20.39025432,12512.4
25.99118913,12677.4
31.58346061,13172.6
37.16708375,12945.6
42.74207347,12674.2
48.30844468,12632.8
53.86621222,12537.4
59.41539093,12195.2
64.95599558,12110.6
70.48804091,12581.4
76.01154164,12633
81.52651243,12035.2
87.03296792,12621.2
92.5309227,12899.8
98.02039134,12170.8
103.5013884,12505.4
108.9739282,12259.6
114.4380255,12335.2
119.8936944,12565.6
125.3409495,13517.8
130.779805,12193.2
136.2102753,12005.6
141.6323747,12131
147.0461174,12730.8
152.4515176,12281.8
157.8485895,12202.4
163.2373472,12151.8
168.6178049,12417.4
173.9899766,12642.2
179.3538764,12178
184.7095182,12347.6
190.0569161,12507.4
195.396084,12616.4
200.7270358,12069
206.0497854,12138.8
211.3643466,11901.6
216.6707333,12322.4
221.9689593,11927
227.2590382,12045.8
232.5409839,12094.2
237.8148101,11967.2
243.0805303,12103.8
248.3381582,12016.4
253.5877075,11916.8
258.8291917,12075.6
264.0626244,12048.8
269.288019,12336.2
274.5053891,12477.4
279.7147481,12157.2
284.9161094,11803
290.1094865,12095
295.2948927,12633.6
300.4723414,13928.2
305.6418459,14710.8
310.8034194,15596.8
315.9570752,16783
321.1028267,17046.6
326.2406869,17094.6
331.370669,17278.2
336.4927863,17289.6
341.6070517,17346
346.7134786,17248.4
351.8120798,17654.2
356.9028684,17291.6
361.9858576,17314.6
367.0610602,17723.2
372.1284892,17399.4
377.1881577,17868
382.2400784,18134.2
387.2842644,18596.6
392.3207284,19295.8
397.3494833,18843.6
402.370542,18866.2
407.3839172,18124.8
412.3896217,17529.8
417.3876683,16932
422.3780697,16886.4
427.3608386,16879.6
432.3359876,17159.8
437.3035295,17358.6
442.2634769,17411
447.2158423,16694.6
452.1606383,16678.2
457.0978776,16859.4
462.0275727,16231.8
466.9497361,16766.4
471.8643802,16254.8
476.7715176,16743
481.6711608,16469.6
486.5633221,16970.6
491.448014,16759.2
496.3252488,16593.2
501.195039,16672.6
506.0573969,17093.4
510.9123349,16644.8
515.7598651,16207.4
520.6,16724.6
525.4327518,16625.4
530.2581327,16622.8
535.076155,16075.8
539.8868309,16485
544.6901726,16612.8
549.4861922,16283
554.2749019,17254.2
559.0563139,16239.8
563.8304402,16123.4
568.597293,17181
573.3568844,16883.6
578.1092263,16241.8
582.8543308,16778.8
587.5922101,16745
592.322876,16373.2
597.0463405,16462.8
