Ramanshift[cm-1],Intensity
-93.47115107,14366.8
-87.69374369,13037.2
-81.9253076,12844.2
-76.16582701,12866.8
-70.41528615,13031.2
-64.67366933,12723.4
-58.94096086,12753.8
-53.21714512,12968.8
-47.50220652,13120.8
-41.79612954,13116.8
-36.09889866,13610.2
-30.41049843,13656.6
-24.73091343,13219.6
-19.0601283,13356
-13.39812769,13179
-7.744896327,12836.8
-2.100418946,12676.6
3.535319659,13270
9.162334658,12651.2
14.78064118,12937
20.39025432,12718.2
25.99118913,12731.8
31.58346061,13245.6
37.16708375,12992.8
42.74207347,12715
48.30844468,12687.6
53.86621222,12497.8
59.41539093,12291.6
64.95599558,12214.2
70.48804091,12611
76.01154164,12803.4
81.52651243,12095.4
87.03296792,12765.2
92.5309227,13030
98.02039134,12265.4
103.5013884,12636
108.9739282,12453.6
114.4380255,12471.2
119.8936944,12634.4
125.3409495,13528.6
130.779805,12371.2
136.2102753,12042.8
141.6323747,12068.2
147.0461174,12756.2
152.4515176,12323.2
157.8485895,12338.6
163.2373472,12119.8
168.6178049,12440.2
173.9899766,12686.2
179.3538764,12283.2
184.7095182,12319.2
190.0569161,12612.2
195.396084,12759.2
200.7270358,12156
206.0497854,12261
211.3643466,12013
216.6707333,12276.8
221.9689593,11917.6
227.2590382,12138.2
232.5409839,12109
237.8148101,11982.6
243.0805303,12188
248.3381582,12132.6
253.5877075,11957.4
258.8291917,12165.6
264.0626244,12055
269.288019,12432
274.5053891,12534.4
279.7147481,12220.2
284.9161094,12123.6
290.1094865,12319.2
295.2948927,13508.2
300.4723414,16112
305.6418459,18721.8
310.8034194,21148.6
315.9570752,23259
321.1028267,23675.4
326.2406869,23702.2
331.370669,23929.4
336.4927863,24199.4
341.6070517,24431.8
346.7134786,24652.2
351.8120798,24971.4
356.9028684,24635
361.9858576,24681.4
367.0610602,25013.8
372.1284892,24767.6
377.1881577,25522.2
382.2400784,25927.2
387.2842644,26986
392.3207284,27678
397.3494833,26786.4
402.370542,26284
407.3839172,25501
412.3896217,24555.2
417.3876683,23949
422.3780697,23825.6
427.3608386,23840.2
432.3359876,23992.4
437.3035295,23994
442.2634769,24063.4
447.2158423,23116.2
452.1606383,22936.8
457.0978776,23206.2
462.0275727,22630
466.9497361,23077
471.8643802,22471.2
476.7715176,23047.8
481.6711608,23110.8
486.5633221,23394.2
491.448014,23055.6
496.3252488,22911.4
501.195039,22960.8
506.0573969,23263.6
510.9123349,22932
515.7598651,22182.4
520.6,22666.2
525.4327518,22765.4
530.2581327,22583.8
535.076155,22000.4
539.8868309,22499.6
544.6901726,22408.2
549.4861922,22082.4
554.2749019,22986.4
559.0563139,21972.6
563.8304402,21825
568.597293,22851.2
573.3568844,22451.6
578.1092263,21917.2
582.8543308,22426.8
587.5922101,22290
592.322876,21871.4
597.0463405,22004
601.7626157,22394.6
606.4717135,21853.8
611.1736458,21887
615.8684246,21785.4
620.5560617,22100.2
625.2365691,21839.4
629.9099585,22256.4
634.5762419,22424.4
639.2354312,21663.8
643.887538,21762.6
648.5325743,21568
653.1705518,21450.8
657.8014823,21605.6
662.4253775,20803.8
667.0422493,21216.6
671.6521092,21261.8
676.2549691,21374.6
680.8508407,21368.6
685.4397355,21207.4
690.0216654,21252
694.5966419,21018.2
699.1646767,21665.8
703.7257814,21356.8
708.2799676,21417.2
712.827247,21590.6
717.367631,21352.4
721.9011314,21056
726.4277595,20432.2
730.9475271,21201.6
735.4604456,20912.6
739.9665264,21382.2
744.4657813,20917.4
748.9582215,20839.6
753.4438587,20345.8
757.9227042,20062.2
762.3947696,20573.8
766.8600662,20033.6
771.3186056,21536.6
775.770399,20451.6
780.215458,20810.6
784.6537939,19945.6
789.0854181,19884.8
793.510342,19806.4
797.9285769,20543
802.3401342,19934.6
806.7450253,20128.4
811.1432614,19943.8
815.5348538,19662.6
819.9198139,19420
824.2981531,19691.2
828.6698824,19681.2
833.0350133,19444.8
837.393557,19145.4
841.7455248,19538.4
846.0909278,19295
850.4297774,19099.8
854.7620848,19316.8
859.0878611,19584
863.4071176,18913.4
867.7198655,19489.6
872.026116,19702.6
876.3258802,20162.8
880.6191693,19616.6
884.9059946,19727.4
889.186367,20013.8
893.4602979,18798.8
897.7277982,18793.8
901.9888793,19152.2
906.2435521,19588.6
910.4918277,18986.8
914.7337174,18969.8
918.9692321,18860
923.1983831,19529.8
927.4211813,19141.6
931.6376378,19808.2
935.8477637,19300.6
940.0515701,19450.6
944.249068,19461.4
948.4402684,18653.2
952.6251825,19430.8
956.8038212,19147.4
960.9761955,19808.8
965.1423166,19214.8
969.3021953,19298.4
973.4558427,19152.6
977.6032699,19088.6
981.7444877,19192.6
985.8795072,19030.4
990.0083394,19107.6
994.1309953,18919.4
998.2474857,19391
1002.357822,18400
1006.462014,19151.8
1010.560075,18682.6
1014.652013,19155.8
1018.737841,19329
1022.81757,18675.8
1026.891209,18670
1030.958771,18628.4
1035.020266,18874
1039.075705,18631.6
1043.1251,18330.8
1047.16846,18575.4
1051.205797,18586.6
1055.237121,18335
1059.262444,18408.2
1063.281777,18529.6
1067.295131,19233.4
1071.302515,21121
1075.303942,21260.6
1079.299422,22336.6
1083.288966,21081.2
1087.272585,19807.4
1091.250289,19157.6
1095.222091,18786.6
1099.187999,18253.2
1103.148026,18355.4
1107.102183,18163.2
1111.050479,18413.2
1114.992927,18194.2
1118.929536,17996.2
1122.860318,18450.2
1126.785283,17937
1130.704443,18124.2
1134.617808,19271
1138.52539,19391.8
1142.427198,19118.2
1146.323244,18916.2
1150.213538,18333.2
1154.098093,18599.8
1157.976917,17991.8
1161.850023,17803.4
1165.717421,18584.8
1169.579121,18166
1173.435135,18708.4
1177.285474,17821.2
1181.130148,18106.8
1184.969169,18494.8
1188.802547,18330.2
1192.630292,17593.6
1196.452416,17253.2
1200.26893,17372.6
1204.079844,17019.2
1207.88517,16660.8
1211.684917,17299.8
1215.479098,16789.8
1219.267722,18487.2
1223.050801,16810.6
1226.828346,16782.6
1230.600366,17222
1234.366874,17254.8
1238.12788,16949.6
1241.883395,16948.2
1245.633429,17369
1249.377994,17382.8
1253.1171,16475.8
1256.850759,16983
1260.578981,16806
1264.301776,16966
1268.019157,16706.8
1271.731133,16493.2
1275.437715,16397.2
1279.138915,16965.4
1282.834743,17245.8
1286.52521,16627.4
1290.210328,16437.8
1293.890106,16511.2
1297.564555,17088.2
1301.233688,16355.8
1304.897514,16773.6
1308.556044,16897.6
1312.209289,16853.4
1315.857261,16294.4
1319.499969,16373.6
1323.137425,17167.2
1326.769641,16643.6
1330.396626,17261.8
1334.018391,16566.8
1337.634948,16761.2
1341.246307,16545
1344.85248,16460.6
1348.453477,16355.8
1352.049309,16275
1355.639987,16246.8
1359.225522,16921.8
1362.805925,16526.2
1366.381207,16386
1369.951379,16610.8
1373.516452,16648.6
1377.076436,16767.4
1380.631343,16681.2
1384.181184,16555
1387.725969,16836.2
1391.26571,16569
1394.800417,16390
1398.330102,16246
1401.854776,16466.6
1405.374448,16159
1408.889132,15764.6
1412.398837,15398.8
1415.903574,15869.8
1419.403355,16518.4
1422.89819,16224.4
1426.388091,16267
1429.873069,16884.2
1433.353134,16112.4
1436.828298,16105
1440.298571,16103.8
1443.763965,15840.2
1447.224491,15595.2
1450.68016,15528.4
1454.130983,15982.2
1457.576971,15868.2
1461.018135,15940
1464.454486,16039.6
1467.886036,15543.6
1471.312794,15656.6
1474.734774,15285.4
1478.151985,15972.8
1481.564439,15661.2
1484.972146,15531.4
1488.375119,15106
1491.773368,15466.8
1495.166904,16047
1498.555739,15327.2
1501.939883,15532.4
1505.319349,14984.6
1508.694146,15375
1512.064286,15342.2
1515.429781,15347
1518.790642,15161.8
1522.146879,15473
1525.498505,14838.2
1528.845529,14861.6
1532.187965,15601.2
1535.525822,15353.6
1538.859112,15339.6
1542.187846,15884
1545.512036,14871
1548.831693,16206.8
1552.146829,15763.4
1555.457453,15163.6
1558.763579,14784
1562.065216,15386.8
1565.362377,15808.8
1568.655073,16115.2
1571.943315,15996.8
1575.227114,15936.4
1578.506482,15900
1581.781431,16539.6
1585.051971,16072.4
1588.318114,16201.2
1591.579872,16030.4
1594.837255,15494.8
1598.090275,15243
1601.338945,15142
1604.583274,15276
1607.823275,14825.6
1611.058959,14403.8
1614.290338,15078
1617.517422,14323.2
1620.740224,14625
1623.958755,14320.4
1627.173027,14296.2
1630.38305,13921.6
1633.588838,14412.6
1636.7904,14171
1639.987749,14320.2
1643.180896,14433.2
1646.369853,13789.6
1649.554632,14643.6
1652.735244,13996.8
1655.9117,13633
1659.084013,14014.6
1662.252193,14686.4
1665.416254,13651.4
1668.576205,13843.8
1671.732059,14255.8
1674.883828,14165
1678.031523,13653.2
1681.175157,13866.8
1684.314739,13720.2
1687.450284,13734.4
1690.581801,13596
1693.709304,13508.8
1696.832803,13538
1699.952311,13678.6
1703.067839,13645.2
1706.179399,13645.8
1709.287003,14063.4
1712.390663,13574.4
1715.49039,13618.6
1718.586197,14012
1721.678095,13744
1724.766096,13813
1727.850213,13153
1730.930456,13575.8
1734.006838,13263.4
1737.079372,13636
1740.148067,13275.8
1743.212938,14426.8
1746.273996,13570.4
1749.331252,13518.2
1752.384718,13509.6
1755.434408,13544
1758.480332,13418.2
1761.522503,13523.6
1764.560933,13218
1767.595634,12928.6
1770.626618,13632.6
1773.653896,13649.6
1776.677482,13281
1779.697388,13174.8
1782.713625,13741
1785.726205,13735
1788.735141,13681
1791.740445,13144.4
1794.742129,13188.6
1797.740206,13633.6
1800.734687,13778.8
1803.725585,13456.4
1806.712912,13341.4
1809.69668,13130
1812.676902,13202
1815.65359,12912
1818.626756,12986.6
1821.596413,13109.2
1824.562573,12779.4
1827.525247,13205.6
1830.48445,12892.4
1833.440192,13197.2
1836.392487,12989.8
1839.341347,13184.4
1842.286784,13225.8
1845.22881,12706.4
1848.167439,13288.2
1851.102682,13015.6
1854.034553,13076.6
1856.963063,12777.6
1859.888226,13759.6
1862.810053,13224.4
1865.728557,13014
1868.643751,12740.2
1871.555648,12772
1874.46426,12519.2
1877.369599,13172.4
1880.271679,12915
1883.170512,12822
1886.06611,13333.2
1888.958487,13030.4
1891.847655,12943.8
1894.733626,13008.8
1897.616414,13168.4
1900.496032,12723.8
1903.372491,13005
1906.245805,13199.4
1909.115987,13313.2
1911.983049,13281
1914.847004,13017
1917.707866,13279.4
1920.565646,13214
1923.420359,12732.8
1926.272016,13096.6
1929.120631,12705
1931.966216,12959.6
1934.808786,12864
1937.648351,13175.8
1940.484927,13025.2
1943.318525,13221.2
1946.149158,13316.4
1948.97684,14465.2
1951.801584,13337.4
1954.623403,13145.4
1957.44231,13282.6
1960.258318,12695
1963.071439,12712
1965.881688,12866
1968.689078,13093.8
1971.493621,12750.8
