file,type,concentration_M,concentration_label,replicate,accumulation,peak_392.32_height,peak_1078.5_height,peak_1589.62_height
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep1_acc1.csv,blank,0.0,Blank,1,1,319.0683237887467,506.2420851607103,347.7090161577336
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep1_acc2.csv,blank,0.0,Blank,1,2,90.11327713175604,144.0983201867888,20.210190351424906
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep1_acc3.csv,blank,0.0,Blank,1,3,247.56531510249897,476.26051359395115,343.2327500559202
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep1_acc4.csv,blank,0.0,Blank,1,4,274.2049825338278,593.372465301694,414.36277540206765
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep1_acc5.csv,blank,0.0,Blank,1,5,128.06061385285147,297.97000523910134,139.09002433871382
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep2_acc1.csv,blank,0.0,Blank,2,1,207.6985849184786,391.0163181440171,375.1384762216116
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep2_acc2.csv,blank,0.0,Blank,2,2,373.7984744616565,354.445956151439,360.1207778916568
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep2_acc3.csv,blank,0.0,Blank,2,3,164.5019389960947,468.6183628930881,227.498612400086
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep2_acc4.csv,blank,0.0,Blank,2,4,14.96581293874501,103.24240128023797,65.61945654637417
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep2_acc5.csv,blank,0.0,Blank,2,5,196.6455207632995,439.97844136217634,315.7879436818406
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep3_acc1.csv,blank,0.0,Blank,3,1,416.6049427585127,630.1582133426356,465.33952657512793
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep3_acc2.csv,blank,0.0,Blank,3,2,244.44675101531223,539.8345215045427,293.6528114821893
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep3_acc3.csv,blank,0.0,Blank,3,3,68.3631341591978,158.8559952837803,79.34210933954878
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep3_acc4.csv,blank,0.0,Blank,3,4,196.4831890998655,497.9577282524345,218.26009392258766
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/blank_rep3_acc5.csv,blank,0.0,Blank,3,5,118.4094597289217,344.6334160321673,111.95228283419026
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep1_acc1.csv,sample,0.001,1mM,1,1,507.48918820416856,2283.8060091867683,14880.201226794978
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep1_acc2.csv,sample,0.001,1mM,1,2,540.5299234062744,2520.35175700678,14553.254535523838
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep1_acc3.csv,sample,0.001,1mM,1,3,779.9657557870503,2557.9955889461357,14459.779907472708
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep1_acc4.csv,sample,0.001,1mM,1,4,496.93575568583606,2599.2774373686875,14163.918700080314
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep1_acc5.csv,sample,0.001,1mM,1,5,512.5796424591282,2622.3522567529735,14321.557182110546
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep2_acc1.csv,sample,0.001,1mM,2,1,9756.16843277189,22307.24506514373,20958.84377063905
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep2_acc2.csv,sample,0.001,1mM,2,2,8719.319263599295,21753.86868953821,22247.496379394557
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep2_acc3.csv,sample,0.001,1mM,2,3,7054.67928180156,21016.059727293818,19369.677350681657
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep2_acc4.csv,sample,0.001,1mM,2,4,6021.312405574587,20651.99544164563,19297.949259108093
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep2_acc5.csv,sample,0.001,1mM,2,5,6761.285181295354,22059.19545920694,21826.81422593918
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep3_acc1.csv,sample,0.001,1mM,3,1,14021.463427899995,28004.826185750346,19655.137414593202
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep3_acc2.csv,sample,0.001,1mM,3,2,14028.552874979248,25818.051301061874,19945.87714904014
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep3_acc3.csv,sample,0.001,1mM,3,3,11922.084711478083,26268.840225713928,19748.662048918784
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep3_acc4.csv,sample,0.001,1mM,3,4,12076.251965172978,26102.672102503657,20481.495686701848
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1mM_rep3_acc5.csv,sample,0.001,1mM,3,5,12411.92255127802,24186.28940346126,20137.539895258604
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep1_acc1.csv,sample,0.0001,100µM,1,1,12150.486401969407,21418.6536400342,8050.083992793662
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep1_acc2.csv,sample,0.0001,100µM,1,2,12028.816858857732,22957.851594506214,9238.150129902753
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep1_acc3.csv,sample,0.0001,100µM,1,3,11464.18418653224,22172.568374117833,8774.510567660955
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep1_acc4.csv,sample,0.0001,100µM,1,4,11456.306828079265,23158.862015300794,8526.915107301502
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep1_acc5.csv,sample,0.0001,100µM,1,5,11422.191393398478,21848.035549872988,9274.84203201979
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep2_acc1.csv,sample,0.0001,100µM,2,1,12544.25328837396,13004.92087062217,5490.813710283983
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep2_acc2.csv,sample,0.0001,100µM,2,2,13627.386490479887,14274.844286333413,6202.581999957887
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep2_acc3.csv,sample,0.0001,100µM,2,3,14511.406481686763,15467.682230605049,6561.182126732915
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep2_acc4.csv,sample,0.0001,100µM,2,4,14980.864538537251,15591.35826156574,6817.98019717551
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep2_acc5.csv,sample,0.0001,100µM,2,5,15072.27814929559,15880.069690582975,6989.391725506579
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep3_acc1.csv,sample,0.0001,100µM,3,1,543.209615297609,2107.52874253301,12975.814450780892
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep3_acc2.csv,sample,0.0001,100µM,3,2,583.7637390844146,2458.090794767031,13810.756293659351
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep3_acc3.csv,sample,0.0001,100µM,3,3,467.67192970379494,2764.6134199610096,14192.331947297294
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep3_acc4.csv,sample,0.0001,100µM,3,4,493.6053464188162,2639.739675941366,14182.530186479875
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100uM_rep3_acc5.csv,sample,0.0001,100µM,3,5,499.6318991604581,2776.623743450576,14454.603634313302
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep1_acc1.csv,sample,1e-05,10µM,1,1,315.8255328150144,5847.37771822171,10419.333678693276
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep1_acc2.csv,sample,1e-05,10µM,1,2,362.0504352323878,3101.480109246583,11870.94061676217
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep1_acc3.csv,sample,1e-05,10µM,1,3,1043.308753500304,3410.9557380324995,9907.39235078055
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep1_acc4.csv,sample,1e-05,10µM,1,4,724.3618419316987,474.23491289461504,9539.236123402867
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep1_acc5.csv,sample,1e-05,10µM,1,5,288.6909477034278,8201.022364863893,15342.2776352368
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep2_acc1.csv,sample,1e-05,10µM,2,1,9796.197678078957,29472.557954649372,11479.23304095447
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep2_acc2.csv,sample,1e-05,10µM,2,2,9826.470391513678,29104.68692385609,11213.629853246945
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep2_acc3.csv,sample,1e-05,10µM,2,3,9884.983916792227,28518.149055958107,10900.698776480138
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep2_acc4.csv,sample,1e-05,10µM,2,4,9710.448644016753,27770.188800293774,10662.763257986775
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep2_acc5.csv,sample,1e-05,10µM,2,5,9793.92057315833,28370.521018879474,11093.830784299429
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep3_acc1.csv,sample,1e-05,10µM,3,1,23670.261874817457,18574.893879572366,9042.546132217185
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep3_acc2.csv,sample,1e-05,10µM,3,2,24594.550503905477,20212.66959413151,9728.65968100642
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep3_acc3.csv,sample,1e-05,10µM,3,3,24715.781056227326,22242.292348121762,9905.00831802291
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep3_acc4.csv,sample,1e-05,10µM,3,4,23469.34745703008,21167.387907282067,9899.224725656599
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10uM_rep3_acc5.csv,sample,1e-05,10µM,3,5,24414.919467286778,21708.83607632541,10157.499017625278
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1uM_rep1_acc1.csv,sample,1e-06,1µM,1,1,6309.232014538306,7744.196910331849,2622.2937556047677
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1uM_rep1_acc2.csv,sample,1e-06,1µM,1,2,5917.0351105897325,7150.349781175701,2668.7169548818083
