Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
342.28007175846005,1mM,0.001,391.9169953490264,391.9169953490264,0.0
346.20575845060836,1mM,0.001,893.583048776412,893.583048776412,0.0
350.13144514275666,1mM,0.001,1217.8053034395482,1217.8053034395482,0.0
354.05713183490496,1mM,0.001,1444.6522749401004,1444.6522749401004,0.0
357.9828185270532,1mM,0.001,1611.9189503273471,1611.9189503273471,0.0
361.9085052192015,1mM,0.001,1742.5359852988497,1742.5359852988497,0.0
365.8341919113498,1mM,0.001,1964.1814483723824,1964.1814483723824,0.0
369.7598786034981,1mM,0.001,2460.6769260713936,2460.6769260713936,0.0
373.68556529564637,1mM,0.001,3283.989585771957,3283.989585771957,0.0
377.6112519877947,1mM,0.001,4416.636161400621,4416.636161400621,0.0
381.536938679943,1mM,0.001,5614.3238035511395,5614.3238035511395,0.0
385.4626253720913,1mM,0.001,6427.684565598721,6427.684565598721,0.0
389.3883120642395,1mM,0.001,6743.382821846599,6743.382821846599,0.0
393.31399875638783,1mM,0.001,6866.686818449059,6866.686818449059,0.0
397.23968544853614,1mM,0.001,6987.920045918668,6987.920045918668,0.0
401.16537214068444,1mM,0.001,6999.378087339651,6999.378087339651,0.0
405.0910588328327,1mM,0.001,6928.5329016828355,6928.5329016828355,0.0
409.016745524981,1mM,0.001,6679.929866216723,6679.929866216723,0.0
412.9424322171293,1mM,0.001,6181.363463661493,6181.363463661493,0.0
416.86811890927754,1mM,0.001,5518.414324790272,5518.414324790272,0.0
420.7938056014259,1mM,0.001,4704.878083009589,4704.878083009589,0.0
424.71949229357415,1mM,0.001,3973.491954103913,3973.491954103913,0.0
428.6451789857224,1mM,0.001,3478.1421907006315,3478.1421907006315,0.0
432.57086567787076,1mM,0.001,3189.1129918047054,3189.1129918047054,0.0
436.496552370019,1mM,0.001,2989.9384514927565,2989.9384514927565,0.0
440.42223906216725,1mM,0.001,2730.582274293269,2730.582274293269,0.0
444.3479257543156,1mM,0.001,2399.020102623983,2399.020102623983,0.0
448.27361244646386,1mM,0.001,2017.1001701142122,2017.1001701142122,0.0
452.1992991386122,1mM,0.001,1681.3177885766097,1681.3177885766097,0.0
456.12498583076047,1mM,0.001,1577.0510010940511,1577.0510010940511,0.0
460.0506725229087,1mM,0.001,1747.788957285705,1747.788957285705,0.0
463.9763592150571,1mM,0.001,1862.1097562105083,1862.1097562105083,0.0
467.9020459072053,1mM,0.001,1791.658933954007,1791.658933954007,0.0
471.82773259935357,1mM,0.001,1653.8250049078313,1653.8250049078313,0.0
475.7534192915019,1mM,0.001,1512.9700029246417,1512.9700029246417,0.0
479.6791059836502,1mM,0.001,1625.4051505379553,1625.4051505379553,0.0
483.60479267579854,1mM,0.001,1885.6940059413428,1885.6940059413428,0.0
487.5304793679468,1mM,0.001,2072.487610834697,2072.487610834697,0.0
491.45616606009503,1mM,0.001,2135.040686983078,2135.040686983078,0.0
495.3818527522434,1mM,0.001,2051.371240466837,2051.371240466837,0.0
499.30753944439164,1mM,0.001,1932.995560169296,1932.995560169296,0.0
503.2332261365399,1mM,0.001,1779.4546388362137,1779.4546388362137,0.0
507.15891282868824,1mM,0.001,1562.1807961796826,1562.1807961796826,0.0
511.0845995208365,1mM,0.001,1355.864521059574,1355.864521059574,0.0
515.0102862129849,1mM,0.001,1169.608316256837,1169.608316256837,0.0
518.9359729051331,1mM,0.001,970.8086415137865,970.8086415137865,0.0
522.8616595972813,1mM,0.001,851.4973044183423,851.4973044183423,0.0
526.7873462894297,1mM,0.001,736.8754094730996,736.8754094730996,0.0
530.713032981578,1mM,0.001,626.9845387756918,626.9845387756918,0.0
534.6387196737262,1mM,0.001,615.7943580468375,615.7943580468375,0.0
538.5644063658746,1mM,0.001,612.7804484714744,612.7804484714744,0.0
542.4900930580228,1mM,0.001,556.525869848091,556.525869848091,0.0
546.415779750171,1mM,0.001,485.590474233749,485.590474233749,0.0
550.3414664423194,1mM,0.001,309.4986300906674,309.4986300906674,0.0
554.2671531344677,1mM,0.001,62.79385807797369,62.79385807797369,0.0
558.192839826616,1mM,0.001,40.427921154524206,40.427921154524206,0.0
562.1185265187643,1mM,0.001,93.47652908960323,93.47652908960323,0.0
566.0442132109125,1mM,0.001,115.44476422964037,115.44476422964037,0.0
569.9698999030609,1mM,0.001,187.613099903164,187.613099903164,0.0
573.8955865952091,1mM,0.001,313.63461067053015,313.63461067053015,0.0
577.8212732873574,1mM,0.001,441.90456377808977,441.90456377808977,0.0
581.7469599795057,1mM,0.001,484.4100480233653,484.4100480233653,0.0
585.672646671654,1mM,0.001,532.5511691659282,532.5511691659282,0.0
589.5983333638023,1mM,0.001,529.9793673483796,529.9793673483796,0.0
593.5240200559506,1mM,0.001,511.5593435373991,511.5593435373991,0.0
