type,concentration_M,concentration_label,peak_392.32_height_mean,peak_392.32_height_std,peak_392.32_height_count,peak_1078.5_height_mean,peak_1078.5_height_std,peak_1078.5_height_count,peak_1589.62_height_mean,peak_1589.62_height_std,peak_1589.62_height_count,peak_392.32_height_cv_percent,peak_1078.5_height_cv_percent,peak_1589.62_height_cv_percent
blank,0.0,Blank,204.062021416651,10.959025244259092,3,396.4456495819176,41.8732998319665,3,251.82112314673824,17.587654482080847,3,5.3704384422827545,10.562179172889174,6.984185545003855
sample,1e-15,1fM,2228.2011933847157,324.72723196948346,3,1785.208588131255,547.289946603233,3,1085.7945661460074,252.68984280962462,3,14.573514857346048,30.656918762424993,23.272343653969372
sample,1e-14,10fM,3838.678273744556,2129.10556349123,3,3180.44729830367,1595.318087809326,3,2001.02147304739,388.70389859891765,3,55.46454825489527,50.16017994262028,19.425273733167582
sample,1e-13,100fM,2029.8955081340548,380.6133892410033,3,1780.0131383993685,576.2716164569762,3,1069.3815135800257,411.4769443968956,3,18.75039319589782,32.3745709526152,38.47803044765307
sample,1e-12,1pM,3029.771193365284,743.1559222537894,3,2821.126471428215,550.0425153859516,3,1549.4519165606152,273.1588427953736,3,24.528450329225603,19.497265399359733,17.629384937721458
sample,1e-11,10pM,2454.5560300515695,1262.7353579777707,3,2243.943531029579,693.5490763623808,3,1312.4774567763225,369.84359974436614,3,51.444552192652175,30.9075993567522,28.179043977849926
sample,1e-10,100pM,2508.667076770249,1926.1739634770015,3,2248.280443803262,881.999063539378,3,1274.6889688901636,428.4560708288429,3,76.78077259884279,39.229939751081965,33.612597369685226
sample,1e-09,1nM,2888.223433685757,1112.8583067371633,3,2253.3869745762627,861.7010635314223,3,1300.6164681026023,408.2484525731842,3,38.53089389684122,38.240261138167824,31.38884233633881
sample,1e-08,10nM,2388.129845023034,635.7747019319037,3,2361.7727144221603,685.4273549641126,3,1512.8005179895838,507.11728785137547,3,26.622283677618526,29.021732310588224,33.52175530223259
sample,1e-07,100nM,3944.473212277715,3901.315192629181,3,2645.013547132787,2379.5704087003473,3,2265.670174807164,1130.9049429551121,3,98.90586100282799,89.96439399260613,49.91480911608706
sample,1e-06,1µM,6286.903779346263,2186.9549245124267,3,5987.032129421823,2284.463430416672,3,2578.2531943498843,771.866753123505,3,34.78588191053617,38.15685937595404,29.9375854479697
sample,1e-05,10µM,11507.407938267328,11904.987137803693,3,17878.483626821948,12475.989567842742,3,10744.151599491453,881.048098126941,3,103.45498483819485,69.78214611627247,8.200257507243691
sample,0.0001,100µM,8789.737143125045,7267.279327449182,3,13234.762859346292,9978.708117469478,3,9702.832540124416,3840.7908957488457,3,82.6791428357256,75.39770998180438,39.584223265380565
sample,0.001,1mM,7040.702690759565,6185.764915361555,3,16716.855110038716,12503.448522611076,3,18403.213648817167,3421.703773007422,3,87.85720952938324,74.79545907592734,18.59296880589845
