type,concentration_M,concentration_label,replicate,peak_392.32_height_mean,peak_392.32_height_std,peak_392.32_height_count,peak_1078.5_height_mean,peak_1078.5_height_std,peak_1078.5_height_count,peak_1589.62_height_mean,peak_1589.62_height_std,peak_1589.62_height_count
blank,0.0,Blank,1,211.8025024819362,98.107054003876,5,403.5886778964491,180.50439984019337,5,252.920951261172,166.06944255155526,5
blank,0.0,Blank,2,191.52206641565485,127.88160187557199,5,351.46029596619167,145.55685402102625,5,268.83305334831385,127.3217923653383,5
blank,0.0,Blank,3,208.861495352362,134.6274796177021,5,434.2879748831121,185.37784159708448,5,233.7093648307288,155.03101720460424,5
sample,1e-15,1fM,1,2569.892394801199,274.84150739887394,5,2382.886441149823,165.70650119786313,5,1353.7906172715998,72.6656964748407,5
sample,1e-15,1fM,2,2191.083365926772,87.13313924729152,5,1664.16778776875,96.22055510927697,5,1051.7252356360807,117.40139820908311,5
sample,1e-15,1fM,3,1923.6278194261765,209.16712613579946,5,1308.5715354751924,354.89750367022015,5,851.8678455303416,177.12729980986927,5
sample,1e-14,10fM,1,2137.3285563708587,652.7004507984608,5,1879.2562486916722,260.62247625930536,5,2031.0324074733376,187.91323839356417,5
sample,1e-14,10fM,2,6226.281027579267,738.7845365947394,5,4960.297528921792,513.6426270281878,5,2373.8500278685315,161.29665695650135,5
sample,1e-14,10fM,3,3152.4252372835435,91.75645541010188,5,2701.7881172975444,111.26758640682759,5,1598.1819838003007,106.63090649849615,5
sample,1e-13,100fM,1,1838.226948948178,72.8038507475431,5,1484.262938563457,54.413658277468116,5,816.7082681714282,81.05141383750923,5
sample,1e-13,100fM,2,1783.2185840646446,133.11692875550852,5,1411.6636356425777,142.29789891690797,5,847.2494159359682,125.26260090168239,5
sample,1e-13,100fM,3,2468.240991389342,250.578740472944,5,2444.112840992071,122.34051361072184,5,1544.1868566326807,139.2213285651193,5
sample,1e-12,1pM,1,3243.2276505217756,615.1480462663534,5,3164.3036702986146,197.82819832600657,5,1568.1930232464886,90.22996729328219,5
sample,1e-12,1pM,2,3642.840144869406,267.2196114598514,5,3112.3756690274668,199.1553010577516,5,1812.7576027169227,112.69351113889185,5
sample,1e-12,1pM,3,2203.2457847046694,126.54068519421996,5,2186.700074958563,167.34515686041667,5,1267.4051237184344,129.30515368246168,5
sample,1e-11,10pM,1,1725.4846689209487,134.243819096709,5,1677.1077541614784,193.17669561349635,5,989.3346127731174,124.74037164025613,5
sample,1e-11,10pM,2,3912.6372273063344,368.48308873164854,5,3017.293274796454,402.0197775380633,5,1715.85110178055,180.79848600665537,5
sample,1e-11,10pM,3,1725.5461939274246,192.9764755186984,5,2037.429564130804,86.92270067006773,5,1232.2466557753,147.1571610287709,5
sample,1e-10,100pM,1,2076.0877033425563,126.99238884971962,5,2158.680366041096,83.71096544719524,5,1292.0785945341365,147.54025983411256,5
sample,1e-10,100pM,2,4614.348848743367,374.68651832998523,5,3171.6595728254097,216.82390803695782,5,1694.185474663104,122.46083666012436,5
sample,1e-10,100pM,3,835.564678224823,86.35525270187048,5,1414.5013925432816,97.4879398945804,5,837.8028374732501,132.87564945291106,5
sample,1e-09,1nM,1,2274.1400886768215,179.62376647464396,5,2027.659492371716,320.17243955695153,5,1119.0366052159911,177.41035316759863,5
sample,1e-09,1nM,2,2217.7018883312044,274.3769386301727,5,1527.0165107486005,328.5325501222011,5,1014.6593171763707,142.56403139356928,5
sample,1e-09,1nM,3,4172.828324049246,195.76246624459753,5,3205.484920608472,54.589363089073665,5,1768.1534819154454,45.58674667887533,5
sample,1e-08,10nM,1,2787.536627563476,463.3384177441707,5,2666.029885080431,327.7104774138243,5,1385.731822679548,143.91905488602083,5
sample,1e-08,10nM,2,1654.979982059429,181.91190404443643,5,1576.8871935242653,279.1487239812957,5,1081.3014287518108,126.193837158308,5
sample,1e-08,10nM,3,2721.872925446196,260.85681603364037,5,2842.401064661785,179.42836067292143,5,2071.3683025373925,198.40478331409773,5
sample,1e-07,100nM,1,2162.526426080835,219.63750070358392,5,1647.6769362619211,331.9076289732996,5,964.9655658404179,163.10331478168138,5
sample,1e-07,100nM,2,8418.568075632393,381.5377165208605,5,5360.965121215868,257.4014947959705,5,3016.379991016385,239.91517841422976,5
sample,1e-07,100nM,3,1252.3251351199174,312.3087548111826,5,926.3985839205718,177.830368701122,5,2815.6649675646886,207.3206114615903,5
