Ramanshift[cm-1],Intensity
-93.52472366,9995.2
-87.74731628,9059.8
-81.97888019,8956.6
-76.2193996,8980.2
-70.46885874,9036.4
-64.72724191,8916.2
-58.99453344,8736.4
-53.2707177,9065.8
-47.55577911,9167.4
-41.84970212,9026.6
-36.15247124,9442.6
-30.46407101,9497
-24.78448602,9213.2
-19.11370089,9297
-13.45170028,9084.2
-7.798468914,8936.2
-2.153991534,8780.4
3.481747071,9265.4
9.10876207,8835
14.72706859,9054.6
20.33668173,8828.8
25.93761654,8812.4
31.52988803,9255.8
37.11351116,9037.4
42.68850089,8872.4
48.25487209,8847.4
53.81263964,8818.6
59.36181834,8567.4
64.90242299,8551.6
70.43446832,8785.2
75.95796905,8897
81.47293984,8437.8
86.97939533,8797.4
92.47735012,8959.2
97.96681875,8518
103.4478158,8715.8
108.9203557,8606.2
114.3844529,8629.2
119.8401218,8736
125.2873769,9467.2
130.7262324,8666.2
136.1567027,8404.6
141.5788021,8496.2
146.9925448,8985.4
152.397945,8659.2
157.7950169,8680.2
163.1837747,8518.2
168.5642323,8799.6
173.936404,8969.4
179.3003038,8570
184.6559456,8597.4
190.0033435,8912
195.3425114,8988.8
200.6734632,8548.4
205.9962128,8538.4
211.310774,8387.2
216.6171607,8672.4
221.9153867,8391.4
227.2054656,8539.4
232.4874113,8577
237.7612375,8469.2
243.0269577,8589.2
248.2845856,8570
253.5341349,8421.8
258.7756191,8445.8
264.0090518,8565.4
269.2344464,8660.6
274.4518165,8761
279.6611755,8575
284.8625368,8461.8
290.0559139,8533.6
295.2413201,9087.8
300.4187688,10252
305.5882733,11021.2
310.7498468,11944.8
315.9035027,12739.4
321.0492541,12985.4
326.1871143,13047.4
331.3170964,13088.4
336.4392137,13231.2
341.5534792,13343
346.659906,13210.8
351.7585072,13420
356.8492959,13113
361.932285,13287.4
367.0074876,13421.2
372.0749167,13256.8
377.1345851,13422.8
382.1865058,13262.6
387.2306918,13094.4
392.2671558,13228.4
397.2959107,12969
402.3169694,13327.6
407.3303446,13015.2
412.3360492,13009.4
417.3340958,12757.2
422.3244971,12943.6
427.307266,13087.8
432.2824151,13236.4
437.2499569,13443.6
442.2099043,13495.8
447.1622697,12919.8
452.1070657,12989.2
457.044305,13072.4
461.9740001,12658
466.8961635,12940.2
471.8108076,12481.8
476.717945,12944
481.6175882,12895.6
486.5097495,13114.4
491.3944414,12821
496.2716763,12830
501.1414665,12833.8
506.0038244,13193.6
510.8587623,12882.2
515.7062925,12487.8
520.5464274,12936.8
525.3791792,12675
530.2045601,12864.2
535.0225824,12331.6
539.8332583,12644.8
544.6366,12728.8
549.4326196,12503.6
554.2213293,13146
559.0027413,12472
563.7768676,12403
568.5437204,13073
573.3033118,12853.6
578.0556537,12470.6
582.8007583,12955
587.5386375,12767.4
592.2693034,12562.8
596.9927679,12496.2
601.7090431,12852.8
606.4181409,12508.6
611.1200732,12451.4
615.814852,12436
620.5024891,12709.2
625.1829965,12397.8
629.8563859,13009
634.5226693,13027
639.1818586,12372.8
643.8339654,12510.8
648.4790017,12333.4
653.1169792,12362.4
657.7479097,12461.2
662.3718049,12005
666.9886767,12210.8
671.5985366,12305.4
676.2013965,12338.4
680.7972681,12501.8
685.386163,12293.2
689.9680928,12430.8
694.5430693,12194.8
699.1111041,12587.2
703.6722088,12308.6
708.226395,12426
712.7736744,12388
717.3140584,12292
721.8475588,12311.2
726.3741869,11753.8
730.8939545,12290.4
735.406873,12224.8
739.9129539,12615.2
744.4122087,12145.2
748.9046489,12131
753.3902861,11807.2
757.8691316,11697.4
762.341197,12200
766.8064936,11757
771.265033,12797.2
775.7168264,12093.6
780.1618854,12300.4
784.6002213,11722
789.0318455,11747
793.4567694,11633.2
797.8750043,12136.2
802.2865616,11610.4
806.6914527,11848
811.0896888,11638
815.4812812,11712
819.8662414,11454.8
824.2445805,11654.8
828.6163098,11745.4
832.9814407,11720.6
