#Wave,#Intensity17
2261.862186,7802
2261.060512,7843
2260.258706,7769
2259.456768,7729
2258.654698,7877
2257.852495,7976
2257.050161,7922
2256.247694,7775
2255.445094,7786
2254.642363,7698
2253.839499,7814
2253.036502,7761
2252.233374,7839
2251.430112,7831
2250.626719,7724
2249.823192,7693
2249.019534,7862
2248.215742,7672
2247.411818,7759
2246.607762,7828
2245.803573,7890
2244.999251,7798
2244.194796,7727
2243.390209,7743
2242.585489,7736
2241.780636,7733
2240.97565,7930
2240.170532,7846
2239.365281,7757
2238.559896,7853
2237.754379,7765
2236.948729,7827
2236.142946,7830
2235.33703,7897
2234.530981,7791
2233.724799,7818
2232.918484,7842
2232.112035,7774
2231.305454,7775
2230.498739,8034
2229.691891,8007
2228.88491,7882
2228.077796,7764
2227.270548,7923
2226.463167,7922
2225.655653,7915
2224.848005,7953
2224.040224,7860
2223.23231,7840
2222.424262,7849
2221.616081,7819
2220.807766,7825
2219.999318,7876
2219.190736,7785
2218.38202,7953
2217.573171,7854
2216.764188,7895
2215.955072,7875
2215.145822,7899
2214.336438,7954
2213.52692,7966
2212.717269,7820
2211.907484,7970
2211.097565,7873
2210.287512,8040
2209.477325,7914
2208.667005,7698
2207.85655,7877
2207.045961,7986
2206.235239,7960
2205.424382,7904
2204.613392,7961
2203.802267,7891
2202.991008,7896
2202.179615,7897
2201.368088,7835
2200.556426,7852
2199.744631,8057
2198.932701,8043
2198.120637,7921
2197.308438,7977
2196.496105,7971
2195.683638,7972
2194.871037,7929
2194.058301,8081
2193.24543,7855
2192.432425,8007
2191.619286,8070
2190.806012,7984
2189.992604,7988
2189.179061,7907
2188.365383,7943
2187.55157,7871
2186.737623,8009
2185.923542,7886
2185.109325,7934
2184.294974,7900
2183.480488,7906
2182.665867,7873
2181.851112,7962
2181.036221,7998
2180.221196,7773
2179.406035,7838
2178.59074,7890
2177.77531,7794
2176.959744,8052
2176.144044,7995
2175.328208,7926
2174.512238,7723
2173.696132,7862
2172.879892,7860
2172.063516,7925
2171.247004,7953
2170.430358,7922
2169.613576,7989
2168.796659,7821
2167.979607,7707
2167.162419,7818
2166.345096,7946
2165.527638,7946
2164.710044,7855
2163.892314,7960
2163.07445,7869
2162.256449,7826
2161.438313,7837
2160.620042,7776
2159.801635,7865
2158.983092,7884
2158.164414,7879
2157.345599,7810
2156.52665,7816
2155.707564,7863
2154.888343,7918
2154.068986,7857
2153.249493,7885
2152.429864,7942
2151.610099,7885
2150.790198,7829
2149.970162,7911
2149.149989,7882
2148.329681,7821
2147.509236,7939
2146.688655,7772
2145.867938,7939
2145.047086,7887
2144.226097,7824
2143.404971,7881
2142.58371,7946
2141.762312,7912
2140.940778,7923
2140.119108,7935
2139.297302,7912
2138.475359,7954
2137.653279,7882
2136.831064,7828
2136.008712,7889
2135.186223,7858
2134.363598,8123
2133.540837,8017
2132.717938,7856
2131.894904,7807
2131.071732,7759
2130.248425,8070
2129.42498,8025
2128.601399,7997
2127.777681,7914
2126.953826,7895
2126.129834,7765
2125.305706,8015
2124.481441,7977
2123.657039,7981
2122.8325,7860
2122.007824,7892
2121.183011,8014
2120.358061,7943
2119.532975,7904
2118.707751,7900
2117.88239,7946
2117.056892,7981
2116.231257,7988
2115.405484,7911
2114.579575,7868
2113.753528,7962
2112.927344,7892
2112.101023,7892
2111.274565,8069
2110.447969,7883
2109.621236,7969
2108.794365,7957
2107.967357,7929
2107.140212,7946
2106.312929,8031
2105.485509,7938
2104.657951,7863
2103.830255,7892
2103.002422,7888
2102.174452,7909
2101.346344,7856
2100.518098,7969
2099.689714,7984
2098.861193,7973
2098.032533,8039
2097.203736,7934
2096.374802,7874
2095.545729,7947
2094.716519,8061
2093.88717,8030
2093.057684,8069
2092.22806,8042
2091.398297,7951
2090.568397,7910
2089.738359,8047
2088.908182,7950
2088.077868,8050
2087.247415,7921
2086.416824,7975
2085.586095,7978
2084.755228,7973
2083.924222,8045
2083.093078,7999
2082.261796,8033
2081.430376,8082
2080.598817,7973
2079.76712,7808
2078.935284,7962
2078.10331,8030
2077.271197,7948
2076.438946,7991
2075.606556,7938
2074.774028,7885
2073.941361,8049
2073.108556,7997
2072.275612,8088
2071.442529,7922
2070.609307,7991
2069.775947,8070
2068.942448,8016
2068.10881,7916
2067.275033,8008
2066.441117,8026
2065.607063,7965
2064.772869,8047
2063.938537,8051
2063.104066,7969
2062.269455,7950
2061.434706,7971
2060.599817,8001
2059.764789,7999
2058.929623,7979
2058.094317,8030
2057.258872,8052
2056.423287,7968
2055.587564,7991
2054.751701,8005
2053.915698,8039
2053.079557,7880
