#Wave,#Intensity1,#Intensity2,#Intensity4,#Intensity17
352.8078093,9011,9013,7948,5404
353.9410787,9049,9186,8065,5327
355.0741405,8967,9089,7907,5328
356.2069948,9012,9002,8056,5437
357.3396415,9044,9008,7894,5382
358.4720807,9088,9130,7993,5474
359.6043126,9136,9112,7956,5450
360.736337,9113,9038,8090,5379
361.8681541,9126,9099,8154,5404
362.999764,9226,9182,8027,5542
364.1311666,9107,9161,8189,5386
365.2623621,9223,9211,8164,5363
366.3933504,9191,9118,8210,5605
367.5241317,9119,9260,8061,5531
368.654706,9226,9148,8147,5405
369.7850733,9415,9195,8186,5529
370.9152337,9259,9210,8227,5609
372.0451872,9190,9321,8244,5485
373.1749339,9324,9254,8102,5527
374.3044739,9270,9273,8112,5525
375.4338072,9222,9381,8176,5478
376.5629338,9271,9315,8261,5578
377.6918537,9399,9469,8297,5548
378.8205672,9331,9387,8319,5529
379.9490741,9390,9354,8389,5535
381.0773746,9403,9439,8251,5700
382.2054687,9434,9428,8381,5698
383.3333564,9496,9453,8422,5743
384.4610378,9460,9358,8339,5615
385.588513,9363,9554,8254,5630
386.7157819,9518,9365,8454,5676
387.8428447,9554,9434,8269,5687
388.9697015,9454,9447,8389,5764
390.0963521,9513,9552,8352,5596
391.2227968,9488,9405,8264,5632
392.3490355,9482,9465,8417,5641
393.4750684,9419,9438,8382,5726
394.6008954,9444,9529,8369,5605
395.7265166,9557,9458,8513,5694
396.851932,9545,9367,8207,5624
397.9771418,9487,9324,8354,5711
399.1021459,9456,9423,8344,5679
400.2269444,9513,9423,8370,5699
401.3515374,9551,9522,8265,5685
402.4759249,9513,9427,8308,5689
403.6001069,9457,9387,8359,5569
404.7240836,9515,9375,8313,5666
405.8478549,9547,9462,8374,5597
406.9714209,9569,9438,8288,5682
408.0947817,9579,9451,8289,5656
409.2179373,9436,9452,8423,5580
410.3408878,9398,9515,8390,5692
411.4636332,9451,9501,8366,5606
412.5861735,9521,9504,8280,5720
413.7085089,9499,9441,8318,5650
414.8306393,9431,9481,8331,5697
415.9525649,9634,9343,8414,5655
417.0742856,9473,9441,8444,5582
418.1958015,9521,9560,8414,5789
419.3171127,9587,9537,8479,5657
420.4382192,9583,9598,8293,5648
421.559121,9655,9607,8384,5719
422.6798183,9669,9603,8410,5603
423.8003111,9667,9662,8380,5786
424.9205993,9481,9532,8416,5711
426.0406832,9696,9624,8427,5746
427.1605626,9556,9629,8484,5723
428.2802377,9595,9574,8488,5714
429.3997085,9716,9699,8484,5723
430.5189751,9811,9713,8639,5796
